gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.326009	2639	1.317010	4768
A1CF	0.000000	14951	0.000000	17239
A2M	0.965567	604	1.949103	1062
A2ML1	0.000000	14950	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	17187	0.028787	12522
A4GNT	0.000000	14949	0.000000	17237
AAAS	0.408994	2066	1.240813	5402
AACS	-0.013094	15155	0.560805	9579
AADAC	0.000000	14948	0.000000	17236
AADACL2	0.000000	14947	0.000000	17235
AADACL3	0.000000	14946	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	14945	0.000000	17233
AAED1	0.325656	2644	1.544012	3047
AAGAB	0.008252	8722	1.556953	2951
AAK1	0.330478	2608	1.225814	5525
AAMDC	-0.010601	15120	1.062708	6815
AAMP	0.000000	14944	1.559145	2938
AANAT	0.000000	14943	0.000000	17232
AAR2	-0.024605	15376	1.096631	6562
AARD	0.000000	14942	0.000000	17231
AARS	-0.114397	16362	1.273518	5131
AARS2	-0.087475	16145	1.123342	6335
AARSD1	0.000000	14941	0.948439	7585
AASDH	0.167775	4608	1.248059	5351
AASDHPPT	0.060866	6940	1.577466	2824
AASS	-0.015488	15204	0.599601	9412
AATF	-0.010859	15121	1.458001	3689
AATK	0.000000	14940	0.000000	17230
ABAT	0.000092	8934	0.105951	11433
ABCA1	0.860959	727	2.254358	476
ABCA10	0.000000	14939	0.000000	17229
ABCA12	0.000000	14938	0.000000	17228
ABCA13	0.062243	6918	0.062243	11840
ABCA2	0.000000	14937	0.486667	9861
ABCA3	0.000000	14936	0.455593	9976
ABCA4	0.000000	14935	0.000000	17227
ABCA5	0.119755	5485	1.088425	6630
ABCA6	0.105951	5786	0.105951	11432
ABCA7	0.506881	1603	1.342440	4585
ABCA8	0.000000	14934	0.000000	17226
ABCA9	0.062359	6884	0.258585	10683
ABCB1	0.000000	14933	0.588085	9470
ABCB10	0.107865	5730	0.968026	7455
ABCB11	0.000000	14932	0.000000	17225
ABCB4	0.000000	14931	0.100806	11499
ABCB5	0.293572	2983	0.293572	10560
ABCB6	0.127965	5309	0.506658	9791
ABCB7	0.140364	5075	1.389801	4196
ABCB8	-0.173162	16687	0.998805	7250
ABCB9	0.064986	6817	0.246951	10737
ABCC1	0.421096	1993	1.678066	2220
ABCC10	0.297415	2940	0.964958	7475
ABCC11	0.000000	14930	0.000000	17224
ABCC12	0.000000	14929	0.000000	17223
ABCC2	0.000000	14928	0.000000	17222
ABCC3	0.718357	998	1.530685	3135
ABCC4	0.115926	5566	1.006957	7209
ABCC5	0.869883	717	1.858683	1352
ABCC6	-	19006	-	19006
ABCC8	0.000000	14927	0.000000	17221
ABCC9	0.000000	14926	0.000000	17220
ABCD1	0.322492	2668	1.275715	5105
ABCD2	0.262571	3327	0.423954	10097
ABCD3	0.034791	7802	1.128791	6294
ABCD4	0.241375	3531	1.281693	5052
ABCE1	-0.102241	16270	1.416823	3989
ABCF1	-0.027758	15442	1.736146	1899
ABCF2	-0.039622	15632	1.144682	6181
ABCF3	-0.087335	16144	1.387443	4208
ABCG1	0.000000	14925	1.055086	6865
ABCG2	0.000000	14924	0.040191	12158
ABCG4	0.000000	14923	0.000000	17219
ABCG5	0.000000	14922	0.000000	17218
ABCG8	0.000000	14921	0.000000	17217
ABHD1	0.046780	7282	0.105951	11431
ABHD10	0.068360	6735	1.339037	4606
ABHD11	0.233833	3625	1.203794	5720
ABHD12	0.969924	600	2.488810	265
ABHD12B	0.000000	14920	0.000000	17216
ABHD13	0.328769	2624	1.370949	4346
ABHD14A	-0.116447	16381	0.970308	7438
ABHD14B	-0.037826	15596	1.719632	1980
ABHD15	0.153239	4841	0.493803	9835
ABHD16A	0.173629	4494	1.464332	3632
ABHD16B	-	19005	-	19005
ABHD17A	0.033457	7974	0.821711	8345
ABHD17B	0.135631	5155	1.108249	6466
ABHD17C	-0.243174	16878	0.158770	11123
ABHD18	0.471255	1754	1.323124	4725
ABHD2	0.238768	3565	1.921980	1138
ABHD3	0.825237	770	1.775600	1714
ABHD4	0.067699	6755	1.408188	4055
ABHD5	0.067873	6752	1.114659	6411
ABHD6	0.365418	2344	1.051987	6885
ABHD8	0.127249	5323	0.999322	7249
ABI1	0.438420	1902	1.892384	1242
ABI2	-0.046400	15723	0.810051	8423
ABI3	1.181377	385	1.686525	2176
ABI3BP	0.000000	14919	0.000000	17215
ABL1	0.045654	7303	0.491681	9845
ABL2	0.419374	2006	1.087441	6637
ABLIM1	0.000000	14918	0.601457	9404
ABLIM2	0.000000	14917	0.228272	10811
ABLIM3	0.000226	8931	1.251689	5320
ABO	0.000000	14916	0.040191	12157
ABR	0.395918	2151	1.457288	3694
ABRA	0.000000	14915	0.000000	17214
ABRACL	0.413058	2039	1.708296	2052
ABT1	-0.052056	15801	1.144810	6179
ABTB1	0.298535	2928	1.486391	3461
ABTB2	-0.270632	16939	0.120576	11363
ACAA1	0.088258	6198	1.570273	2877
ACAA2	0.345381	2483	1.491360	3418
ACACA	0.063060	6865	0.868169	8082
ACACB	0.024895	8311	0.133109	11257
ACAD10	0.107153	5746	1.096731	6560
ACAD11	0.132796	5231	0.466242	9935
ACAD8	-0.036622	15574	1.172130	5972
ACAD9	0.000000	14914	1.382225	4251
ACADL	0.000000	14913	0.000000	17213
ACADM	0.238112	3572	1.612208	2600
ACADS	0.214598	3874	1.102233	6521
ACADSB	0.087483	6211	1.096729	6561
ACADVL	0.155672	4801	1.604003	2646
ACAN	0.000000	14912	0.000000	17212
ACAP1	0.886158	699	0.998259	7253
ACAP2	0.510439	1593	2.069972	763
ACAP3	0.018300	8468	0.500010	9812
ACAT1	0.000000	14911	1.464277	3634
ACAT2	-0.022398	15332	1.410752	4028
ACBD3	0.067272	6766	1.921214	1141
ACBD4	0.152060	4856	0.860906	8133
ACBD5	0.851124	742	1.417671	3982
ACBD6	0.055937	7062	1.249973	5331
ACBD7	-0.237318	16869	0.000000	17211
ACCS	0.355410	2419	0.775042	8607
ACCSL	-	19004	-	19004
