gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.519606	1486	1.411125	4629
A1CF	0.000000	16621	0.000000	17239
A2M	0.309395	3245	1.060765	7495
A2ML1	0.032650	12023	0.032650	13811
A3GALT2	-	19008	-	19008
A4GALT	0.254228	4228	0.918653	8577
A4GNT	0.000000	16620	0.000000	17238
AAAS	0.281911	3663	1.675881	2746
AACS	0.137139	7520	1.187803	6478
AADAC	0.010116	13217	0.010116	14447
AADACL2	0.000000	16619	0.000000	17237
AADACL3	0.000000	16618	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.288904	3553	0.776704	9513
AAED1	0.291853	3516	1.510208	3844
AAGAB	0.218306	5063	1.767007	2260
AAK1	0.162188	6694	0.900367	8726
AAMDC	0.109173	8544	1.292968	5579
AAMP	0.108035	8597	1.866169	1837
AANAT	0.000000	16617	0.000000	17235
AAR2	0.230693	4744	1.259583	5873
AARD	0.277577	3747	0.292030	11791
AARS	0.297154	3445	1.909231	1654
AARS2	0.061650	10658	1.272468	5762
AARSD1	0.458513	1836	1.603902	3184
AASDH	0.115077	8348	1.195361	6402
AASDHPPT	0.144162	7295	1.660763	2847
AASS	0.050957	11088	1.068647	7415
AATF	0.095641	9069	1.564501	3447
AATK	0.050493	11115	0.068186	13320
ABAT	0.128108	7828	0.674861	10071
ABCA1	0.038279	11582	1.052553	7571
ABCA10	0.258221	4146	0.258221	11953
ABCA12	0.068186	10435	0.068186	13319
ABCA13	0.099210	8932	0.099210	12854
ABCA2	0.100754	8880	0.785409	9450
ABCA3	0.000000	16616	0.284693	11811
ABCA4	0.079374	9697	0.079374	12994
ABCA5	0.101350	8857	0.911843	8620
ABCA6	0.323022	3064	0.782196	9485
ABCA7	0.147424	7181	0.305355	11716
ABCA8	0.056754	10868	0.859397	8984
ABCA9	0.282008	3661	0.583883	10545
ABCB1	0.000000	16615	0.053509	13422
ABCB10	0.274194	3817	1.134355	6898
ABCB11	0.000000	16614	0.000000	17234
ABCB4	0.086971	9392	0.235964	12023
ABCB5	0.000000	16613	0.000000	17233
ABCB6	0.254653	4221	0.491668	10986
ABCB7	0.000000	16612	1.158354	6690
ABCB8	0.092617	9182	1.206556	6301
ABCB9	0.165233	6587	0.588832	10527
ABCC1	0.085031	9472	1.329163	5298
ABCC10	0.140668	7405	0.808211	9314
ABCC11	0.000000	16611	0.000000	17232
ABCC12	0.000000	16610	0.000000	17231
ABCC2	0.037981	11597	0.037981	13569
ABCC3	0.695517	846	1.507845	3870
ABCC4	0.266010	3987	1.157042	6700
ABCC5	0.107737	8615	1.096537	7205
ABCC6	-	19006	-	19006
ABCC8	0.013798	12994	0.013798	14315
ABCC9	0.069885	10068	0.432824	11214
ABCD1	0.090583	9256	1.043806	7640
ABCD2	0.000000	16609	0.027803	13846
ABCD3	0.095105	9089	1.259744	5872
ABCD4	0.025584	12389	1.008183	7903
ABCE1	0.256977	4171	1.776042	2226
ABCF1	0.038245	11584	1.888179	1741
ABCF2	0.335961	2899	1.763203	2273
ABCF3	0.021291	12564	1.496069	3953
ABCG1	0.000000	16608	0.091707	12911
ABCG2	0.068186	10434	0.106118	12821
ABCG4	0.022129	12463	0.037773	13695
ABCG5	0.000000	16607	0.000000	17230
ABCG8	0.000000	16606	0.000000	17229
ABHD1	0.000000	16605	0.050518	13447
ABHD10	0.179565	6124	1.335068	5242
ABHD11	0.109944	8516	1.079904	7335
ABHD12	0.175631	6250	1.694517	2649
ABHD12B	0.013798	12993	0.013798	14314
ABHD13	0.051498	11070	1.078712	7340
ABHD14A	0.163867	6639	1.035048	7702
