gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.057233	7515	0.687738	9073
A1CF	0.000000	15226	0.000000	17239
A2M	0.000000	15225	0.025182	13153
A2ML1	1.417254	172	1.417254	3763
A3GALT2	-	19008	-	19008
A4GALT	0.200778	3913	0.896227	7784
A4GNT	0.000000	15224	0.000000	17238
AAAS	0.088626	6383	1.381831	4022
AACS	0.292234	2709	1.342898	4309
AADAC	0.025182	9080	0.025182	13152
AADACL2	0.000000	15223	0.000000	17237
AADACL3	0.000000	15222	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.157290	4721	0.539883	9926
AAED1	0.185098	4175	1.403453	3854
AAGAB	0.152718	4829	1.701419	2059
AAK1	0.063444	7205	0.560401	9810
AAMDC	-0.105564	16487	1.024348	6839
AAMP	0.025182	9079	1.753361	1830
AANAT	0.000000	15221	0.000000	17235
AAR2	-0.000412	15239	1.001740	7005
AARD	0.000000	15220	0.000000	17234
AARS	-0.268621	17076	1.334219	4378
AARS2	-0.109318	16510	1.101499	6207
AARSD1	0.036863	8300	1.364284	4138
AASDH	0.025182	9078	0.965848	7314
AASDHPPT	0.294499	2683	1.613089	2531
AASS	0.013793	9369	0.965129	7321
AATF	-0.002332	15278	1.466528	3383
AATK	0.000000	15219	0.000000	17233
ABAT	0.183410	4217	0.912574	7689
ABCA1	0.594786	1035	1.988185	998
ABCA10	0.125489	5421	0.125489	11851
ABCA12	0.789735	611	0.789735	8449
ABCA13	0.152909	4825	0.152909	11713
ABCA2	0.000000	15218	0.226236	11345
ABCA3	0.000000	15217	0.071464	12277
ABCA4	0.000000	15216	0.000000	17232
ABCA5	0.058435	7474	0.883236	7869
ABCA6	0.000000	15215	0.000000	17231
ABCA7	0.301640	2613	1.022307	6858
ABCA8	0.000000	15214	0.000000	17230
ABCA9	0.000000	15213	0.000000	17229
ABCB1	0.000000	15212	0.000000	17228
ABCB10	0.255006	3148	1.115167	6088
ABCB11	0.000000	15211	0.000000	17227
ABCB4	0.000000	15210	0.000000	17226
ABCB5	0.000000	15209	0.000000	17225
ABCB6	0.145112	5016	0.523804	10017
ABCB7	0.025182	9077	1.048265	6664
ABCB8	0.313826	2502	1.325327	4446
ABCB9	0.089114	6344	0.510876	10083
ABCC1	0.158312	4697	1.137645	5913
ABCC10	0.369647	2062	0.956241	7392
ABCC11	0.000000	15208	0.000000	17224
ABCC12	0.000000	15207	0.000000	17223
ABCC2	0.071464	6909	0.071464	12276
ABCC3	0.636373	925	1.448701	3512
ABCC4	0.071267	6910	0.962299	7339
ABCC5	0.198728	3949	1.187528	5557
ABCC6	-	19006	-	19006
ABCC8	0.000000	15206	0.000000	17222
ABCC9	0.000000	15205	0.000000	17221
ABCD1	0.065300	7121	0.742416	8754
ABCD2	0.000000	15204	0.000000	17220
ABCD3	-0.031656	15774	1.132984	5934
ABCD4	0.011734	9425	0.917495	7651
ABCE1	0.182949	4226	1.702013	2054
ABCF1	-0.010776	15424	1.839159	1482
ABCF2	0.151036	4869	1.545833	2886
ABCF3	-0.072524	16243	1.402253	3861
ABCG1	0.226162	3521	1.359083	4178
ABCG2	0.491174	1397	0.491174	10198
ABCG4	0.025182	9076	0.025182	13151
ABCG5	0.000000	15203	0.000000	17219
ABCG8	0.000000	15202	0.000000	17218
ABHD1	0.000000	15201	0.000000	17217
ABHD10	-0.176733	16836	1.093944	6287
ABHD11	0.104802	5916	1.030093	6794
ABHD12	0.062046	7298	1.249319	5034
ABHD12B	0.000000	15200	0.000000	17216
ABHD13	0.043230	7958	1.070444	6481
ABHD14A	-0.094593	16416	0.603566	9547
ABHD14B	-0.332133	17134	1.425324	3691
ABHD15	0.074813	6774	0.415377	10544
ABHD16A	0.000000	15199	1.119205	6055
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	15198	0.740374	8769
ABHD17B	0.000163	9779	0.979132	7207
ABHD17C	0.401917	1842	1.443309	3554
ABHD18	0.055372	7566	0.907242	7718
ABHD2	0.000000	15197	1.355767	4198
ABHD3	0.109596	5819	1.059959	6559
ABHD4	-0.003310	15309	1.052735	6633
ABHD5	0.063444	7204	1.097816	6241
ABHD6	0.093845	6222	0.561715	9802
ABHD8	0.073204	6817	0.977939	7221
ABI1	0.272272	2929	1.703964	2047
ABI2	-0.021217	15604	1.022732	6854
ABI3	0.000000	15196	0.000000	17215
ABI3BP	0.000000	15195	0.211633	11414
ABL1	0.098978	6096	0.778445	8536
ABL2	0.797049	597	1.465115	3393
ABLIM1	0.302214	2603	1.117613	6066
ABLIM2	0.190189	4089	0.458249	10348
ABLIM3	0.038777	8059	1.236049	5141
ABO	0.098150	6111	0.223996	11356
ABR	0.312433	2518	1.362099	4156
ABRA	0.000000	15194	0.000000	17214
