gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.124128	4550	1.115128	5840
A1CF	0.000000	15371	0.000000	17239
A2M	0.047661	7317	0.743599	8616
A2ML1	0.000000	15370	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.032492	8199	0.727942	8725
A4GNT	0.000000	15369	0.000000	17237
AAAS	0.143770	4070	1.537740	2768
AACS	0.062694	6601	0.926936	7307
AADAC	0.065300	6473	0.065300	12248
AADACL2	0.000000	15368	0.000000	17236
AADACL3	0.000000	15367	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.050333	7123	0.515881	9978
AAED1	0.050503	7116	1.255927	4719
AAGAB	0.156121	3784	1.704822	1946
AAK1	0.094094	5464	0.883244	7620
AAMDC	0.047874	7256	1.199300	5168
AAMP	0.054784	6961	1.744127	1781
AANAT	0.000000	15366	0.000000	17234
AAR2	0.082632	5836	1.103829	5933
AARD	0.198376	3024	0.212828	11346
AARS	0.175281	3437	1.787357	1619
AARS2	-0.031033	15963	1.179784	5312
AARSD1	0.000000	15365	1.375617	3872
AASDH	0.048565	7227	0.977570	6921
AASDHPPT	0.118892	4667	1.509920	2960
AASS	-0.008000	15553	0.855297	7834
AATF	0.009297	9986	1.478157	3162
AATK	0.000000	15364	0.000000	17233
ABAT	0.000000	15363	0.252453	11161
ABCA1	0.074743	6129	1.456334	3304
ABCA10	0.202983	2957	0.202983	11383
ABCA12	0.000000	15362	0.000000	17232
ABCA13	0.071622	6272	0.071622	12241
ABCA2	0.047967	7252	0.687083	8991
ABCA3	0.028143	8390	0.278616	11061
ABCA4	0.000000	15361	0.000000	17231
ABCA5	0.039068	7773	0.813743	8130
ABCA6	0.113239	4835	0.357944	10720
ABCA7	0.027174	8422	0.402454	10539
ABCA8	0.017693	9470	0.709054	8859
ABCA9	0.000000	15360	0.111115	11885
ABCB1	0.017693	9469	0.582766	9606
ABCB10	0.066355	6432	0.875879	7685
ABCB11	0.000000	15359	0.000000	17230
ABCB4	0.077970	6014	0.183267	11465
ABCB5	0.000000	15358	0.000000	17229
ABCB6	0.353934	1434	0.590950	9558
ABCB7	0.000000	15357	0.978480	6916
ABCB8	-0.020192	15796	1.151775	5548
ABCB9	0.050364	7121	0.506101	10033
ABCC1	0.264228	2147	1.521198	2883
ABCC10	0.040599	7683	0.675948	9047
ABCC11	0.000000	15356	0.000000	17228
ABCC12	0.000000	15355	0.000000	17227
ABCC2	0.000000	15354	0.000000	17226
ABCC3	0.503699	746	1.316027	4275
ABCC4	0.802848	224	1.483471	3124
ABCC5	0.023961	8769	0.735954	8666
ABCC6	-	19006	-	19006
ABCC8	0.000000	15353	0.000000	17225
ABCC9	0.048565	7226	0.256918	11141
ABCD1	0.017693	9468	0.862083	7789
ABCD2	0.000000	15352	0.017693	13323
ABCD3	0.051783	7081	1.207796	5095
ABCD4	0.024485	8532	0.995532	6774
ABCE1	0.156143	3783	1.675208	2068
ABCF1	0.229907	2577	1.854790	1373
ABCF2	0.151854	3864	1.549332	2688
ABCF3	-0.082560	16488	1.392218	3763
ABCG1	0.000000	15351	0.196932	11404
ABCG2	0.163178	3657	0.278126	11064
ABCG4	0.041773	7562	0.057418	12349
ABCG5	0.000000	15350	0.000000	17224
ABCG8	0.000000	15349	0.000000	17223
ABHD1	0.000000	15348	0.033457	12723
ABHD10	0.126390	4496	1.255828	4722
ABHD11	0.058325	6791	1.028286	6528
ABHD12	0.140223	4149	1.659109	2146
ABHD12B	0.000000	15347	0.000000	17222
ABHD13	0.042546	7537	1.069760	6189
ABHD14A	-0.023136	15845	0.887279	7602
ABHD14B	-0.111883	16689	1.645574	2212
ABHD15	0.097461	5355	0.438025	10385
ABHD16A	0.060191	6703	1.350893	4029
ABHD16B	-	19005	-	19005
ABHD17A	0.060907	6663	0.941599	7190
ABHD17B	-0.030583	15949	0.804164	8202
ABHD17C	0.144647	4046	1.186040	5264
ABHD18	0.000655	10307	0.727750	8726
ABHD2	0.036431	7866	1.652473	2178
ABHD3	-0.194450	16996	0.755912	8528
ABHD4	0.179386	3360	1.519875	2891
ABHD5	0.279200	2009	1.476079	3179
ABHD6	0.023961	8768	0.492991	10108
ABHD8	0.136449	4231	1.016530	6616
ABI1	0.045214	7408	1.365915	3932
ABI2	0.150616	3896	1.419290	3561
