gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.068986	7515	0.842864	8462
A1CF	0.000000	15393	0.000000	17239
A2M	0.027595	9252	0.344551	11092
A2ML1	1.440274	108	1.440274	3516
A3GALT2	-	19008	-	19008
A4GALT	0.426907	1399	1.122356	6238
A4GNT	0.000000	15392	0.000000	17238
AAAS	0.442890	1312	1.409771	3736
AACS	0.041446	8518	0.935909	7823
AADAC	0.000000	15391	0.000000	17237
AADACL2	0.334228	1973	0.334228	11131
AADACL3	0.000000	15390	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	15389	0.296874	11317
AAED1	0.086904	6715	1.122174	6241
AAGAB	-0.162689	16894	1.386012	3910
AAK1	0.047963	8285	0.843014	8461
AAMDC	0.057524	7900	1.077387	6657
AAMP	0.060216	7787	1.864982	1199
AANAT	0.000000	15388	0.000000	17235
AAR2	0.069238	7505	0.963792	7580
AARD	0.332611	1990	0.347064	11082
AARS	-0.125656	16760	1.426820	3616
AARS2	0.083832	6821	1.294649	4691
AARSD1	0.078920	6969	1.491753	3128
AASDH	0.022729	9686	0.970437	7530
AASDHPPT	0.121893	5590	1.638494	2157
AASS	0.051231	8089	1.088809	6538
AATF	0.214360	3416	1.683220	1949
AATK	0.000000	15387	0.000000	17234
ABAT	0.083798	6823	0.812962	8680
ABCA1	0.563757	884	1.957157	915
ABCA10	0.022729	9685	0.022729	13446
ABCA12	1.081838	249	1.081838	6605
ABCA13	0.453375	1261	0.453375	10616
ABCA2	0.361883	1771	1.140778	6082
ABCA3	0.022729	9684	0.075962	12600
ABCA4	0.000000	15386	0.000000	17233
ABCA5	0.447836	1285	1.480272	3217
ABCA6	0.022133	9699	0.147143	12029
ABCA7	0.060855	7772	0.880840	8217
ABCA8	0.022729	9683	0.743995	9100
ABCA9	0.000000	15385	0.000000	17232
ABCB1	0.027595	9251	0.027595	13242
ABCB10	0.065646	7610	0.850654	8417
ABCB11	0.000000	15384	0.000000	17231
ABCB4	0.000000	15383	0.000000	17230
ABCB5	0.000000	15382	0.000000	17229
ABCB6	0.350471	1848	0.729164	9186
ABCB7	0.000000	15381	1.200510	5528
ABCB8	-0.204713	16998	0.926752	7900
ABCB9	0.017279	9846	0.486333	10446
ABCC1	0.273823	2541	1.530793	2838
ABCC10	0.297027	2283	0.688349	9436
ABCC11	0.000000	15380	0.000000	17228
ABCC12	0.000000	15379	0.000000	17227
ABCC2	0.234924	3059	0.234924	11573
ABCC3	0.927524	355	1.739852	1661
ABCC4	0.011189	10013	0.513748	10304
ABCC5	0.164235	4480	1.068823	6729
ABCC6	-	19006	-	19006
ABCC8	0.000000	15378	0.000000	17226
ABCC9	0.000000	15377	0.000000	17225
ABCD1	0.022729	9682	0.772483	8946
ABCD2	0.000000	15376	0.000000	17224
ABCD3	0.051741	8077	1.216381	5379
ABCD4	-0.009632	15576	1.147232	6025
ABCE1	0.029960	8856	1.549025	2707
ABCF1	0.210116	3496	1.981549	848
ABCF2	0.138018	5164	1.565260	2584
ABCF3	0.004058	10214	1.478835	3231
ABCG1	0.253166	2807	1.386087	3909
ABCG2	0.000000	15375	0.000000	17223
ABCG4	0.098691	6309	0.098691	12343
ABCG5	0.000000	15374	0.000000	17222
ABCG8	0.000000	15373	0.000000	17221
ABHD1	0.000000	15372	0.000000	17220
ABHD10	-0.145333	16833	1.003407	7256
ABHD11	0.023946	9358	0.951056	7693
ABHD12	0.000000	15371	1.230440	5261
ABHD12B	0.075962	7259	0.075962	12599
ABHD13	0.136708	5199	1.163922	5866
ABHD14A	-0.106315	16639	0.879330	8227
ABHD14B	0.081728	6890	1.839185	1285
ABHD15	0.022729	9681	0.344059	11097
ABHD16A	0.084237	6808	0.948541	7710
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	15370	0.858868	8359
ABHD17B	0.085583	6760	1.060209	6805
ABHD17C	-0.013935	15647	0.950397	7698
ABHD18	0.151028	4824	1.002897	7265
ABHD2	0.000000	15369	1.403810	3786
ABHD3	-0.195372	16978	0.754990	9044
ABHD4	0.138068	5162	1.478557	3234
ABHD5	0.970453	322	2.167332	516
ABHD6	0.153690	4734	0.619407	9808
ABHD8	-0.070612	16368	0.726033	9207
ABI1	0.349218	1862	1.629113	2206
ABI2	0.138118	5160	1.514307	2968
ABI3	0.000000	15368	0.000000	17219
ABI3BP	1.289523	160	2.059617	693
ABL1	0.019140	9793	0.826685	8579
ABL2	0.150547	4836	0.846286	8447
ABLIM1	0.898083	386	1.787807	1469
ABLIM2	0.083587	6829	0.351647	11063
ABLIM3	0.312979	2138	1.338188	4314
ABO	0.027595	9250	0.027595	13241
ABR	0.981874	313	1.157964	5914
ABRA	0.000000	15367	0.000000	17218
ABRACL	0.027962	8916	1.180092	5721
ABT1	-0.041766	16088	1.155101	5941
ABTB1	0.000000	15366	1.102979	6408
ABTB2	0.036188	8675	0.797009	8785
ACAA1	0.048712	8266	1.530728	2842
ACAA2	0.232873	3087	1.398724	3824
ACACA	0.163441	4497	1.194904	5577
ACACB	0.000000	15365	0.126286	12138
ACAD10	0.087783	6678	1.077361	6658
ACAD11	0.127894	5398	0.760742	9014
ACAD8	0.002792	10258	1.211544	5420
ACAD9	0.009197	10067	1.409334	3739
ACADL	0.104515	6061	0.125526	12183
ACADM	0.157557	4639	1.531653	2827
ACADS	0.000000	15364	0.512532	10313
ACADSB	0.027595	9249	0.889976	8150
ACADVL	0.378942	1658	2.298719	370
ACAN	0.177011	4183	0.227309	11618
ACAP1	0.000000	15363	0.075962	12598
ACAP2	0.151471	4807	1.711004	1805
ACAP3	0.375785	1684	1.074244	6679
ACAT1	0.000000	15362	1.552728	2680
ACAT2	-0.035195	15990	1.321457	4461
ACBD3	0.108885	5958	1.962826	896
ACBD4	0.022597	9689	0.617082	9822
ACBD5	0.130336	5346	0.550408	10142
ACBD6	0.338072	1938	1.517609	2952
ACBD7	-0.145210	16831	0.092108	12385
ACCS	0.391922	1581	0.795982	8789
ACCSL	-	19004	-	19004
ACD	0.077988	6997	0.994805	7333
ACE	0.022729	9680	0.205814	11724
ACE2	0.000000	15361	0.000000	17217
ACER1	0.479438	1162	0.479438	10488
ACER2	0.316376	2119	0.632914	9740
ACER3	-0.339149	17154	0.779445	8902
ACHE	0.022729	9679	0.183979	11854
ACIN1	0.147250	4927	1.990825	820
ACKR1	0.196880	3748	0.196880	11780
ACKR2	0.244867	2929	0.477517	10498
ACKR3	0.000000	15360	0.223105	11631
ACKR4	0.162627	4526	0.267262	11439
ACLY	-0.108713	16659	1.234329	5226
ACMSD	0.000000	15359	0.000000	17216
ACO1	-0.075150	16402	1.448792	3451
ACO2	0.098691	6308	1.646598	2122
ACOD1	0.000000	15358	0.000000	17215
ACOT1	0.000000	15357	0.000000	17214
ACOT11	0.680277	640	0.926256	7904
ACOT12	0.000000	15356	0.000000	17213
ACOT13	0.205060	3584	1.616223	2284
ACOT2	0.090334	6604	0.983894	7429
ACOT4	-0.111593	16675	0.027595	13240
ACOT6	-	19003	-	19003
ACOT7	1.149916	220	1.517268	2955
ACOT8	0.054435	7993	1.455205	3399
ACOT9	0.027595	9248	1.385959	3911
ACOX1	0.141842	5067	1.524251	2896
ACOX2	0.131770	5311	0.162869	11950
ACOX3	0.151041	4822	0.927964	7890
ACOXL	0.000000	15355	0.000000	17212
ACP1	-0.109252	16663	1.698080	1868
ACP2	0.000000	15354	1.372986	4023
ACP5	0.023943	9359	0.109399	12254
ACP6	0.077482	7007	0.750969	9061
ACP7	-	19002	-	19002
ACPP	0.293010	2323	0.522178	10270
ACPT	-	19001	-	19001
ACR	0.000000	15353	0.000000	17211
ACRBP	0.000000	15352	0.000000	17210
ACRC	0.000000	15351	0.000000	17209
ACRV1	0.000000	15350	0.000000	17208
ACSBG1	0.027595	9247	0.027595	13239
