gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.258677	5319	1.008158	7463
A1CF	0.000000	15853	0.000000	17239
A2M	0.000000	15852	0.074239	13841
A2ML1	0.674954	1446	0.674954	9800
A3GALT2	-	19008	-	19008
A4GALT	0.358220	3938	1.053669	7129
A4GNT	0.000000	15851	0.000000	17238
AAAS	0.591843	1916	1.985813	1555
AACS	0.429316	3185	1.479980	3991
AADAC	0.419425	3268	0.419425	11206
AADACL2	0.000000	15850	0.000000	17237
AADACL3	0.000000	15849	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.056926	10121	0.580566	10365
AAED1	0.010130	11801	1.153570	6352
AAGAB	0.048663	10318	1.597364	3278
AAK1	0.114827	8347	0.613011	10161
AAMDC	0.258742	5316	1.442537	4250
AAMP	0.351681	4020	2.156446	1073
AANAT	0.000000	15848	0.000000	17235
AAR2	0.361808	3901	1.413212	4450
AARD	0.000000	15847	0.000000	17234
AARS	0.263542	5259	1.875619	1931
AARS2	0.305916	4622	1.516733	3743
AARSD1	0.216920	5996	1.610259	3198
AASDH	0.013798	11737	0.860411	8541
AASDHPPT	0.094514	8847	1.409506	4477
AASS	0.029910	11151	0.804983	8945
AATF	0.065912	9916	1.534772	3628
AATK	0.048455	10562	0.048455	14083
ABAT	0.172510	6818	0.694343	9668
ABCA1	0.128688	7810	1.151836	6363
ABCA10	0.045574	10719	0.045574	14153
ABCA12	0.437354	3100	0.437354	11142
ABCA13	0.173101	6807	0.173101	12649
ABCA2	0.115224	8339	0.641407	9980
ABCA3	0.115224	8338	0.818001	8856
ABCA4	0.115224	8337	0.115224	13294
ABCA5	0.013798	11736	0.375175	11449
ABCA6	0.000000	15846	0.048455	14082
ABCA7	0.356869	3954	1.192428	6063
ABCA8	0.000000	15845	0.148333	12859
ABCA9	0.048455	10561	0.048455	14081
ABCB1	0.000000	15844	0.188616	12581
ABCB10	0.209625	6105	0.857518	8557
ABCB11	0.000000	15843	0.000000	17233
ABCB4	0.000000	15842	0.000000	17232
ABCB5	0.000000	15841	0.000000	17231
ABCB6	0.573815	2027	0.952507	7859
ABCB7	0.000000	15840	1.061236	7067
ABCB8	0.461026	2881	1.463044	4101
ABCB9	0.344776	4104	0.808166	8925
ABCC1	0.239258	5646	1.496228	3875
ABCC10	0.497186	2562	1.051536	7142
ABCC11	0.000000	15839	0.000000	17230
ABCC12	0.000000	15838	0.000000	17229
ABCC2	0.000000	15837	0.000000	17228
ABCC3	0.647420	1580	1.459748	4129
ABCC4	0.123506	7916	0.846749	8633
ABCC5	0.115224	8336	0.950464	7874
ABCC6	-	19006	-	19006
ABCC8	0.013798	11735	0.013798	14350
ABCC9	0.013798	11734	0.120865	13033
ABCD1	0.142793	7457	1.096016	6778
ABCD2	0.074239	9735	0.074239	13840
ABCD3	-0.052942	16329	0.944583	7917
ABCD4	0.112230	8406	1.121317	6587
ABCE1	-0.083654	16534	1.435410	4295
ABCF1	0.031737	11121	1.881672	1911
ABCF2	0.413557	3333	1.840799	2073
ABCF3	0.111576	8422	1.586354	3343
ABCG1	0.184809	6570	1.317730	5145
ABCG2	0.120513	8028	0.177988	12617
ABCG4	0.078789	9349	0.094434	13410
ABCG5	0.000000	15836	0.000000	17227
ABCG8	0.000000	15835	0.000000	17226
ABHD1	0.000000	15834	0.048455	14080
ABHD10	-0.096119	16583	0.977610	7683
ABHD11	0.671499	1457	1.641460	3065
ABHD12	0.381328	3685	1.900214	1841
ABHD12B	0.000000	15833	0.000000	17225
ABHD13	0.092888	8963	1.120102	6592
ABHD14A	0.229446	5817	1.251910	5634
ABHD14B	0.142682	7460	1.900139	1842
ABHD15	0.473319	2764	0.813883	8884
ABHD16A	0.086145	9166	1.376847	4708
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	5385	1.181983	6143
ABHD17B	0.098601	8757	0.825337	8794
ABHD17C	0.322397	4383	1.363790	4836
ABHD18	0.023529	11318	0.792951	9027
ABHD2	0.280718	4980	1.737261	2551
ABHD3	0.068929	9840	1.019291	7377
ABHD4	0.384878	3651	1.725367	2618
ABHD5	0.083555	9221	1.264836	5543
ABHD6	0.013798	11733	0.586900	10321
ABHD8	0.311736	4531	1.189746	6085
ABI1	0.081909	9261	1.463585	4093
ABI2	0.009986	11803	1.352300	4906
ABI3	0.074239	9734	0.263557	12106
ABI3BP	0.000000	15832	0.263557	12105
ABL1	0.491496	2609	1.282635	5408
ABL2	0.292008	4802	0.960074	7803
ABLIM1	0.400304	3468	1.215703	5892
ABLIM2	0.000000	15831	0.238561	12218
ABLIM3	0.412981	3342	1.484867	3953
ABO	0.448581	2987	0.574427	10410
ABR	0.511280	2471	1.560947	3487
ABRA	0.000000	15830	0.000000	17224
ABRACL	0.516936	2424	2.013475	1469
ABT1	0.444542	3032	1.641408	3067
ABTB1	0.083555	9220	1.043561	7199
ABTB2	0.453524	2942	1.214345	5900
ACAA1	0.362193	3897	1.798933	2273
ACAA2	0.111160	8428	1.403939	4530
ACACA	0.378721	3719	1.522048	3714
ACACB	0.056202	10141	0.237708	12222
ACAD10	-0.090043	16556	0.899535	8234
ACAD11	0.049448	10296	0.705820	9598
ACAD8	0.035158	11033	1.243909	5691
ACAD9	0.156462	7182	1.556600	3511
ACADL	0.190106	6467	0.190106	12549
ACADM	-0.007467	15937	0.871942	8455
ACADS	0.126433	7858	1.014068	7416
ACADSB	0.026169	11243	0.508354	10772
ACADVL	0.094226	8933	2.014004	1466
ACAN	0.226400	5854	0.276699	12009
ACAP1	0.077189	9383	0.189291	12551
ACAP2	0.015375	11507	1.269681	5506
ACAP3	0.193282	6390	0.885780	8356
ACAT1	0.000000	15829	1.286533	5377
ACAT2	0.665317	1484	2.098467	1225
ACBD3	-0.365844	17127	1.488097	3930
ACBD4	0.103776	8656	0.812622	8892
ACBD5	0.002891	11929	0.476569	10931
ACBD6	0.279345	4999	1.426400	4357
ACBD7	-0.088986	16550	0.148333	12858
ACCS	0.078508	9357	0.393312	11363
ACCSL	-	19004	-	19004
ACD	0.827108	937	1.743925	2516
ACE	0.000000	15828	0.123072	13025
ACE2	0.000000	15827	0.000000	17223
ACER1	0.000000	15826	0.000000	17222
ACER2	0.094847	8841	0.411384	11267
ACER3	0.145762	7405	1.264356	5545
ACHE	0.187567	6519	0.579376	10376
ACIN1	0.167029	6927	1.688386	2808
ACKR1	0.000000	15825	0.000000	17221
ACKR2	0.905831	772	0.905831	8185
ACKR3	0.352318	4014	1.696416	2771
ACKR4	0.000000	15824	0.000000	17220
ACLY	0.793323	1036	2.088022	1259
ACMSD	0.000000	15823	0.000000	17219
ACO1	0.005903	11884	1.529845	3665
ACO2	0.074239	9733	1.759831	2451
ACOD1	0.000000	15822	0.000000	17218
ACOT1	0.074239	9732	0.074239	13839
ACOT11	0.147333	7380	0.393312	11362
ACOT12	0.000000	15821	0.000000	17217
ACOT13	0.165400	6960	1.589790	3318
ACOT2	0.207047	6152	0.873273	8447
ACOT4	0.307210	4607	0.446398	11073
ACOT6	-	19003	-	19003
ACOT7	1.390955	267	1.824501	2139
ACOT8	0.367532	3837	1.768301	2403
ACOT9	0.318809	4433	1.867875	1971
