gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.143166	4094	1.134167	5897
A1CF	0.000000	15441	0.000000	17239
A2M	0.088016	5779	0.584483	9812
A2ML1	0.000000	15440	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.061469	6884	0.756918	8752
A4GNT	0.000000	15439	0.000000	17237
AAAS	0.103123	5228	1.497093	3063
AACS	0.331700	1505	1.382364	3878
AADAC	0.065742	6672	0.065742	12473
AADACL2	0.000000	15438	0.000000	17236
AADACL3	0.000000	15437	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.145246	4039	0.701928	9114
AAED1	0.026298	8827	1.244653	4933
AAGAB	0.127051	4544	1.675752	2065
AAK1	0.034502	8466	0.754950	8762
AAMDC	0.190568	3094	1.374364	3934
AAMP	0.139097	4209	1.749458	1724
AANAT	0.000000	15436	0.000000	17234
AAR2	0.049662	7505	1.132688	5913
AARD	0.215132	2721	0.229585	11470
AARS	-0.027949	15963	1.584128	2504
AARS2	-0.040155	16142	1.170663	5588
AARSD1	0.117092	4805	1.525869	2867
AASDH	0.107957	5093	1.134165	5898
AASDHPPT	0.034390	8471	1.533985	2812
AASS	0.386129	1190	1.448196	3366
AATF	-0.116276	16774	1.352584	4096
AATK	0.000000	15435	0.000000	17233
ABAT	0.120180	4726	0.849344	8124
ABCA1	0.000000	15434	1.106053	6155
ABCA10	0.078046	6191	0.078046	12366
ABCA12	0.000000	15433	0.000000	17232
ABCA13	0.000000	15432	0.000000	17231
ABCA2	0.051007	7456	0.361918	10931
ABCA3	0.000000	15431	0.075654	12386
ABCA4	0.000000	15430	0.000000	17230
ABCA5	0.057226	7120	0.851767	8105
ABCA6	0.073816	6381	0.461660	10481
ABCA7	0.041528	7874	0.573837	9870
ABCA8	0.025538	8854	0.966334	7282
ABCA9	0.007474	10209	0.309349	11148
ABCB1	0.000000	15429	0.000000	17229
ABCB10	0.028446	8728	0.864179	8009
ABCB11	0.000000	15428	0.000000	17228
ABCB4	0.034601	8461	0.034601	12999
ABCB5	0.023961	9229	0.023961	13282
ABCB6	0.082082	5985	0.460775	10486
ABCB7	0.044513	7744	1.199001	5336
