gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	14814	0.657250	8623
A1CF	0.000000	14813	0.000000	17239
A2M	0.330623	2584	1.380925	3680
A2ML1	0.000000	14812	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.225673	4037	0.890098	7032
A4GNT	0.000000	14811	0.000000	17237
AAAS	0.426069	1676	1.820039	1576
AACS	0.212069	4259	1.262733	4412
AADAC	0.000000	14810	0.000000	17236
AADACL2	0.000000	14809	0.000000	17235
AADACL3	0.000000	14808	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	14807	0.555645	9309
AAED1	0.068094	7218	1.286449	4276
AAGAB	-0.469490	16997	1.079211	5691
AAK1	0.134431	5842	1.029767	6027
AAMDC	0.215575	4206	1.399370	3585
AAMP	0.182115	4947	1.986880	1064
AANAT	0.000000	14806	0.000000	17233
AAR2	0.412821	1773	1.335884	3955
AARD	0.000000	14805	0.000000	17232
AARS	0.135905	5812	1.743957	1856
AARS2	0.266172	3462	1.476989	3119
AARSD1	0.248554	3706	1.423975	3430
AASDH	0.000000	14804	0.419739	10069
AASDHPPT	-0.020711	15042	1.017786	6133
AASS	-0.104889	15989	0.585248	9177
AATF	-0.106652	16000	1.362208	3779
AATK	0.000000	14803	0.000000	17231
ABAT	0.000000	14802	0.253253	11138
ABCA1	0.068008	7220	1.010987	6171
ABCA10	0.000000	14801	0.000000	17230
ABCA12	0.000000	14800	0.000000	17229
ABCA13	0.000000	14799	0.000000	17228
ABCA2	0.121284	6066	0.708399	8325
ABCA3	0.620680	722	1.348634	3868
ABCA4	0.190106	4829	0.190106	11816
ABCA5	0.000000	14798	0.120275	12289
ABCA6	0.000000	14797	0.120275	12288
ABCA7	0.000000	14796	0.656717	8669
ABCA8	0.000000	14795	0.000000	17227
ABCA9	0.000000	14794	0.000000	17226
ABCB1	0.000000	14793	0.000000	17225
ABCB10	0.090793	6813	0.950954	6586
ABCB11	0.000000	14792	0.000000	17224
ABCB4	0.000000	14791	0.000000	17223
ABCB5	0.000000	14790	0.000000	17222
ABCB6	0.209498	4289	0.588190	9118
ABCB7	0.000000	14789	0.625478	8850
ABCB8	0.147659	5605	1.319626	4063
ABCB9	0.216959	4192	0.607069	9006
ABCC1	0.273427	3364	1.522523	2869
ABCC10	0.394065	1941	0.815412	7592
ABCC11	0.000000	14788	0.000000	17221
ABCC12	0.000000	14787	0.000000	17220
ABCC2	0.000000	14786	0.000000	17219
ABCC3	0.000000	14785	0.387331	10404
ABCC4	0.067893	7226	0.663353	8557
ABCC5	0.000000	14784	0.410166	10164
ABCC6	-	19006	-	19006
