gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.146736	5879	1.045788	6814
A1CF	0.000000	15774	0.000000	17239
A2M	0.035737	9601	0.729378	8964
A2ML1	0.000000	15773	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.472336	1538	1.167785	5860
A4GNT	0.000000	15772	0.000000	17237
AAAS	0.368254	2315	1.762224	1983
AACS	0.214027	4359	1.264691	5086
AADAC	0.000000	15771	0.000000	17236
AADACL2	0.000000	15770	0.000000	17235
AADACL3	0.000000	15769	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.077337	7909	0.289949	11106
AAED1	0.123980	6588	1.198041	5617
AAGAB	-0.026817	16089	1.521884	3266
AAK1	0.145620	5900	0.896202	7887
AAMDC	0.428475	1803	1.612271	2705
AAMP	0.224186	4183	1.932222	1350
AANAT	0.000000	15768	0.000000	17233
AAR2	0.367915	2319	1.263972	5091
AARD	0.000000	15767	0.000000	17232
AARS	0.031128	9782	1.643205	2523
AARS2	0.091944	7495	1.302761	4793
AARSD1	0.140377	6022	1.553211	3072
AASDH	0.027595	9975	0.750547	8851
AASDHPPT	0.305445	2991	1.476653	3558
AASS	0.054066	8824	0.812078	8469
AATF	0.092841	7466	1.561701	3017
AATK	0.111146	6937	0.128839	12088
ABAT	0.004817	10567	0.383949	10698
ABCA1	0.000000	15766	0.878288	8018
ABCA10	0.000000	15765	0.000000	17231
ABCA12	0.000000	15764	0.000000	17230
ABCA13	0.000000	15763	0.000000	17229
ABCA2	0.128839	6465	0.728726	8968
ABCA3	0.864557	449	1.592511	2805
ABCA4	0.532338	1239	0.532338	10023
ABCA5	0.050763	9045	0.802919	8530
ABCA6	0.315269	2859	0.718920	9028
ABCA7	0.000000	15762	0.540342	9991
ABCA8	0.048975	9136	0.640676	9456
ABCA9	0.088273	7595	0.112793	12198
ABCB1	0.139035	6050	0.721838	9002
ABCB10	0.258965	3619	1.119126	6255
ABCB11	0.000000	15761	0.000000	17228
ABCB4	0.048975	9135	0.050763	12810
ABCB5	0.000000	15760	0.000000	17227
ABCB6	0.165581	5382	0.544274	9961
ABCB7	0.000000	15759	0.947325	7523
ABCB8	0.255619	3672	1.320086	4679
ABCB9	0.268370	3470	0.712832	9075
ABCC1	0.351410	2483	1.608380	2726
ABCC10	0.095720	7378	0.671174	9288
ABCC11	0.000000	15758	0.000000	17226
ABCC12	0.000000	15757	0.000000	17225
ABCC2	0.000000	15756	0.000000	17224
ABCC3	0.157310	5606	0.969638	7376
ABCC4	0.273528	3400	1.164559	5884
ABCC5	0.095493	7388	0.873958	8043
ABCC6	-	19006	-	19006
ABCC8	0.000000	15755	0.000000	17223
ABCC9	0.000000	15754	0.000000	17222
ABCD1	0.197200	4739	1.078596	6570
ABCD2	0.000000	15753	0.000000	17221
ABCD3	-0.086009	16574	0.940857	7576
ABCD4	0.411419	1927	1.212982	5497
ABCE1	0.171538	5242	1.690602	2275
ABCF1	0.061591	8612	1.911525	1419
ABCF2	0.470433	1552	1.897675	1466
ABCF3	0.065416	8492	1.540193	3146
ABCG1	0.298370	3093	1.431291	3888
ABCG2	0.197200	4738	0.277511	11167
ABCG4	0.141332	6000	0.156977	11781
ABCG5	0.000000	15752	0.000000	17220
ABCG8	0.000000	15751	0.000000	17219
ABHD1	0.000000	15750	0.000000	17218
ABHD10	-0.084668	16568	1.118105	6271
ABHD11	0.133488	6193	1.046333	6812
ABHD12	0.000000	15749	1.442720	3805
ABHD12B	0.000000	15748	0.000000	17217
ABHD13	0.022788	10081	1.064968	6688
ABHD14A	0.096399	7359	1.075458	6603
ABHD14B	-0.102692	16662	1.654765	2438
ABHD15	0.000000	15747	0.336697	10869
ABHD16A	0.005615	10550	1.296317	4851
ABHD16B	-	19005	-	19005
ABHD17A	0.093707	7440	1.020306	7004
ABHD17B	0.077684	7901	0.956536	7462
ABHD17C	0.130991	6246	1.172384	5822
ABHD18	0.108450	7004	0.818853	8424
ABHD2	0.000601	10660	1.533167	3196
ABHD3	-0.208842	16976	0.741520	8908
ABHD4	0.233545	4032	1.324186	4645
ABHD5	0.049078	9086	1.182244	5744
ABHD6	0.000000	15746	0.611431	9601
ABHD8	0.064332	8518	0.837490	8290
ABI1	0.008153	10500	1.502427	3374
ABI2	0.168649	5302	1.374317	4293
ABI3	1.245860	143	1.442140	3810
ABI3BP	0.936891	365	1.613232	2697
ABL1	0.724929	672	1.090573	6475
ABL2	0.920963	378	1.589030	2824
ABLIM1	0.904065	396	1.037734	6871
ABLIM2	0.000000	15745	0.151210	11795
ABLIM3	0.518552	1311	1.510371	3325
ABO	0.050763	9044	0.050763	12809
ABR	0.269972	3448	1.275743	5018
ABRA	0.000000	15744	0.000000	17216
