gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.303471	1680	1.294472	4461
A1CF	0.000000	15511	0.000000	17239
A2M	0.056905	7157	0.672310	9143
A2ML1	0.000000	15510	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.085906	5905	0.750331	8630
A4GNT	0.000000	15509	0.000000	17237
AAAS	0.096750	5547	1.476490	3154
AACS	0.062716	6857	1.089242	6115
AADAC	0.116498	4886	0.116498	11842
AADACL2	0.000000	15508	0.000000	17236
AADACL3	0.000000	15507	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.028452	9177	0.589097	9613
AAED1	-0.030939	16031	1.054647	6385
AAGAB	0.145907	4064	1.694608	1965
AAK1	0.103370	5312	0.911137	7500
AAMDC	0.172164	3428	1.355960	3996
AAMP	0.045478	7749	1.724393	1824
AANAT	0.000000	15506	0.000000	17234
AAR2	0.003147	10039	1.123931	5828
AARD	0.042452	7848	0.056905	12338
AARS	0.207102	2767	1.819179	1483
AARS2	-0.127660	16829	1.083157	6159
AARSD1	0.000000	15505	1.368284	3893
AASDH	0.053605	7359	0.955123	7154
AASDHPPT	0.148441	4004	1.644085	2213
AASS	0.288012	1808	1.287750	4517
AATF	-0.050569	16267	1.418291	3556
AATK	0.000000	15504	0.000000	17233
ABAT	0.000000	15503	0.533387	9925
ABCA1	0.233072	2412	1.626471	2287
ABCA10	0.193116	2999	0.193116	11445
ABCA12	0.000000	15502	0.000000	17232
ABCA13	0.000000	15501	0.000000	17231
ABCA2	0.028452	9176	0.468317	10283
ABCA3	0.000000	15500	0.375497	10715
ABCA4	0.028452	9175	0.028452	13081
ABCA5	0.066388	6724	0.787754	8357
ABCA6	0.222712	2547	0.681887	9091
ABCA7	0.072067	6519	0.552661	9806
ABCA8	0.237569	2345	1.178365	5399
ABCA9	0.048771	7645	0.350646	10800
ABCB1	0.138284	4254	0.735957	8732
ABCB10	0.108745	5122	0.968906	7023
ABCB11	0.000000	15499	0.000000	17230
ABCB4	0.000000	15498	0.074610	12245
ABCB5	0.000000	15497	0.000000	17229
ABCB6	0.164120	3597	0.542813	9869
ABCB7	0.000000	15496	0.963128	7077
ABCB8	-0.020095	15856	1.151872	5627
ABCB9	0.107288	5153	0.570678	9716
ABCC1	0.165088	3571	1.422058	3527
ABCC10	0.070448	6582	0.705797	8932
ABCC11	0.000000	15495	0.000000	17228
ABCC12	0.000000	15494	0.000000	17227
ABCC2	0.000000	15493	0.000000	17226
ABCC3	0.112529	4999	0.924857	7411
ABCC4	1.045754	99	1.528304	2824
ABCC5	0.028452	9174	0.886472	7686
ABCC6	-	19006	-	19006
ABCC8	0.000000	15492	0.000000	17225
ABCC9	0.098763	5475	0.419440	10519
ABCD1	0.000000	15491	0.854700	7901
ABCD2	0.000000	15490	0.028452	13080
ABCD3	0.115280	4912	1.279920	4598
ABCD4	-0.066461	16422	1.008390	6738
ABCE1	0.077245	6295	1.596310	2456
ABCF1	0.008771	9839	1.759121	1706
ABCF2	0.179898	3262	1.607140	2397
ABCF3	-0.055178	16321	1.419600	3549
ABCG1	0.028452	9173	0.489432	10164
ABCG2	0.056905	7156	0.056905	12337
ABCG4	0.012808	9706	0.028452	13079
ABCG5	0.000000	15489	0.000000	17224
ABCG8	0.000000	15488	0.000000	17223
ABHD1	0.000000	15487	0.000000	17222
ABHD10	0.052778	7389	1.323455	4223
ABHD11	0.061778	6885	0.845048	7974
ABHD12	0.082606	6018	1.601492	2430
ABHD12B	0.000000	15486	0.000000	17221
ABHD13	0.109881	5084	1.137095	5737
ABHD14A	0.089895	5786	0.797218	8308
ABHD14B	-0.017205	15810	1.740252	1764
ABHD15	0.058689	6999	0.399253	10617
ABHD16A	0.000000	15485	1.245405	4837
ABHD16B	-	19005	-	19005
ABHD17A	0.026805	9227	0.953405	7173
ABHD17B	0.043147	7828	0.912713	7490
ABHD17C	0.282436	1863	1.323828	4218
ABHD18	0.014000	9668	0.834596	8042
ABHD2	0.000000	15484	1.357553	3974
ABHD3	-0.120141	16787	0.830222	8076
ABHD4	0.165307	3567	1.475614	3161
ABHD5	0.292088	1766	1.488967	3081
ABHD6	0.000000	15483	0.532932	9933
ABHD8	0.138549	4248	0.957687	7123
ABI1	-0.004188	15591	1.437543	3433
ABI2	0.150532	3946	1.515818	2913
ABI3	0.000000	15482	0.000000	17220
ABI3BP	0.028452	9172	0.564652	9750
ABL1	0.142392	4149	1.143904	5684
ABL2	0.451926	882	1.119992	5859
ABLIM1	0.140498	4205	0.702073	8949
ABLIM2	0.000000	15481	0.028452	13078
ABLIM3	0.249245	2194	1.283241	4569
ABO	0.000000	15480	0.000000	17219
ABR	0.128046	4545	1.116905	5879
ABRA	0.000000	15479	0.000000	17218
ABRACL	0.114343	4940	1.610882	2376
ABT1	-0.087218	16591	1.109648	5934
ABTB1	0.000000	15478	0.738619	8720
ABTB2	0.037416	8030	0.620977	9433
ACAA1	0.069464	6615	1.431331	3475
ACAA2	0.020078	9441	1.173056	5446
ACACA	0.210877	2719	1.354204	4007
ACACB	0.000000	15477	0.095166	12033
ACAD10	-0.105682	16699	0.883895	7702
ACAD11	0.347610	1405	1.013047	6708
ACAD8	-0.163006	16947	1.045746	6445
ACAD9	0.056905	7155	1.364517	3924
ACADL	0.000000	15476	0.000000	17217
ACADM	0.014655	9647	1.339554	4123
ACADS	0.028452	9171	0.754467	8595
ACADSB	0.000000	15475	0.907417	7524
ACADVL	-0.075855	16498	1.660436	2137
ACAN	0.523635	657	0.573934	9707
ACAP1	0.004396	9992	0.116498	11841
ACAP2	0.154736	3835	1.625428	2291
ACAP3	0.028452	9170	0.565408	9745
ACAT1	0.082561	6021	1.706738	1911
ACAT2	0.369735	1267	1.802885	1540
ACBD3	0.140519	4203	1.994461	969
ACBD4	0.039254	7963	0.748099	8647
ACBD5	0.041489	7882	0.533126	9929
ACBD6	0.337072	1454	1.316932	4273
ACBD7	0.110142	5072	0.347460	10827
ACCS	0.025203	9278	0.461570	10310
ACCSL	-	19004	-	19004
ACD	0.022688	9367	0.939505	7281
ACE	0.028452	9169	0.240061	11242
ACE2	0.000000	15474	0.000000	17216
ACER1	0.000000	15473	0.000000	17215
ACER2	-0.029643	16011	0.244078	11230
ACER3	-0.196343	17030	0.922251	7424
ACHE	0.000000	15472	0.051902	12484
ACIN1	0.171310	3457	1.711633	1888
ACKR1	0.000000	15471	0.000000	17214
ACKR2	0.000000	15470	0.095166	12032
ACKR3	0.000000	15469	0.550764	9822
ACKR4	0.338952	1443	0.443586	10389
ACLY	0.614197	456	1.908896	1205
ACMSD	0.000000	15468	0.000000	17213
ACO1	0.596528	490	2.120470	698
ACO2	0.000000	15467	1.560870	2628
ACOD1	0.000000	15466	0.000000	17212
ACOT1	0.028452	9168	0.074610	12244
ACOT11	0.044429	7781	0.082057	12091
ACOT12	0.028452	9167	0.028452	13077
ACOT13	0.267612	1993	1.490134	3076
ACOT2	0.134545	4356	1.029621	6584
ACOT4	-0.015570	15771	0.123618	11832
ACOT6	-	19003	-	19003
ACOT7	0.266632	2004	1.272958	4649
ACOT8	0.001181	10118	1.401951	3670
ACOT9	0.000000	15465	1.542171	2735
ACOX1	0.048290	7657	1.310868	4316
ACOX2	0.236253	2366	0.746973	8657
ACOX3	0.022738	9366	0.995195	6832
ACOXL	0.000000	15464	0.000000	17211
ACP1	0.145754	4067	1.916323	1183
ACP2	0.032583	8209	1.585447	2505
ACP5	0.048040	7666	0.144950	11714
ACP6	0.038623	7990	0.712110	8898
ACP7	-	19002	-	19002
ACPP	0.246534	2237	0.391805	10643
ACPT	-	19001	-	19001
ACR	0.000000	15463	0.000000	17210
ACRBP	0.080354	6182	0.148771	11696
ACRC	0.000000	15462	0.000000	17209
ACRV1	0.000000	15461	0.000000	17208
ACSBG1	0.000000	15460	0.000000	17207
ACSBG2	0.000000	15459	0.000000	17206
ACSF2	0.000000	15458	0.565408	9744
ACSF3	0.035286	8106	0.842965	7988
ACSL1	0.000000	15457	1.095314	6052
ACSL3	0.167998	3520	2.170028	617
ACSL4	0.160432	3677	1.629014	2274
ACSL5	0.056905	7154	0.365532	10748
ACSL6	0.028452	9166	0.028452	13076
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15456	0.000000	17205
ACSM2B	0.000000	15455	0.000000	17204
ACSM3	0.053605	7358	0.053605	12402
ACSM4	-	18999	-	18999
ACSM5	0.000000	15454	0.000000	17203
ACSM6	0.000000	15453	0.000000	17202
ACSS1	0.051625	7531	0.345682	10831
ACSS2	0.032289	8216	0.903427	7561
ACSS3	0.028452	9165	0.533126	9928
ACTA1	0.000000	15452	0.000000	17201
ACTA2	0.720636	319	2.094933	751
ACTB	0.487670	768	3.738109	3
ACTBL2	0.082057	6080	0.082057	12090
ACTC1	0.000000	15451	0.000000	17200
ACTG1	0.419566	1007	3.613683	5
ACTG2	1.517238	25	2.246803	499
ACTL10	0.027892	9194	0.144950	11713
ACTL6A	0.125327	4626	1.641343	2223
ACTL6B	0.028452	9164	0.028452	13075
ACTL7A	0.000000	15450	0.000000	17199
ACTL7B	0.000000	15449	0.000000	17198
ACTL8	0.000000	15448	0.000000	17197
ACTL9	0.000000	15447	0.000000	17196
ACTN1	0.354113	1353	2.326839	397
ACTN2	0.000000	15446	0.000000	17195
ACTN3	0.028452	9163	0.028452	13074
ACTN4	0.072585	6498	1.789518	1589
ACTR10	-0.108868	16711	1.592256	2480
ACTR1A	0.094118	5659	2.067838	800
ACTR1B	-0.098497	16658	1.192318	5283
ACTR2	0.235267	2379	1.703339	1928
ACTR3	0.336204	1461	2.420786	317
ACTR3B	0.012046	9734	0.773052	8463
ACTR3C	0.056905	7153	0.229915	11274
ACTR5	-0.217526	17065	0.579741	9674
ACTR6	0.012773	9709	1.060130	6345
ACTR8	0.193807	2984	1.305829	4362
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15445	0.000000	17194
ACTRT3	-	18997	-	18997
ACVR1	0.321507	1557	1.301092	4408
ACVR1B	-0.090448	16612	0.927282	7381
ACVR1C	0.000000	15444	0.000000	17193
ACVR2A	0.053605	7357	0.733956	8753
ACVR2B	-0.115786	16751	0.246241	11216
ACVRL1	0.091521	5722	0.476863	10232
ACY1	0.000000	15443	1.118583	5867
ACY3	0.000000	15442	0.000000	17192
