gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268490	5228	1.259491	5651
A1CF	0.000000	15957	0.000000	17239
A2M	0.000000	15956	0.088046	13546
A2ML1	0.016712	12114	0.016712	14366
A3GALT2	-	19008	-	19008
A4GALT	0.629618	1423	1.325067	5148
A4GNT	0.000000	15955	0.000000	17238
AAAS	0.537771	1970	1.931741	1591
AACS	0.500850	2241	1.551514	3472
AADAC	0.000000	15954	0.000000	17237
AADACL2	0.000000	15953	0.000000	17236
AADACL3	0.000000	15952	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.358184	3801	0.927796	8328
AAED1	0.269834	5212	1.488189	3914
AAGAB	0.018648	11817	1.567349	3364
AAK1	0.034439	11201	0.633762	10369
AAMDC	0.186992	6791	1.258582	5658
AAMP	0.301572	4654	2.023220	1301
AANAT	0.000000	15951	0.000000	17234
AAR2	0.309942	4514	1.431177	4325
AARD	0.037449	11134	0.051902	13958
AARS	0.203605	6430	1.815682	2054
AARS2	0.169981	7193	1.380798	4738
AARSD1	0.281883	5008	1.528688	3621
AASDH	0.016712	12113	0.884002	8666
AASDHPPT	0.031619	11384	1.399426	4597
AASS	-0.052987	16431	0.879092	8715
AATF	0.119208	8513	1.588069	3225
AATK	0.000000	15950	0.015108	14480
ABAT	0.170483	7177	0.860699	8874
ABCA1	0.101936	8965	1.289201	5422
ABCA10	0.000000	15949	0.000000	17233
ABCA12	0.332321	4176	0.332321	11963
ABCA13	0.098581	9076	0.098581	13324
ABCA2	0.106801	8834	0.885696	8649
ABCA3	0.967893	511	1.695847	2639
ABCA4	0.000000	15948	0.000000	17232
ABCA5	0.051902	10829	0.312903	12056
ABCA6	0.000000	15947	0.000000	17231
ABCA7	0.246870	5613	1.082429	7096
ABCA8	0.000000	15946	0.000000	17230
ABCA9	0.000000	15945	0.000000	17229
ABCB1	0.369814	3638	0.967487	8043
ABCB10	0.184838	6839	1.044999	7412
ABCB11	0.000000	15944	0.000000	17228
ABCB4	0.344124	4028	0.493117	11105
ABCB5	0.000000	15943	0.000000	17227
ABCB6	0.168850	7227	0.547543	10843
ABCB7	0.016712	12112	0.955231	8118
ABCB8	0.366739	3686	1.538706	3556
ABCB9	0.338489	4100	0.801880	9279
ABCC1	0.353474	3883	1.403356	4576
