gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.090546	6306	0.578274	9471
A1CF	0.000000	14861	0.000000	17239
A2M	0.000000	14860	0.000000	17238
A2ML1	0.000000	14859	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	0.518994	1185	1.214444	4820
A4GNT	0.000000	14858	0.000000	17236
AAAS	0.430061	1616	1.824031	1496
AACS	0.455289	1476	1.505953	2931
AADAC	0.000000	14857	0.000000	17235
AADACL2	0.000000	14856	0.000000	17234
AADACL3	0.000000	14855	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.000000	14854	0.503382	9965
AAED1	0.269834	3046	1.488189	3027
AAGAB	-0.230403	16674	1.318298	4095
AAK1	0.000000	14853	0.633762	9118
AAMDC	-0.056226	15693	1.005468	6387
AAMP	0.275525	2960	1.931254	1188
AANAT	0.000000	14852	0.000000	17232
AAR2	0.173298	4509	1.110302	5593
AARD	0.017851	8925	0.032303	13254
AARS	0.203605	3982	1.815682	1528
AARS2	0.069692	6997	1.280510	4376
AARSD1	0.086150	6609	1.498983	2966
AASDH	0.000000	14851	0.686256	8745
AASDHPPT	-0.020711	15162	1.145455	5316
AASS	-0.075284	15911	0.482853	10085
AATF	0.119208	5643	1.588069	2490
AATK	0.000000	14850	0.000000	17231
ABAT	0.000000	14849	0.358571	10771
ABCA1	0.000000	14848	0.518023	9883
ABCA10	0.000000	14847	0.000000	17230
ABCA12	0.235499	3502	0.235499	11472
ABCA13	0.000000	14846	0.000000	17229
ABCA2	0.000000	14845	0.358571	10770
ABCA3	0.470466	1396	1.198420	4932
ABCA4	0.000000	14844	0.000000	17228
ABCA5	0.000000	14843	0.297200	11100
ABCA6	0.000000	14842	0.000000	17227
ABCA7	0.206309	3936	1.041867	6128
ABCA8	0.000000	14841	0.000000	17226
ABCA9	0.000000	14840	0.000000	17225
ABCB1	0.000000	14839	0.458498	10242
ABCB10	0.184838	4287	1.044999	6102
ABCB11	0.000000	14838	0.000000	17224
ABCB4	0.000000	14837	0.074239	12738
ABCB5	0.000000	14836	0.000000	17223
ABCB6	0.133893	5327	0.388265	10620
ABCB7	0.000000	14835	0.794891	7954
ABCB8	0.259500	3182	1.431467	3378
ABCB9	0.156426	4859	0.619816	9213
ABCC1	0.168438	4619	1.193379	4958
ABCC10	0.129791	5395	0.794558	7959
ABCC11	0.000000	14834	0.000000	17222
ABCC12	0.000000	14833	0.000000	17221
ABCC2	0.000000	14832	0.000000	17220
ABCC3	0.265353	3100	1.077681	5840
ABCC4	0.344654	2281	1.223489	4752
ABCC5	0.000000	14831	0.975288	6622
ABCC6	-	19006	-	19006
ABCC8	0.000000	14830	0.000000	17219
ABCC9	0.000000	14829	0.000000	17218
ABCD1	0.000000	14828	0.887754	7294
ABCD2	0.000000	14827	0.000000	17217
ABCD3	-0.117838	16222	0.835865	7671
ABCD4	0.255928	3234	1.187934	4996
ABCE1	-0.213223	16624	1.305841	4183
ABCF1	-0.008291	14960	1.796818	1597
ABCF2	0.285909	2848	1.713151	1905
ABCF3	0.011676	9080	1.486454	3034
ABCG1	0.000000	14826	0.032303	13253
ABCG2	0.000000	14825	0.028787	13482
ABCG4	0.000000	14824	0.000000	17216
ABCG5	0.000000	14823	0.000000	17215
ABCG8	0.000000	14822	0.000000	17214
ABHD1	0.087484	6583	0.119787	12243
ABHD10	-0.184483	16530	1.086194	5766
ABHD11	0.714088	640	1.684048	2025
ABHD12	0.180895	4359	1.699781	1949
ABHD12B	0.000000	14821	0.000000	17213
ABHD13	-0.427726	17037	0.599488	9342
ABHD14A	0.006522	9194	0.791876	7980
ABHD14B	0.150839	4961	1.908296	1249
ABHD15	0.456574	1466	0.797137	7933
ABHD16A	0.000000	14820	1.188759	4991
ABHD16B	-	19005	-	19005
ABHD17A	0.091847	6271	1.007884	6363
ABHD17B	-0.040111	15500	0.760653	8212
ABHD17C	0.159033	4805	1.187466	4998
ABHD18	0.033113	8004	0.884982	7316
ABHD2	0.000000	14819	1.664860	2116
ABHD3	0.290291	2792	1.240653	4632
ABHD4	0.222034	3686	1.401150	3555
ABHD5	0.000000	14818	0.778862	8078
ABHD6	0.000000	14817	0.403196	10533
ABHD8	0.245244	3360	1.083756	5785
ABI1	-0.033202	15390	1.332808	3996
ABI2	0.092432	6257	1.441169	3319
ABI3	0.258784	3193	0.455064	10261
ABI3BP	0.000000	14816	0.116270	12297
ABL1	0.255775	3240	1.075841	5854
ABL2	0.086445	6602	0.747830	8309
ABLIM1	0.352800	2210	0.909770	7136
ABLIM2	0.171295	4555	0.439354	10353
ABLIM3	0.283338	2877	1.603718	2406
ABO	0.284168	2865	0.410015	10493
ABR	0.503675	1243	1.553341	2659
ABRA	0.000000	14815	0.000000	17212
ABRACL	0.544215	1078	2.040753	893
ABT1	0.252222	3283	1.449088	3266
ABTB1	0.000000	14814	1.038614	6149
ABTB2	0.516205	1195	1.277026	4404
ACAA1	0.198137	4075	1.655930	2156
ACAA2	0.221582	3693	1.174176	5088
ACACA	0.295249	2739	1.438576	3329
ACACB	0.000000	14813	0.230073	11498
ACAD10	0.004715	9240	0.994293	6479
ACAD11	0.000000	14812	0.344277	10848
ACAD8	-0.076206	15926	1.132546	5430
ACAD9	0.212447	3843	1.612585	2372
ACADL	0.038648	7832	0.059659	12901
ACADM	-0.013798	15035	0.796149	7942
ACADS	0.291420	2778	1.179055	5054
ACADSB	0.000000	14811	0.635396	9103
ACADVL	0.080555	6760	2.000332	1007
ACAN	0.037185	7880	0.087484	12633
ACAP1	0.000000	14810	0.053789	12981
ACAP2	0.000000	14809	0.994427	6477
ACAP3	0.062076	7168	0.701848	8639
ACAT1	0.028787	8698	1.200936	4916
ACAT2	0.474653	1375	1.895452	1286
ACBD3	-0.595873	17175	1.258068	4531
ACBD4	0.164820	4690	0.873666	7407
ACBD5	-0.076544	15931	0.408885	10494
ACBD6	0.214983	3796	1.267733	4464
ACBD7	0.297449	2715	0.534767	9762
ACCS	0.096807	6172	0.391504	10608
ACCSL	-	19004	-	19004
ACD	0.424675	1654	1.341492	3936
ACE	0.087484	6582	0.242032	11433
ACE2	0.000000	14808	0.000000	17211
ACER1	0.000000	14807	0.000000	17210
ACER2	0.002660	9301	0.088446	12447
ACER3	-0.026894	15270	1.091701	5725
