gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268490	3772	1.259491	4499
A1CF	0.000000	14842	0.000000	17239
A2M	0.000000	14841	0.088046	12817
A2ML1	0.000000	14840	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.629618	837	1.325067	4102
A4GNT	0.000000	14839	0.000000	17237
AAAS	0.534829	1217	1.928799	1311
AACS	0.500850	1426	1.551514	2785
AADAC	0.000000	14838	0.000000	17236
AADACL2	0.000000	14837	0.000000	17235
AADACL3	0.000000	14836	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.051902	8078	0.569851	9391
AAED1	0.203379	4685	1.421734	3520
AAGAB	-0.494800	17034	1.053901	5840
AAK1	0.000000	14835	0.450366	10171
AAMDC	0.186992	4942	1.258582	4506
AAMP	0.301572	3302	2.023220	1064
AANAT	0.000000	14834	0.000000	17233
AAR2	0.309942	3188	1.431177	3463
AARD	0.037449	8324	0.051902	13183
AARS	0.040721	8259	1.603266	2539
AARS2	0.169981	5235	1.380798	3775
AARSD1	0.093310	6656	1.483335	3154
AASDH	0.000000	14833	0.418794	10392
AASDHPPT	-0.020711	15118	1.055208	5833
AASS	-0.052987	15567	0.721526	8291
AATF	-0.039342	15427	1.429518	3478
AATK	0.000000	14832	0.000000	17232
ABAT	0.170483	5222	0.860699	7277
ABCA1	0.000000	14831	1.016364	6095
ABCA10	0.000000	14830	0.000000	17231
ABCA12	0.000000	14829	0.000000	17230
ABCA13	0.000000	14828	0.000000	17229
ABCA2	0.106801	6348	0.885696	7091
ABCA3	0.691592	681	1.419546	3532
ABCA4	0.000000	14827	0.000000	17228
ABCA5	0.051902	8077	0.279354	11261
ABCA6	0.000000	14826	0.000000	17227
ABCA7	0.246870	4064	1.082429	5636
ABCA8	0.000000	14825	0.000000	17226
ABCA9	0.000000	14824	0.000000	17225
ABCB1	0.327000	2990	0.924673	6814
ABCB10	-0.015172	15011	0.566852	9406
ABCB11	0.000000	14823	0.000000	17224
ABCB4	0.179684	5074	0.328676	10948
ABCB5	0.000000	14822	0.000000	17223
ABCB6	0.096028	6554	0.482631	9973
ABCB7	0.000000	14821	0.771223	7919
ABCB8	0.366739	2536	1.538706	2853
ABCB9	0.338489	2847	0.801880	7697
ABCC1	0.353474	2683	1.403356	3651
ABCC10	0.399310	2230	1.066852	5743
ABCC11	0.000000	14820	0.000000	17222
ABCC12	0.000000	14819	0.000000	17221
ABCC2	0.000000	14818	0.000000	17220
ABCC3	0.918155	309	1.730483	2023
ABCC4	0.325073	3005	1.095509	5561
ABCC5	0.064205	7451	0.842426	7411
ABCC6	-	19006	-	19006
ABCC8	0.000000	14817	0.000000	17219
ABCC9	0.000000	14816	0.000000	17218
ABCD1	0.279373	3610	1.232597	4672
ABCD2	0.000000	14815	0.000000	17217
ABCD3	-0.171766	16373	0.730856	8213
ABCD4	0.267405	3785	1.325067	4101
ABCE1	-0.516914	17061	1.002150	6212
ABCF1	0.085070	7086	1.775170	1836
ABCF2	0.313733	3134	1.740975	1981
ABCF3	0.019682	8696	1.494459	3072
ABCG1	0.000000	14814	0.378990	10629
ABCG2	0.051902	8076	0.051902	13182
ABCG4	0.350769	2713	0.366414	10689
ABCG5	0.000000	14813	0.000000	17216
ABCG8	0.000000	14812	0.000000	17215
ABHD1	0.220183	4437	0.279354	11260
ABHD10	-0.019806	15106	0.779488	7853
ABHD11	0.545355	1179	1.515315	2982
ABHD12	0.400402	2217	1.919288	1345
ABHD12B	0.150515	5581	0.150515	12074
ABHD13	-0.400440	16912	0.641740	8847
ABHD14A	0.299672	3330	1.416840	3551
ABHD14B	0.327104	2981	2.084561	916
ABHD15	0.438924	1849	0.779488	7852
ABHD16A	0.144056	5678	1.434758	3437
ABHD16B	-	19005	-	19005
ABHD17A	0.247322	4044	1.173922	5050
ABHD17B	0.056961	7608	0.844473	7403
ABHD17C	-0.011411	14959	0.627030	8971
ABHD18	0.085159	7082	0.734740	8166
ABHD2	0.000000	14811	1.444802	3377
ABHD3	0.020913	8667	0.971276	6470
ABHD4	0.433210	1892	1.773699	1847
ABHD5	0.000000	14810	0.603054	9128
ABHD6	0.014762	8804	0.569851	9390
ABHD8	0.492937	1485	1.317182	4152
ABI1	-0.120686	16109	0.967162	6516
ABI2	0.180306	5068	1.520216	2951
ABI3	0.132396	5937	0.328676	10947
ABI3BP	0.000000	14809	0.409815	10437
ABL1	0.166812	5276	1.146910	5229
ABL2	0.051902	8075	0.601514	9162
ABLIM1	0.202417	4725	0.507562	9796
ABLIM2	0.088046	7047	0.293597	11154
ABLIM3	0.051902	8074	1.032502	5979
ABO	0.275647	3670	0.401493	10468
ABR	0.654657	765	1.515800	2977
ABRA	0.000000	14808	0.000000	17214
ABRACL	0.477471	1592	1.974010	1176
ABT1	0.283124	3553	1.479991	3179
ABTB1	0.008874	8925	1.196730	4912
ABTB2	0.166256	5285	0.927077	6787
ACAA1	0.203007	4686	1.685023	2213
ACAA2	0.314544	3122	1.218974	4778
ACACA	0.105698	6378	1.249025	4564
ACACB	0.080925	7157	0.139947	12283
ACAD10	0.255945	3930	1.245522	4582
ACAD11	0.000000	14807	0.385371	10598
ACAD8	0.044845	8183	1.253597	4530
ACAD9	0.175379	5147	1.575517	2662
ACADL	0.000000	14806	0.000000	17213
ACADM	-0.013798	14990	0.783683	7819
ACADS	0.287515	3507	1.175150	5039
ACADSB	0.000000	14805	0.338575	10830
ACADVL	0.212421	4561	2.085943	908
ACAN	0.063766	7464	0.139947	12282
ACAP1	0.038413	8304	0.150515	12073
ACAP2	0.000000	14804	0.921465	6844
ACAP3	0.249706	4018	0.948165	6661
ACAT1	0.000000	14803	1.151233	5204
ACAT2	0.089144	6733	1.522294	2938
ACBD3	-0.600780	17138	1.253162	4540
ACBD4	0.272504	3717	0.981349	6377
ACBD5	-0.111856	16051	0.336049	10878
ACBD6	0.313064	3143	1.349723	3970
ACBD7	0.314594	3121	0.551912	9520
ACCS	0.284361	3542	0.703993	8418
ACCSL	-	19004	-	19004
ACD	0.443116	1817	1.359933	3898
ACE	0.000000	14802	0.139947	12281
ACE2	0.000000	14801	0.000000	17212
ACER1	0.000000	14800	0.000000	17211
ACER2	0.022259	8639	0.093760	12471
ACER3	-0.453251	16984	0.665343	8695
ACHE	0.031063	8467	0.422871	10358
ACIN1	0.254233	3946	1.714751	2093
ACKR1	0.000000	14799	0.000000	17210
ACKR2	0.058535	7576	0.291185	11174
ACKR3	0.000000	14798	0.000000	17209
ACKR4	0.000000	14797	0.000000	17208
ACLY	1.036146	205	2.330845	501
ACMSD	0.051902	8073	0.051902	13181
ACO1	0.087777	7051	1.611718	2510
ACO2	0.198212	4789	1.959608	1226
ACOD1	0.000000	14796	0.000000	17207
ACOT1	0.307232	3231	0.358869	10793
ACOT11	0.078019	7204	0.202417	11736
ACOT12	0.000000	14795	0.000000	17206
ACOT13	0.048792	8115	1.240933	4605
ACOT2	0.156403	5452	1.195693	4922
ACOT4	0.170359	5229	0.309547	11046
ACOT6	-	19003	-	19003
ACOT7	0.769043	513	1.908830	1367
ACOT8	0.256218	3926	1.656987	2329
ACOT9	0.000000	14794	1.464186	3267
ACOX1	-0.036865	15390	1.253162	4539
ACOX2	0.108849	6321	0.139947	12280
ACOX3	0.133086	5924	1.110632	5458
ACOXL	0.000000	14793	0.000000	17205
ACP1	-0.032124	15325	1.538244	2856
ACP2	0.245808	4074	1.798671	1753
ACP5	0.626135	844	0.723045	8271
ACP6	0.307691	3228	0.981179	6382
ACP7	-	19002	-	19002
ACPP	0.088046	7046	0.093760	12470
ACPT	-	19001	-	19001
