gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.368322	3801	1.143434	6785
A1CF	0.000000	15717	0.000000	17239
A2M	0.951864	686	2.002166	717
A2ML1	0.093678	9546	0.093678	14111
A3GALT2	-	19008	-	19008
A4GALT	0.074744	9969	0.770193	9980
A4GNT	0.000000	15716	0.000000	17238
AAAS	0.559652	2086	1.322933	5068
AACS	0.003410	12351	0.845762	9403
AADAC	0.000000	15715	0.000000	17237
AADACL2	0.000000	15714	0.000000	17236
AADACL3	0.000000	15713	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.461530	2837	1.031143	7840
AAED1	0.037969	11329	0.854958	9324
AAGAB	0.314875	4582	1.863576	1156
AAK1	0.523519	2329	1.418855	4134
AAMDC	0.206681	6646	1.016128	7970
AAMP	0.083884	9741	1.801662	1438
AANAT	0.068942	10583	0.068942	14495
AAR2	-0.025306	16012	0.928605	8748
AARD	0.000000	15712	0.000000	17234
AARS	0.110441	9007	1.722517	1844
AARS2	0.101316	9190	1.312134	5172
AARSD1	0.230248	6150	1.502218	3391
AASDH	0.422553	3200	1.502837	3380
AASDHPPT	0.202959	6737	1.719560	1861
AASS	0.324615	4425	1.246250	5798
AATF	-0.038690	16148	1.430170	4039
AATK	1.059815	521	1.077508	7428
ABAT	1.964475	39	1.964475	820
ABCA1	0.000000	15711	0.899751	8982
ABCA10	0.162620	7652	0.162620	13537
ABCA12	0.283755	5126	0.283755	12784
ABCA13	0.458881	2859	0.458881	11910
ABCA2	0.513955	2407	1.267429	5595
ABCA3	0.349631	4040	1.077585	7427
ABCA4	0.029968	11864	0.029968	14937
ABCA5	1.064611	512	2.097047	500
ABCA6	0.608122	1802	0.621882	10962
ABCA7	0.744443	1226	1.580002	2750
ABCA8	0.722191	1290	1.662987	2212
ABCA9	0.242851	5864	0.544726	11431
ABCB1	0.125635	8542	0.723308	10312
ABCB10	0.001868	12377	0.464766	11881
ABCB11	0.000000	15710	0.000000	17233
ABCB4	0.029968	11863	0.110138	13890
ABCB5	0.000000	15709	0.000000	17232
ABCB6	0.259086	5537	0.472636	11842
ABCB7	0.246993	5780	1.496430	3449
ABCB8	0.188180	7060	1.360147	4685
ABCB9	0.207812	6617	0.676866	10632
ABCC1	0.000000	15708	0.876448	9169
ABCC10	0.260788	5495	0.928331	8753
ABCC11	0.054784	10973	0.054784	14615
ABCC12	0.029968	11862	0.029968	14936
ABCC2	0.000000	15707	0.000000	17231
ABCC3	0.068942	10582	0.372289	12323
ABCC4	0.052536	11020	0.759600	10054
ABCC5	0.478467	2693	1.467267	3691
ABCC6	-	19006	-	19006
ABCC8	1.442243	172	1.442243	3918
ABCC9	0.173185	7396	0.536125	11480
ABCD1	0.000000	15706	0.723463	10311
ABCD2	0.801997	1044	0.963379	8435
ABCD3	0.304401	4757	1.299628	5281
ABCD4	0.225226	6241	1.320736	5088
ABCE1	0.106244	9097	1.625309	2458
ABCF1	0.083826	9743	1.933760	915
ABCF2	-0.039622	16167	1.209856	6127
ABCF3	0.169392	7489	1.644169	2335
ABCG1	0.253000	5646	1.385921	4435
ABCG2	0.606055	1810	0.721004	10332
ABCG4	0.053297	11006	0.068942	14494
ABCG5	0.000000	15705	0.000000	17230
ABCG8	0.000000	15704	0.000000	17229
ABHD1	0.015931	12145	0.075103	14165
ABHD10	0.549613	2156	1.820290	1350
ABHD11	0.162687	7631	0.970337	8367
