gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.651859	5647	1.642860	5789
A1CF	0.167317	14994	0.167317	15376
A2M	2.021830	296	3.072132	225
A2ML1	1.475671	942	1.475671	7554
A3GALT2	-	19008	-	19008
A4GALT	0.809429	3988	1.504878	7204
A4GNT	0.000000	17239	0.000000	17239
AAAS	0.591843	6495	1.985813	2818
AACS	0.429316	9580	1.479980	7507
AADAC	1.269746	1474	1.269746	9698
AADACL2	0.045323	16053	0.045323	16063
AADACL3	0.000000	17238	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.428647	9601	0.998259	11886
AAED1	0.369624	10991	1.462879	7683
AAGAB	0.166489	15006	1.715190	5078
AAK1	0.581785	6670	1.477121	7532
AAMDC	0.480847	8452	1.664642	5557
AAMP	0.351681	11431	2.156446	1932
AANAT	0.000000	17237	0.000000	17237
AAR2	0.361808	11206	1.413212	8214
AARD	0.466990	8758	0.481443	14375
AARS	0.408196	10102	2.020273	2615
AARS2	0.305916	12517	1.516733	7079
AARSD1	0.475807	8585	1.610259	6099
AASDH	0.400298	10279	1.480582	7505
AASDHPPT	0.570556	6849	1.748343	4750
AASS	0.698280	5104	1.760347	4649
AATF	0.139088	15291	1.607948	6129
AATK	0.725912	4822	0.725912	13440
ABAT	0.823474	3863	0.823474	12938
ABCA1	0.404006	10197	1.797406	4308
ABCA10	1.254790	1524	1.254790	9840
ABCA12	1.177436	1796	1.177436	10519
ABCA13	2.091913	248	2.091913	2257
ABCA2	0.436573	9387	1.134814	10868
ABCA3	2.558637	107	2.558637	782
ABCA4	0.217484	14388	0.217484	15267
ABCA5	0.535766	7418	1.568202	6545
ABCA6	1.366057	1211	1.825231	4044
ABCA7	0.356869	11313	1.192428	10400
ABCA8	1.155640	1889	1.993304	2781
ABCA9	0.961998	2905	1.263873	9745
ABCB1	0.802089	4050	1.117271	10994
ABCB10	0.358899	11270	1.219060	10157
ABCB11	0.029384	16167	0.029384	16171
ABCB4	0.218363	14369	0.367356	14715
ABCB5	0.110590	15640	0.110590	15743
ABCB6	0.573815	6799	0.952507	12141
ABCB7	0.170188	14954	1.419625	8158
ABCB8	0.461026	8882	1.463044	7682
ABCB9	0.368653	11011	0.808166	13013
ABCC1	0.500994	8050	1.757964	4677
ABCC10	0.497186	8111	1.051536	11497
ABCC11	0.000000	17236	0.000000	17236
ABCC12	0.000000	17235	0.000000	17235
ABCC2	0.507856	7923	0.507856	14294
