gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.485194	6021	1.476194	6316
A1CF	0.000000	17206	0.000000	17239
A2M	0.705801	3633	1.756103	3677
A2ML1	0.689685	3761	0.689685	12776
A3GALT2	-	19008	-	19008
A4GALT	0.753599	3299	1.418024	6944
A4GNT	0.000000	17205	0.000000	17238
AAAS	0.391518	7619	1.656284	4515
AACS	0.378404	7915	1.429068	6828
AADAC	0.000000	17204	0.000000	17237
AADACL2	0.000000	17203	0.000000	17236
AADACL3	0.000000	17202	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.459365	6420	1.028978	10634
AAED1	0.318504	9247	1.536859	5702
AAGAB	0.376175	7955	1.924876	2529
AAK1	0.750801	3320	1.441538	6696
AAMDC	0.237986	11275	1.421781	6888
AAMP	0.202811	12253	2.007577	2106
AANAT	0.064458	15031	0.064458	15297
AAR2	0.185683	12635	1.221111	8919
AARD	0.321430	9179	0.335883	14026
AARS	0.375514	7973	1.927576	2518
AARS2	0.111815	14207	1.322633	7893
AARSD1	0.171385	12944	1.584218	5208
AASDH	0.310298	9453	1.390582	7235
AASDHPPT	0.425995	6959	1.874830	2871
AASS	0.203694	12231	1.265761	8485
AATF	0.122250	13934	1.591110	5126
AATK	1.836704	286	1.836704	3095
ABAT	1.663230	451	1.756103	3676
ABCA1	0.259860	10653	1.653259	4546
ABCA10	0.170262	13056	0.170262	14660
ABCA12	0.120034	14105	0.120034	14872
ABCA13	0.681049	3852	0.681049	12821
ABCA2	1.580363	542	1.972434	2275
ABCA3	1.023248	1865	1.751202	3724
ABCA4	0.064458	15030	0.064458	15296
ABCA5	0.487786	5994	1.520221	5862
ABCA6	0.309569	9466	0.768743	12352
ABCA7	0.286830	10014	1.122389	9841
ABCA8	0.670715	3936	1.611511	4931
ABCA9	0.211343	12025	0.513218	13484
ABCB1	0.766315	3206	1.363988	7518
ABCB10	0.300062	9667	1.160223	9475
ABCB11	0.000000	17201	0.000000	17234
ABCB4	0.052787	15173	0.170262	14659
ABCB5	0.000000	17200	0.000000	17233
ABCB6	0.355161	8420	0.766413	12401
ABCB7	0.125339	13890	1.374777	7406
ABCB8	0.444697	6614	1.345374	7686
ABCB9	0.511404	5646	0.980458	11044
ABCC1	0.586289	4741	1.843259	3054
ABCC10	0.318799	9240	0.743510	12510
ABCC11	0.000000	17199	0.000000	17232
ABCC12	0.534026	5347	0.534026	13423
ABCC2	0.022729	15398	0.022729	15498
ABCC3	0.833387	2794	1.645715	4619
ABCC4	0.396148	7549	1.287179	8247
ABCC5	0.624513	4365	1.613313	4908
ABCC6	-	19006	-	19006
ABCC8	1.213252	1237	1.213252	9001
ABCC9	0.472528	6201	0.626340	13063
ABCD1	0.232335	11424	1.185559	9251
ABCD2	1.220455	1211	1.381837	7335
ABCD3	0.256471	10809	1.421110	6894
ABCD4	0.145251	13558	1.302114	8097
ABCE1	0.373989	8000	1.893053	2755
ABCF1	0.160942	13245	1.972214	2277
ABCF2	0.199608	12337	1.601191	5030
ABCF3	0.080075	14640	1.554852	5513
ABCG1	0.365665	8159	1.498586	6083
ABCG2	0.776031	3141	0.890980	11673
ABCG4	0.726295	3479	0.741939	12556
ABCG5	0.064458	15029	0.064458	15295
ABCG8	0.000000	17198	0.000000	17231
ABHD1	0.409176	7306	0.468347	13624
ABHD10	0.381762	7844	1.652440	4559
ABHD11	0.206657	12158	1.112427	9910
ABHD12	0.273786	10308	1.792672	3401
ABHD12B	0.444045	6662	0.444045	13706
ABHD13	0.279487	10175	1.306701	8046
ABHD14A	0.572693	4878	1.548881	5584
ABHD14B	0.281261	10139	2.038718	1946
ABHD15	0.238054	11272	0.578618	13242
ABHD16A	0.029105	15324	1.291591	8202
ABHD16B	-	19005	-	19005
ABHD17A	0.402014	7443	1.150767	9573
ABHD17B	0.458297	6430	1.458940	6520
ABHD17C	0.546525	5197	1.500443	6068
ABHD18	0.448389	6569	0.932495	11369
ABHD2	0.239478	11253	1.909823	2632
ABHD3	-0.016369	17217	0.933993	11365
ABHD4	0.289094	9950	1.629583	4754
ABHD5	0.300483	9654	1.497362	6093
ABHD6	0.687042	3797	1.378943	7372
ABHD8	0.671655	3926	1.581381	5238
ABI1	0.350763	8515	1.670802	4381
ABI2	0.882846	2511	1.967922	2300
ABI3	0.197283	12391	0.702431	12740
ABI3BP	1.488105	687	2.164445	1421
ABL1	0.430047	6886	1.431558	6802
ABL2	0.718472	3528	1.386538	7277
ABLIM1	1.188316	1295	1.749891	3735
ABLIM2	1.086817	1624	1.354876	7592
ABLIM3	0.485263	6019	1.520734	5851
ABO	0.553883	5102	0.553883	13351
ABR	1.153510	1408	2.123623	1576
ABRA	0.064458	15028	0.064458	15294
ABRACL	0.661285	4012	2.157823	1444
ABT1	0.236980	11306	1.433846	6787
ABTB1	0.315117	9339	1.502973	6041
ABTB2	0.242585	11182	0.574031	13281
ACAA1	0.257816	10711	1.739831	3816
ACAA2	0.461329	6393	1.728616	3912
ACACA	0.493205	5884	1.636532	4698
ACACB	0.775372	3145	1.095518	10102
ACAD10	0.219604	11742	1.209182	9017
ACAD11	0.309018	9479	0.924193	11435
ACAD8	0.259891	10649	1.468643	6401
ACAD9	0.175356	12861	1.505150	6012
ACADL	0.416641	7164	0.416641	13801
ACADM	0.659223	4022	1.664392	4441
ACADS	0.171463	12942	1.059098	10382
