gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.045812	11007	1.036813	7574
A1CF	0.000000	16268	0.000000	17239
A2M	0.016406	12787	0.363868	11747
A2ML1	0.263099	4183	0.263099	12289
A3GALT2	-	19008	-	19008
A4GALT	-0.141633	17065	0.522792	10980
A4GNT	0.000000	16267	0.000000	17238
AAAS	0.249662	4461	1.643632	2759
AACS	0.217773	5121	1.163767	6472
AADAC	0.000000	16266	0.000000	17237
AADACL2	0.000000	16265	0.000000	17236
AADACL3	0.000000	16264	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.323957	3253	0.732888	9792
AAED1	0.243595	4581	1.261181	5711
AAGAB	0.233645	4775	1.782346	1981
AAK1	0.083067	9356	0.759518	9614
AAMDC	0.035843	11439	1.219639	6033
AAMP	0.145536	7109	1.890939	1553
AANAT	0.054784	10530	0.054784	13754
AAR2	0.082601	9400	1.203836	6154
AARD	0.466745	1892	0.481198	11175
AARS	0.195025	5675	1.807101	1865
AARS2	-0.006562	16350	1.204255	6150
AARSD1	0.168234	6422	1.521842	3573
AASDH	0.036863	11418	1.080664	7220
AASDHPPT	0.214374	5212	1.730975	2242
AASS	-0.002590	16306	0.887816	8730
AATF	0.175655	6179	1.644515	2754
AATK	0.115532	8193	0.133225	13070
ABAT	0.267135	4102	0.636227	10356
ABCA1	0.059887	10270	1.372994	4769
ABCA10	0.029968	11854	0.029968	14318
ABCA12	1.140384	282	1.140384	6673
ABCA13	0.169123	6384	0.169123	12829
ABCA2	0.129130	7723	0.589453	10621
ABCA3	0.339677	3074	1.067631	7325
ABCA4	0.163319	6565	0.163319	12860
ABCA5	0.144403	7149	0.807963	9300
ABCA6	0.000000	16263	0.067132	13590
ABCA7	0.182579	5981	0.861747	8926
ABCA8	0.000000	16262	0.314003	11995
ABCA9	0.012475	13002	0.032812	14177
ABCB1	0.510451	1689	1.108124	6987
ABCB10	0.186903	5866	1.047064	7497
ABCB11	0.000000	16261	0.000000	17234
ABCB4	0.614926	1246	0.763918	9590
ABCB5	0.129130	7722	0.129130	13126
ABCB6	0.000000	16260	0.301713	12056
ABCB7	0.058718	10360	1.308155	5300
ABCB8	0.116987	8146	1.288954	5482
ABCB9	0.171333	6319	0.634723	10363
ABCC1	0.079622	9507	1.158586	6514
ABCC10	0.023880	12039	0.644480	10307
ABCC11	0.000000	16259	0.000000	17233
ABCC12	0.000000	16258	0.000000	17232
ABCC2	0.036863	11417	0.036863	14125
ABCC3	0.865003	582	1.677332	2554
ABCC4	0.062988	10150	0.954020	8259
ABCC5	0.000000	16257	0.776488	9486
ABCC6	-	19006	-	19006
ABCC8	0.000000	16256	0.000000	17231
ABCC9	0.000000	16255	0.029968	14317
ABCD1	0.046626	10950	0.921542	8470
ABCD2	0.000000	16254	0.152909	12937
ABCD3	0.119150	8064	1.238268	5881
ABCD4	0.111696	8316	1.062582	7362
ABCE1	0.169593	6368	1.688658	2485
ABCF1	0.086371	9214	1.781310	1989
ABCF2	0.237658	4692	1.664900	2639
ABCF3	-0.013792	16430	1.460986	4030
ABCG1	0.060305	10244	0.710403	9929
ABCG2	0.107450	8483	0.145536	12996
ABCG4	0.066981	9994	0.082625	13488
ABCG5	0.000000	16253	0.000000	17230
ABCG8	0.000000	16252	0.000000	17229
ABHD1	0.000000	16251	0.029968	14316
ABHD10	0.068411	9931	1.339088	5024
ABHD11	0.120074	8019	1.090035	7134
ABHD12	0.000000	16250	1.505640	3683
ABHD12B	0.016406	12786	0.016406	14743
ABHD13	0.100681	8698	1.127896	6790
ABHD14A	0.118103	8103	1.235270	5905
ABHD14B	-0.069878	16832	1.687579	2491
ABHD15	0.032622	11590	0.373186	11698
ABHD16A	0.000628	13266	1.291330	5457
ABHD16B	-	19005	-	19005
ABHD17A	0.072311	9778	0.890551	8716
ABHD17B	0.092268	9030	0.918194	8493
ABHD17C	0.161900	6607	1.203292	6159
ABHD18	0.133887	7485	0.791633	9393
ABHD2	0.009869	13072	1.487943	3819
ABHD3	-0.018161	16477	0.932202	8402
ABHD4	0.177151	6143	1.481652	3864
ABHD5	0.292354	3684	1.489233	3810
ABHD6	0.016406	12785	0.579826	10677
ABHD8	0.125393	7852	0.812726	9270
ABI1	0.068014	9946	1.536490	3465
ABI2	0.490575	1774	1.614322	2931
ABI3	0.130715	7602	0.326995	11936
ABI3BP	0.016406	12784	0.572900	10712
ABL1	0.305599	3503	1.141570	6657
ABL2	0.682335	1011	1.350402	4936
ABLIM1	0.861148	592	1.330775	5105
ABLIM2	0.103210	8613	0.103210	13301
ABLIM3	0.449779	2018	1.379171	4718
ABO	0.000000	16249	0.000000	17228
ABR	0.525926	1615	1.225705	5992
ABRA	0.000000	16248	0.000000	17227
ABRACL	0.270975	4041	1.739886	2196
ABT1	0.071237	9813	1.268103	5654
ABTB1	0.129130	7721	0.757363	9632
ABTB2	-0.042285	16681	0.684981	10071
ACAA1	0.080341	9476	1.489887	3802
ACAA2	0.344865	3011	1.322910	5166
ACACA	0.291276	3701	1.434603	4225
ACACB	0.016406	12783	0.046626	13929
ACAD10	-0.035570	16632	0.954007	8260
ACAD11	0.218636	5103	0.884073	8749
ACAD8	-0.101726	16971	1.107025	6996
ACAD9	0.082658	9389	1.349975	4940
ACADL	0.029968	11853	0.029968	14315
ACADM	0.115293	8202	1.489389	3808
ACADS	0.000000	16247	0.793516	9384
ACADSB	0.000000	16246	0.756472	9636
ACADVL	0.169166	6381	1.994154	1182
ACAN	0.032812	11583	0.081228	13494
ACAP1	0.000000	16245	0.000000	17226
ACAP2	0.027822	11910	1.446699	4138
ACAP3	0.071126	9830	0.669099	10166
ACAT1	0.036863	11416	1.676591	2560
ACAT2	0.771442	782	2.204592	706
ACBD3	0.001271	13253	1.855212	1673
ACBD4	-0.007675	16359	0.562462	10770
ACBD5	0.116491	8160	0.596162	10586
ACBD6	0.321695	3282	1.556465	3327
ACBD7	0.490462	1775	0.727780	9826
ACCS	-0.002395	16304	0.462512	11247
ACCSL	-	19004	-	19004
ACD	0.542585	1527	1.459402	4041
ACE	0.016406	12782	0.016406	14742
ACE2	0.000000	16244	0.000000	17225
ACER1	0.000000	16243	0.000000	17224
ACER2	0.142198	7229	0.383849	11649
ACER3	0.267478	4097	1.386072	4660
ACHE	0.016275	12791	0.408084	11524
ACIN1	0.099217	8747	1.682609	2517
ACKR1	0.085893	9248	0.085893	13420
ACKR2	0.043999	11052	0.276650	12206
ACKR3	0.845691	616	2.189788	741
ACKR4	0.000000	16242	0.000000	17223
ACLY	0.633495	1176	1.928194	1411
ACMSD	0.000000	16241	0.000000	17222
ACO1	0.123303	7913	1.647244	2736
ACO2	0.118091	8109	1.715339	2332
ACOD1	0.000000	16240	0.000000	17221
ACOT1	0.248442	4484	0.262355	12295
ACOT11	0.123026	7923	0.369005	11719
ACOT12	0.000000	16239	0.000000	17220
ACOT13	0.241998	4617	1.625653	2873
ACOT2	0.066681	10001	1.017219	7758
ACOT4	-0.065775	16815	0.073413	13543
ACOT6	-	19003	-	19003
ACOT7	1.440711	113	1.839666	1730
ACOT8	-0.091311	16936	1.309459	5287
ACOT9	0.227603	4913	1.776668	2013
ACOX1	0.095909	8871	1.465608	3991
ACOX2	0.553236	1473	0.584334	10646
ACOX3	0.090117	9103	0.903332	8624
ACOXL	0.000000	16238	0.000000	17219
ACP1	0.183143	5967	1.990475	1195
ACP2	0.024589	11996	1.561350	3298
ACP5	0.043445	11153	0.191355	12676
ACP6	0.286221	3780	0.814173	9257
ACP7	-	19002	-	19002
ACPP	0.032812	11582	0.046626	13928
ACPT	-	19001	-	19001
ACR	0.000000	16237	0.000000	17218
ACRBP	0.078676	9549	0.325258	11947
ACRC	0.000000	16236	0.000000	17217
ACRV1	0.000000	16235	0.000000	17216
ACSBG1	0.000000	16234	0.000000	17215
ACSBG2	0.036863	11415	0.036863	14124
ACSF2	0.058023	10384	0.840636	9060
ACSF3	0.000000	16233	0.841359	9055
ACSL1	0.029968	11852	1.019805	7735
ACSL3	0.352110	2915	2.273260	573
ACSL4	0.179398	6079	1.590850	3104
ACSL5	0.129130	7720	0.364234	11743
ACSL6	0.066219	10058	0.066219	13638
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16232	0.000000	17214
ACSM2B	0.000000	16231	0.000000	17213
ACSM3	0.012475	13001	0.032812	14176
ACSM4	-	18999	-	18999
ACSM5	0.046374	10985	0.046374	13969
ACSM6	0.016406	12781	0.016406	14741
ACSS1	0.050719	10638	0.484206	11162
ACSS2	0.461798	1927	1.302217	5359
ACSS3	0.376112	2667	0.783435	9454
ACTA1	0.059937	10264	0.059937	13657
ACTA2	0.687364	997	2.061661	996
ACTB	0.296601	3627	3.840879	5
ACTBL2	0.630911	1189	0.630911	10388
ACTC1	0.000000	16230	0.043445	14055
ACTG1	0.510738	1687	3.990163	4
ACTG2	0.479456	1824	1.209021	6114
ACTL10	0.137323	7382	0.254382	12342
ACTL6A	0.318211	3323	1.834227	1749
ACTL6B	0.054784	10529	0.054784	13753
ACTL7A	0.000000	16229	0.000000	17212
ACTL7B	0.000000	16228	0.000000	17211
ACTL8	0.000000	16227	0.000000	17210
ACTL9	0.000000	16226	0.000000	17209
ACTN1	0.467902	1884	2.623572	240
ACTN2	0.000000	16225	0.016406	14740
ACTN3	0.000000	16224	0.000000	17208
ACTN4	0.533062	1575	2.063826	993
ACTR10	0.371179	2718	1.784375	1970
ACTR1A	0.173674	6241	2.106048	912
ACTR1B	0.047560	10758	1.338375	5037
ACTR2	0.282733	3848	1.995381	1180
ACTR3	0.250756	4433	2.417685	404
ACTR3B	0.000000	16223	0.907577	8578
ACTR3C	0.145536	7108	0.166635	12842
ACTR5	0.086498	9210	0.883765	8755
ACTR6	0.160978	6640	1.208335	6122
ACTR8	0.079541	9512	1.340007	5015
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16222	0.000000	17207
ACTRT3	-	18997	-	18997
ACVR1	0.071464	9807	1.035496	7582
ACVR1B	-0.054313	16753	0.963417	8190
ACVR1C	0.046626	10949	0.046626	13927
ACVR2A	0.031093	11638	0.796880	9353
ACVR2B	0.125841	7837	0.493770	11115
ACVRL1	0.000000	16221	0.110813	13253
ACY1	0.606649	1277	1.723368	2278
ACY3	0.046626	10948	0.046626	13926
ACYP1	0.076592	9646	1.144966	6630
ACYP2	0.049309	10710	0.699131	9998
ADA	0.210832	5287	0.885349	8742
ADAD1	0.000000	16220	0.000000	17206
ADAD2	0.000000	16219	0.000000	17205
ADAL	-0.064671	16809	0.663262	10203
ADAM10	0.393486	2501	1.582632	3164
ADAM11	0.071190	9828	0.071190	13573
ADAM12	0.675949	1027	0.954444	8254
ADAM15	0.426305	2202	2.106142	911
ADAM17	0.204718	5436	1.448743	4119
ADAM18	0.000000	16218	0.000000	17204
ADAM19	0.649147	1120	1.611792	2946
ADAM2	0.000000	16217	0.000000	17203
ADAM20	0.000000	16216	0.000000	17202
ADAM21	0.000000	16215	0.000000	17201
ADAM22	0.336753	3102	0.784970	9436
ADAM23	0.578430	1372	1.025199	7690
ADAM28	0.000000	16214	0.059851	13676
ADAM29	0.012475	13000	0.012475	14823
ADAM30	0.000000	16213	0.000000	17200
ADAM32	0.000000	16212	0.000000	17199
ADAM33	0.000000	16211	0.046626	13925
ADAM7	0.000000	16210	0.000000	17198
ADAM8	0.378878	2635	0.552861	10820
ADAM9	0.606586	1278	2.289272	545
ADAMDEC1	0.000000	16209	0.000000	17197
ADAMTS1	0.068920	9912	1.873691	1606
ADAMTS10	0.310348	3439	1.008866	7823
ADAMTS12	1.059926	350	1.296714	5401
ADAMTS13	0.000000	16208	0.000000	17196
ADAMTS14	0.032812	11581	0.234204	12454
ADAMTS15	0.660711	1069	1.185190	6308
ADAMTS16	0.121917	7953	0.121917	13165
ADAMTS17	0.000000	16207	0.023961	14332
ADAMTS18	0.945901	461	0.945901	8319
ADAMTS19	0.082625	9398	0.082625	13487
ADAMTS2	0.004724	13188	0.283528	12162
ADAMTS20	0.000000	16206	0.000000	17195
ADAMTS3	0.092413	9023	0.369197	11718
ADAMTS4	0.046626	10947	0.229485	12471
ADAMTS5	0.029968	11851	0.511288	11040
ADAMTS6	0.420642	2261	0.590742	10614
ADAMTS7	0.417273	2300	1.007732	7832
ADAMTS8	0.000000	16205	0.000000	17194
ADAMTS9	0.006346	13162	0.370981	11711
ADAMTSL1	0.518488	1650	1.015415	7773
