gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.453488	4933	1.186743	8394
A1CF	0.000000	17086	0.000000	17239
A2M	1.278607	786	2.328909	902
A2ML1	2.027111	155	2.027111	1823
A3GALT2	-	19008	-	19008
A4GALT	0.498350	4308	1.193800	8352
A4GNT	0.000000	17085	0.000000	17238
AAAS	0.473522	4649	1.867492	2643
AACS	0.549186	3759	1.599850	4609
AADAC	0.519828	4053	0.519828	12564
AADACL2	0.698101	2632	0.698101	11729
AADACL3	0.919867	1635	0.919867	10432
AADACL4	-	19007	-	19007
AADAT	0.310651	7514	0.880263	10664
AAED1	0.115543	12846	1.333898	7072
AAGAB	0.122128	12696	1.670830	4024
AAK1	0.316892	7342	1.160769	8600
AAMDC	0.221617	9761	1.405413	6362
AAMP	0.265897	8586	2.011307	1882
AANAT	0.000000	17084	0.000000	17237
AAR2	0.438348	5139	1.559584	4979
AARD	0.156122	11710	0.170574	14088
AARS	0.289133	7988	1.901210	2427
AARS2	0.174215	11214	1.385032	6582
AARSD1	0.272401	8419	1.685234	3920
AASDH	0.100083	13261	1.130655	8853
AASDHPPT	0.123823	12667	1.626744	4401
AASS	0.280551	8209	1.342618	6985
AATF	0.149606	11936	1.618466	4456
AATK	0.000000	17083	0.012475	15584
ABAT	0.486167	4473	1.215331	8169
ABCA1	0.558897	3652	1.952297	2159
ABCA10	0.071882	13933	0.071882	14864
ABCA12	0.878130	1784	0.878130	10688
ABCA13	0.255273	8875	0.255273	13668
ABCA2	0.141073	12176	0.916364	10459
ABCA3	0.119001	12776	0.846955	10883
ABCA4	0.209939	10086	0.209939	13827
ABCA5	0.296148	7836	1.328583	7130
ABCA6	0.058500	14254	0.441831	12897
ABCA7	0.213720	9986	0.855939	10829
ABCA8	0.192743	10638	1.133539	8829
ABCA9	0.104889	13081	0.324667	13361
ABCB1	0.603724	3275	1.201397	8278
ABCB10	0.201324	10385	1.061485	9396
ABCB11	0.000000	17082	0.000000	17236
ABCB4	0.000000	17081	0.127636	14420
ABCB5	0.130334	12495	0.130334	14400
ABCB6	0.584663	3436	0.963355	10140
ABCB7	0.002201	15343	1.251638	7838
ABCB8	0.479861	4566	1.462397	5803
ABCB9	0.231956	9487	0.695346	11735
ABCC1	0.067310	14043	1.129075	8861
ABCC10	0.385410	5964	1.052953	9462
ABCC11	0.000000	17080	0.000000	17235
ABCC12	0.000000	17079	0.000000	17234
ABCC2	0.835846	1965	0.835846	10940
ABCC3	0.842103	1944	1.654431	4173
ABCC4	0.396711	5774	1.287743	7502
ABCC5	0.056045	14291	0.791387	11214
ABCC6	-	19006	-	19006
ABCC8	0.000000	17078	0.000000	17233
ABCC9	0.093349	13416	0.401209	13055
ABCD1	0.472148	4662	1.425371	6186
ABCD2	0.000000	17077	0.023961	15539
ABCD3	0.129421	12512	1.294061	7439
ABCD4	0.253660	8927	1.233158	8010
ABCE1	0.026876	15138	1.545941	5106
ABCF1	0.226160	9638	2.076094	1655
ABCF2	0.192897	10631	1.620139	4447
ABCF3	0.284222	8104	1.758999	3352
ABCG1	0.381778	6042	1.514699	5361
ABCG2	0.909537	1670	1.024486	9692
ABCG4	0.036257	15041	0.051902	15062
ABCG5	0.000000	17076	0.000000	17232
ABCG8	0.000000	17075	0.000000	17231
ABHD1	0.042583	14553	0.101755	14610
ABHD10	0.233838	9401	1.229057	8047
ABHD11	0.705396	2591	1.675357	3994
ABHD12	0.852646	1911	1.835157	2839
ABHD12B	0.037981	14832	0.037981	15336
ABHD13	0.136612	12292	1.178792	8450
ABHD14A	0.191389	10671	1.285288	7528
ABHD14B	0.148451	11956	1.905908	2401
ABHD15	0.205883	10265	0.546446	12445
ABHD16A	0.272428	8418	1.469838	5749
ABHD16B	-	19005	-	19005
ABHD17A	0.450677	4975	1.377276	6663
ABHD17B	0.237459	9311	1.076524	9290
ABHD17C	0.487781	4454	1.529174	5247
ABHD18	0.320980	7239	1.078785	9275
ABHD2	0.253223	8940	1.533717	5211
ABHD3	0.102307	13212	1.052669	9471
ABHD4	0.320049	7263	1.660538	4118
ABHD5	0.394742	5806	1.591621	4670
ABHD6	0.194323	10584	0.662193	11885
ABHD8	0.452834	4939	1.351764	6903
ABI1	0.284036	8108	1.662507	4094
ABI2	0.115841	12842	1.470820	5742
ABI3	0.260086	8734	0.622214	12080
ABI3BP	1.404250	586	2.080590	1631
ABL1	0.140202	12199	1.075818	9305
ABL2	0.613013	3184	1.281080	7578
ABLIM1	0.915548	1648	1.085647	9225
ABLIM2	0.381275	6048	0.649335	11954
ABLIM3	0.824985	2017	1.895434	2464
ABO	0.159919	11566	0.285765	13515
ABR	0.521592	4033	1.448772	5954
ABRA	0.000000	17074	0.000000	17230
ABRACL	0.330747	7039	1.827285	2889
ABT1	0.530706	3944	1.727572	3615
ABTB1	0.162177	11512	1.350033	6916
ABTB2	0.445465	5040	1.206286	8237
ACAA1	0.278365	8259	1.750472	3414
ACAA2	0.280829	8201	1.133539	8828
ACACA	0.229421	9558	1.269790	7683
ACACB	0.050148	14453	0.308714	13440
ACAD10	-0.012648	17115	0.976930	10037
ACAD11	0.316436	7354	0.981872	10004
ACAD8	-0.056307	17176	1.152445	8670
ACAD9	0.113971	12879	1.514109	5367
ACADL	0.188504	10750	0.209515	13886
ACADM	0.090006	13510	1.307857	7310
ACADS	0.141627	12155	0.908485	10496
ACADSB	0.300558	7726	0.922444	10414
ACADVL	0.466621	4736	2.149404	1411
ACAN	0.212424	10019	0.262723	13610
ACAP1	0.101015	13243	0.213117	13813
ACAP2	0.194271	10585	1.606166	4559
ACAP3	0.218867	9840	0.917326	10455
ACAT1	0.154176	11815	1.790088	3119
ACAT2	0.551182	3738	1.984332	2014
ACBD3	0.310988	7501	2.164929	1358
ACBD4	0.169676	11317	0.878522	10685
ACBD5	0.360588	6395	0.967569	10114
ACBD6	0.262452	8684	1.425371	6185
ACBD7	0.058859	14246	0.296177	13494
ACCS	0.124282	12657	0.589189	12250
ACCSL	-	19004	-	19004
ACD	0.591382	3377	1.508199	5412
ACE	0.648303	2941	1.094820	9148
ACE2	0.332438	7003	0.332438	13347
ACER1	0.000000	17073	0.000000	17229
ACER2	1.072806	1180	1.389343	6535
ACER3	0.756872	2316	1.875466	2593
ACHE	0.883292	1759	1.275101	7634
ACIN1	0.236912	9329	1.963835	2101
ACKR1	0.530200	3959	0.530200	12512
ACKR2	2.021768	162	2.021768	1851
ACKR3	1.022322	1294	2.318297	928
ACKR4	0.508912	4177	0.613547	12121
ACLY	0.572055	3555	1.866754	2646
ACMSD	0.000000	17072	0.000000	17228
ACO1	0.363252	6351	1.887194	2516
ACO2	0.158362	11651	1.765336	3306
ACOD1	0.236796	9334	0.236796	13717
ACOT1	0.078697	13684	0.130334	14399
ACOT11	0.356313	6480	0.602292	12192
ACOT12	0.000000	17071	0.000000	17227
ACOT13	0.227113	9618	1.536142	5187
ACOT2	0.393914	5819	1.262905	7745
ACOT4	0.343686	6745	0.482874	12739
ACOT6	-	19003	-	19003
ACOT7	0.801247	2107	1.632986	4351
ACOT8	0.230165	9529	1.630935	4368
ACOT9	0.206717	10241	1.724562	3628
ACOX1	0.663261	2843	1.921436	2313
ACOX2	0.219309	9829	0.733167	11539
ACOX3	0.828107	2005	1.415140	6282
ACOXL	1.186674	947	1.186674	8398
ACP1	0.285131	8076	2.066834	1683
ACP2	0.319468	7280	1.872331	2606
ACP5	1.211111	902	1.383462	6595
ACP6	0.126446	12594	0.618556	12104
ACP7	-	19002	-	19002
ACPP	1.079183	1164	1.308351	7306
ACPT	-	19001	-	19001
ACR	0.000000	17070	0.000000	17226
ACRBP	0.050185	14452	0.184691	14032
ACRC	0.000000	17069	0.000000	17225
ACRV1	0.000000	17068	0.000000	17224
ACSBG1	0.043180	14550	0.043180	15113
ACSBG2	0.000000	17067	0.000000	17223
ACSF2	0.948899	1530	1.575007	4844
ACSF3	0.012475	15289	0.857027	10826
ACSL1	1.614136	407	1.732035	3582
ACSL3	0.580588	3486	2.509389	588
ACSL4	0.948902	1529	1.852236	2737
ACSL5	0.154815	11794	0.984477	9984
ACSL6	0.103804	13178	0.103804	14600
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17066	0.000000	17222
ACSM2B	0.000000	17065	0.000000	17221
ACSM3	0.277791	8271	0.350248	13279
ACSM4	-	18999	-	18999
ACSM5	0.157990	11658	0.157990	14198
ACSM6	0.000000	17064	0.000000	17220
ACSS1	1.047177	1236	2.134974	1451
ACSS2	0.345116	6711	1.210160	8204
ACSS3	0.304599	7641	0.878649	10676
ACTA1	0.519828	4052	0.519828	12563
ACTA2	1.866274	221	3.240571	108
ACTB	0.587397	3408	3.968559	4
ACTBL2	0.444921	5044	0.444921	12877
ACTC1	0.723084	2498	0.830589	10983
ACTG1	0.565479	3598	4.044903	3
ACTG2	1.748820	297	2.478385	630
ACTL10	0.250761	9002	0.295446	13497
ACTL6A	0.280878	8199	1.796894	3082
ACTL6B	0.199597	10437	0.199597	13941
ACTL7A	0.000000	17063	0.000000	17219
ACTL7B	0.000000	17062	0.000000	17218
ACTL8	0.000000	17061	0.000000	17217
ACTL9	0.000000	17060	0.000000	17216
ACTN1	0.628509	3064	2.784179	310
ACTN2	0.274852	8352	0.325670	13356
ACTN3	0.000000	17059	0.000000	17215
ACTN4	0.855971	1891	2.386735	776
ACTR10	0.320280	7255	1.809012	3000
ACTR1A	0.215598	9929	2.232570	1138
ACTR1B	0.191465	10668	1.482280	5651
ACTR2	0.226484	9632	1.864921	2661
ACTR3	0.478894	4582	2.648462	426
ACTR3B	0.138409	12239	0.966142	10128
ACTR3C	0.871635	1822	1.218010	8140
ACTR5	0.214604	9965	1.011871	9774
ACTR6	0.228745	9579	1.276102	7624
ACTR8	0.164864	11434	1.425329	6187
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17058	0.000000	17214
ACTRT3	-	18997	-	18997
ACVR1	0.373196	6155	1.275387	7630
ACVR1B	-0.094716	17208	0.923014	10411
ACVR1C	0.051902	14417	0.052667	15010
ACVR2A	0.502310	4259	1.376290	6677
ACVR2B	0.785383	2179	1.186674	8397
ACVRL1	1.140350	1033	1.525693	5264
ACY1	0.709852	2566	1.380607	6636
ACY3	0.040191	14637	0.040191	15171
ACYP1	0.154815	11793	1.163569	8569
ACYP2	0.278437	8255	1.146426	8719
ADA	0.000000	17057	0.512754	12585
ADAD1	0.000000	17056	0.000000	17213
ADAD2	0.141627	12154	0.141627	14302
ADAL	0.059565	14236	0.787498	11235
ADAM10	0.667466	2818	1.822758	2917
ADAM11	0.206717	10240	0.206717	13921
ADAM12	3.112722	15	3.391217	65
