gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.200964	14027	1.134167	10729
A1CF	1.844601	408	1.844601	3167
A2M	1.304921	1279	2.136403	1458
A2ML1	0.000000	17221	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.340755	10764	1.005181	11783
A4GNT	1.290480	1318	1.290480	9131
AAAS	0.446754	8440	1.638988	5058
AACS	0.331700	10972	1.382364	8084
AADAC	2.029830	280	2.029830	1951
AADACL2	0.121729	15271	0.121729	15727
AADACL3	0.000000	17220	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.623790	5491	1.193403	10161
AAED1	0.175369	14612	1.384533	8060
AAGAB	0.263878	12761	1.812579	3408
AAK1	0.539948	6740	1.263636	9460
AAMDC	0.228964	13476	1.374364	8181
AAMP	0.164357	14762	1.960946	2338
AANAT	0.184691	14500	0.184691	15624
AAR2	0.350936	10509	1.472171	6985
AARD	0.452415	8233	0.466868	14416
AARS	0.293449	11883	1.905526	2699
AARS2	0.449479	8399	1.660296	4845
AARSD1	0.626115	5466	1.525869	6354
AASDH	0.184691	14499	1.227115	9792
AASDHPPT	0.395771	9538	1.775756	3731
AASS	0.386129	9741	1.448196	7281
AATF	0.236405	13341	1.705265	4377
AATK	1.091886	1955	1.109579	10967
ABAT	1.119586	1860	1.421439	7654
ABCA1	0.693727	4620	1.776845	3722
ABCA10	0.999565	2377	0.999565	11827
ABCA12	0.269513	12663	0.269513	15301
ABCA13	0.281033	12408	0.281033	15274
ABCA2	0.590808	5914	1.324077	8785
ABCA3	0.451786	8353	1.022016	11630
ABCA4	0.269266	12667	0.269266	15302
ABCA5	0.742081	4173	1.774517	3745
ABCA6	0.377987	9909	0.837161	12810
ABCA7	0.763013	3904	1.598572	5498
ABCA8	0.562293	6408	1.394282	7930
ABCA9	0.741094	4182	1.042969	11515
ABCB1	1.689815	576	2.287488	996
ABCB10	0.489699	7554	1.349860	8451
ABCB11	0.158362	14874	0.158362	15680
ABCB4	0.844003	3301	0.992995	11874
ABCB5	0.262451	12815	0.262451	15334
ABCB6	0.693925	4615	1.072617	11254
ABCB7	0.365249	10224	1.614686	5330
ABCB8	0.080046	15762	1.243664	9600
ABCB9	0.282465	12104	0.745855	13396
ABCC1	0.247041	13128	1.319938	8819
ABCC10	0.297188	11792	0.964731	12096
ABCC11	0.000000	17219	0.000000	17237
ABCC12	0.000000	17218	0.000000	17236
ABCC2	1.756484	484	1.756484	3909
ABCC3	1.487986	882	2.055226	1831
ABCC4	0.616387	5595	1.448626	7272
ABCC5	0.252746	13009	1.241546	9671
ABCC6	-	19006	-	19006
ABCC8	1.301898	1289	1.301898	9035
ABCC9	0.746639	4074	1.109579	10966
ABCD1	0.787297	3723	1.740521	4045
ABCD2	0.888611	2967	1.049993	11380
ABCD3	0.483886	7655	1.394627	7928
ABCD4	0.512725	7150	1.496653	6702
ABCE1	0.176242	14606	1.695307	4474
ABCF1	0.306384	11616	2.044226	1876
ABCF2	0.133472	15166	1.519282	6405
ABCF3	-0.015988	17229	1.458789	7155
ABCG1	0.487735	7599	1.620656	5241
ABCG2	2.000115	300	2.108091	1586
ABCG4	0.265389	12737	0.281033	15273
ABCG5	1.518909	831	1.518909	6417
ABCG8	2.061792	265	2.061792	1796
ABHD1	0.162901	14787	0.222073	15367
ABHD10	0.292922	11894	1.563600	5930
ABHD11	0.672287	4866	1.642247	5031
ABHD12	0.959995	2555	1.638689	5064
ABHD12B	0.282861	12096	0.282861	15043
ABHD13	0.382212	9819	1.424392	7613
ABHD14A	0.194979	14107	1.290480	9130
ABHD14B	0.459394	8111	2.216852	1193
ABHD15	0.525132	6981	0.865696	12726
ABHD16A	0.272898	12576	1.563600	5929
ABHD16B	-	19005	-	19005
ABHD17A	0.376577	9961	0.973590	11972
ABHD17B	0.404020	9369	1.404663	7836
ABHD17C	0.909608	2830	1.951001	2387
ABHD18	0.600224	5805	1.452093	7254
ABHD2	0.653100	5151	2.154667	1393
ABHD3	0.841258	3317	1.791620	3583
ABHD4	0.215330	13765	1.555820	5999
ABHD5	0.427300	8839	1.624179	5218
ABHD6	0.890210	2953	1.179552	10250
ABHD8	0.140179	15078	1.005609	11764
ABI1	0.292614	11902	1.745855	4017
ABI2	0.267468	12698	1.517987	6470
ABI3	1.093424	1947	1.598572	5497
ABI3BP	1.174514	1666	2.131073	1479
ABL1	0.358703	10368	1.360215	8352
ABL2	0.663471	5046	1.331538	8644
ABLIM1	1.043406	2159	1.604982	5441
ABLIM2	0.413300	9180	0.667453	13783
ABLIM3	0.281033	12407	1.398539	7884
ABO	1.713443	540	1.839289	3219
ABR	1.360215	1137	1.360215	8351
ABRA	0.190332	14229	0.190332	15446
ABRACL	0.484917	7639	1.981456	2224
ABT1	0.080550	15758	1.277416	9295
ABTB1	0.247511	13114	1.435367	7464
ABTB2	0.833351	3371	1.594171	5560
ACAA1	0.394433	9572	1.876449	2912
ACAA2	0.825882	3420	2.118661	1541
ACACA	0.715150	4420	1.677698	4638
ACACB	1.607562	682	1.607562	5400
ACAD10	0.265212	12739	1.254790	9516
ACAD11	0.961109	2544	1.626546	5171
ACAD8	0.188841	14243	1.397592	7896
ACAD9	0.142190	15062	1.542327	6143
ACADL	0.451786	8352	0.451786	14585
ACADM	0.562569	6366	1.936665	2473
ACADS	0.943918	2645	1.831553	3277
ACADSB	0.314831	11344	1.324077	8784
ACADVL	0.537210	6790	2.295545	973
ACAN	0.337118	10847	0.413300	14706
ACAP1	1.532337	804	1.644439	4986
ACAP2	0.493463	7485	1.920019	2600
ACAP3	0.678665	4807	1.377124	8168
ACAT1	0.383930	9785	2.056066	1829
ACAT2	0.961037	2546	2.394187	740
ACBD3	0.154710	14914	2.008651	2071
ACBD4	0.880993	3028	1.589838	5590
ACBD5	0.900172	2878	1.466719	7084
ACBD6	0.290525	11949	1.517987	6469
ACBD7	0.609637	5677	0.846955	12793
ACCS	0.988438	2418	1.408070	7818
ACCSL	-	19004	-	19004
ACD	0.431322	8748	1.072617	11253
ACE	2.410929	140	2.857447	224
ACE2	2.246917	181	2.246917	1093
ACER1	0.000000	17217	0.000000	17235
ACER2	0.443885	8495	0.760422	13217
ACER3	0.532490	6855	1.651084	4940
ACHE	1.182570	1643	1.574379	5788
