gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.568479	7998	1.368059	9310
A1CF	1.241546	2074	1.241546	10537
A2M	1.651913	928	2.702215	663
A2ML1	2.254669	327	2.254669	1710
A3GALT2	-	19008	-	19008
A4GALT	0.787361	5050	1.451786	8384
A4GNT	0.000000	17239	0.000000	17239
AAAS	0.539776	8521	1.705747	5521
AACS	0.712914	5851	1.763578	4941
AADAC	1.077368	2847	1.077368	11927
AADACL2	1.089552	2768	1.089552	11848
AADACL3	0.000000	17238	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.553801	8268	1.033826	12196
AAED1	0.492698	9452	1.711054	5450
AAGAB	0.274969	14201	1.823670	4392
AAK1	0.477208	9726	1.372544	9268
AAMDC	0.403518	11491	1.408749	8836
AAMP	0.387885	11844	2.192651	1944
AANAT	0.000000	17237	0.000000	17237
AAR2	0.348881	12768	1.470116	8174
AARD	1.025358	3160	1.039811	12154
AARS	0.307568	13593	1.882183	3883
AARS2	0.097747	15968	1.308564	9947
AARSD1	1.500152	1270	1.546789	7274
AASDH	0.228280	14885	1.308564	9946
AASDHPPT	0.525573	8796	1.797683	4600
AASS	0.455920	10175	1.517987	7651
AATF	0.281340	14097	1.750200	5064
AATK	0.608648	7330	0.626340	14296
ABAT	0.384552	11904	1.058426	12032
ABCA1	0.594786	7553	1.988185	3091
ABCA10	0.919601	3897	0.919601	12970
ABCA12	1.340444	1715	1.340444	9600
ABCA13	0.986324	3396	0.986324	12505
ABCA2	0.562936	8106	1.341830	9586
ABCA3	0.598791	7472	1.326745	9742
ABCA4	0.225309	14936	0.225309	15549
ABCA5	0.587805	7686	1.620240	6440
ABCA6	0.876083	4215	1.335257	9674
ABCA7	0.564288	8066	1.399847	8955
ABCA8	1.008008	3264	1.948804	3371
ABCA9	1.065295	2918	1.367169	9315
ABCB1	1.113290	2638	1.710963	5453
ABCB10	0.413303	11271	1.273464	10250
ABCB11	0.000000	17236	0.000000	17236
ABCB4	0.857045	4387	1.006038	12428
ABCB5	0.494155	9426	0.494155	14639
ABCB6	0.591654	7604	0.970347	12604
ABCB7	0.217430	15095	1.466868	8214
ABCB8	0.313826	13486	1.352488	9452
ABCB9	0.416279	11219	0.879669	13145
ABCC1	0.805330	4875	1.679155	5800
ABCC10	0.378402	12043	0.957128	12750
ABCC11	0.000000	17235	0.000000	17235
ABCC12	0.000000	17234	0.000000	17234
ABCC2	1.640084	955	1.640084	6214
ABCC3	1.264818	1984	1.739852	5165
ABCC4	1.045754	3037	1.528304	7495
ABCC5	0.643961	6765	1.632761	6297
ABCC6	-	19006	-	19006
ABCC8	0.957128	3622	0.957128	12749
ABCC9	1.095875	2725	1.326131	9752
ABCD1	0.319546	13380	1.272770	10299
ABCD2	0.657503	6579	0.818885	13462
ABCD3	0.316938	13432	1.320562	9806
ABCD4	0.405993	11440	1.308564	9945
ABCE1	0.399071	11594	1.918135	3600
ABCF1	0.669677	6423	2.352511	1359
ABCF2	0.248180	14653	1.607140	6588
ABCF3	0.280488	14116	1.755265	5022
ABCG1	0.410526	11331	1.543447	7322
ABCG2	1.584166	1071	1.692142	5663
ABCG4	0.127105	15890	0.127105	15943
ABCG5	0.000000	17233	0.000000	17233
ABCG8	0.000000	17232	0.000000	17232
ABHD1	1.026832	3146	1.086004	11873
ABHD10	0.294107	13850	1.564784	7064
ABHD11	0.624542	7090	1.594503	6741
ABHD12	0.626340	7069	1.749235	5071
ABHD12B	0.075962	16092	0.075962	16103
ABHD13	0.355239	12647	1.397419	8991
ABHD14A	0.396729	11650	1.485863	7999
ABHD14B	0.431499	10653	2.188957	1956
ABHD15	0.412253	11293	0.752816	13794
ABHD16A	0.352447	12692	1.516271	7664
ABHD16B	-	19005	-	19005
ABHD17A	0.303196	13700	1.170854	11155
ABHD17B	0.316121	13451	1.257918	10416
ABHD17C	0.597795	7492	1.639188	6223
ABHD18	0.718527	5799	1.220108	10752
ABHD2	0.374175	12158	1.911903	3652
ABHD3	0.647442	6712	1.597805	6715
ABHD4	0.179386	15461	1.519875	7630
ABHD5	0.970453	3517	2.167332	2059
ABHD6	0.269736	14307	0.822822	13450
ABHD8	0.233289	14835	1.143015	11418
ABI1	0.372158	12207	1.834294	4296
ABI2	0.324942	13234	1.746868	5111
ABI3	1.128623	2564	1.633771	6263
ABI3BP	1.838871	646	2.515211	954
ABL1	0.456673	10160	1.458184	8279
ABL2	0.797049	4950	1.465115	8222
ABLIM1	1.320703	1794	2.210426	1870
ABLIM2	1.579326	1090	1.579326	6922
ABLIM3	0.687446	6171	1.712650	5436
ABO	1.598900	1039	1.598900	6700
ABR	0.981874	3428	1.665299	5932
ABRA	2.142765	392	2.142765	2175
ABRACL	0.482964	9635	1.979503	3152
ABT1	0.189276	15384	1.386142	9080
ABTB1	0.363838	12433	1.551694	7221
ABTB2	0.613597	7230	1.135451	11463
ACAA1	0.505480	9168	1.690019	5676
ACAA2	0.663822	6482	1.803525	4556
ACACA	0.603852	7395	1.747179	5088
ACACB	1.444981	1402	1.444981	8434
ACAD10	0.270732	14287	1.260310	10397
ACAD11	0.602204	7421	1.267641	10341
ACAD8	0.439999	10480	1.648750	6129
ACAD9	0.346730	12804	1.746868	5110
ACADL	1.272770	1944	1.272770	10298
ACADM	0.785712	5068	2.159808	2095
ACADS	0.671673	6393	1.559308	7147
ACADSB	0.448154	10331	1.436957	8515
ACADVL	0.622968	7115	2.298719	1529
ACAN	0.811552	4814	0.861851	13278
ACAP1	1.527086	1198	1.639188	6222
ACAP2	0.520287	8887	1.894371	3790
ACAP3	0.403288	11503	1.101747	11690
ACAT1	0.785382	5071	2.457519	1081
ACAT2	0.851394	4441	2.284544	1599
ACBD3	0.297674	13788	2.151615	2133
ACBD4	0.616293	7201	1.183270	11060
ACBD5	0.485377	9575	1.135451	11462
ACBD6	0.361835	12490	1.517609	7653
ACBD7	0.990569	3372	1.227887	10699
ACCS	0.678505	6286	0.957128	12748
ACCSL	-	19004	-	19004
ACD	0.297176	13795	1.183555	11050
ACE	0.906821	3999	1.353339	9443
ACE2	0.477121	9753	0.477121	14705
ACER1	0.728354	5702	0.728354	13864
ACER2	1.438728	1415	1.755265	5021
ACER3	0.586622	7701	1.705216	5524
ACHE	1.732369	810	2.124178	2266
ACIN1	0.593477	7577	2.437053	1128
ACKR1	1.906389	569	1.906389	3687
ACKR2	0.801404	4910	0.801404	13538
ACKR3	1.050879	3003	2.394977	1248
ACKR4	1.474691	1329	1.579326	6921
ACLY	0.779090	5145	2.073789	2574
ACMSD	0.416641	11213	0.416641	15100
ACO1	0.596528	7519	2.120470	2281
ACO2	0.811511	4815	2.572906	856
ACOD1	1.089552	2767	1.089552	11847
ACOT1	0.320146	13360	0.344392	15283
ACOT11	1.050107	3008	1.141136	11430
ACOT12	0.181844	15446	0.181844	15697
ACOT13	0.786307	5057	1.788381	4709
ACOT2	0.633468	6900	1.453012	8362
ACOT4	0.312599	13513	0.451786	14771
ACOT6	-	19003	-	19003
ACOT7	1.717004	828	1.813926	4471
ACOT8	0.054435	16124	1.455205	8301
ACOT9	0.328520	13172	1.877586	3919
ACOX1	0.606459	7360	1.847264	4199
ACOX2	0.865722	4313	1.028571	12284
ACOX3	0.357911	12590	1.335458	9655
ACOXL	0.957128	3621	0.957128	12747
ACP1	0.389269	11804	2.006166	2975
ACP2	0.469029	9903	2.021892	2873
ACP5	1.251386	2038	1.423737	8684
ACP6	0.574199	7891	0.957128	12746
ACP7	-	19002	-	19002
ACPP	2.799513	147	3.028681	325
ACPT	-	19001	-	19001
ACR	0.086360	16061	0.086360	16077
ACRBP	0.253105	14582	0.499687	14623
ACRC	0.000000	17231	0.000000	17231
ACRV1	0.000000	17230	0.000000	17230
ACSBG1	0.164353	15634	0.164353	15795
ACSBG2	0.000000	17229	0.000000	17229
ACSF2	1.032857	3113	1.658965	6013
ACSF3	0.526339	8783	1.044932	12101
ACSL1	1.483400	1312	1.651859	6086
ACSL3	0.429673	10696	2.463086	1066
ACSL4	0.575089	7877	2.079090	2547
ACSL5	1.193681	2262	1.805501	4544
ACSL6	0.574031	7900	0.574031	14422
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17228	0.000000	17228
ACSM2B	0.000000	17227	0.000000	17227
ACSM3	0.918326	3911	0.990783	12484
ACSM4	-	18999	-	18999
ACSM5	0.320146	13359	0.320146	15334
ACSM6	0.222716	15024	0.222716	15600
ACSS1	0.650826	6661	1.738622	5178
ACSS2	0.596062	7530	1.436481	8523
ACSS3	1.150881	2448	1.724931	5310
ACTA1	4.520914	14	4.520914	14
ACTA2	2.164460	377	3.538757	91
ACTB	0.658011	6572	4.130959	24
ACTBL2	0.253253	14579	0.253253	15465
ACTC1	2.711736	165	2.819241	528
ACTG1	0.640762	6802	4.055945	28
ACTG2	3.255539	67	3.985104	35
ACTL10	0.460433	10084	0.577492	14411
ACTL6A	0.344392	12858	1.828338	4337
ACTL6B	0.041393	16244	0.041393	16245
ACTL7A	0.000000	17226	0.000000	17226
ACTL7B	0.000000	17225	0.000000	17225
ACTL8	0.947434	3679	0.947434	12800
ACTL9	0.000000	17224	0.000000	17224
ACTN1	0.638516	6834	2.703420	660
ACTN2	2.993311	112	3.222914	194
ACTN3	1.587149	1062	1.587149	6799
ACTN4	0.345923	12826	2.019825	2884
