gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.568479	6178	1.368059	8415
A1CF	0.000000	17239	0.000000	17239
A2M	1.288887	1510	2.214579	1632
A2ML1	2.254669	283	2.254669	1511
A3GALT2	-	19008	-	19008
A4GALT	0.563975	6236	1.228400	9841
A4GNT	0.000000	17238	0.000000	17238
AAAS	0.442890	8214	1.705747	4840
AACS	0.712914	4569	1.763578	4330
AADAC	1.077368	2301	1.077368	11144
AADACL2	1.089552	2236	1.089552	11043
AADACL3	0.000000	17237	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.401644	9081	0.907411	12285
AAED1	0.492698	7372	1.711054	4796
AAGAB	0.231976	13389	1.780677	4163
AAK1	0.245800	13085	1.141136	10610
AAMDC	0.300811	11624	1.391112	8172
AAMP	0.355197	10221	1.984077	2747
AANAT	0.000000	17236	0.000000	17236
AAR2	0.249177	13020	1.249932	9649
AARD	0.332611	10762	0.347064	14572
AARS	0.270106	12487	1.882183	3390
AARS2	0.083832	15713	1.294649	9190
AARSD1	1.500152	1018	1.546789	6507
AASDH	0.199611	14072	1.279895	9357
AASDHPPT	0.383872	9480	1.776629	4203
AASS	0.307520	11416	1.369587	8390
AATF	0.214360	13802	1.683220	5068
AATK	0.432969	8437	0.434569	14259
ABAT	0.384552	9464	1.058426	11269
ABCA1	0.594786	5809	1.988185	2722
ABCA10	0.919601	3085	0.919601	12216
ABCA12	1.340444	1382	1.340444	8729
ABCA13	0.986324	2703	0.986324	11781
ABCA2	0.361883	10034	1.140778	10611
ABCA3	0.598791	5750	1.326745	8876
ABCA4	0.225309	13544	0.225309	15017
ABCA5	0.587805	5911	1.620240	5734
ABCA6	0.660101	5088	1.119275	10784
ABCA7	0.564288	6230	1.399847	8080
ABCA8	0.794488	3901	1.700704	4895
ABCA9	0.818370	3737	1.120245	10782
ABCB1	0.337834	10632	0.935507	12088
ABCB10	0.300062	11642	1.160223	10424
ABCB11	0.000000	17235	0.000000	17235
ABCB4	0.857045	3473	1.006038	11667
ABCB5	0.086360	15708	0.086360	15767
ABCB6	0.350471	10325	0.729164	13179
ABCB7	0.230138	13415	1.479575	7215
ABCB8	0.313826	11265	1.352488	8603
ABCB9	0.416279	8768	0.879669	12421
ABCC1	0.410576	8880	1.667546	5227
ABCC10	0.378402	9594	0.956241	11955
ABCC11	0.000000	17234	0.000000	17234
ABCC12	0.000000	17233	0.000000	17233
ABCC2	0.234924	13319	0.234924	14952
ABCC3	0.927524	3032	1.739852	4533
ABCC4	0.773009	4075	1.328133	8855
ABCC5	0.243688	13128	1.232488	9802
ABCC6	-	19006	-	19006
ABCC8	0.484300	7526	0.484300	14094
ABCC9	1.095875	2209	1.326131	8891
ABCD1	0.221101	13651	1.174325	10289
ABCD2	0.657503	5118	0.818885	12753
ABCD3	0.232044	13386	1.320562	8925
ABCD4	0.297482	11698	1.302331	9133
ABCE1	0.460256	7914	1.979321	2768
ABCF1	0.210760	13868	2.006637	2610
ABCF2	0.248180	13036	1.600973	5948
ABCF3	0.280488	12190	1.755265	4404
ABCG1	0.271836	12430	1.390582	8183
ABCG2	0.595168	5804	0.710117	13251
ABCG4	0.127105	15389	0.127105	15600
ABCG5	0.000000	17232	0.000000	17232
ABCG8	0.000000	17231	0.000000	17231
ABHD1	1.026832	2520	1.086004	11068
ABHD10	0.294107	11765	1.564784	6308
ABHD11	0.552092	6428	1.522053	6785
ABHD12	0.230349	13412	1.749235	4460
ABHD12B	0.075962	15748	0.075962	15789
ABHD13	0.178531	14536	1.205746	10053
ABHD14A	0.396729	9198	1.485863	7169
ABHD14B	0.431499	8472	2.188957	1729
ABHD15	0.313586	11272	0.654150	13468
ABHD16A	0.225569	13493	1.516271	6841
ABHD16B	-	19005	-	19005
ABHD17A	0.303196	11571	1.170854	10305
ABHD17B	0.316121	11213	1.257918	9586
ABHD17C	0.753026	4222	1.794418	4035
ABHD18	0.718527	4532	1.220108	9925
ABHD2	0.324057	10976	1.791620	4061
ABHD3	0.310662	11350	1.261025	9542
ABHD4	0.174327	14590	1.478557	7223
ABHD5	0.970453	2791	2.167332	1808
ABHD6	0.269736	12502	0.776701	12980
ABHD8	0.137495	15202	1.047222	11352
ABI1	0.372158	9781	1.834294	3742
ABI2	0.324942	10951	1.672601	5161
ABI3	1.128623	2068	1.633771	5570
ABI3BP	1.838871	533	2.515211	838
ABL1	0.420644	8691	1.422155	7829
ABL2	0.797049	3880	1.465115	7356
ABLIM1	1.320703	1438	2.210426	1649
ABLIM2	1.579326	884	1.579326	6170
ABLIM3	0.687446	4804	1.662142	5279
ABO	1.065884	2355	1.191730	10152
ABR	0.981874	2731	1.393416	8146
ABRA	2.142765	333	2.142765	1918
ABRACL	0.410407	8887	1.906946	3222
ABT1	0.161449	14883	1.358316	8534
ABTB1	0.121775	15417	1.309630	9048
ABTB2	0.374630	9734	1.135451	10648
ACAA1	0.505480	7108	1.686595	5027
ACAA2	0.451310	8069	1.650308	5392
ACACA	0.493205	7363	1.636532	5536
ACACB	1.444981	1131	1.444981	7586
ACAD10	0.270732	12462	1.260310	9557
ACAD11	0.534583	6662	1.097951	10970
ACAD8	0.167825	14673	1.376577	8326
ACAD9	0.311754	11326	1.571010	6238
ACADL	1.057083	2388	1.078094	11128
ACADM	0.785712	3975	2.159808	1840
ACADS	0.671673	4979	1.559308	6357
ACADSB	0.448154	8136	1.436957	7672
ACADVL	0.622968	5477	2.298719	1350
ACAN	1.771756	600	1.822055	3823
ACAP1	1.527086	965	1.639188	5513
ACAP2	0.520287	6885	1.737272	4560
ACAP3	0.403288	9047	1.101747	10932
ACAT1	0.785382	3978	2.457519	936
ACAT2	1.070860	2328	2.504010	854
ACBD3	0.297674	11694	2.151615	1873
ACBD4	0.474424	7675	1.183270	10215
ACBD5	0.454932	7999	1.135451	10647
ACBD6	0.361835	10037	1.517609	6826
ACBD7	0.990569	2680	1.227887	9857
ACCS	0.424397	8611	0.842609	12646
ACCSL	-	19004	-	19004
ACD	0.337005	10657	1.253822	9627
ACE	0.906821	3175	1.353339	8590
ACE2	0.376577	9672	0.376577	14451
ACER1	0.728354	4440	0.728354	13187
ACER2	0.430169	8501	0.746706	13092
ACER3	0.586622	5924	1.705216	4845
ACHE	1.732369	656	2.124178	2006
ACIN1	0.269237	12554	2.056333	2348
ACKR1	1.719165	671	1.719165	4721
ACKR2	0.687529	4803	0.724276	13212
ACKR3	0.628892	5414	1.972989	2810
ACKR4	1.474691	1073	1.579326	6169
ACLY	0.822987	3710	2.117686	2031
ACMSD	0.000000	17230	0.000000	17230
ACO1	0.327256	10897	1.851197	3611
ACO2	0.811511	3796	2.572906	745
ACOD1	0.000000	17229	0.000000	17229
