gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.568479	6028	1.368059	8275
A1CF	0.000000	17237	0.000000	17239
A2M	1.288887	1486	2.214579	1589
A2ML1	2.254669	281	2.254669	1467
A3GALT2	-	19008	-	19008
A4GALT	0.563975	6081	1.228400	9714
A4GNT	0.000000	17236	0.000000	17238
AAAS	0.442890	7996	1.705747	4726
AACS	0.712914	4453	1.763578	4232
AADAC	1.077368	2240	1.077368	11035
AADACL2	1.089552	2175	1.089552	10937
AADACL3	0.000000	17235	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.337799	10372	0.907411	12197
AAED1	0.492698	7177	1.711054	4686
AAGAB	0.152718	14965	1.701419	4770
AAK1	0.245800	12852	1.141136	10491
AAMDC	0.300811	11372	1.391112	8038
AAMP	0.355197	9981	1.984077	2684
AANAT	0.000000	17234	0.000000	17236
AAR2	0.249177	12781	1.249932	9515
AARD	0.332611	10504	0.347064	14546
AARS	0.270106	12241	1.882183	3320
AARS2	0.083832	15695	1.294649	9071
AARSD1	1.500152	1008	1.546789	6368
AASDH	0.136937	15130	1.217221	9830
AASDHPPT	0.383872	9246	1.686368	4908
AASS	0.307520	11157	1.369587	8251
AATF	0.214360	13601	1.683220	4944
AATK	0.432969	8208	0.434569	14233
ABAT	0.384552	9230	1.058426	11169
ABCA1	0.594786	5669	1.988185	2660
ABCA10	0.919601	3011	0.919601	12124
ABCA12	1.340444	1360	1.340444	8584
ABCA13	0.986324	2650	0.986324	11684
ABCA2	0.361883	9795	1.140778	10493
ABCA3	0.598791	5611	1.326745	8742
ABCA4	0.225309	13340	0.225309	14997
ABCA5	0.587805	5765	1.620240	5619
ABCA6	0.660101	4953	1.119275	10666
ABCA7	0.564288	6078	1.399847	7945
ABCA8	0.794488	3799	1.700704	4777
ABCA9	0.818370	3638	1.120245	10665
ABCB1	0.337834	10368	0.935507	11999
ABCB10	0.293916	11523	1.154077	10366
ABCB11	0.000000	17233	0.000000	17235
ABCB4	0.857045	3388	1.006038	11569
ABCB5	0.086360	15689	0.086360	15760
ABCB6	0.350471	10073	0.729164	13122
ABCB7	0.217430	13558	1.466868	7217
ABCB8	0.313826	11009	1.352488	8463
ABCB9	0.416279	8533	0.879669	12337
ABCC1	0.410576	8646	1.667546	5104
ABCC10	0.378402	9357	0.956241	11864
ABCC11	0.000000	17232	0.000000	17234
ABCC12	0.000000	17231	0.000000	17233
ABCC2	0.234924	13100	0.234924	14925
ABCC3	0.927524	2963	1.739852	4428
ABCC4	0.773009	3965	1.328133	8721
ABCC5	0.243688	12896	1.232488	9676
ABCC6	-	19006	-	19006
ABCC8	0.484300	7326	0.484300	14066
ABCC9	1.095875	2147	1.326131	8757
ABCD1	0.221101	13444	1.174325	10170
ABCD2	0.657503	4984	0.818885	12678
ABCD3	0.232044	13164	1.320562	8797
ABCD4	0.297482	11449	1.302331	9010
ABCE1	0.284191	11794	1.803255	3875
ABCF1	0.210760	13669	2.006637	2550
ABCF2	0.248180	12801	1.600973	5832
ABCF3	0.280488	11941	1.755265	4300
ABCG1	0.271836	12182	1.390582	8048
ABCG2	0.595168	5664	0.710117	13206
ABCG4	0.127105	15331	0.127105	15590
ABCG5	0.000000	17230	0.000000	17232
ABCG8	0.000000	17229	0.000000	17231
ABHD1	1.026832	2464	1.086004	10961
ABHD10	0.294107	11518	1.564784	6171
ABHD11	0.552092	6266	1.522053	6646
ABHD12	0.230349	13189	1.749235	4351
ABHD12B	0.075962	15732	0.075962	15783
ABHD13	0.178531	14386	1.205746	9940
ABHD14A	0.396729	8960	1.485863	7035
ABHD14B	0.431499	8241	2.188957	1684
ABHD15	0.313586	11016	0.654150	13425
ABHD16A	0.225569	13283	1.516271	6705
ABHD16B	-	19005	-	19005
ABHD17A	0.303196	11320	1.170854	10189
ABHD17B	0.316121	10959	1.257918	9456
ABHD17C	0.597795	5622	1.639188	5389
ABHD18	0.718527	4417	1.220108	9804
ABHD2	0.324057	10716	1.791620	3976
ABHD3	0.310662	11093	1.261025	9412
ABHD4	0.174327	14458	1.478557	7089
ABHD5	0.970453	2727	2.167332	1767
ABHD6	0.269736	12257	0.776701	12911
ABHD8	0.137495	15125	1.047222	11248
ABI1	0.372158	9550	1.834294	3657
ABI2	0.324942	10695	1.672601	5038
ABI3	1.128623	2013	1.633771	5447
ABI3BP	1.838871	529	2.515211	825
ABL1	0.420644	8452	1.422155	7691
ABL2	0.797049	3776	1.465115	7223
