gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	15407	0.971672	8178
A1CF	0.000000	15406	0.000000	17239
A2M	0.000000	15405	0.027185	12788
A2ML1	0.000000	15404	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.652748	17198	0.011678	13262
A4GNT	0.000000	15403	0.000000	17237
AAAS	0.173292	7078	1.567262	3594
AACS	-0.005715	15479	0.566015	10149
AADAC	0.000000	15402	0.000000	17236
AADACL2	0.000000	15401	0.000000	17235
AADACL3	0.000000	15400	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	15399	0.000000	17233
AAED1	-0.031681	15803	1.186674	6684
AAGAB	0.024583	9524	1.573284	3468
AAK1	0.629901	2447	1.112940	7344
AAMDC	0.332701	5263	0.603729	10061
AAMP	0.071414	8499	1.506911	4026
AANAT	0.000000	15398	0.000000	17232
AAR2	-0.025306	15724	1.029573	7649
AARD	0.000000	15397	0.000000	17231
AARS	-0.576679	17182	0.957240	8232
AARS2	0.142329	7464	1.353147	5293
AARSD1	0.983147	1238	1.180663	6715
AASDH	0.032656	9244	1.112940	7343
AASDHPPT	-0.002954	15448	1.490247	4089
AASS	0.030898	9322	0.530200	10984
AATF	0.204084	6720	1.672944	2820
AATK	0.005747	10239	0.023440	12993
ABAT	0.649923	2351	0.960464	8221
ABCA1	0.000000	15396	1.304491	5748
ABCA10	0.031607	9318	0.031607	12625
ABCA12	0.000000	15395	0.000000	17230
ABCA13	0.530200	3303	0.530200	10983
ABCA2	0.243320	6248	0.611421	10037
ABCA3	0.296532	5661	1.024486	8009
ABCA4	0.000000	15394	0.000000	17229
ABCA5	0.034537	9211	1.066972	7507
ABCA6	0.027133	9494	0.151464	11693
ABCA7	1.011169	1175	1.846728	1958
ABCA8	0.000000	15393	0.000000	17228
ABCA9	0.000000	15392	0.000000	17227
ABCB1	0.651770	2344	1.249443	6195
ABCB10	0.539962	2961	1.353147	5292
ABCB11	0.000000	15391	0.000000	17226
ABCB4	0.381207	4739	0.530200	10982
ABCB5	0.000000	15390	0.000000	17225
ABCB6	0.151507	7347	0.530200	10981
ABCB7	0.023440	9716	1.221933	6311
ABCB8	-0.150999	16669	0.944571	8277
ABCB9	0.066810	8584	0.530200	10980
ABCC1	0.033836	9231	1.263632	5913
ABCC10	0.291386	5719	0.847225	8974
ABCC11	0.000000	15389	0.000000	17224
ABCC12	0.000000	15388	0.000000	17223
ABCC2	0.000000	15387	0.000000	17222
ABCC3	0.050207	8875	0.762679	9701
ABCC4	0.809554	1661	1.024486	8008
ABCC5	0.153604	7319	1.142404	6897
ABCC6	-	19006	-	19006
ABCC8	0.023440	9715	0.023440	12992
ABCC9	0.000000	15386	0.000000	17221
ABCD1	0.399923	4551	1.353147	5291
ABCD2	1.036880	1123	1.198262	6391
ABCD3	0.163084	7203	0.912753	8793
ABCD4	0.265053	6012	1.397071	4918
ABCE1	-0.269575	16981	1.249490	5996
ABCF1	0.018628	9933	1.667453	2901
ABCF2	-0.016182	15584	1.221701	6314
ABCF3	-0.081074	16323	1.393704	4928
ABCG1	0.494540	3615	1.476372	4146
ABCG2	0.491238	3645	0.599214	10073
ABCG4	0.000000	15385	0.000000	17220
ABCG5	0.000000	15384	0.000000	17219
ABCG8	0.000000	15383	0.000000	17218
ABHD1	0.031389	9319	0.090561	11997
ABHD10	-0.021234	15662	1.249443	6194
ABHD11	0.216713	6567	1.186674	6683
ABHD12	0.000000	15382	1.119442	6988
ABHD12B	0.000000	15381	0.000000	17217
ABHD13	0.525082	3338	1.567262	3593
ABHD14A	0.105178	7975	1.112940	7342
ABHD14B	0.002348	10297	1.759805	2357
ABHD15	0.683922	2188	1.024486	8007
ABHD16A	0.329538	5292	1.620240	3212
ABHD16B	-	19005	-	19005
ABHD17A	0.276116	5879	0.925810	8352
ABHD17B	0.720640	2039	1.112940	7341
ABHD17C	0.418224	4352	0.762679	9700
ABHD18	0.498134	3581	1.318185	5442
ABHD2	0.570006	2759	2.110795	1044
ABHD3	0.771958	1779	1.722320	2561
ABHD4	0.479218	3763	1.534357	3814
ABHD5	0.858763	1529	2.055641	1193
ABHD6	0.332585	5264	1.024486	8006
ABHD8	0.276948	5867	1.186674	6682
ABI1	0.465613	3901	1.935762	1561
ABI2	0.007579	10203	1.114068	7013
ABI3	1.184161	882	1.689309	2769
ABI3BP	0.000000	15380	0.000000	17216
ABL1	0.027290	9433	0.277967	11354
ABL2	0.066939	8579	0.762679	9699
ABLIM1	0.896439	1439	1.555403	3632
ABLIM2	0.000000	15379	0.187775	11572
ABLIM3	0.159783	7242	1.480163	4131
ABO	0.898196	1435	1.024043	8011
ABR	0.448540	4068	1.498207	4060
ABRA	0.000000	15378	0.000000	17215
ABRACL	0.645685	2366	1.754716	2372
ABT1	0.181314	6982	1.378180	4998
ABTB1	1.293832	718	2.481688	449
ABTB2	0.087681	8236	0.848502	8969
ACAA1	0.305661	5570	1.702618	2678
ACAA2	0.695054	2144	1.149767	6851
ACACA	-0.059095	16114	0.912753	8792
ACACB	0.143219	7449	0.463365	11057
ACAD10	0.034908	9207	1.024486	8005
ACAD11	0.218446	6544	0.530200	10979
ACAD8	0.045131	8980	1.253883	5972
ACAD9	0.256208	6103	1.262541	5921
ACADL	0.000000	15377	0.000000	17214
ACADM	0.009643	10172	1.256509	5959
ACADS	0.041025	9091	0.912753	8791
ACADSB	0.020954	9812	1.024486	8004
ACADVL	0.413843	4388	1.594614	3388
ACAN	0.000000	15376	0.000000	17213
ACAP1	1.731970	290	1.844072	1962
ACAP2	0.798960	1705	2.076667	1138
ACAP3	0.430047	4245	1.024486	8003
ACAT1	0.000000	15375	1.304491	5747
ACAT2	0.391448	4623	1.112940	7340
ACBD3	-0.159780	16708	1.694161	2698
ACBD4	0.184706	6945	0.893551	8838
ACBD5	0.399866	4554	0.792971	9110
ACBD6	-0.039279	15899	1.112940	7339
ACBD7	-0.237318	16915	0.000000	17212
ACCS	0.719102	2045	0.912753	8790
ACCSL	-	19004	-	19004
ACD	0.214815	6583	1.131632	6939
ACE	0.000000	15374	0.156914	11672
ACE2	0.000000	15373	0.000000	17211
ACER1	0.000000	15372	0.000000	17210
ACER2	0.108834	7929	0.425371	11115
ACER3	0.525943	3329	1.644537	3032
ACHE	0.370870	4863	0.762679	9698
ACIN1	0.271266	5947	2.114842	1036
ACKR1	0.883216	1475	0.883216	8869
ACKR2	0.581673	2702	0.581673	10112
ACKR3	0.031607	9317	0.050259	12354
ACKR4	0.000000	15371	0.000000	17209
ACLY	0.010104	10166	1.353147	5290
ACMSD	0.000000	15370	0.000000	17208
ACO1	-0.411001	17116	1.112940	7338
ACO2	0.023440	9714	1.594614	3387
ACOD1	0.000000	15369	0.000000	17207
ACOT1	0.000000	15368	0.000000	17206
ACOT11	0.103682	7988	0.254001	11403
ACOT12	0.000000	15367	0.000000	17205
ACOT13	0.204495	6715	1.024486	8002
ACOT2	0.000000	15366	0.912753	8789
ACOT4	0.124151	7713	0.263339	11378
ACOT6	-	19003	-	19003
ACOT7	0.237187	6316	0.912753	8788
ACOT8	-0.021466	15666	1.379304	4991
ACOT9	0.298815	5645	1.847881	1951
ACOX1	0.470473	3851	1.912247	1668
ACOX2	0.050879	8864	0.081977	12060
ACOX3	0.080379	8353	0.775285	9168
ACOXL	0.024487	9625	0.024487	12903
ACP1	0.857271	1534	1.978448	1427
ACP2	0.026826	9495	1.304491	5746
ACP5	1.224719	828	1.397071	4917
ACP6	0.028201	9424	0.594889	10088
ACP7	-	19002	-	19002
ACPP	1.124080	975	1.304491	5745
ACPT	-	19001	-	19001
ACR	0.000000	15365	0.000000	17204
ACRBP	0.507727	3458	0.754309	9718
ACRC	0.000000	15364	0.000000	17203
ACRV1	0.000000	15363	0.000000	17202
ACSBG1	0.011678	10145	0.011678	13261
ACSBG2	0.000000	15362	0.000000	17201
ACSF2	0.130141	7623	0.912753	8787
ACSF3	0.439398	4155	1.304491	5744
ACSL1	1.269896	760	2.052610	1215
ACSL3	0.221262	6520	1.667453	2900
ACSL4	0.310908	5503	1.758220	2362
ACSL5	0.912753	1401	1.545461	3663
ACSL6	0.967103	1270	0.967103	8194
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15361	0.000000	17200
ACSM2B	0.000000	15360	0.000000	17199
ACSM3	0.468985	3867	0.541442	10208
ACSM4	-	18999	-	18999
ACSM5	0.000000	15359	0.000000	17198
ACSM6	0.000000	15358	0.000000	17197
ACSS1	0.684268	2185	1.353147	5289
ACSS2	0.346255	5136	1.186674	6681
ACSS3	0.459217	3952	0.459217	11064
ACTA1	0.000000	15357	0.000000	17196
ACTA2	0.041436	9076	1.089294	7417
ACTB	1.146216	939	3.942805	5
ACTBL2	0.000000	15356	0.000000	17195
ACTC1	0.000000	15355	0.000000	17194
ACTG1	0.500333	3555	3.259183	62
