gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.586288	5314	1.046495	10208
A1CF	0.000000	16916	0.000000	17239
A2M	0.916215	2533	1.966517	1985
A2ML1	1.322012	1177	1.322012	7654
A3GALT2	-	19008	-	19008
A4GALT	-0.116651	17112	0.547775	13203
A4GNT	0.000000	16915	0.000000	17238
AAAS	0.657359	4441	1.260598	8245
AACS	0.503985	6398	1.437751	6485
AADAC	0.029384	15295	0.029384	15868
AADACL2	0.000000	16914	0.000000	17237
AADACL3	0.127105	13953	0.127105	15403
AADACL4	-	19007	-	19007
AADAT	0.547775	5849	1.056905	10115
AAED1	0.229318	11670	0.926857	11083
AAGAB	0.224207	11883	1.772908	3302
AAK1	1.185340	1496	2.003485	1818
AAMDC	0.203238	12200	1.387034	6999
AAMP	0.127105	13952	1.914176	2290
AANAT	0.000000	16913	0.000000	17236
AAR2	0.147719	12972	1.085647	9901
AARD	0.486607	6701	0.501059	13402
AARS	0.520088	6207	2.014926	1744
AARS2	0.280825	10682	1.491642	5917
AARSD1	0.327229	9630	1.666518	4204
AASDH	0.595031	5190	1.675315	4104
AASDHPPT	1.102112	1732	2.169410	1148
AASS	0.364500	8933	1.426567	6603
AATF	0.000066	15501	1.468927	6160
AATK	1.884455	365	1.884455	2477
ABAT	1.830973	424	1.830973	2843
ABCA1	0.098242	14290	1.491642	5916
ABCA10	0.372912	8790	0.372912	13954
ABCA12	0.127105	13951	0.127105	15402
ABCA13	0.091386	14392	0.091386	15465
ABCA2	1.484506	861	2.016741	1736
ABCA3	1.260426	1312	1.988381	1881
ABCA4	0.225309	11867	0.225309	14652
ABCA5	0.727713	3777	1.760149	3411
ABCA6	0.292852	10475	0.752026	12227
ABCA7	0.663789	4379	0.991949	10600
ABCA8	0.962419	2317	1.903215	2361
ABCA9	0.475585	6892	0.535294	13219
ABCB1	1.157246	1569	1.754919	3462
ABCB10	0.168455	12685	0.641474	12787
ABCB11	0.000000	16912	0.000000	17235
ABCB4	0.177618	12583	0.326611	14023
ABCB5	0.029384	15294	0.029384	15867
ABCB6	0.324948	9680	0.755875	12207
ABCB7	0.161900	12790	1.411337	6757
ABCB8	0.382814	8596	1.473216	6102
ABCB9	1.053326	1919	1.157759	9262
ABCC1	0.060279	14701	1.017033	10459
ABCC10	0.456309	7188	1.123852	9561
ABCC11	0.000000	16911	0.000000	17234
ABCC12	0.758912	3527	0.758912	12155
ABCC2	0.127105	13950	0.127105	15401
ABCC3	0.225309	11866	0.448706	13628
ABCC4	0.414478	7984	0.804802	11915
ABCC5	0.842295	2930	1.831095	2841
ABCC6	-	19006	-	19006
ABCC8	1.347135	1130	1.347135	7398
ABCC9	0.605725	5056	0.776511	12078
ABCD1	0.389166	8488	0.895975	11313
ABCD2	1.421476	980	1.582858	5002
ABCD3	0.295823	10418	1.460463	6237
ABCD4	0.298194	10384	1.340204	7458
ABCE1	0.376303	8703	1.895367	2402
ABCF1	0.432406	7670	2.282340	834
ABCF2	0.665386	4333	1.575072	5084
ABCF3	0.264558	10944	1.739335	3576
ABCG1	0.363732	8948	1.496653	5862
ABCG2	0.967118	2302	1.082067	9920
ABCG4	0.974694	2271	0.990339	10617
ABCG5	0.000000	16910	0.000000	17233
ABCG8	0.000000	16909	0.000000	17232
ABHD1	0.306316	10152	0.365488	13963
ABHD10	0.470473	6979	1.741151	3565
ABHD11	0.293912	10455	1.263873	8212
ABHD12	0.490097	6645	2.008983	1788
ABHD12B	0.518514	6227	0.518514	13288
ABHD13	0.230126	11657	1.272306	8127
ABHD14A	0.768196	3450	1.747023	3527
ABHD14B	-0.340742	17215	1.416716	6700
ABHD15	0.056905	14802	0.389166	13880
ABHD16A	0.161116	12802	1.398114	6884
ABHD16B	-	19005	-	19005
ABHD17A	0.430615	7701	1.344589	7412
ABHD17B	0.560008	5651	1.556061	5244
ABHD17C	0.802293	3224	1.146748	9372
ABHD18	0.646349	4564	1.034628	10287
ABHD2	0.553087	5749	2.040444	1641
ABHD3	0.228902	11672	1.179264	9065
ABHD4	0.055118	14816	1.140822	9410
ABHD5	0.289693	10542	1.486572	5962
ABHD6	0.833015	2982	1.524915	5608
ABHD8	0.819601	3085	1.729327	3662
ABI1	0.611708	4993	1.908270	2330
ABI2	1.272878	1284	2.357954	647
ABI3	0.449181	7302	0.954329	10869
ABI3BP	0.525330	6148	1.201670	8824
ABL1	0.318697	9910	0.898176	11261
ABL2	0.581767	5370	1.210853	8738
ABLIM1	1.166129	1546	1.727704	3675
ABLIM2	1.383218	1055	1.651278	4352
ABLIM3	0.340225	9389	1.552911	5275
ABO	0.654606	4482	0.654606	12715
ABR	1.199481	1465	2.177161	1115
ABRA	0.629410	4814	0.629410	12862
ABRACL	0.410713	8055	1.626751	4598
ABT1	0.012811	15457	1.209678	8742
ABTB1	0.831870	2997	1.637690	4485
ABTB2	0.561238	5635	1.179264	9064
ACAA1	0.229910	11662	1.544068	5382
ACAA2	0.378518	8667	1.280806	8027
ACACA	0.567378	5566	1.288920	7968
ACACB	0.574170	5476	0.894316	11324
ACAD10	0.046652	14915	1.036230	10259
ACAD11	0.322438	9720	0.727541	12378
ACAD8	0.435096	7616	1.643847	4429
ACAD9	0.225309	11865	1.439491	6446
ACADL	0.450438	7280	0.471449	13495
ACADM	0.734140	3713	1.773071	3298
ACADS	0.064542	14666	0.939519	10983
ACADSB	0.603258	5087	1.612503	4729
ACADVL	0.186976	12454	2.061792	1537
ACAN	0.547775	5848	0.589950	13031
ACAP1	0.021437	15333	0.133539	15168
ACAP2	0.461199	7115	1.700319	3884
ACAP3	0.673347	4259	1.209247	8769
ACAT1	0.235528	11576	1.843452	2742
ACAT2	0.462518	7095	1.682145	4032
ACBD3	0.112871	14097	1.966813	1980
ACBD4	0.648042	4547	1.060320	10108
ACBD5	0.838719	2954	1.377656	7079
ACBD6	0.256931	11061	1.408070	6798
ACBD7	1.939206	313	2.176524	1117
ACCS	0.179547	12561	0.589950	13030
ACCSL	-	19004	-	19004
ACD	0.981269	2243	1.019532	10413
ACE	0.182892	12525	0.629410	12861
ACE2	0.000000	16908	0.000000	17231
ACER1	0.000000	16907	0.000000	17230
ACER2	0.955769	2343	1.272306	8126
ACER3	0.359106	9038	1.477700	6048
ACHE	1.115278	1688	1.491642	5915
ACIN1	0.453190	7242	2.097723	1401
ACKR1	1.484015	862	1.484015	5988
ACKR2	0.431991	7675	0.664642	12696
ACKR3	0.403936	8163	1.748033	3517
ACKR4	0.000000	16906	0.079181	15516
ACLY	0.067398	14644	1.410440	6775
ACMSD	0.000000	16905	0.000000	17229
ACO1	-0.033851	16993	1.490090	5924
ACO2	0.532938	6020	2.294334	801
ACOD1	0.000000	16904	0.000000	17228
ACOT1	0.133054	13597	0.184691	14712
ACOT11	0.799391	3247	0.890421	11368
ACOT12	0.225309	11864	0.225309	14651
ACOT13	0.245976	11228	1.670366	4158
ACOT2	0.674861	4243	1.246499	8422
ACOT4	0.588353	5285	0.727541	12377
ACOT6	-	19003	-	19003
ACOT7	0.962260	2319	1.886209	2466
ACOT8	0.387399	8520	1.788168	3183
ACOT9	0.127105	13949	1.369587	7163
ACOX1	0.366488	8892	1.506640	5772
ACOX2	0.096006	14311	0.567574	13113
ACOX3	0.226535	11715	1.056905	10114
ACOXL	0.000000	16903	0.000000	17227
ACP1	0.195309	12322	2.002641	1822
ACP2	0.163297	12772	1.716003	3756
ACP5	0.127105	13948	0.127105	15400
ACP6	0.207020	12132	0.721327	12390
ACP7	-	19002	-	19002
ACPP	0.187506	12444	0.302087	14246
ACPT	-	19001	-	19001
ACR	0.000000	16902	0.000000	17226
ACRBP	0.092360	14365	0.338941	13992
ACRC	0.305351	10255	0.305351	14241
ACRV1	0.000000	16901	0.000000	17225
ACSBG1	1.774524	478	1.774524	3287
ACSBG2	0.000000	16900	0.000000	17224
ACSF2	0.010124	15465	0.658011	12711
ACSF3	0.157199	12856	0.922725	11098
ACSL1	0.990339	2204	1.218798	8677
ACSL3	0.726177	3813	2.406681	551
ACSL4	0.873947	2756	2.110825	1353
ACSL5	0.368590	8857	1.246499	8421
ACSL6	1.630123	637	1.630123	4568
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16899	0.000000	17223
ACSM2B	0.000000	16898	0.000000	17222
ACSM3	0.054648	14820	0.127105	15399
ACSM4	-	18999	-	18999
ACSM5	0.274158	10785	0.274158	14275
ACSM6	0.000000	16897	0.000000	17221
ACSS1	0.571120	5509	1.658916	4273
ACSS2	0.413404	8001	1.253822	8338
ACSS3	0.572868	5491	1.146918	9333
ACTA1	1.530328	788	1.530328	5536
ACTA2	0.128813	13635	1.503109	5783
ACTB	0.370517	8822	3.466555	17
ACTBL2	0.225309	11863	0.225309	14650
ACTC1	0.128024	13641	0.235528	14529
ACTG1	0.433100	7651	3.288533	30
ACTG2	0.133539	13591	0.807535	11902
ACTL10	0.331648	9561	0.448706	13627
ACTL6A	0.367482	8881	1.345497	7405
ACTL6B	1.797198	456	1.797198	3111
ACTL7A	0.000000	16896	0.000000	17220
ACTL7B	0.000000	16895	0.000000	17219
ACTL8	0.000000	16894	0.000000	17218
ACTL9	0.000000	16893	0.000000	17217
ACTN1	0.293544	10463	2.009523	1786
ACTN2	1.521213	805	1.750817	3496
ACTN3	0.235528	11575	0.235528	14528
ACTN4	0.000000	16892	1.705489	3842
ACTR10	0.786752	3330	2.089517	1435
ACTR1A	0.267975	10886	2.287466	823
ACTR1B	0.524696	6157	1.815511	2963
ACTR2	0.939637	2420	2.021398	1714
ACTR3	0.865288	2803	1.929572	2204
ACTR3B	1.086203	1816	2.014353	1749
ACTR3C	0.481443	6804	0.598791	12939
ACTR5	0.141759	13067	0.939026	10985
ACTR6	0.660452	4415	1.707809	3820
ACTR8	0.490660	6635	1.484015	5987
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16891	0.000000	17216
ACTRT3	-	18997	-	18997
ACVR1	0.219934	11963	1.228144	8582
ACVR1B	0.493753	6591	1.511482	5726
ACVR1C	0.727541	3801	0.727541	12376
ACVR2A	0.762276	3488	1.387942	6982
ACVR2B	0.514109	6275	0.915400	11187
ACVRL1	0.235528	11574	0.589950	13029
ACY1	0.225309	11862	0.811349	11816
ACY3	0.968016	2299	0.968016	10805
ACYP1	0.596988	5171	1.665362	4212
ACYP2	1.094150	1775	2.120432	1318
ADA	0.256297	11074	0.773055	12094
ADAD1	0.000000	16890	0.000000	17215
ADAD2	0.133539	13590	0.133539	15167
ADAL	0.522813	6183	1.250746	8360
ADAM10	0.382134	8610	1.434791	6511
ADAM11	1.289589	1248	1.289589	7954
ADAM12	0.408750	8081	0.674861	12619
ADAM15	-0.204601	17167	1.475235	6077
ADAM17	0.539865	5945	1.335859	7496
ADAM18	0.000000	16889	0.000000	17214
ADAM19	0.255513	11085	1.111934	9656
ADAM2	0.000000	16888	0.000000	17213
ADAM20	0.017693	15416	0.017693	15927
ADAM21	0.000000	16887	0.000000	17212
ADAM22	1.602549	681	2.050766	1592
ADAM23	1.200190	1459	1.555336	5250
ADAM28	0.709289	3936	0.859288	11517
ADAM29	0.016406	15438	0.016406	15941
ADAM30	0.000000	16886	0.000000	17211
ADAM32	0.056905	14801	0.056905	15599
ADAM33	0.066146	14657	0.464467	13506
ADAM7	0.000000	16885	0.000000	17210
ADAM8	0.000000	16884	0.133539	15166
ADAM9	0.194153	12340	1.653695	4338
ADAMDEC1	0.000000	16883	0.000000	17209
ADAMTS1	0.305351	10254	2.102125	1383
ADAMTS10	0.388198	8507	1.086716	9878
ADAMTS12	0.126453	13957	0.235528	14527
ADAMTS13	0.000000	16882	0.000000	17208
ADAMTS14	0.304960	10257	0.421604	13715
ADAMTS15	0.795459	3272	1.319938	7688
ADAMTS16	0.501059	6483	0.501059	13401
ADAMTS17	0.805645	3193	0.915400	11186
ADAMTS18	0.664642	4371	0.664642	12695
ADAMTS19	0.504899	6390	0.504899	13312
ADAMTS2	0.235528	11573	0.501059	13400
ADAMTS20	0.895975	2639	0.895975	11312
ADAMTS3	0.476947	6876	0.629410	12860
ADAMTS4	0.893583	2648	1.494989	5870
ADAMTS5	0.508080	6346	1.228144	8581
ADAMTS6	0.252322	11130	0.495033	13415
ADAMTS7	0.093898	14345	0.501059	13399
ADAMTS8	0.332544	9543	0.332544	14012
ADAMTS9	0.963425	2312	1.416141	6709
ADAMTSL1	0.305351	10253	0.674861	12618
ADAMTSL2	0.796151	3266	0.831870	11732
ADAMTSL3	0.600092	5134	0.629410	12859
ADAMTSL4	0.000000	16881	0.235528	14526
ADAMTSL5	0.035374	15046	0.240549	14323
ADAP1	1.172911	1530	1.821186	2919
ADAP2	0.444045	7457	0.629410	12858
ADAR	0.562810	5620	1.973128	1939
ADARB1	0.200672	12245	1.168497	9168
ADARB2	1.432809	961	1.432809	6539
ADAT1	0.314638	10012	1.277838	8080
ADAT2	0.120133	14021	0.996160	10585
ADAT3	0.123852	13995	1.733518	3630
ADCK1	0.558266	5677	1.135451	9460
ADCK2	0.359603	9031	1.402605	6833
ADCK5	0.808211	3170	1.218798	8676
ADCY1	1.626360	645	1.706803	3832
ADCY10	0.000000	16880	0.000000	17207
ADCY2	1.600758	685	1.655138	4316
ADCY3	0.366786	8887	1.343409	7418
ADCY4	0.272713	10810	0.674861	12617
ADCY5	1.216152	1423	1.244772	8446
ADCY6	0.129100	13631	0.939519	10982
ADCY7	0.137656	13117	0.389166	13879
ADCY8	1.060320	1900	1.060320	10107
ADCY9	0.239569	11316	0.805501	11913
ADCYAP1	1.408070	1004	1.408070	6797
ADCYAP1R1	1.359835	1107	1.359835	7262
ADD1	1.515358	814	2.012626	1763
ADD2	1.937736	317	2.143514	1241
ADD3	1.158254	1562	1.856370	2664
ADGB	0.035374	15045	0.035374	15682
ADGRA1	1.319314	1182	1.319314	7696
ADGRA2	0.078833	14549	0.881955	11395
ADGRA3	0.257905	11042	0.989080	10620
ADGRB1	1.312389	1199	1.312389	7771
ADGRB2	1.576980	713	2.099577	1393
ADGRB3	2.262562	122	2.503532	415
ADGRD1	0.360766	9010	0.854306	11583
ADGRD2	-	18996	-	18996
ADGRE1	0.139985	13091	0.139985	14789
ADGRE2	0.000000	16879	0.584331	13039
ADGRE3	0.127105	13947	0.127105	15398
ADGRE5	0.300946	10328	0.710963	12422
ADGRF1	0.000000	16878	0.000000	17206
ADGRF2	0.079181	14544	0.079181	15515
ADGRF3	0.421552	7868	0.630603	12807
ADGRF4	0.000000	16877	0.000000	17205
ADGRF5	1.076821	1853	1.210853	8737
ADGRG1	1.705949	544	1.763128	3382
ADGRG2	0.428817	7757	0.448706	13626
ADGRG3	0.174851	12610	0.174851	14722
ADGRG4	0.000000	16876	0.000000	17204
ADGRG5	0.257679	11051	0.257679	14299
ADGRG6	0.372912	8789	0.807535	11901
ADGRG7	0.000000	16875	0.000000	17203
ADGRL1	1.070958	1867	1.309630	7784
ADGRL2	1.633043	633	1.633043	4544
ADGRL3	1.545357	767	1.598791	4850
ADGRL4	0.556553	5700	1.459091	6267
ADGRV1	1.536108	780	1.536108	5466
ADH1A	0.000000	16874	0.000000	17202
ADH1B	0.161358	12799	0.372912	13953
ADH1C	0.079181	14543	0.079181	15514
ADH4	0.079181	14542	0.079181	15513
ADH5	0.093057	14355	1.675962	4100
ADH6	0.079181	14541	0.079181	15512
