gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.453488	2838	1.186743	7170
A1CF	0.000000	16776	0.000000	17239
A2M	0.512466	2366	1.403534	5230
A2ML1	2.027111	60	2.027111	1379
A3GALT2	-	19008	-	19008
A4GALT	0.481928	2600	1.146353	7505
A4GNT	0.000000	16775	0.000000	17238
AAAS	0.352531	3933	1.746501	2639
AACS	0.549186	2148	1.599850	3626
AADAC	0.051902	12282	0.051902	14089
AADACL2	0.069122	11555	0.069122	13747
AADACL3	0.154631	8827	0.154631	13095
AADACL4	-	19007	-	19007
AADAT	0.310651	4645	0.880263	9532
AAED1	0.115543	10082	1.333898	5861
AAGAB	0.122128	9886	1.670830	3115
AAK1	0.264004	5591	1.022814	8546
AAMDC	0.221617	6658	1.405413	5213
AAMP	0.182646	7900	1.849915	2078
AANAT	0.000000	16774	0.000000	17237
AAR2	0.239492	6178	1.360727	5610
AARD	0.156122	8682	0.170574	12915
AARS	0.289133	5037	1.901210	1845
AARS2	0.174215	8139	1.385032	5404
AARSD1	0.165379	8423	1.491337	4488
AASDH	0.100083	10541	1.057117	8265
AASDHPPT	0.123823	9830	1.626744	3432
AASS	0.280551	5230	1.342618	5781
AATF	0.019120	13509	1.487980	4510
AATK	0.000000	16773	0.000000	17236
ABAT	0.486167	2569	1.215331	6956
ABCA1	0.067132	11724	1.049875	8321
ABCA10	0.000000	16772	0.000000	17235
ABCA12	0.878130	959	0.878130	9549
ABCA13	0.092346	10877	0.092346	13565
ABCA2	0.141073	9236	0.916364	9295
ABCA3	0.000000	16771	0.212780	12690
ABCA4	0.043180	12610	0.043180	14233
ABCA5	0.154118	8848	1.026019	8517
ABCA6	0.023711	13431	0.441831	11763
ABCA7	0.213720	6898	0.781495	10120
ABCA8	0.000000	16770	0.349050	12105
ABCA9	0.104889	10412	0.324667	12203
ABCB1	0.000000	16769	0.037981	14529
ABCB10	0.201324	7319	1.061485	8224
ABCB11	0.000000	16768	0.000000	17234
ABCB4	0.000000	16767	0.127636	13271
ABCB5	0.051902	12281	0.051902	14088
ABCB6	0.244786	6062	0.495362	11549
ABCB7	0.000000	16766	1.242267	6703
ABCB8	0.303746	4765	1.415813	5120
ABCB9	0.231956	6380	0.695346	10583
ABCC1	0.067310	11615	1.129075	7638
ABCC10	0.385410	3522	1.052953	8296
ABCC11	0.000000	16765	0.000000	17233
ABCC12	0.000000	16764	0.000000	17232
ABCC2	0.835846	1071	0.835846	9797
ABCC3	0.842103	1051	1.654431	3243
ABCC4	0.396711	3384	1.287743	6283
ABCC5	0.056045	12006	0.791387	10056
ABCC6	-	19006	-	19006
ABCC8	0.000000	16763	0.000000	17231
ABCC9	0.093349	10794	0.401209	11926
ABCD1	0.100712	10524	1.053935	8291
ABCD2	0.000000	16762	0.000000	17230
ABCD3	0.129421	9624	1.294061	6219
ABCD4	0.040312	12653	1.135076	7591
ABCE1	0.026876	13362	1.545941	4060
ABCF1	0.142869	9186	1.928363	1723
ABCF2	0.192897	7577	1.620139	3474
ABCF3	0.090669	10964	1.565447	3911
ABCG1	0.059075	11894	1.077151	8097
ABCG2	0.110054	10254	0.129367	13234
ABCG4	0.036257	13070	0.051902	14087
ABCG5	0.000000	16761	0.000000	17229
ABCG8	0.000000	16760	0.000000	17228
ABHD1	0.009950	13645	0.069122	13746
ABHD10	0.233838	6326	1.229057	6824
ABHD11	0.581117	1977	1.551078	4015
ABHD12	0.852646	1032	1.835157	2155
ABHD12B	0.000000	16759	0.000000	17227
ABHD13	0.118936	9974	1.153996	7438
ABHD14A	-0.014534	16882	1.102634	7881
ABHD14B	0.095264	10710	1.852721	2065
ABHD15	0.205883	7172	0.546446	11340
ABHD16A	0.272428	5406	1.349854	5706
ABHD16B	-	19005	-	19005
ABHD17A	0.254133	5815	1.180732	7222
ABHD17B	0.237459	6220	0.959067	9015
ABHD17C	0.244967	6057	1.258327	6563
ABHD18	0.226915	6532	1.078785	8088
ABHD2	0.253223	5839	1.533717	4164
ABHD3	-0.055929	17043	0.894433	9430
ABHD4	0.315632	4545	1.656122	3227
ABHD5	0.236533	6250	1.353261	5673
ABHD6	0.194323	7537	0.662193	10757
ABHD8	0.119732	9947	0.936877	9161
ABI1	0.183871	7856	1.662507	3181
ABI2	0.115841	10071	1.470820	4651
ABI3	0.000000	16758	0.092154	13632
ABI3BP	0.981557	742	1.938117	1686
ABL1	0.140202	9264	1.075818	8117
ABL2	0.549827	2144	1.217894	6925
ABLIM1	0.223737	6600	0.707303	10532
ABLIM2	0.000000	16757	0.142170	13148
ABLIM3	0.824985	1101	1.895434	1871
ABO	0.159919	8574	0.285765	12378
ABR	0.399106	3362	1.448772	4834
ABRA	0.000000	16756	0.000000	17226
ABRACL	0.330747	4295	1.827285	2204
ABT1	0.312196	4609	1.509062	4352
ABTB1	0.162177	8514	1.350033	5703
ABTB2	0.196911	7457	0.957732	9024
ACAA1	0.188065	7742	1.670080	3121
ACAA2	0.209439	7013	0.974661	8912
ACACA	0.229421	6453	1.269790	6472
ACACB	0.031141	13305	0.308714	12284
ACAD10	-0.138982	17171	0.850596	9720
ACAD11	0.316436	4530	0.981872	8866
ACAD8	-0.056307	17045	1.152445	7453
ACAD9	0.113971	10119	1.514109	4311
ACADL	0.073423	11394	0.094434	13466
ACADM	0.024783	13409	1.274894	6415
ACADS	0.000000	16755	0.693296	10607
ACADSB	0.300558	4816	0.922444	9257
ACADVL	0.299704	4831	2.039361	1343
ACAN	0.101164	10514	0.151462	13102
ACAP1	0.000000	16754	0.051902	14086
ACAP2	0.194271	7539	1.564942	3918
ACAP3	0.218867	6739	0.917326	9288
ACAT1	0.154176	8846	1.790088	2391
ACAT2	0.551182	2139	1.984332	1525
ACBD3	0.310988	4636	2.164929	1001
ACBD4	-0.011069	16855	0.589189	11143
ACBD5	0.360588	3822	0.967569	8966
ACBD6	0.262452	5622	1.287245	6287
ACBD7	0.058859	11901	0.296177	12335
ACCS	0.124282	9818	0.589189	11142
ACCSL	-	19004	-	19004
ACD	0.186174	7800	1.099062	7910
ACE	0.000000	16753	0.419915	11848
ACE2	0.069122	11554	0.069122	13745
ACER1	0.000000	16752	0.000000	17225
ACER2	0.218654	6747	0.535192	11385
ACER3	-0.038208	16992	1.080387	8073
ACHE	0.883292	946	1.275101	6411
ACIN1	0.236912	6240	1.837709	2145
ACKR1	0.000000	16751	0.000000	17224
ACKR2	1.747745	121	1.747745	2634
ACKR3	1.022322	665	2.318297	673
ACKR4	0.508912	2391	0.613547	11012
ACLY	0.572055	2022	1.866754	1996
ACMSD	0.000000	16750	0.000000	17223
ACO1	0.363252	3791	1.887194	1910
ACO2	0.096678	10654	1.668411	3132
ACOD1	0.039090	12733	0.039090	14276
ACOT1	0.031141	13304	0.056754	13921
ACOT11	0.236779	6243	0.482758	11618
ACOT12	0.000000	16749	0.000000	17222
ACOT13	0.227113	6525	1.536142	4144
ACOT2	0.393914	3425	1.165762	7348
ACOT4	0.341687	4114	0.480875	11625
ACOT6	-	19003	-	19003
ACOT7	0.794227	1165	1.632986	3387
ACOT8	0.033159	13127	1.433929	4969
ACOT9	0.206717	7146	1.724562	2774
ACOX1	0.663261	1582	1.921436	1754
ACOX2	0.219309	6727	0.733167	10381
ACOX3	0.096143	10665	1.020220	8563
ACOXL	0.000000	16748	0.000000	17221
ACP1	0.285131	5113	2.066834	1263
ACP2	0.227691	6503	1.780554	2449
ACP5	1.068852	601	1.165762	7347
ACP6	0.126446	9742	0.618556	10990
ACP7	-	19002	-	19002
ACPP	0.067132	11723	0.131484	13220
ACPT	-	19001	-	19001
ACR	0.000000	16747	0.000000	17220
ACRBP	0.050185	12388	0.136074	13162
ACRC	0.000000	16746	0.000000	17219
ACRV1	0.000000	16745	0.000000	17218
ACSBG1	0.043180	12609	0.043180	14232
ACSBG2	0.000000	16744	0.000000	17217
ACSF2	0.885960	938	1.512067	4326
ACSF3	0.000000	16743	0.857027	9684
