gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.502926	3282	1.456810	4968
A1CF	0.000000	16677	0.000000	17239
A2M	1.228954	476	2.279256	776
A2ML1	0.000000	16676	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.564744	2746	1.229170	7126
A4GNT	0.000000	16675	0.000000	17237
AAAS	0.125115	10926	1.356981	5903
AACS	0.375707	5034	1.426371	5245
AADAC	0.501059	3394	0.501059	12237
AADACL2	0.000000	16674	0.000000	17236
AADACL3	0.000000	16673	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.200083	9050	0.769696	10682
AAED1	0.352771	5449	1.571126	4031
AAGAB	0.069964	12162	1.618666	3655
AAK1	0.511562	3206	1.297761	6459
AAMDC	0.335729	5737	1.519525	4422
AAMP	0.371956	5110	1.839792	2292
AANAT	0.000000	16672	0.000000	17234
AAR2	0.216739	8630	1.253571	6814
AARD	0.868758	1167	0.883211	9839
AARS	0.121055	11020	1.733132	2858
AARS2	-0.000766	16683	1.210051	7310
AARSD1	0.097531	11543	1.510364	4490
AASDH	0.035941	13122	1.047275	8726
AASDHPPT	0.037118	13017	1.490599	4665
AASS	0.334481	5762	1.396548	5545
AATF	-0.013254	16765	1.455606	5023
AATK	0.235528	8215	0.235528	13753
ABAT	0.096465	11586	0.728354	10999
ABCA1	0.558181	2802	1.951580	1756
ABCA10	0.916454	1036	0.916454	9744
ABCA12	0.235528	8214	0.235528	13752
ABCA13	0.077334	12046	0.077334	14058
ABCA2	0.411438	4390	1.190332	7490
ABCA3	0.482097	3574	1.210051	7309
ABCA4	0.235528	8213	0.235528	13751
ABCA5	0.388674	4860	1.421110	5318
ABCA6	0.754998	1572	1.190332	7489
ABCA7	0.312117	6129	1.147676	7877
ABCA8	0.802478	1367	1.743275	2812
ABCA9	0.867506	1172	1.169380	7683
ABCB1	0.066969	12224	0.664642	11400
ABCB10	0.287515	6568	1.147676	7876
ABCB11	0.000000	16671	0.000000	17233
ABCB4	0.086536	11812	0.235528	13750
ABCB5	0.916454	1035	0.916454	9743
ABCB6	0.524742	3103	0.832509	10321
ABCB7	0.077334	12045	1.247237	6934
ABCB8	0.152106	10274	1.256408	6792
ABCB9	0.295744	6427	0.443048	12317
ABCC1	0.202938	8978	1.459908	4957
ABCC10	0.093005	11666	0.728354	10998
ABCC11	0.235528	8212	0.235528	13749
ABCC12	0.000000	16670	0.000000	17232
ABCC2	0.253780	7267	0.253780	13040
ABCC3	0.596469	2451	1.408797	5424
ABCC4	0.279282	6715	1.170314	7554
ABCC5	0.055459	12428	1.017868	8966
ABCC6	-	19006	-	19006
ABCC8	0.501059	3393	0.501059	12236
ABCC9	1.256154	436	1.619093	3653
ABCD1	0.279309	6714	1.232533	6998
ABCD2	1.465619	265	1.627001	3554
ABCD3	0.133582	10735	1.298222	6360
ABCD4	0.258753	7152	1.210051	7308
ABCE1	0.051429	12591	1.570494	4033
ABCF1	0.061249	12328	1.835183	2318
ABCF2	0.067800	12202	1.467812	4863
ABCF3	0.034350	13145	1.509128	4494
ABCG1	0.237592	7607	1.370513	5776
ABCG2	0.281190	6680	0.389166	12835
ABCG4	0.086416	11814	0.102060	13970
ABCG5	0.000000	16669	0.000000	17231
ABCG8	0.000000	16668	0.000000	17230
ABHD1	0.176357	9653	0.235528	13748
ABHD10	0.096368	11590	1.297761	6458
ABHD11	0.113805	11200	0.986772	9217
ABHD12	0.082990	11881	1.601876	3786
ABHD12B	0.000000	16667	0.000000	17229
ABHD13	0.167871	9870	1.210051	7307
ABHD14A	0.316951	6059	1.290320	6485
ABHD14B	0.270439	6924	2.027896	1474
ABHD15	0.706711	1760	1.047275	8725
ABHD16A	0.162252	10027	1.444357	5120
ABHD16B	-	19005	-	19005
ABHD17A	0.139277	10586	1.035764	8765
ABHD17B	0.062221	12307	0.943901	9492
ABHD17C	0.139291	10585	1.180683	7526
ABHD18	0.250023	7335	1.100371	8311
ABHD2	0.050339	12609	1.633973	3535
ABHD3	0.537059	2988	1.487421	4731
ABHD4	0.941594	962	2.282083	769
ABHD5	1.042546	758	2.239425	870
ABHD6	0.260484	7116	0.793696	10422
ABHD8	0.084237	11858	0.952792	9473
ABI1	0.162757	10012	1.562137	4094
ABI2	0.158921	10122	1.444357	5119
ABI3	0.586908	2579	0.783189	10660
ABI3BP	0.975129	892	1.651470	3395
ABL1	0.245725	7437	1.247237	6933
ABL2	0.502536	3288	1.170602	7553
ABLIM1	1.403862	310	1.965437	1694
ABLIM2	0.515129	3184	0.783189	10659
ABLIM3	1.214269	491	2.025797	1485
ABO	0.465218	3750	0.591065	11792
ABR	0.389861	4641	1.169380	7682
ABRA	0.389166	4856	0.389166	12834
ABRACL	0.265269	7027	1.487421	4730
ABT1	-0.003325	16701	1.193541	7382
ABTB1	0.140524	10561	1.328380	6167
ABTB2	0.383455	4923	1.144275	7892
ACAA1	0.190067	9288	1.672082	3252
ACAA2	0.776324	1486	2.069103	1346
ACACA	0.229940	8324	1.356981	5902
ACACB	2.324797	31	2.324797	684
ACAD10	-0.036785	16901	0.952792	9472
ACAD11	0.454075	3882	1.119512	8112
ACAD8	0.119628	11065	1.328380	6166
ACAD9	0.000000	16666	1.313234	6314
ACADL	0.895443	1076	0.916454	9742
ACADM	0.252115	7302	1.626211	3588
ACADS	0.657301	2055	1.544936	4237
ACADSB	0.283437	6647	1.264818	6761
ACADVL	0.540581	2956	2.183187	1005
ACAN	1.051898	737	1.102196	8176
ACAP1	0.277064	6763	0.389166	12833
ACAP2	0.301546	6329	1.707740	3035
ACAP3	0.177759	9623	0.876218	10021
ACAT1	0.322928	5954	1.995065	1603
ACAT2	0.539882	2963	1.806684	2461
ACBD3	0.242932	7496	2.096873	1260
ACBD4	-0.044203	16934	0.664642	11399
ACBD5	0.393932	4584	1.074451	8503
ACBD6	0.418491	4306	1.232807	6997
ACBD7	-0.149272	17174	0.088046	14011
ACCS	0.195515	9163	0.501059	12235
ACCSL	-	19004	-	19004
ACD	0.147220	10381	0.863838	10045
ACE	0.218124	8593	0.664642	11398
ACE2	0.783189	1457	0.783189	10658
ACER1	0.000000	16665	0.000000	17228
ACER2	1.200659	511	1.517196	4461
ACER3	0.179166	9595	1.297761	6457
ACHE	0.524521	3106	0.916330	9747
ACIN1	0.235528	8211	2.004536	1553
ACKR1	1.866287	113	1.866287	2151
ACKR2	1.095789	661	1.095789	8334
ACKR3	0.811214	1339	2.155312	1107
ACKR4	0.942640	959	1.047275	8724
ACLY	0.900697	1065	2.195396	971
ACMSD	0.000000	16664	0.000000	17227
ACO1	0.454924	3871	1.978865	1657
ACO2	0.235487	8216	1.996883	1589
ACOD1	0.000000	16663	0.000000	17226
ACOT1	0.539428	2966	0.591065	11791
ACOT11	0.253943	7259	0.499922	12240
ACOT12	0.000000	16662	0.000000	17225
ACOT13	0.426899	4188	1.615244	3664
ACOT2	0.878512	1127	1.793681	2545
ACOT4	0.451877	3914	0.591065	11790
ACOT6	-	19003	-	19003
ACOT7	0.369588	5162	1.241770	6954
ACOT8	0.019003	13361	1.419773	5324
ACOT9	0.152502	10268	1.701568	3066
ACOX1	0.360230	5330	1.801747	2492
ACOX2	0.454631	3873	0.898417	9794
ACOX3	0.163642	9992	1.047275	8723
ACOXL	0.000000	16661	0.000000	17224
ACP1	0.097006	11554	1.904338	1953
ACP2	0.235528	8210	1.487421	4729
ACP5	0.779308	1478	0.916454	9741
ACP6	0.054867	12438	0.728354	10997
ACP7	-	19002	-	19002
ACPP	0.271891	6894	0.501059	12234
ACPT	-	19001	-	19001
ACR	0.000000	16660	0.000000	17223
ACRBP	0.041393	12960	0.235528	13747
ACRC	0.000000	16659	0.000000	17222
ACRV1	0.000000	16658	0.000000	17221
