gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.113813	12644	0.770852	11991
A1CF	0.000000	16753	0.000000	17239
A2M	1.124607	963	1.983716	1250
A2ML1	2.113977	168	2.113977	867
A3GALT2	-	19008	-	19008
A4GALT	0.645205	2826	1.309630	6647
A4GNT	0.000000	16752	0.000000	17238
AAAS	0.355803	6236	1.477700	4645
AACS	0.257240	8549	1.172019	8228
AADAC	0.738781	2252	0.738781	12214
AADACL2	0.214844	9804	0.214844	14746
AADACL3	0.000000	16751	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.422056	5144	0.991669	10121
AAED1	0.072792	14026	1.291147	6856
AAGAB	-0.056360	17028	1.492341	4508
AAK1	0.571976	3399	1.467312	4792
AAMDC	0.264899	8359	1.295787	6796
AAMP	0.103893	12846	1.869760	1692
AANAT	0.000000	16750	0.000000	17236
AAR2	0.060569	14217	1.059563	9443
AARD	0.371154	5905	0.385606	14023
AARS	0.038760	14534	1.504471	4390
AARS2	0.234787	9122	1.445604	4993
AARSD1	1.030731	1169	1.474071	4704
AASDH	0.170262	11142	1.246991	7341
AASDHPPT	0.056392	14283	1.561936	3815
AASS	0.359043	6106	1.421110	5263
AATF	-0.084328	17103	1.384533	5700
AATK	0.664452	2710	0.682145	12579
ABAT	1.022016	1187	1.082426	9216
ABCA1	0.103070	12864	1.494572	4494
ABCA10	1.016197	1202	1.016197	9894
ABCA12	0.267172	8314	0.267172	14519
ABCA13	1.620448	387	1.620448	3282
ABCA2	0.623883	2982	1.402777	5478
ABCA3	0.350547	6315	1.068557	9357
ABCA4	0.290035	7728	0.290035	14425
ABCA5	0.601134	3138	1.633569	3173
ABCA6	0.718939	2346	1.178113	8144
ABCA7	0.436283	4883	1.271842	7051
ABCA8	0.908808	1524	1.849604	1785
ABCA9	0.984582	1274	1.286456	6871
ABCB1	0.495544	4204	0.856124	11347
ABCB10	0.251773	8675	1.111934	8895
ABCB11	0.000000	16749	0.000000	17235
ABCB4	0.535853	3729	0.684845	12510
ABCB5	0.082785	13865	0.082785	15622
ABCB6	0.347224	6373	0.778151	11942
ABCB7	0.198960	10228	1.448397	4971
ABCB8	-0.027443	16902	1.042182	9624
ABCB9	0.137583	12102	0.600973	13005
ABCC1	0.273618	8062	1.464639	4807
ABCC10	0.313369	7147	0.980912	10209
ABCC11	0.000000	16748	0.000000	17234
ABCC12	0.093422	13392	0.093422	15391
ABCC2	0.000000	16747	0.000000	17233
ABCC3	0.056903	14274	0.869232	11230
ABCC4	0.343777	6439	0.969882	10306
ABCC5	0.485270	4291	1.474071	4703
ABCC6	-	19006	-	19006
ABCC8	0.528917	3832	0.528917	13368
ABCC9	1.055859	1128	1.418798	5283
ABCD1	0.000000	16746	0.916454	10808
ABCD2	0.609470	3085	0.770852	11990
ABCD3	0.240218	8971	1.381837	5730
ABCD4	0.314255	7128	1.438226	5098
ABCE1	-0.029810	16916	1.489255	4535
ABCF1	-0.003314	16775	1.830845	1870
ABCF2	-0.039622	16969	1.384533	5699
ABCF3	0.081163	13891	1.555940	3879
ABCG1	0.197336	10274	1.165838	8299
ABCG2	0.350434	6316	0.465383	13642
ABCG4	0.000000	16745	0.000000	17232
ABCG5	0.000000	16744	0.000000	17231
ABCG8	0.000000	16743	0.000000	17230
ABHD1	0.406211	5345	0.465383	13641
ABHD10	0.249675	8731	1.520353	4240
ABHD11	0.366099	5988	1.336059	6325
ABHD12	0.093422	13391	1.610234	3387
ABHD12B	0.170262	11141	0.170262	14922
ABHD13	0.156909	11438	1.197556	7940
ABHD14A	0.323411	6887	1.402777	5477
ABHD14B	0.021200	14722	1.778658	2163
ABHD15	0.235778	9101	0.576341	13142
ABHD16A	0.295998	7508	1.586700	3598
ABHD16B	-	19005	-	19005
ABHD17A	0.082785	13864	0.958564	10424
ABHD17B	0.267616	8214	1.156246	8416
ABHD17C	0.372745	5882	1.414137	5347
ABHD18	0.495445	4206	1.118595	8858
ABHD2	0.407478	5332	1.758079	2295
ABHD3	0.168233	11191	1.118595	8857
ABHD4	0.264988	8358	1.331832	6371
ABHD5	0.156075	11460	1.352954	6106
ABHD6	0.214844	9803	0.600973	13004
ABHD8	0.052124	14347	0.935507	10644
ABI1	0.275513	8026	1.631342	3193
ABI2	0.239363	8987	1.581381	3639
ABI3	0.426969	5035	0.856124	11346
ABI3BP	1.185955	856	2.142515	815
ABL1	0.188453	10501	1.159266	8370
ABL2	0.274143	8047	0.969882	10305
