gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.568479	4923	1.368059	7554
A1CF	1.498311	693	1.498311	6112
A2M	0.700669	3635	1.750971	3725
A2ML1	2.254669	150	2.254669	1147
A3GALT2	-	19008	-	19008
A4GALT	0.446191	6612	1.141640	9770
A4GNT	0.000000	17211	0.000000	17239
AAAS	0.311777	9409	1.705747	4092
AACS	0.292234	9895	1.342898	7829
AADAC	0.831230	2786	0.831230	12075
AADACL2	0.103804	14702	0.103804	15267
AADACL3	0.000000	17210	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.337799	8777	0.907411	11588
AAED1	0.492698	5913	1.711054	4039
AAGAB	0.263878	10693	1.812579	3229
AAK1	0.199081	12551	0.996074	10947
AAMDC	0.171629	13307	1.307710	8214
AAMP	0.045574	15659	1.761176	3645
AANAT	0.000000	17209	0.000000	17237
AAR2	0.350936	8460	1.472171	6401
AARD	0.038626	15687	0.053078	15672
AARS	0.293449	9864	1.905526	2618
AARS2	0.072258	15232	1.283075	8430
AARSD1	0.166148	13495	1.456214	6574
AASDH	0.199611	12535	1.279895	8462
AASDHPPT	0.395771	7537	1.776629	3508
AASS	0.172665	13285	1.234732	8923
AATF	0.152524	13752	1.621384	4900
AATK	0.772322	3151	0.772322	12411
ABAT	0.565082	4964	1.294246	8328
ABCA1	0.693727	3689	1.988185	2147
ABCA10	0.450249	6552	0.450249	13787
ABCA12	0.789735	3046	0.789735	12305
ABCA13	0.986324	2048	0.986324	11004
ABCA2	0.174804	13207	0.934498	11384
ABCA3	0.345398	8587	1.073352	10359
ABCA4	0.053078	15509	0.053078	15671
ABCA5	0.382371	7789	1.414806	7011
ABCA6	0.660101	3998	1.119275	9984
ABCA7	0.564288	4972	1.399847	7194
ABCA8	0.228057	11682	1.168853	9541
ABCA9	0.310909	9432	0.612784	13164
ABCB1	1.321562	1020	1.919235	2534
ABCB10	0.293916	9855	1.154077	9681
ABCB11	0.000000	17208	0.000000	17236
ABCB4	0.623329	4313	0.772322	12410
ABCB5	0.015174	16020	0.015174	16071
ABCB6	0.693925	3682	1.072617	10368
ABCB7	0.230138	11631	1.479575	6311
ABCB8	0.313826	9362	1.352488	7715
ABCB9	0.213693	12133	0.680062	12875
ABCC1	0.410268	7246	1.667238	4431
ABCC10	0.369647	8044	0.956241	11214
ABCC11	0.000000	17207	0.000000	17235
ABCC12	0.000000	17206	0.000000	17234
ABCC2	1.756484	390	1.756484	3681
ABCC3	1.487986	715	1.805161	3277
ABCC4	0.773009	3141	1.328133	7998
ABCC5	0.241393	11307	1.230193	8966
ABCC6	-	19006	-	19006
ABCC8	0.049218	15638	0.049218	15779
ABCC9	0.255109	10929	0.618048	13137
ABCD1	0.221101	11922	1.174325	9485
ABCD2	0.557949	5057	0.719331	12679
ABCD3	0.300595	9689	1.320562	8079
ABCD4	0.279664	10233	1.302331	8271
ABCE1	0.460256	6376	1.979321	2193
ABCF1	0.156703	13672	2.006637	2072
ABCF2	0.248180	11128	1.600973	5091
ABCF3	0.047667	15652	1.522444	5857
ABCG1	0.226162	11720	1.359083	7641
ABCG2	1.462100	760	1.570076	5389
ABCG4	0.105154	14600	0.120798	15164
ABCG5	0.000000	17205	0.000000	17233
ABCG8	0.000000	17204	0.000000	17232
ABHD1	0.086956	15030	0.146128	15019
ABHD10	0.176555	13169	1.391112	7291
ABHD11	0.511052	5639	1.481012	6304
ABHD12	0.959995	2151	1.749235	3744
ABHD12B	0.048420	15650	0.048420	15790
ABHD13	0.152912	13744	1.180126	9428
ABHD14A	0.100177	14787	1.199206	9252
ABHD14B	0.251994	11020	2.009451	2052
ABHD15	0.490666	5934	0.831230	12074
ABHD16A	0.193485	12691	1.346379	7791
ABHD16B	-	19005	-	19005
ABHD17A	0.303196	9633	1.170854	9522
ABHD17B	0.298781	9734	1.097604	10176
ABHD17C	0.753026	3275	1.794418	3360
ABHD18	0.308599	9475	1.160469	9619
ABHD2	0.499277	5826	1.791620	3383
ABHD3	0.416247	7125	1.366610	7573
ABHD4	0.167695	13414	1.482731	6287
ABHD5	0.462847	6331	1.659726	4507
ABHD6	0.375789	7923	0.929419	11425
ABHD8	0.140179	14024	1.047222	10570
ABI1	0.349718	8485	1.834294	3088
ABI2	0.324942	9085	1.672601	4381
ABI3	1.128623	1526	1.633771	4762
ABI3BP	1.838871	323	2.515211	605
ABL1	0.420644	7039	1.422155	6933
ABL2	0.797049	2994	1.465115	6480
ABLIM1	1.225954	1252	2.115677	1591
ABLIM2	0.527820	5401	0.795880	12277
ABLIM3	0.687446	3752	1.662142	4484
ABO	1.065884	1756	1.191730	9304
ABR	0.800717	2971	1.393416	7253
ABRA	0.646404	4114	0.646404	13041
ABRACL	0.484917	6024	1.981456	2187
ABT1	0.161449	13587	1.358316	7649
ABTB1	0.121775	14389	1.309630	8189
ABTB2	0.199174	12546	0.959995	11200
ACAA1	0.337513	8782	1.800923	3302
ACAA2	0.758617	3235	2.023417	1985
ACACA	0.534371	5322	1.677698	4341
ACACB	0.399185	7471	0.719331	12678
ACAD10	0.241637	11295	1.231215	8947
ACAD11	0.961109	2143	1.626546	4841
ACAD8	0.188841	12812	1.397592	7212
ACAD9	0.311754	9414	1.416476	6990
ACADL	0.058170	15323	0.079181	15478
ACADM	0.231602	11590	1.605697	5047
ACADS	0.100371	14783	0.938520	11347
ACADSB	0.206025	12390	1.194237	9289
ACADVL	0.347103	8560	1.985652	2162
ACAN	0.811552	2897	0.861851	11866
ACAP1	1.527086	651	1.639188	4706
ACAP2	0.520287	5511	1.737272	3837
ACAP3	0.081865	15082	0.717392	12682
ACAT1	0.383930	7761	2.056066	1821
ACAT2	0.851394	2671	2.284544	1063
ACBD3	0.297674	9761	2.151615	1463
ACBD4	0.372862	7962	1.081707	10306
ACBD5	0.900172	2431	1.466719	6474
ACBD6	0.361835	8213	1.412293	7043
ACBD7	0.609637	4470	0.846955	11971
ACCS	0.424397	6980	0.830589	12082
ACCSL	-	19004	-	19004
ACD	0.337005	8794	1.253822	8728
ACE	0.523829	5462	0.970347	11122
ACE2	0.489958	5961	0.489958	13654
ACER1	0.222716	11851	0.222716	14627
ACER2	0.430169	6868	0.746706	12533
ACER3	0.586622	4732	1.705216	4097
ACHE	0.658957	4015	1.050766	10534
ACIN1	0.262902	10712	2.034588	1930
ACKR1	1.467756	749	1.467756	6461
ACKR2	1.044932	1826	1.044932	10581
ACKR3	0.311042	9429	1.617629	4936
ACKR4	1.474691	736	1.579326	5292
ACLY	0.779090	3116	2.073789	1761
ACMSD	0.096910	14894	0.096910	15376
ACO1	0.327256	9039	1.851197	2969
ACO2	0.318063	9272	1.810904	3244
ACOD1	0.000000	17203	0.000000	17231
ACOT1	0.454868	6454	0.506505	13569
ACOT11	0.225553	11743	0.471532	13690
ACOT12	0.181844	13034	0.181844	14823
ACOT13	0.681647	3814	1.898835	2645
ACOT2	0.431861	6839	1.263399	8641
ACOT4	0.130325	14216	0.269513	14465
ACOT6	-	19003	-	19003
ACOT7	1.749891	396	1.749891	3738
ACOT8	0.172102	13294	1.572872	5352
ACOT9	0.328520	9015	1.877586	2790
ACOX1	0.211110	12185	1.582495	5260
ACOX2	0.865722	2605	0.896820	11641
ACOX3	0.264458	10681	1.150142	9712
ACOXL	0.371068	8021	0.371068	14072
ACP1	0.255830	10905	2.052771	1834
ACP2	0.139190	14039	1.692053	4211
ACP5	1.251386	1183	1.423737	6916
ACP6	0.707329	3588	1.090258	10236
ACP7	-	19002	-	19002
ACPP	1.228411	1246	1.457579	6559
ACPT	-	19001	-	19001
ACR	0.000000	17202	0.000000	17230
ACRBP	0.253105	10972	0.499687	13606
ACRC	0.000000	17201	0.000000	17229
ACRV1	0.000000	17200	0.000000	17228
ACSBG1	0.049218	15637	0.049218	15778
ACSBG2	0.000000	17199	0.000000	17227
ACSF2	1.306468	1053	1.932575	2452
ACSF3	0.526339	5433	0.992111	10969
ACSL1	0.649257	4084	1.265761	8616
ACSL3	0.460282	6375	2.493695	640
ACSL4	0.575089	4848	2.079090	1742
ACSL5	1.561340	606	1.561340	5459
ACSL6	0.559907	5028	0.559907	13363
ACSM1	-	19000	-	19000
ACSM2A	0.096910	14893	0.096910	15375
ACSM2B	0.000000	17198	0.000000	17226
ACSM3	0.734401	3404	0.806858	12221
ACSM4	-	18999	-	18999
ACSM5	0.127105	14317	0.127105	15152
ACSM6	0.000000	17197	0.000000	17225
ACSS1	0.473039	6175	1.325721	8033
ACSS2	1.030195	1872	1.347915	7770
ACSS3	0.507433	5691	0.940819	11332
ACTA1	3.276806	21	3.276806	76
ACTA2	1.266938	1141	2.641235	460
ACTB	0.658011	4018	4.130959	4
ACTBL2	0.071464	15241	0.071464	15501
ACTC1	1.349013	950	1.456518	6569
ACTG1	0.607019	4504	4.055945	7
ACTG2	1.492651	703	2.222216	1236
ACTL10	0.355698	8365	0.472756	13689
ACTL6A	0.312321	9399	1.828338	3123
ACTL6B	0.010348	16045	0.010348	16091
ACTL7A	0.000000	17196	0.000000	17224
ACTL7B	0.000000	17195	0.000000	17223
ACTL8	0.296665	9800	0.296665	14355
ACTL9	0.000000	17194	0.000000	17222
ACTN1	0.547750	5188	2.703420	404
ACTN2	1.645574	508	1.875177	2804
ACTN3	0.559907	5027	0.559907	13362
ACTN4	0.306139	9534	2.063408	1794
ACTR10	0.212372	12158	1.913495	2583
ACTR1A	0.181841	13035	2.211272	1264
ACTR1B	0.004476	16054	1.295291	8315
ACTR2	0.309380	9456	2.006038	2076
ACTR3	0.399981	7457	2.569549	531
ACTR3B	0.142996	13966	1.071145	10384
ACTR3C	0.608349	4487	0.954725	11231
ACTR5	0.429848	6871	1.227115	8989
ACTR6	0.274862	10366	1.322219	8068
ACTR8	0.398910	7477	1.388294	7320
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17193	0.000000	17221
ACTRT3	-	18997	-	18997
ACVR1	0.510441	5648	1.579277	5293
ACVR1B	0.659969	3999	1.677698	4340
ACVR1C	0.168490	13403	0.168490	14891
ACVR2A	0.284424	10109	1.054230	10516
ACVR2B	0.351055	8455	0.659916	12983
ACVRL1	0.312471	9393	0.678518	12890
ACY1	0.647383	4102	1.519828	5885
ACY3	1.777499	374	1.777499	3504
ACYP1	0.329224	8997	1.397599	7205
ACYP2	0.239167	11401	1.102091	10135
ADA	0.554448	5103	1.091037	10213
ADAD1	0.000000	17192	0.000000	17220
ADAD2	0.000000	17191	0.000000	17219
ADAL	0.243343	11252	0.971276	11112
ADAM10	0.443095	6652	1.930185	2474
ADAM11	0.096910	14892	0.096910	15374
ADAM12	1.611981	551	1.890477	2697
ADAM15	0.469937	6228	2.149773	1472
ADAM17	0.337824	8775	1.506679	6024
ADAM18	0.049218	15636	0.049218	15777
ADAM19	0.835391	2767	1.687510	4256
ADAM2	0.000000	17190	0.000000	17218
ADAM20	0.000000	17189	0.000000	17217
ADAM21	0.000000	17188	0.000000	17216
ADAM22	0.517454	5547	0.965672	11160
ADAM23	0.572855	4866	0.910091	11574
ADAM28	1.199705	1314	1.424718	6900
ADAM29	0.000000	17187	0.000000	17215
ADAM30	0.000000	17186	0.000000	17214
ADAM32	0.053078	15508	0.053078	15670
ADAM33	1.230546	1241	1.521661	5861
ADAM7	0.000000	17185	0.000000	17213
ADAM8	1.384929	875	1.558912	5476
ADAM9	0.672674	3886	2.355361	883
ADAMDEC1	0.924796	2321	0.924796	11455
ADAMTS1	0.655805	4032	2.460576	689
ADAMTS10	0.193577	12690	0.892095	11670
ADAMTS12	0.622179	4335	0.858966	11889
ADAMTS13	0.000000	17184	0.000000	17212
ADAMTS14	0.612089	4441	0.846955	11970
ADAMTS15	0.972588	2093	1.497068	6126
ADAMTS16	0.029384	15920	0.029384	16001
ADAMTS17	0.201999	12475	0.311754	14285
ADAMTS18	0.053078	15507	0.053078	15669
ADAMTS19	0.153926	13724	0.153926	14960
ADAMTS2	1.220848	1261	1.961267	2298
ADAMTS20	0.170222	13365	0.170222	14886
ADAMTS3	0.752600	3277	1.029384	10715
ADAMTS4	0.312913	9386	0.708421	12732
ADAMTS5	1.071210	1734	1.791274	3386
ADAMTS6	0.711587	3558	0.954298	11233
ADAMTS7	0.848557	2690	1.439017	6749
ADAMTS8	0.000000	17183	0.000000	17211
ADAMTS9	0.470528	6222	0.923244	11470
ADAMTSL1	1.326155	1002	1.823083	3156
ADAMTSL2	0.238439	11427	0.274158	14436
ADAMTSL3	0.097787	14812	0.127105	15151
ADAMTSL4	0.582762	4775	1.463146	6505
ADAMTSL5	0.567911	4931	0.929419	11424
ADAP1	1.072617	1729	1.313023	8156
ADAP2	0.415951	7129	0.659916	12982
ADAR	0.472372	6193	1.898006	2651
ADARB1	1.267853	1138	1.468643	6448
ADARB2	0.605305	4523	0.605305	13187
ADAT1	0.175685	13190	1.122216	9954
ADAT2	0.197325	12591	1.073352	10358
ADAT3	0.206826	12374	1.874945	2807
ADCK1	0.074211	15216	0.714330	12715
ADCK2	0.196798	12607	1.239800	8867
ADCK5	0.116988	14465	0.913915	11532
ADCY1	0.189069	12804	0.269513	14464
ADCY10	0.049218	15635	0.049218	15776
ADCY2	0.471959	6197	0.526339	13492
ADCY3	0.381232	7817	1.490446	6199
ADCY4	0.567254	4935	0.969402	11130
ADCY5	0.289444	9970	0.318063	14259
ADCY6	0.104619	14609	0.915038	11524
ADCY7	0.889810	2486	1.275311	8513
ADCY8	0.000000	17182	0.000000	17210
ADCY9	0.664405	3965	1.230337	8956
ADCYAP1	0.469822	6236	0.469822	13703
ADCYAP1R1	0.240549	11370	0.240549	14584
ADD1	0.106297	14590	1.729165	3880
ADD2	0.427690	6913	0.633468	13086
ADD3	1.347915	953	1.872435	2821
ADGB	0.029384	15919	0.029384	16000
ADGRA1	0.029384	15918	0.029384	15999
ADGRA2	0.904473	2413	1.889099	2705
ADGRA3	0.393796	7578	1.175965	9471
ADGRB1	0.100371	14782	0.100371	15302
ADGRB2	0.265452	10659	0.745347	12552
ADGRB3	0.197856	12572	0.438827	13817
ADGRD1	0.321374	9183	0.814913	12163
ADGRD2	-	18996	-	18996
ADGRE1	0.394452	7571	0.394452	13999
ADGRE2	0.243299	11254	1.072617	10367
ADGRE3	0.460898	6368	0.460898	13731
ADGRE5	0.533570	5335	1.629140	4816
ADGRF1	1.516104	669	1.516104	5919
ADGRF2	0.357935	8320	0.357935	14116
ADGRF3	0.280908	10210	0.489958	13653
ADGRF4	1.253151	1176	1.253151	8731
ADGRF5	0.425875	6947	0.559907	13361
ADGRG1	1.644513	510	1.644513	4644
ADGRG2	0.597695	4595	0.597695	13203
ADGRG3	0.287802	10028	0.287802	14400
ADGRG4	0.000000	17181	0.000000	17209
ADGRG5	1.430236	803	1.430236	6854
ADGRG6	1.718419	437	1.738384	3827
ADGRG7	0.583199	4773	0.583199	13273
ADGRL1	0.267833	10595	0.506505	13568
ADGRL2	0.507856	5688	0.507856	13552
ADGRL3	0.073671	15220	0.127105	15150
ADGRL4	0.532987	5342	1.070038	10392
ADGRV1	1.562769	605	1.562769	5454
ADH1A	0.000000	17180	0.000000	17208
ADH1B	1.119364	1554	1.366122	7574
ADH1C	0.318063	9271	0.318063	14258
ADH4	1.782831	367	1.782831	3454
ADH5	0.382673	7783	1.965578	2275
ADH6	1.320562	1025	1.320562	8078
ADH7	1.689753	466	1.689753	4231
ADHFE1	0.292298	9892	1.034628	10669
ADI1	0.182576	12993	1.961136	2302
ADIG	0.000000	17179	0.000000	17207
ADIPOQ	0.460898	6367	0.460898	13730
ADIPOR1	0.538129	5294	1.966731	2270
ADIPOR2	0.366386	8115	1.850401	2974
ADIRF	1.096111	1626	2.865826	257
ADK	0.773066	3140	2.098369	1656
ADM	1.059114	1783	2.778072	323
ADM2	0.951087	2188	1.216694	9089
ADM5	0.187521	12880	0.187521	14798
ADNP	0.605559	4516	1.993927	2122
ADNP2	0.211778	12172	1.033826	10675
ADO	0.160564	13601	1.052421	10529
ADORA1	0.250995	11052	0.361317	14096
ADORA2A	0.752048	3282	0.752048	12517
ADORA2B	0.659230	4011	1.133219	9854
ADORA3	0.371068	8020	0.371068	14071
ADPGK	0.287305	10040	1.500909	6083
ADPRH	0.448007	6587	0.752048	12516
ADPRHL1	0.269513	10551	0.269513	14463
ADPRHL2	0.145154	13925	1.296889	8307
ADPRM	0.108210	14555	1.009876	10843
ADRA1A	0.079181	15164	0.079181	15477
