gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268490	6805	1.259491	6300
A1CF	0.000000	16261	0.000000	17239
A2M	0.442541	4088	1.380925	5309
A2ML1	0.016712	13169	0.016712	14786
A3GALT2	-	19008	-	19008
A4GALT	0.629618	2257	1.325067	5744
A4GNT	0.000000	16260	0.000000	17238
AAAS	0.591843	2528	1.985813	1727
AACS	0.500850	3395	1.551514	4031
AADAC	0.419425	4387	0.419425	12062
AADACL2	0.000000	16259	0.000000	17237
AADACL3	0.000000	16258	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.193482	8176	0.763095	10108
AAED1	0.269834	6780	1.488189	4497
AAGAB	0.018648	12951	1.567349	3917
AAK1	0.203694	7973	1.029767	8169
AAMDC	0.350926	5416	1.534721	4142
AAMP	0.351681	5401	2.156446	1203
AANAT	0.000000	16257	0.000000	17235
AAR2	0.455966	3896	1.431177	4907
AARD	0.037449	12338	0.051902	14326
AARS	0.203605	7976	1.815682	2476
AARS2	0.305916	6142	1.516733	4275
AARSD1	0.279845	6609	1.610259	3613
AASDH	0.016712	13168	0.884002	9281
AASDHPPT	0.094514	10715	1.399426	5175
AASS	-0.050518	16590	0.879092	9321
AATF	0.119208	10025	1.588069	3779
AATK	0.048455	12121	0.048455	14419
ABAT	0.172510	8736	0.860699	9465
ABCA1	0.068008	11517	1.093256	7631
ABCA10	0.021590	12910	0.021590	14647
ABCA12	0.332321	5706	0.332321	12513
ABCA13	0.000000	16256	0.000000	17234
ABCA2	0.121284	9868	0.885696	9264
ABCA3	0.819256	1286	1.547210	4058
ABCA4	0.273839	6711	0.273839	12832
ABCA5	0.051902	11966	0.481583	11767
ABCA6	0.000000	16255	0.168587	13416
ABCA7	0.356869	5315	1.192428	6837
ABCA8	0.000000	16254	0.148333	13540
ABCA9	0.048455	12120	0.048455	14418
ABCB1	0.327000	5782	0.924673	8995
ABCB10	0.209625	7862	1.044999	8054
ABCB11	0.000000	16253	0.000000	17233
ABCB4	0.344124	5521	0.493117	11670
ABCB5	0.000000	16252	0.000000	17232
ABCB6	0.248721	7164	0.627414	10960
ABCB7	0.016712	13167	0.955231	8756
ABCB8	0.461026	3831	1.538706	4117
ABCB9	0.344776	5513	0.808166	9803
ABCC1	0.353474	5373	1.522523	4222
ABCC10	0.497186	3437	1.066852	7870
ABCC11	0.000000	16251	0.000000	17231
ABCC12	0.000000	16250	0.000000	17230
ABCC2	0.000000	16249	0.000000	17229
ABCC3	0.918155	986	1.730483	2948
ABCC4	0.344654	5515	1.223489	6563
ABCC5	0.115224	10223	1.033362	8139
ABCC6	-	19006	-	19006
ABCC8	0.000000	16248	0.000000	17228
ABCC9	0.000000	16247	0.086593	14110
ABCD1	0.279373	6617	1.232597	6486
ABCD2	0.000000	16246	0.000000	17227
ABCD3	-0.117838	16857	0.976803	8593
ABCD4	0.267405	6826	1.325067	5743
ABCE1	-0.035485	16514	1.483579	4523
ABCF1	0.085070	11085	1.892389	2090
ABCF2	0.358746	5277	1.785988	2641
ABCF3	0.111576	10290	1.586354	3794
ABCG1	0.078627	11292	1.211548	6679
ABCG2	0.190323	8247	0.298299	12679
ABCG4	0.350769	5419	0.366414	12367
ABCG5	0.000000	16245	0.000000	17226
ABCG8	0.000000	16244	0.000000	17225
ABHD1	0.220183	7697	0.279354	12803
ABHD10	-0.019806	16412	1.086194	7690
ABHD11	0.776366	1462	1.746327	2857
ABHD12	0.400402	4655	1.919288	1968
ABHD12B	0.150515	9240	0.150515	13532
ABHD13	-0.088888	16759	0.938326	8896
ABHD14A	0.299672	6244	1.416840	5029
ABHD14B	0.327104	5779	2.084561	1397
ABHD15	0.473319	3704	0.813883	9776
ABHD16A	0.144056	9369	1.434758	4888
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	7026	1.181983	6912
ABHD17B	0.308141	6099	1.227473	6525
ABHD17C	0.267217	6827	1.302420	5919
ABHD18	0.085159	11078	0.884982	9271
ABHD2	0.280718	6600	1.737261	2905
ABHD3	0.390524	4807	1.340886	5611
ABHD4	0.433210	4215	1.773699	2713
ABHD5	0.080684	11254	0.952871	8780
ABHD6	0.408679	4547	0.855357	9495
ABHD8	0.492937	3492	1.317182	5822
ABI1	0.001584	13379	1.420063	4996
ABI2	0.285721	6526	1.520216	4242
ABI3	1.068476	661	1.314047	5841
ABI3BP	0.021590	12909	0.588335	11184
ABL1	0.491496	3504	1.282635	6108
ABL2	0.530302	3102	1.198369	6793
ABLIM1	0.498081	3431	0.917287	9039
ABLIM2	0.171295	8762	0.439354	11985
ABLIM3	0.437835	4152	1.603718	3664
ABO	0.284168	6556	0.410015	12130
ABR	0.654657	2090	1.560947	3961
ABRA	0.000000	16243	0.000000	17224
ABRACL	0.704319	1801	2.200857	1077
ABT1	0.444542	4059	1.641408	3449
ABTB1	0.190106	8373	1.196730	6806
ABTB2	0.602675	2438	1.363495	5442
ACAA1	0.362193	5222	1.798933	2568
ACAA2	0.601212	2451	1.403939	5139
ACACA	0.322180	5848	1.465507	4654
ACACB	0.101208	10552	0.230073	13023
ACAD10	0.255945	7017	1.245522	6387
ACAD11	0.194935	8152	0.860372	9468
ACAD8	0.044845	12190	1.253597	6336
ACAD9	0.212447	7811	1.612585	3603
ACADL	0.190106	8372	0.190106	13335
ACADM	0.026059	12712	1.046356	8041
ACADS	0.291420	6404	1.179055	6942
ACADSB	0.000000	16242	0.635396	10917
ACADVL	0.212421	7812	2.093935	1366
ACAN	0.490907	3513	0.567089	11320
ACAP1	0.057624	11746	0.169726	13409
ACAP2	0.085592	11072	1.331436	5695
ACAP3	0.249706	7148	0.948165	8830
ACAT1	0.028787	12672	1.441613	4834
ACAT2	0.754773	1556	2.187923	1126
ACBD3	-0.331817	17171	1.522124	4223
ACBD4	0.272504	6737	0.981349	8555
ACBD5	0.039964	12264	0.590986	11171
ACBD6	0.351430	5405	1.349723	5548
ACBD7	0.443285	4080	0.680603	10634
ACCS	0.284361	6552	0.703993	10490
ACCSL	-	19004	-	19004
ACD	0.827108	1251	1.743925	2869
ACE	1.212897	457	1.659414	3344
ACE2	0.000000	16241	0.000000	17223
ACER1	0.000000	16240	0.000000	17222
ACER2	0.625923	2286	0.942460	8867
ACER3	-0.026894	16467	1.091701	7639
ACHE	0.187567	8428	0.579376	11249
ACIN1	0.310380	6061	1.839849	2347
ACKR1	0.021590	12908	0.021590	14646
ACKR2	1.222287	449	1.222287	6572
ACKR3	0.706788	1787	2.050885	1501
ACKR4	0.000000	16239	0.017046	14680
ACLY	1.036146	719	2.330845	786
ACMSD	0.110624	10331	0.110624	13891
ACO1	0.122776	9838	1.646717	3418
ACO2	0.198212	8087	1.959608	1828
ACOD1	0.000000	16238	0.000000	17221
