gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.329524	11148	1.171086	9922
A1CF	0.000000	17088	0.000000	17239
A2M	0.965574	2698	1.993172	2098
A2ML1	1.267641	1493	1.267641	8954
A3GALT2	-	19008	-	19008
A4GALT	0.239554	12947	0.935003	11815
A4GNT	0.000000	17087	0.000000	17238
AAAS	0.467822	8304	1.291369	8704
AACS	0.392373	9759	1.246006	9167
AADAC	0.426511	9093	0.426511	14161
AADACL2	0.000000	17086	0.000000	17237
AADACL3	0.133539	14832	0.133539	15546
AADACL4	-	19007	-	19007
AADAT	0.467415	8310	1.037028	11081
AAED1	0.147847	14509	1.104146	10538
AAGAB	0.142999	14561	1.691700	4436
AAK1	0.906829	3035	1.431042	7162
AAMDC	0.557695	6681	1.442837	7022
AAMP	0.555515	6720	1.921166	2560
AANAT	0.240549	12939	0.240549	14900
AAR2	0.331363	11106	1.212986	9503
AARD	0.489338	7877	0.503791	13932
AARS	0.459294	8440	2.060414	1739
AARS2	0.265580	12315	1.476397	6677
AARSD1	0.730782	4496	1.671913	4653
AASDH	0.493631	7815	1.573915	5621
AASDHPPT	0.945577	2807	2.089481	1610
AASS	0.759577	4181	1.821645	3291
AATF	0.055189	15500	1.524049	6156
AATK	2.287802	131	2.287802	915
ABAT	1.751818	553	1.957176	2327
ABCA1	0.442608	8784	1.836007	3168
ABCA10	0.841359	3479	0.841359	12395
ABCA12	0.000000	17085	0.000000	17236
ABCA13	0.238046	13150	0.238046	15046
ABCA2	1.928502	355	2.386877	683
ABCA3	1.089876	2130	1.817830	3319
ABCA4	0.240549	12938	0.240549	14899
ABCA5	0.736208	4430	1.615003	5168
ABCA6	0.860351	3346	1.319526	8396
ABCA7	0.797789	3830	1.252939	9090
ABCA8	1.231979	1599	2.044882	1816
ABCA9	0.833316	3556	1.109916	10485
ABCB1	1.275706	1457	1.873379	2879
ABCB10	0.230602	13339	0.736397	12959
ABCB11	0.043445	15619	0.043445	15908
ABCB4	0.245459	12653	0.394452	14300
ABCB5	0.240549	12937	0.240549	14898
ABCB6	0.484473	7972	0.915400	11968
ABCB7	0.332853	11071	1.582291	5532
ABCB8	0.382814	10067	1.485474	6583
ABCB9	0.821978	3640	1.246006	9166
ABCC1	0.521312	7264	1.177825	9865
ABCC10	0.396937	9610	1.027350	11173
ABCC11	0.018968	15886	0.018968	16102
ABCC12	0.536558	7032	0.536558	13748
ABCC2	0.000000	17084	0.000000	17235
ABCC3	0.133539	14831	0.238046	15045
ABCC4	0.343603	10812	1.083861	10726
ABCC5	0.853809	3383	1.842609	3116
ABCC6	-	19006	-	19006
ABCC8	1.094471	2103	1.094471	10626
ABCC9	0.751784	4283	0.879096	12188
ABCD1	0.235528	13281	0.836324	12435
ABCD2	1.437189	1077	1.598572	5356
ABCD3	0.394678	9657	1.349037	8050
ABCD4	0.368935	10339	1.454387	6918
ABCE1	0.409996	9384	1.929061	2497
ABCF1	0.625084	5699	2.146089	1382
ABCF2	0.588767	6218	1.565376	5707
ABCF3	0.237335	13164	1.712112	4257
ABCG1	0.695163	4865	1.828084	3236
ABCG2	1.077368	2185	1.143327	10161
ABCG4	0.782315	3983	0.797960	12600
ABCG5	0.000000	17083	0.000000	17234
ABCG8	0.000000	17082	0.000000	17233
ABHD1	0.404557	9486	0.463729	14026
ABHD10	0.454744	8524	1.725422	4112
ABHD11	0.276779	12163	1.157457	10044
ABHD12	0.359463	10536	1.878349	2835
ABHD12B	1.176381	1799	1.176381	9877
ABHD13	0.298660	11761	1.340840	8151
ABHD14A	0.570985	6457	1.688153	4458
ABHD14B	-0.363882	17233	1.393575	7588
ABHD15	0.160496	14379	0.501059	13974
ABHD16A	0.436866	8914	1.529430	6096
ABHD16B	-	19005	-	19005
ABHD17A	0.469425	8275	1.396025	7548
ABHD17B	0.643303	5441	1.643946	4910
ABHD17C	0.775131	4043	1.178689	9840
ABHD18	0.695430	4860	1.001389	11344
ABHD2	0.539912	6992	2.010512	1991
ABHD3	0.514872	7373	1.465234	6784
ABHD4	0.339953	10881	1.621903	5113
ABHD5	0.582357	6313	1.779236	3599
ABHD6	0.798527	3824	1.426349	7200
ABHD8	0.629224	5617	1.538951	5980
ABI1	0.472600	8208	1.881784	2813
ABI2	1.147297	1897	2.262759	1003
ABI3	0.693359	4876	1.198507	9640
ABI3BP	0.509510	7493	1.176091	9883
ABL1	0.351358	10668	1.241875	9190
ABL2	0.728413	4521	1.228216	9334
ABLIM1	1.106251	2052	1.667826	4686
ABLIM2	1.653446	683	1.653446	4799
ABLIM3	0.483555	7994	1.803935	3426
ABO	0.546374	6895	0.546374	13738
ABR	1.288473	1422	2.192104	1228
ABRA	0.237836	13158	0.237836	15048
ABRACL	0.433061	8980	1.651181	4844
ABT1	0.047163	15561	1.244030	9176
ABTB1	0.552270	6772	1.740126	3982
ABTB2	0.769178	4094	1.380392	7734
ACAA1	0.282263	12073	1.646796	4878
ACAA2	0.543519	6943	1.411451	7369
ACACA	0.638106	5506	1.274620	8876
ACACB	0.960710	2734	1.084076	10685
ACAD10	0.162827	14357	1.152405	10097
ACAD11	0.622547	5721	0.953691	11736
ACAD8	0.448782	8634	1.657534	4780
ACAD9	0.201397	13896	1.545925	5917
ACADL	0.480049	8055	0.501059	13973
ACADM	0.797785	3831	1.663635	4717
ACADS	0.252239	12541	1.139874	10195
ACADSB	0.641683	5464	1.574364	5590
ACADVL	0.507761	7548	2.147831	1375
ACAN	1.379120	1212	1.455302	6882
ACAP1	0.224547	13441	0.336649	14484
ACAP2	0.718101	4617	1.717837	4204
ACAP3	0.556813	6701	1.255273	9054
ACAT1	0.368953	10338	1.848743	3057
ACAT2	0.632269	5587	1.598572	5355
ACBD3	0.023315	15838	1.877256	2844
ACBD4	0.685543	4946	1.097821	10615
ACBD5	0.900599	3078	1.327427	8303
ACBD6	0.327306	11177	1.343999	8122
ACBD7	1.850020	444	2.087338	1616
ACCS	0.378240	10160	0.786041	12728
