gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	16081	0.413491	13119
A1CF	0.030349	13827	0.030349	15882
A2M	0.970537	1634	1.860226	1318
A2ML1	0.227925	8036	0.227925	14110
A3GALT2	-	19008	-	19008
A4GALT	0.235814	7859	0.931264	9497
A4GNT	0.000000	16080	0.000000	17239
AAAS	0.326123	6292	1.641965	2628
AACS	0.437459	4862	0.958370	9257
AADAC	0.132586	10406	0.132586	14817
AADACL2	0.044953	13380	0.044953	15762
AADACL3	0.000000	16079	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.330139	6220	0.560821	12221
AAED1	0.127731	10538	1.346086	5233
AAGAB	0.128703	10508	1.677404	2362
AAK1	0.043292	13412	0.816082	10513
AAMDC	0.074440	12152	1.231275	6435
AAMP	0.265546	7262	1.883847	1206
AANAT	0.000000	16078	0.000000	17237
AAR2	0.273614	7126	1.394850	4729
AARD	1.533265	426	1.547717	3336
AARS	-0.064287	16620	1.323627	5480
AARS2	-0.068284	16637	1.142533	7416
AARSD1	0.411601	5154	1.824434	1485
AASDH	0.088547	11742	1.168831	7119
AASDHPPT	0.055857	12823	1.396575	4718
AASS	0.096440	11489	1.077104	8094
AATF	0.086185	11784	1.555045	3279
AATK	0.133039	10369	0.150732	14669
ABAT	0.776170	2444	1.216799	6581
ABCA1	0.130352	10469	1.523752	3543
ABCA10	0.464906	4603	0.464906	12828
ABCA12	0.016712	14485	0.016712	16169
ABCA13	0.265292	7280	0.265292	13899
ABCA2	0.351878	5900	0.632574	11786
ABCA3	0.555032	3806	1.249886	6264
ABCA4	0.016712	14484	0.016712	16168
ABCA5	0.431056	4937	1.439359	4311
ABCA6	0.243843	7688	0.671172	11530
ABCA7	0.000000	16077	0.529611	12424
ABCA8	0.784924	2406	1.725720	2041
ABCA9	0.727628	2698	1.029503	8566
ABCB1	0.165207	9485	0.670703	11534
ABCB10	-0.015172	16246	0.457119	12873
ABCB11	0.613913	3409	0.613913	11904
ABCB4	0.025452	13903	0.174444	14495
ABCB5	0.323936	6334	0.323936	13618
ABCB6	0.669444	3020	1.100371	7857
ABCB7	0.016712	14483	1.056320	8298
ABCB8	0.033514	13596	1.197378	6804
ABCB9	0.271832	7154	0.691620	11377
ABCC1	0.281369	6985	1.538339	3420
ABCC10	0.102276	11298	0.664495	11568
ABCC11	0.000000	16076	0.000000	17236
ABCC12	0.632177	3279	0.632177	11792
ABCC2	0.051902	13139	0.051902	15681
ABCC3	0.073924	12162	0.669401	11543
ABCC4	0.219329	8201	0.783966	10748
ABCC5	0.150071	9901	1.138872	7452
ABCC6	-	19006	-	19006
ABCC8	0.250331	7568	0.250331	14000
ABCC9	0.211300	8357	0.574240	12142
ABCD1	0.648935	3176	1.481521	3921
ABCD2	0.103775	11239	0.265157	13906
ABCD3	0.322520	6354	1.150564	7331
ABCD4	0.155817	9733	1.239737	6357
ABCE1	0.017800	14023	1.536865	3442
ABCF1	0.258323	7406	2.026583	774
ABCF2	0.180360	9109	1.496941	3777
ABCF3	0.010894	14561	1.485671	3884
ABCG1	0.000000	16075	0.851957	10188
ABCG2	0.268153	7216	0.268153	13881
ABCG4	0.622462	3352	0.638107	11759
ABCG5	0.000000	16074	0.000000	17235
ABCG8	0.000000	16073	0.000000	17234
ABHD1	1.707973	259	1.767144	1796
ABHD10	0.343187	6023	1.417887	4530
ABHD11	0.052476	12891	0.994414	8911
ABHD12	0.165207	9484	1.391852	4760
ABHD12B	0.016712	14482	0.016712	16167
ABHD13	0.054032	12864	1.096212	7897
ABHD14A	0.177648	9175	1.034488	8516
ABHD14B	-0.269202	17127	1.488255	3859
ABHD15	0.000000	16072	0.163700	14582
ABHD16A	0.018058	14009	1.293411	5827
ABHD16B	-	19005	-	19005
ABHD17A	0.248924	7593	1.044917	8418
ABHD17B	0.316747	6438	1.176993	7031
ABHD17C	0.101840	11306	0.826881	10407
ABHD18	0.219115	8208	0.655044	11640
ABHD2	0.784087	2411	1.985248	879
ABHD3	-0.070666	16648	0.879697	9952
ABHD4	0.464694	4608	1.805184	1588
ABHD5	0.411512	5155	1.044766	8421
ABHD6	0.079654	12057	0.691836	11375
ABHD8	1.198418	996	1.361138	5083
ABI1	-0.038435	16442	1.380478	4877
ABI2	0.581248	3619	1.671784	2405
ABI3	0.068614	12496	0.501303	12580
ABI3BP	0.513852	4145	1.470412	4025
ABL1	0.042666	13430	0.715509	11240
ABL2	0.285328	6923	0.981067	9047
ABLIM1	0.861109	2056	1.750832	1901
ABLIM2	0.311385	6505	0.579445	12111
ABLIM3	0.020657	13966	0.941111	9417
ABO	0.734611	2652	0.853243	10172
ABR	0.249897	7579	0.846863	10238
ABRA	0.242150	7719	0.242150	14024
ABRACL	0.026125	13894	1.491377	3832
ABT1	0.074464	12150	1.271330	6052
ABTB1	0.016712	14481	1.050213	8368
ABTB2	0.123992	10660	0.884813	9914
ACAA1	0.031535	13631	1.250942	6251
ACAA2	0.491671	4341	1.151675	7318
ACACA	0.018852	13995	1.137750	7467
ACACB	1.009645	1513	1.009645	8761
ACAD10	0.091062	11679	1.080640	8052
ACAD11	0.461720	4639	0.560793	12223
ACAD8	-0.001441	16109	1.207310	6688
ACAD9	0.082251	11962	1.449998	4209
ACADL	0.369786	5670	0.383652	13274
ACADM	0.513545	4147	1.397806	4703
ACADS	0.463217	4619	1.350852	5180
ACADSB	0.235042	7865	1.075137	8113
ACADVL	0.291281	6824	1.560925	3227
ACAN	0.307364	6559	0.307364	13703
ACAP1	0.268415	7209	0.380516	13284
ACAP2	0.511796	4164	1.577357	3099
ACAP3	0.032433	13613	0.460072	12866
ACAT1	1.513704	451	1.513704	3629
