gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.258677	6303	0.930239	9136
A1CF	1.498311	295	1.498311	4291
A2M	0.049218	11796	0.903633	9338
A2ML1	0.572755	2429	0.572755	11108
A3GALT2	-	19008	-	19008
A4GALT	0.358220	4566	1.053669	8174
A4GNT	0.000000	16389	0.000000	17239
AAAS	0.490255	3048	1.884225	1887
AACS	0.429316	3710	1.479980	4463
AADAC	0.831230	1277	0.831230	9796
AADACL2	0.000000	16388	0.000000	17238
AADACL3	0.000000	16387	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.320249	5179	0.889862	9427
AAED1	0.166177	8444	1.384533	5269
AAGAB	0.263878	6221	1.812579	2209
AAK1	0.000000	16386	0.647383	10799
AAMDC	0.171629	8329	1.307710	5956
AAMP	0.329564	5016	2.134330	996
AANAT	0.000000	16385	0.000000	17236
AAR2	0.361808	4521	1.472171	4544
AARD	0.000000	16384	0.000000	17235
AARS	0.293449	5642	1.905526	1787
AARS2	0.170138	8363	1.380956	5283
AARSD1	0.178867	8087	1.591700	3569
AASDH	0.117272	9623	1.197556	6959
AASDHPPT	0.395771	4093	1.775756	2392
AASS	0.027531	12352	0.804983	9960
AATF	0.058899	11168	1.527759	4053
AATK	0.772322	1467	0.772322	10151
ABAT	0.565082	2495	1.294246	6089
ABCA1	0.693727	1772	1.530968	4030
ABCA10	0.045574	11942	0.045574	14073
ABCA12	0.437354	3593	0.437354	11674
ABCA13	0.173101	8296	0.173101	12909
ABCA2	0.100670	9993	0.569374	11165
ABCA3	0.219970	7145	0.947924	9041
ABCA4	0.108094	9837	0.108094	13219
ABCA5	0.269513	6115	0.959995	8949
ABCA6	0.000000	16383	0.000000	17234
ABCA7	0.348305	4727	1.103408	7723
ABCA8	0.000000	16382	0.348305	12070
ABCA9	0.000000	16381	0.000000	17233
ABCB1	1.321562	445	1.919235	1732
ABCB10	0.275607	5964	1.135769	7493
ABCB11	0.000000	16380	0.000000	17232
ABCB4	0.057833	11187	0.206826	12750
ABCB5	0.000000	16379	0.000000	17231
ABCB6	0.693925	1764	1.072617	8023
ABCB7	0.177074	8131	1.426511	4904
ABCB8	0.264836	6194	1.355407	5511
