gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.246071	8960	1.190232	7839
A1CF	0.000000	16914	0.000000	17239
A2M	0.555270	3507	1.307068	6928
A2ML1	0.000000	16913	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.726633	2094	1.391058	6165
A4GNT	0.000000	16912	0.000000	17237
AAAS	0.591843	3106	1.985813	2012
AACS	0.343568	6944	1.394232	6135
AADAC	0.419425	5269	0.419425	12106
AADACL2	0.000000	16911	0.000000	17236
AADACL3	0.000000	16910	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.077337	12489	0.580566	11648
AAED1	0.137786	11125	1.356141	6456
AAGAB	0.143352	11025	1.692053	3700
AAK1	0.416641	5538	1.063226	8886
AAMDC	0.428475	5146	1.612271	4287
AAMP	0.351681	6781	2.156446	1387
AANAT	0.000000	16909	0.000000	17234
AAR2	0.367915	6483	1.413212	5918
AARD	0.000000	16908	0.000000	17233
AARS	0.163645	10651	1.775722	3117
AARS2	0.305916	7760	1.516733	5063
AARSD1	0.216920	9568	1.610259	4305
AASDH	0.027595	13589	0.959667	9534
AASDHPPT	0.305445	7768	1.545840	4802
AASS	0.334983	7130	1.397050	6120
AATF	0.092841	12194	1.561701	4650
AATK	0.111146	11846	0.128839	13413
ABAT	0.362943	6576	0.764923	10821
ABCA1	0.058694	12787	1.452093	5612
ABCA10	0.000000	16907	0.000000	17232
ABCA12	0.048455	13148	0.048455	14163
ABCA13	0.000000	16906	0.000000	17231
ABCA2	0.181879	10257	0.960774	9526
ABCA3	0.912124	1253	1.640079	4064
ABCA4	1.382427	371	1.382427	6223
ABCA5	0.220403	9507	1.075794	8816
ABCA6	0.628962	2770	1.088136	8753
ABCA7	0.356869	6669	1.192428	7818
ABCA8	0.535165	3725	1.475962	5400
ABCA9	0.887335	1327	1.189209	7955
ABCB1	0.394741	5922	0.721838	10983
ABCB10	0.289332	8084	1.149493	8195
ABCB11	0.000000	16905	0.000000	17230
ABCB4	0.048975	12960	0.050763	13969
ABCB5	0.000000	16904	0.000000	17229
ABCB6	0.718672	2137	0.955688	9720
ABCB7	0.081838	12412	1.320246	6755
ABCB8	0.461026	4659	1.463044	5477
ABCB9	0.347076	6863	0.808166	10458
ABCC1	0.557456	3482	1.608380	4315
ABCC10	0.497186	4181	1.051536	8933
ABCC11	0.000000	16903	0.000000	17228
ABCC12	0.000000	16902	0.000000	17227
