gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.164353	10879	0.780317	11115
A1CF	0.089905	13032	0.089905	15017
A2M	1.242530	622	2.292832	675
A2ML1	0.000000	16590	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	1.039124	975	1.703549	3077
A4GNT	0.000000	16589	0.000000	17238
AAAS	0.551794	3237	1.275772	7010
AACS	0.193648	9932	1.182129	7941
AADAC	0.107210	12388	0.107210	14677
AADACL2	0.387390	5410	0.387390	12936
AADACL3	0.000000	16588	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.362861	5848	0.932474	10039
AAED1	0.186650	10205	1.405005	5764
AAGAB	-0.035617	16774	1.513084	4758
AAK1	0.895975	1343	1.339451	6380
AAMDC	0.501409	3767	1.685204	3205
AAMP	0.235528	9008	1.929368	1721
AANAT	0.000000	16587	0.000000	17236
AAR2	0.063101	13410	1.133539	8376
AARD	0.000000	16586	0.000000	17235
AARS	0.010373	14011	1.566909	4242
AARS2	0.049015	13602	1.259833	7163
AARSD1	0.861848	1458	1.481872	5034
AASDH	0.110608	11928	1.190892	7788
AASDHPPT	0.234109	9026	1.410777	5687
AASS	0.530638	3458	1.583765	4069
AATF	0.388894	5287	1.857755	2083
AATK	0.609594	2768	0.609594	11907
ABAT	0.665581	2410	0.715167	11439
ABCA1	0.768836	1849	2.162236	948
ABCA10	1.213783	654	1.213783	7553
ABCA12	0.000000	16585	0.000000	17234
ABCA13	0.235528	9007	0.235528	13896
ABCA2	0.379770	5556	1.158664	8138
ABCA3	0.404626	5054	1.132580	8408
ABCA4	0.000000	16584	0.000000	17233
ABCA5	0.437345	4584	1.370328	6060
ABCA6	1.198932	681	1.658107	3448
ABCA7	0.178017	10437	0.587711	12044
ABCA8	1.393400	463	2.251249	759
ABCA9	1.305366	552	1.607241	3903
ABCB1	0.498889	3789	1.096562	8755
ABCB10	0.168455	10650	0.920645	10098
ABCB11	0.000000	16583	0.000000	17232
ABCB4	0.737498	2007	0.886491	10368
ABCB5	0.089905	13031	0.089905	15016
ABCB6	0.193355	9938	0.624282	11864
ABCB7	0.284970	7451	1.534407	4523
ABCB8	0.094885	12603	1.007321	9530
ABCB9	0.146204	11264	0.609594	11906
ABCC1	0.334651	6388	1.591621	4021
ABCC10	0.089002	13043	0.691081	11516
ABCC11	0.000000	16582	0.000000	17231
ABCC12	0.107210	12387	0.107210	14676
ABCC2	0.089905	13030	0.089905	15015
ABCC3	0.062310	13421	0.599883	11955
ABCC4	0.855845	1483	1.558469	4329
ABCC5	0.347059	6149	1.335859	6430
ABCC6	-	19006	-	19006
ABCC8	0.332438	6467	0.332438	13145
ABCC9	1.195529	688	1.558469	4328
ABCD1	0.023585	13895	0.976808	9761
ABCD2	0.892848	1353	1.054230	9117
ABCD3	0.746975	1957	1.311330	6639
ABCD4	0.332052	6473	1.312812	6624
ABCE1	0.152478	11125	1.671543	3323
ABCF1	0.322902	6693	2.172836	916
ABCF2	0.270162	7800	1.697404	3123
ABCF3	0.073858	13254	1.548635	4398
ABCG1	0.525186	3515	1.658107	3447
ABCG2	0.332438	6466	0.414973	12754
ABCG4	0.074261	13249	0.089905	15014
ABCG5	0.000000	16581	0.000000	17230
ABCG8	0.000000	16580	0.000000	17229
ABHD1	0.368963	5754	0.428135	12698
ABHD10	0.124299	11694	1.394977	5824
ABHD11	0.161578	10931	1.044540	9165
ABHD12	0.107210	12386	1.362859	6153
ABHD12B	0.000000	16579	0.000000	17228
ABHD13	0.310774	6938	1.352954	6281
ABHD14A	0.184296	10268	1.301464	6753
ABHD14B	-0.040620	16810	1.716838	2965
ABHD15	0.205979	9671	0.546543	12191
ABHD16A	0.043017	13670	1.277609	6981
ABHD16B	-	19005	-	19005
ABHD17A	0.063516	13402	0.920645	10097
ABHD17B	0.196895	9865	0.972203	9784
ABHD17C	-0.061154	16887	0.669317	11594
ABHD18	0.550770	3249	1.207365	7603
ABHD2	0.583569	2990	2.005438	1392
ABHD3	0.358842	5908	1.309204	6700
ABHD4	0.142143	11349	1.265290	7070
ABHD5	0.257456	8121	1.379668	5990
ABHD6	0.180838	10364	0.872739	10492
ABHD8	0.182931	10308	0.984977	9655
ABI1	0.233040	9049	1.513084	4757
ABI2	0.378971	5569	1.830525	2237
ABI3	1.142574	766	1.338855	6417
ABI3BP	1.870276	184	2.546617	339
ABL1	0.676642	2331	1.678154	3276
ABL2	0.613465	2736	1.309204	6699
ABLIM1	1.915479	165	2.070555	1180
ABLIM2	0.604679	2798	0.872739	10491
ABLIM3	0.766767	1860	1.883150	1927
ABO	0.895975	1342	0.895975	10325
ABR	0.924480	1268	1.622421	3744
ABRA	1.765594	218	1.765594	2633
ABRACL	0.036481	13747	1.096562	8754
ABT1	0.195655	9889	1.392521	5884
ABTB1	0.165098	10723	1.352954	6280
ABTB2	0.743468	1975	1.366423	6122
ACAA1	0.157670	11010	1.639686	3596
ACAA2	0.633615	2610	1.926394	1726
ACACA	0.479094	4055	1.622421	3743
ACACB	2.023252	121	2.023252	1338
ACAD10	0.143961	11308	1.133539	8375
ACAD11	0.357563	5934	0.987219	9630
ACAD8	0.143431	11320	1.352183	6296
ACAD9	0.125425	11669	1.525563	4597
ACADL	0.835718	1574	0.856729	10598
ACADM	0.794490	1742	2.168586	929
ACADS	0.482693	4021	1.370328	6059
ACADSB	0.513329	3627	1.522575	4625
ACADVL	0.831538	1593	2.505760	381
ACAN	0.786025	1771	0.836324	10689
ACAP1	0.275288	7685	0.387390	12935
ACAP2	0.411336	4972	1.684666	3226
ACAP3	0.210623	9560	0.883661	10404
ACAT1	0.822936	1623	2.495072	388
ACAT2	-0.048847	16835	0.932474	10038
ACBD3	0.149993	11174	2.003934	1396
ACBD4	0.386673	5420	1.095518	8786
ACBD5	0.549980	3256	1.017033	9392
ACBD6	0.216759	9428	1.338855	6416
ACBD7	-0.130108	17073	0.107210	14675
ACCS	0.708351	2171	1.095169	8812
ACCSL	-	19004	-	19004
ACD	0.175797	10481	0.818885	10852
ACE	0.784952	1774	1.231470	7403
ACE2	0.546543	3292	0.546543	12190
ACER1	0.000000	16578	0.000000	17227
ACER2	0.926749	1263	1.243286	7317
ACER3	0.364708	5826	1.483302	5030
ACHE	0.553660	3224	0.945469	9989
ACIN1	0.309996	6955	2.153571	968
ACKR1	2.235150	80	2.235150	797
ACKR2	0.661813	2452	0.661813	11727
ACKR3	1.100899	828	2.444997	457
ACKR4	1.006628	1049	1.111263	8607
ACLY	-0.030230	16742	1.312812	6623
ACMSD	0.089905	13029	0.089905	15013
ACO1	0.350772	6073	1.874714	1978
ACO2	0.704032	2195	2.465427	429
ACOD1	0.000000	16577	0.000000	17226
ACOT1	0.283301	7526	0.283301	13341
ACOT11	1.363815	488	1.454845	5241
ACOT12	0.089905	13028	0.089905	15012
ACOT13	0.600881	2826	1.762153	2642
ACOT2	0.554771	3215	1.594061	3988
ACOT4	0.025165	13875	0.164353	14286
ACOT6	-	19003	-	19003
ACOT7	0.491873	3903	1.032216	9304
ACOT8	-0.094345	16989	1.306425	6736
ACOT9	0.207875	9628	1.756940	2680
ACOX1	0.498169	3826	1.575996	4135
ACOX2	0.597404	2866	1.111263	8606
ACOX3	0.239209	8500	1.166726	8035
ACOXL	0.000000	16576	0.000000	17225
ACP1	0.040937	13688	1.666237	3345
ACP2	0.089905	13027	1.352183	6295
ACP5	0.137973	11415	0.283301	13340
ACP6	0.247158	8316	0.920645	10096
ACP7	-	19002	-	19002
ACPP	0.289412	7360	0.469822	12581
ACPT	-	19001	-	19001
ACR	0.000000	16575	0.000000	17224
ACRBP	0.133629	11510	0.380211	13018
ACRC	0.000000	16574	0.000000	17223
ACRV1	0.000000	16573	0.000000	17222
ACSBG1	0.235528	9006	0.235528	13895
ACSBG2	0.089905	13026	0.089905	15011
ACSF2	0.500024	3781	1.126131	8432
ACSF3	0.149007	11202	1.014100	9476
ACSL1	1.141903	767	1.868468	2006
ACSL3	0.185155	10251	2.041708	1274
ACSL4	0.910673	1308	2.476600	411
ACSL5	0.966693	1150	1.844601	2154
ACSL6	0.414973	4929	0.414973	12753
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16572	0.000000	17221
ACSM2B	0.000000	16571	0.000000	17220
ACSM3	0.107210	12385	0.107210	14674
ACSM4	-	18999	-	18999
ACSM5	0.451786	4384	0.451786	12618
ACSM6	0.000000	16570	0.000000	17219
ACSS1	0.640395	2566	1.728191	2872
ACSS2	0.529909	3466	1.370328	6058
ACSS3	0.668491	2388	1.242541	7347
ACTA1	3.747750	4	3.747750	11
ACTA2	1.901999	172	3.276296	49
ACTB	0.416992	4873	3.433009	36
