gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.548337	3472	1.303654	6930
A1CF	0.000000	17080	0.000000	17239
A2M	1.596265	224	2.579521	433
A2ML1	0.146128	12422	0.146128	14805
A3GALT2	-	19008	-	19008
A4GALT	0.586266	3122	1.281715	7155
A4GNT	0.000000	17079	0.000000	17238
AAAS	0.292591	7782	1.686561	3469
AACS	0.215397	9985	1.266061	7302
AADAC	0.292166	7804	0.292166	13820
AADACL2	0.000000	17078	0.000000	17237
AADACL3	0.000000	17077	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.235208	9401	0.804821	11130
AAED1	0.257171	8666	1.475526	5284
AAGAB	0.040580	15069	1.589281	4260
AAK1	0.461072	4462	1.356408	6407
AAMDC	0.351215	6323	1.535011	4728
AAMP	0.224186	9718	1.934248	1979
AANAT	0.000000	17076	0.000000	17235
AAR2	0.367915	6064	1.263972	7309
AARD	0.189667	10900	0.204120	14361
AARS	0.056043	14918	1.668120	3620
AARS2	0.081403	13892	1.292221	7047
AARSD1	0.337060	6692	1.553211	4562
AASDH	0.000000	17075	0.932981	10255
AASDHPPT	0.305445	7380	1.521983	4868
AASS	0.389719	5590	1.451786	5480
AATF	0.092841	13669	1.561701	4494
AATK	0.624772	2809	0.642465	12136
ABAT	0.092431	13680	0.818226	11049
ABCA1	0.412509	5232	1.805908	2690
ABCA10	0.790988	1754	0.790988	11213
ABCA12	0.000000	17074	0.000000	17234
ABCA13	1.460748	324	1.460748	5407
ABCA2	0.465135	4415	1.244030	7536
ABCA3	0.815081	1645	1.543036	4658
ABCA4	0.532338	3608	0.532338	12631
ABCA5	0.346144	6421	1.378580	6195
ABCA6	0.521738	3746	0.980912	9946
ABCA7	0.234848	9411	1.070407	9168
ABCA8	0.670396	2454	1.611192	4071
ABCA9	0.798812	1712	1.100687	8884
ABCB1	0.233557	9451	0.831230	10948
ABCB10	0.258965	8616	1.119126	8695
ABCB11	0.079181	14418	0.079181	15396
ABCB4	0.612935	2909	0.761928	11393
ABCB5	0.079181	14417	0.079181	15395
ABCB6	0.238656	9305	0.622214	12252
ABCB7	0.000000	17073	1.228913	7697
ABCB8	0.194801	10764	1.324311	6713
ABCB9	0.268370	8383	0.712832	11707
ABCC1	0.394599	5516	1.651569	3735
ABCC10	0.244320	9147	0.879669	10633
ABCC11	0.000000	17072	0.000000	17233
ABCC12	0.000000	17071	0.000000	17232
ABCC2	0.000000	17070	0.000000	17231
ABCC3	0.504271	3917	1.316599	6798
ABCC4	0.273528	8257	1.164559	8292
ABCC5	0.179992	11135	1.168792	8272
ABCC6	-	19006	-	19006
ABCC8	0.204120	10502	0.204120	14360
ABCC9	0.811702	1660	1.174641	8219
ABCD1	0.332485	6789	1.285708	7119
ABCD2	0.181040	11117	0.342423	13625
ABCD3	0.032365	15132	1.197005	8009
ABCD4	0.411419	5247	1.277151	7206
ABCE1	0.233927	9443	1.752992	3017
ABCF1	0.149686	11983	1.911525	2103
ABCF2	0.470433	4363	1.897675	2174
ABCF3	0.158122	11740	1.632899	3891
ABCG1	0.221475	9795	1.354396	6419
ABCG2	0.302252	7460	0.417201	13128
ABCG4	0.141332	12548	0.156977	14427
ABCG5	0.057612	14896	0.057612	15514
ABCG8	0.000000	17069	0.000000	17230
ABHD1	0.196101	10726	0.255273	14052
ABHD10	0.029019	15185	1.244030	7535
ABHD11	0.227127	9636	1.197088	7982
ABHD12	0.148558	11999	1.667444	3621
ABHD12B	0.146128	12421	0.146128	14804
ABHD13	0.063671	14810	1.105851	8867
ABHD14A	0.133488	12742	1.142773	8503
ABHD14B	0.059182	14867	1.816639	2623
ABHD15	0.356666	6233	0.697229	11816
ABHD16A	0.035564	15103	1.326266	6681
ABHD16B	-	19005	-	19005
ABHD17A	0.093707	13656	1.020306	9593
ABHD17B	0.137660	12640	1.138303	8559
ABHD17C	0.215834	9966	1.257227	7389
ABHD18	0.260400	8586	1.112270	8810
ABHD2	0.532265	3610	2.114311	1353
ABHD3	0.273393	8263	1.223755	7762
ABHD4	0.291441	7829	1.573568	4397
ABHD5	0.171566	11345	1.312114	6839
ABHD6	0.165840	11516	0.761928	11392
ABHD8	0.137938	12633	1.047664	9371
ABI1	0.211456	10101	1.573568	4396
ABI2	0.262860	8523	1.714414	3275
ABI3	1.115128	737	1.311408	6847
ABI3BP	1.122167	708	1.996643	1744
ABL1	0.774146	1839	1.429752	5688
ABL2	0.920963	1226	1.589030	4262
ABLIM1	0.904065	1281	1.445604	5542
ABLIM2	0.550166	3458	0.818226	11048
ABLIM3	0.653917	2580	1.616643	4012
ABO	0.817153	1637	0.943000	10182
ABR	0.714330	2178	1.363988	6337
ABRA	0.378398	5867	0.378398	13452
ABRACL	0.649820	2607	1.892351	2200
ABT1	0.156928	11780	1.353794	6426
ABTB1	0.284755	7985	1.472610	5317
ABTB2	0.294558	7732	1.055378	9304
ACAA1	0.127003	12925	1.609019	4092
ACAA2	0.423767	5008	1.432625	5662
ACACA	0.154540	11846	1.247015	7493
ACACB	1.286232	481	1.286232	7115
ACAD10	-0.008666	17108	0.980912	9945
ACAD11	0.350059	6344	0.761928	11391
ACAD8	0.045071	15047	1.253822	7430
ACAD9	0.116498	13206	1.483707	5209
ACADL	1.026653	924	1.047664	9370
ACADM	0.077909	14450	1.364238	6308
ACADS	0.292778	7776	1.180413	8176
ACADSB	0.239708	9273	1.248954	7488
ACADVL	0.495759	4042	2.165670	1213
ACAN	1.685300	175	1.735599	3126
ACAP1	0.568234	3278	0.680336	11915
ACAP2	0.115193	13238	1.596047	4203
ACAP3	0.244540	9142	0.943000	10181
ACAT1	0.192578	10819	1.819215	2608
ACAT2	0.211680	10094	1.644830	3785
ACBD3	0.050356	14978	1.904298	2139
ACBD4	0.467391	4389	1.062958	9233
ACBD5	0.210154	10130	0.776701	11300
ACBD6	0.328907	6867	1.338009	6569
ACBD7	0.149129	11989	0.386447	13300
ACCS	0.447315	4633	0.912222	10399
ACCSL	-	19004	-	19004
ACD	0.341725	6593	1.253104	7435
ACE	0.929485	1195	1.376003	6208
ACE2	0.079181	14416	0.079181	15394
ACER1	0.000000	17068	0.000000	17229
ACER2	0.363798	6127	0.680336	11914
ACER3	0.088052	13785	1.206646	7916
ACHE	0.138391	12618	0.530200	12717
ACIN1	0.212649	10065	1.948755	1933
ACKR1	1.839729	127	1.839729	2491
ACKR2	0.413300	5219	0.413300	13265
ACKR3	0.981439	1038	2.325536	804
ACKR4	1.149188	663	1.253822	7429
ACLY	0.698224	2265	1.992923	1758
ACMSD	0.079181	14415	0.079181	15393
ACO1	0.406157	5353	1.930098	2003
ACO2	0.013705	15333	1.775100	2882
ACOD1	0.000000	17067	0.000000	17228
ACOT1	0.204120	10501	0.204120	14359
ACOT11	0.684754	2348	0.730782	11595
ACOT12	0.000000	17066	0.000000	17227
ACOT13	0.211420	10103	1.524826	4821
ACOT2	0.146128	12420	1.098990	8922
ACOT4	0.006940	15380	0.146128	14803
ACOT6	-	19003	-	19003
ACOT7	0.858577	1440	1.701754	3354
ACOT8	0.058341	14874	1.459110	5416
ACOT9	0.329807	6844	1.878873	2280
ACOX1	0.176119	11228	1.508934	4974
ACOX2	0.666016	2477	0.765536	11316
ACOX3	0.382668	5706	1.360215	6377
ACOXL	0.000000	17065	0.000000	17226
ACP1	0.156127	11801	1.879902	2277
ACP2	0.133100	12749	1.650659	3742
ACP5	1.021284	941	1.047664	9369
ACP6	0.256519	8679	0.776701	11299
ACP7	-	19002	-	19002
ACPP	0.532760	3602	0.761928	11390
ACPT	-	19001	-	19001
ACR	0.000000	17064	0.000000	17225
ACRBP	0.354391	6269	0.600973	12373
ACRC	0.000000	17063	0.000000	17224
ACRV1	0.000000	17062	0.000000	17223
ACSBG1	0.146128	12419	0.146128	14802
ACSBG2	0.000000	17061	0.000000	17222
ACSF2	0.217602	9911	0.922725	10333
ACSF3	0.085347	13833	0.914369	10350
ACSL1	0.749785	1947	1.542452	4670
ACSL3	0.388291	5609	2.073938	1470
ACSL4	0.140022	12591	1.705949	3328
ACSL5	0.378398	5866	1.131939	8612
ACSL6	0.204120	10500	0.204120	14358
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17060	0.000000	17221
ACSM2B	0.000000	17059	0.000000	17220
ACSM3	0.146128	12418	0.204120	14357
ACSM4	-	18999	-	18999
ACSM5	0.146128	12417	0.146128	14801
ACSM6	0.000000	17058	0.000000	17219
ACSS1	0.231449	9513	1.308137	6889
ACSS2	0.346861	6409	1.340841	6556
ACSS3	0.406862	5341	0.980912	9944
ACTA1	1.793581	148	1.793581	2762
ACTA2	2.258504	45	3.632801	23
ACTB	0.736479	2033	4.072738	4
ACTBL2	0.216765	9936	0.216765	14098
ACTC1	2.121306	67	2.228811	1018
ACTG1	0.696663	2282	4.045358	5
ACTG2	2.067592	77	2.797157	271
ACTL10	0.183971	11051	0.301030	13810
ACTL6A	0.213710	10033	1.729727	3155
ACTL6B	0.204120	10499	0.204120	14356
ACTL7A	0.000000	17057	0.000000	17218
ACTL7B	0.000000	17056	0.000000	17217
ACTL8	0.000000	17055	0.000000	17216
ACTL9	0.000000	17054	0.000000	17215
ACTN1	0.835374	1532	2.945015	185
ACTN2	1.429647	348	1.659250	3670
ACTN3	0.146128	12416	0.146128	14800
ACTN4	0.751813	1940	2.282577	892
ACTR10	0.225871	9678	1.827046	2568
ACTR1A	0.335198	6733	2.364628	729
ACTR1B	0.204591	10279	1.495406	5077
ACTR2	0.169785	11385	1.882433	2263
ACTR3	0.287722	7913	2.457291	585
ACTR3B	0.088484	13775	0.998695	9789
ACTR3C	0.066924	14683	0.413300	13264
ACTR5	0.081594	13887	0.878861	10636
ACTR6	0.081130	13897	1.128487	8628
ACTR8	0.118780	13126	1.315493	6805
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17053	0.000000	17214
ACTRT3	-	18997	-	18997
ACVR1	0.361668	6158	1.436163	5626
ACVR1B	0.263986	8490	1.281715	7154
ACVR1C	0.079181	14414	0.079181	15392
ACVR2A	0.191908	10838	0.879669	10632
ACVR2B	0.177349	11208	0.578639	12480
ACVRL1	1.592002	231	1.958049	1893
ACY1	0.238509	9308	1.369688	6260
ACY3	0.000000	17052	0.000000	17213
ACYP1	0.311391	7247	1.263991	7308
ACYP2	0.102940	13493	1.039811	9427
ADA	0.517591	3795	1.192107	8028
ADAD1	0.000000	17051	0.000000	17212
ADAD2	0.000000	17050	0.000000	17211
ADAL	-0.105719	17228	0.622214	12251
ADAM10	0.250189	8993	1.737279	3105
ADAM11	0.204120	10498	0.204120	14355
ADAM12	0.984500	1033	1.262996	7335
ADAM15	0.774056	1841	2.453893	589
ADAM17	0.277487	8155	1.335560	6594
ADAM18	0.000000	17049	0.000000	17210
ADAM19	0.708579	2206	1.718975	3229
ADAM2	0.000000	17048	0.000000	17209
ADAM20	0.000000	17047	0.000000	17208
ADAM21	0.000000	17046	0.000000	17207
ADAM22	0.523522	3726	0.971740	10002
ADAM23	0.478158	4248	0.961084	10059
ADAM28	0.845394	1487	1.070407	9167
ADAM29	0.000000	17045	0.000000	17206
ADAM30	0.000000	17044	0.000000	17205
ADAM32	0.079181	14413	0.079181	15391
ADAM33	0.936425	1175	1.429752	5687
ADAM7	0.000000	17043	0.000000	17204
ADAM8	0.329808	6843	0.503791	12827
ADAM9	0.678214	2400	2.360901	737
ADAMDEC1	0.270790	8325	0.270790	13852
ADAMTS1	0.758496	1913	2.563267	444
ADAMTS10	0.737645	2024	1.436163	5625
ADAMTS12	1.450570	332	1.687358	3461
ADAMTS13	0.000000	17042	0.000000	17203
ADAMTS14	0.598752	3029	0.833619	10890
ADAMTS15	0.655933	2562	1.180413	8175
ADAMTS16	0.116498	13205	0.116498	14896
ADAMTS17	0.350838	6329	0.475671	12937
ADAMTS18	1.057614	849	1.057614	9250
ADAMTS19	0.079181	14412	0.079181	15390
ADAMTS2	0.662566	2500	1.402984	5965
ADAMTS20	0.000000	17041	0.000000	17202
ADAMTS3	0.253416	8894	0.530200	12716
ADAMTS4	0.936036	1179	1.537441	4713
ADAMTS5	0.612778	2910	1.332842	6626
ADAMTS6	0.743781	1988	0.986491	9873
ADAMTS7	0.823143	1592	1.413602	5833
ADAMTS8	0.746634	1969	0.746634	11495
ADAMTS9	1.473060	311	1.925776	2032
ADAMTSL1	1.043343	892	1.540271	4678
ADAMTSL2	0.468072	4385	0.503791	12826
ADAMTSL3	1.346444	427	1.385785	6138
ADAMTSL4	0.483604	4191	1.363988	6336
ADAMTSL5	0.591285	3079	0.952792	10122
ADAP1	0.255273	8854	0.789475	11217
ADAP2	0.657493	2547	0.901458	10473
ADAR	0.193982	10785	1.619615	3981
ADARB1	0.879377	1371	1.847202	2460
ADARB2	0.255273	8853	0.255273	14051
ADAT1	0.040342	15071	0.998602	9790
ADAT2	0.194381	10781	1.070407	9166
ADAT3	0.213734	10031	1.887129	2228
ADCK1	0.111800	13305	0.594510	12381
ADCK2	0.019956	15266	1.062958	9232
ADCK5	0.124328	12996	0.921255	10337
ADCY1	0.174829	11269	0.255273	14050
ADCY10	0.000000	17040	0.000000	17201
ADCY2	0.888619	1336	0.943000	10180
ADCY3	0.330818	6822	1.312389	6838
ADCY4	1.010600	962	1.412748	5859
ADCY5	1.225203	555	1.253822	7428
ADCY6	0.497718	4016	1.308137	6888
ADCY7	0.387110	5639	0.953032	10077
ADCY8	0.079181	14411	0.079181	15389
ADCY9	0.602860	2967	1.168792	8271
ADCYAP1	0.600973	3008	0.600973	12372
ADCYAP1R1	0.146128	12415	0.146128	14799
ADD1	0.467012	4397	1.921634	2046
ADD2	0.310649	7272	0.516427	12738
ADD3	0.544995	3498	1.683472	3487
ADGB	0.475671	4304	0.475671	12936
ADGRA1	0.079181	14410	0.079181	15388
ADGRA2	0.470666	4360	1.455292	5447
ADGRA3	0.249643	9009	1.031812	9501
ADGRB1	0.079181	14409	0.079181	15387
ADGRB2	0.273852	8247	0.796449	11147
ADGRB3	0.871299	1391	1.112270	8809
ADGRD1	0.756330	1920	1.228913	7696
ADGRD2	-	18996	-	18996
ADGRE1	0.255273	8852	0.255273	14049
ADGRE2	1.063388	842	1.892707	2199
ADGRE3	0.255273	8851	0.255273	14048
ADGRE5	1.073075	815	2.168645	1199
ADGRF1	0.555094	3410	0.555094	12599
ADGRF2	0.065167	14791	0.065167	15502
ADGRF3	0.079181	14408	0.199967	14369
ADGRF4	0.133103	12748	0.133103	14821
ADGRF5	0.889632	1331	1.023664	9583
ADGRG1	1.066791	836	1.988039	1775
ADGRG2	0.413300	5218	0.413300	13263
ADGRG3	0.445604	4715	0.445604	13101
ADGRG4	0.000000	17039	0.000000	17200
ADGRG5	0.204120	10497	0.204120	14354
ADGRG6	0.503791	3955	0.989895	9864
ADGRG7	0.000000	17038	0.000000	17199
ADGRL1	0.000000	17037	0.197200	14381
ADGRL2	0.255273	8850	0.289949	13826
ADGRL3	0.927478	1200	0.980912	9943
ADGRL4	1.481718	305	2.384256	702
ADGRV1	0.301030	7587	0.301030	13809
ADH1A	0.000000	17036	0.000000	17198
ADH1B	2.248536	48	2.495295	538
ADH1C	0.943000	1162	0.943000	10179
ADH4	0.413300	5217	0.413300	13262
ADH5	0.415283	5127	1.998188	1736
ADH6	0.146128	12414	0.146128	14798
ADH7	0.378398	5865	0.378398	13451
ADHFE1	0.534820	3585	1.277151	7205
ADI1	0.364705	6117	2.143265	1273
ADIG	0.000000	17035	0.000000	17197
ADIPOQ	1.460748	323	1.460748	5406
ADIPOR1	0.304340	7410	1.843159	2475
ADIPOR2	0.110384	13335	1.461872	5390
ADIRF	1.369597	397	3.139312	93
ADK	0.289084	7887	1.677611	3540
ADM	0.481372	4216	2.200331	1105
ADM2	0.606672	2945	0.863836	10727
ADM5	0.445604	4714	0.445604	13100
ADNP	0.279591	8110	1.850891	2438
ADNP2	0.309891	7289	1.131939	8611
ADO	0.132493	12766	0.949310	10135
ADORA1	0.065167	14790	0.146128	14797
ADORA2A	0.764016	1882	0.983456	9894
ADORA2B	0.588997	3100	1.022837	9587
ADORA3	0.578639	3196	0.578639	12479
ADPGK	0.234255	9433	1.479725	5244
ADPRH	0.272953	8279	0.530200	12715
ADPRHL1	0.000000	17034	0.000000	17196
ADPRHL2	0.161391	11635	1.313126	6819
ADPRM	-0.020359	17137	0.881306	10581
ADRA1A	0.079181	14407	0.079181	15386
ADRA1B	0.925537	1210	1.295127	7029
ADRA1D	0.868284	1404	0.952792	10121
ADRA2A	0.738515	2019	1.197005	8008
ADRA2B	0.831230	1554	0.831230	10947
ADRA2C	1.510163	283	1.554731	4555
ADRB1	0.606846	2944	0.730782	11594
ADRB2	0.207759	10209	1.180413	8174
ADRB3	0.000000	17033	0.000000	17195
ADRM1	0.483810	4188	2.150608	1247
ADSL	0.344539	6459	1.501098	5025
ADSS	0.536642	3559	1.696600	3390
ADSSL1	1.402182	370	1.670524	3602
ADTRP	0.079181	14406	0.079181	15385
AEBP1	1.339111	436	3.016319	150
AEBP2	0.559339	3345	1.697404	3388
AEN	0.459838	4486	1.314745	6810
AES	0.422269	5032	2.241990	980
AFAP1	0.862864	1426	1.876122	2287
AFAP1L1	1.037771	906	1.858207	2391
AFAP1L2	0.484611	4180	1.150756	8454
AFDN	0.642465	2687	1.290702	7081
AFF1	0.511006	3852	1.542452	4669
AFF2	0.146128	12413	0.146128	14796
AFF3	0.325051	6954	0.413300	13261
AFF4	0.380718	5749	1.529943	4790
AFG3L2	0.170890	11357	1.575880	4385
AFM	0.000000	17032	0.000000	17194
AFMID	0.162681	11599	1.614160	4034
AFP	0.205987	10245	0.205987	14115
AFTPH	0.241581	9222	0.890421	10550
AGA	0.269393	8359	1.175073	8195
AGAP1	0.618654	2872	1.031812	9500
AGAP2	0.311678	7240	0.342423	13624
AGAP3	0.399250	5442	1.527392	4803
AGAP4	-	18995	-	18995
AGAP5	0.130662	12795	0.989895	9863
AGAP6	-	18994	-	18994
AGAP9	-	18993	-	18993
AGBL1	-	18992	-	18992
AGBL2	0.149344	11988	0.503791	12825
AGBL3	0.338116	6670	0.932981	10254
AGBL4	0.578639	3195	0.578639	12478
AGBL5	0.204356	10284	1.220910	7774
AGER	0.000000	17031	0.000000	17193
AGFG1	0.124166	13000	1.758539	2986
AGFG2	0.412703	5229	1.400863	5974
AGGF1	0.094989	13635	1.323811	6715
AGK	-0.058406	17205	0.662790	11956
AGL	0.216146	9955	1.234011	7644
AGMAT	0.087273	13798	0.350391	13486
AGMO	0.411364	5250	0.460843	12962
AGO1	0.239955	9270	1.344785	6522
AGO2	0.496651	4032	1.772175	2899
AGO3	0.397391	5471	1.248954	7487
AGO4	0.378578	5786	0.989895	9862
AGPAT1	0.488148	4135	1.572627	4407
AGPAT2	0.564579	3305	1.241664	7546
AGPAT3	0.111366	13317	0.854207	10811
AGPAT4	0.109098	13365	1.007321	9708
AGPAT5	0.343269	6484	1.372355	6234
AGPS	0.067119	14677	1.771042	2905
AGR2	1.837210	129	1.837210	2499
AGR3	0.843855	1498	0.843855	10869
AGRN	0.487506	4147	1.704450	3334
AGRP	0.000000	17030	0.000000	17192
AGT	0.955808	1112	1.478422	5262
AGTPBP1	0.143482	12487	1.191730	8063
AGTR1	-	18991	-	18991
AGTR2	0.000000	17029	0.000000	17191
AGTRAP	0.237400	9338	1.716400	3263
AGXT	0.000000	17028	0.000000	17190
AGXT2	0.000000	17027	0.000000	17189
AHCTF1	0.215501	9980	1.150756	8453
AHCY	0.392722	5546	2.163554	1216
AHCYL1	0.336714	6698	1.748110	3043
AHCYL2	0.128839	12885	1.070407	9165
AHDC1	0.474178	4319	1.492621	5113
AHI1	0.142622	12520	1.156852	8387
AHNAK	0.674947	2425	3.003633	155
AHNAK2	0.972162	1063	1.625715	3941
AHR	0.385476	5667	1.392873	6066
AHRR	0.731775	2059	1.068234	9178
AHSA1	0.395671	5502	2.050827	1535
AHSA2	0.291677	7823	1.413467	5855
AHSG	0.079181	14405	0.079181	15384
AHSP	0.146128	12412	0.146128	14795
AICDA	0.000000	17026	0.000000	17188
AIDA	0.242459	9195	1.504099	4994
AIF1	0.521306	3750	1.389343	6101
AIF1L	0.722963	2118	1.749659	3039
AIFM1	0.152468	11897	1.097924	8926
