gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	89	3.183790	255
A1CF	2.101919	501	2.101919	2574
A2M	2.206353	427	3.256655	225
A2ML1	0.673942	7019	0.673942	14412
A3GALT2	-	19008	-	19008
A4GALT	0.316966	13855	1.012415	12817
A4GNT	0.691081	6808	0.691081	14357
AAAS	0.681334	6919	1.820039	4785
AACS	0.521760	9562	1.572424	7517
AADAC	1.956168	649	1.956168	3576
AADACL2	0.117271	16032	0.117271	16067
AADACL3	0.025306	16600	0.025306	16600
AADACL4	-	19007	-	19007
AADAT	1.013472	3723	1.226084	11204
AAED1	0.360628	12996	1.578983	7438
AAGAB	0.314875	13901	1.863576	4382
AAK1	1.032145	3609	1.927481	3784
AAMDC	0.357779	13048	1.541575	7862
AAMP	0.250092	14984	2.007833	3190
AANAT	2.596552	227	2.596552	850
AAR2	0.431217	11350	1.552452	7732
AARD	0.235967	15154	0.250420	15708
AARS	0.400255	12018	1.953859	3587
AARS2	0.266172	14725	1.476989	8614
AARSD1	0.335380	13518	1.643255	6681
AASDH	0.536959	9266	1.617243	6996
AASDHPPT	0.477012	10447	1.784183	5142
AASS	0.857829	4935	1.850956	4502
AATF	0.311385	13955	1.780245	5181
AATK	1.384224	1921	1.401917	9466
ABAT	1.966422	642	2.695586	689
ABCA1	1.417970	1800	2.290881	1681
ABCA10	0.791715	5605	0.791715	13946
ABCA12	0.283755	14474	0.283755	15603
ABCA13	0.951823	4146	0.951823	13177
ABCA2	0.912187	4457	1.691081	6136
ABCA3	1.183555	2754	1.717421	5853
ABCA4	0.344392	13334	0.344392	15472
ABCA5	1.222196	2558	2.097047	2610
ABCA6	1.258738	2405	1.717912	5845
ABCA7	1.545931	1410	2.189133	2111
ABCA8	0.731487	6291	1.672283	6350
ABCA9	0.653332	7298	0.955207	13128
ABCB1	1.320513	2143	1.918186	3874
ABCB10	1.141486	2957	2.001647	3238
ABCB11	1.753506	952	1.753506	5451
ABCB4	2.095754	505	2.244747	1871
ABCB5	0.042368	16438	0.042368	16439
ABCB6	1.217134	2586	1.595827	7241
ABCB7	0.316174	13875	1.565612	7611
ABCB8	0.448495	11022	1.502154	8309
ABCB9	0.382171	12399	0.721234	14209
ABCC1	0.463893	10690	1.684486	6197
ABCC10	0.436944	11260	1.104487	12234
ABCC11	0.054784	16370	0.054784	16376
ABCC12	0.029968	16475	0.029968	16475
ABCC2	1.933487	680	1.933487	3739
ABCC3	1.402242	1851	2.214571	1982
ABCC4	0.849526	5009	1.251881	10972
ABCC5	0.478467	10422	1.467267	8735
ABCC6	-	19006	-	19006
ABCC8	1.662763	1143	1.662763	6459
ABCC9	1.178015	2786	1.540955	7872
ABCD1	0.562293	8815	1.296117	10538
ABCD2	0.801997	5467	0.963379	13099
ABCD3	0.815718	5321	1.620760	6955
ABCD4	0.537262	9260	1.492900	8414
ABCE1	0.308369	14019	1.827434	4721
ABCF1	0.175105	15733	2.002778	3227
ABCF2	0.341506	13390	1.768748	5301
ABCF3	0.214806	15365	1.689584	6143
ABCG1	0.502060	9938	1.634981	6781
ABCG2	0.770604	5838	0.840092	13733
ABCG4	0.660204	7215	0.675849	14404
ABCG5	1.401056	1856	1.401056	9472
ABCG8	2.011613	587	2.011613	3154
ABHD1	0.461405	10735	0.520576	14911
ABHD10	0.549613	9046	1.820290	4781
ABHD11	0.478436	10423	1.448397	8940
ABHD12	1.958421	646	1.958421	3564
ABHD12B	0.250420	14978	0.250420	15707
ABHD13	0.365659	12899	1.392873	9567
ABHD14A	0.796201	5558	1.651859	6574
ABHD14B	0.519073	9603	2.276531	1740
ABHD15	0.675634	6996	1.016197	12780
ABHD16A	0.396827	12086	1.687529	6173
ABHD16B	-	19005	-	19005
ABHD17A	0.302811	14147	1.180126	11599
ABHD17B	0.946156	4181	1.782616	5163
ABHD17C	0.322063	13748	1.245266	11026
ABHD18	0.718633	6437	1.344392	10099
ABHD2	1.469279	1642	2.392802	1329
ABHD3	0.812916	5344	1.763278	5361
ABHD4	0.438018	11237	1.778507	5195
ABHD5	0.513662	9697	1.710540	5922
ABHD6	0.972624	4002	1.648397	6623
ABHD8	0.557440	8909	1.324889	10273
ABI1	0.507353	9830	1.787248	5115
ABI2	0.654284	7289	1.943739	3652
ABI3	0.909168	4485	1.314289	10370
ABI3BP	1.007936	3766	1.964495	3519
ABL1	0.407745	11860	1.409257	9383
ABL2	0.816802	5314	1.484869	8513
ABLIM1	1.367019	1995	2.256742	1815
ABLIM2	0.947826	4170	1.041289	12642
ABLIM3	1.103116	3170	1.914644	3909
ABO	1.319447	2154	1.445293	8969
ABR	1.669280	1128	1.732019	5679
ABRA	1.269046	2354	1.269046	10798
ABRACL	0.613603	7948	1.733925	5652
ABT1	0.229909	15217	1.426776	9206
ABTB1	0.494380	10098	1.682235	6230
ABTB2	0.679616	6940	1.440437	9033
ACAA1	0.991442	3868	2.473458	1130
ACAA2	1.734856	1000	3.027635	337
ACACA	0.618384	7862	1.761711	5374
ACACB	2.291944	383	2.291944	1670
ACAD10	0.372121	12660	1.361698	9922
ACAD11	1.302451	2225	1.967887	3501
ACAD8	0.383381	12379	1.592133	7282
ACAD9	0.270958	14665	1.575494	7480
ACADL	1.234770	2501	1.234770	11129
ACADM	1.045678	3530	2.419774	1261
ACADS	1.308074	2203	2.195709	2072
ACADSB	1.601201	1270	2.610447	831
ACADVL	0.746495	6128	2.623465	803
ACAN	0.490907	10151	0.567089	14721
ACAP1	1.788047	886	1.900149	4037
ACAP2	1.244936	2454	1.744139	5546
ACAP3	0.826249	5224	1.111599	12168
ACAT1	1.536497	1438	3.058912	320
ACAT2	0.804070	5446	2.237220	1899
ACBD3	0.191165	15605	2.045106	2940
ACBD4	0.959354	4087	1.668199	6386
