gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.644125	8712	1.441894	9653
A1CF	0.344210	14265	0.344210	15395
A2M	1.166075	3254	2.216377	2034
A2ML1	1.509874	1739	1.509874	8891
A3GALT2	-	19008	-	19008
A4GALT	0.876539	5582	1.540964	8510
A4GNT	0.029384	16721	0.029384	16725
AAAS	0.681334	8102	1.855699	4888
AACS	0.589678	9702	1.579441	8089
AADAC	0.426511	12839	0.426511	15124
AADACL2	0.000000	17238	0.000000	17239
AADACL3	0.133539	16266	0.133539	16329
AADACL4	-	19007	-	19007
AADAT	0.848025	5894	1.417638	9937
AAED1	0.333527	14400	1.205519	11859
AAGAB	0.326997	14475	1.875698	4671
AAK1	1.185340	3109	2.003485	3490
AAMDC	0.557695	10325	1.445192	9625
AAMP	0.555515	10364	2.092721	2784
AANAT	2.596552	132	2.596552	726
AAR2	0.406212	13176	1.434707	9735
AARD	0.489338	11637	0.503791	14873
AARS	0.579493	9898	2.060414	3013
AARS2	0.523743	10960	1.734560	6212
AARSD1	0.730782	7361	1.671913	6986
AASDH	0.760261	6969	1.840545	5043
AASDHPPT	1.102112	3653	2.171609	2298
AASS	0.759577	6981	1.821645	5241
AATF	0.126856	16350	1.595717	7906
AATK	2.512418	169	2.512418	919
ABAT	1.964475	667	1.964475	3841
ABCA1	0.485721	11728	1.836007	5097
ABCA10	0.841359	5969	0.841359	13907
ABCA12	0.283755	14955	0.283755	15544
ABCA13	0.477121	11936	0.477121	15011
ABCA2	2.174494	420	2.539866	851
ABCA3	1.354795	2312	2.082749	2851
ABCA4	1.440250	1995	1.440250	9662
ABCA5	1.122049	3521	2.154485	2397
ABCA6	0.860351	5749	1.319526	10915
ABCA7	1.545931	1622	2.189133	2191
ABCA8	1.306211	2501	2.044882	3133
ABCA9	1.112759	3585	1.414634	9960
ABCB1	1.275706	2629	1.873379	4705
ABCB10	0.267242	15088	1.071034	12850
ABCB11	0.043445	16604	0.043445	16610
ABCB4	0.404188	13212	0.553180	14732
ABCB5	0.240549	15343	0.240549	15677
ABCB6	0.744295	7170	1.175222	12151
ABCB7	0.468316	12099	1.717754	6420
ABCB8	0.423101	12898	1.517724	8807
ABCB9	1.164017	3265	1.281033	11255
ABCC1	0.607156	9360	1.864126	4802
ABCC10	0.833099	6053	1.244277	11571
ABCC11	0.130334	16309	0.130334	16364
ABCC12	0.831870	6068	0.831870	13941
ABCC2	0.234174	15507	0.234174	15806
ABCC3	0.609749	9313	1.422077	9894
ABCC4	0.458140	12236	1.202792	11898
ABCC5	0.980009	4578	1.968810	3791
ABCC6	-	19006	-	19006
ABCC8	1.662763	1302	1.662763	7097
ABCC9	0.751784	7084	0.879096	13744
ABCD1	0.389166	13509	1.150434	12330
ABCD2	1.547698	1616	1.709080	6510
ABCD3	0.561502	10254	1.502304	8976
ABCD4	0.649994	8609	1.806858	5385
ABCE1	0.409996	13111	1.929061	4159
ABCF1	0.625084	9058	2.282340	1730
ABCF2	0.665386	8347	1.689474	6745
ABCF3	0.291487	14894	1.766264	5854
ABCG1	0.695163	7903	1.828084	5176
ABCG2	1.227474	2886	1.342423	10701
