gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.586288	7274	1.046495	11645
A1CF	0.000000	17189	0.000000	17239
A2M	0.970432	3105	2.020734	2349
A2ML1	1.322012	1579	1.322012	9272
A3GALT2	-	19008	-	19008
A4GALT	0.030313	16118	0.694738	13464
A4GNT	0.000000	17188	0.000000	17238
AAAS	0.657359	6170	1.665581	5484
AACS	0.589678	7206	1.579441	6437
AADAC	0.025306	16235	0.025306	16324
AADACL2	0.000000	17187	0.000000	17237
AADACL3	0.133539	15534	0.133539	15912
AADACL4	-	19007	-	19007
AADAT	0.848025	4053	1.417638	8250
AAED1	0.229318	14029	1.059942	11555
AAGAB	0.224207	14239	1.772908	4405
AAK1	1.185340	2025	2.003485	2477
AAMDC	0.306292	12756	1.387034	8563
AAMP	0.318063	12559	2.092721	1959
AANAT	0.152288	15075	0.152288	15587
AAR2	0.406212	10614	1.350829	8962
AARD	0.486607	9029	0.501059	14174
AARS	0.579493	7380	2.014926	2382
AARS2	0.418286	10373	1.629104	5884
AARSD1	0.327229	12270	1.666518	5476
AASDH	0.595031	7096	1.675315	5378
AASDHPPT	1.102112	2383	2.171609	1570
AASS	0.386473	11110	1.426567	8145
AATF	0.013728	16293	1.482588	7517
AATK	2.024937	351	2.024937	2332
ABAT	1.864926	517	1.864926	3538
ABCA1	0.485721	9069	1.543696	6803
ABCA10	0.372912	11451	0.372912	14631
ABCA12	0.127105	15689	0.127105	16024
ABCA13	0.262071	13422	0.262071	14973
ABCA2	1.627425	877	2.104692	1897
ABCA3	1.354795	1489	2.082749	2016
ABCA4	0.472756	9305	0.472756	14266
ABCA5	0.727713	5283	1.760149	4537
ABCA6	0.292852	12989	0.752026	13246
ABCA7	0.797789	4515	1.229743	10176
ABCA8	0.962419	3178	1.903215	3219
ABCA9	0.475585	9251	0.709270	13402
ABCB1	1.157246	2123	1.754919	4603
ABCB10	0.267242	13321	1.071034	11486
ABCB11	0.000000	17186	0.000000	17236
ABCB4	0.390084	10952	0.539076	14025
ABCB5	0.017693	16285	0.017693	16364
ABCB6	0.646441	6315	1.077368	11434
ABCB7	0.306986	12742	1.556423	6658
ABCB8	0.382814	11178	1.473216	7632
ABCB9	1.164017	2104	1.257439	9912
ABCC1	0.354778	11747	1.092370	11320
ABCC10	0.545177	7957	1.212720	10330
ABCC11	0.130334	15602	0.130334	15962
ABCC12	0.831870	4191	0.831870	12878
ABCC2	0.127105	15688	0.127105	16023
ABCC3	0.509639	8575	1.280641	9673
ABCC4	0.456254	9571	1.202792	10433
ABCC5	0.842295	4093	1.831095	3836
ABCC6	-	19006	-	19006
ABCC8	1.358886	1482	1.358886	8881
ABCC9	0.605725	6918	0.776511	13126
ABCD1	0.389166	11059	0.895975	12570
ABCD2	1.421476	1305	1.582858	6407
ABCD3	0.366588	11540	1.502304	7280
ABCD4	0.449506	9705	1.536180	6904
ABCE1	0.376303	11322	1.895367	3277
ABCF1	0.432406	10085	2.282340	1194
ABCF2	0.665386	6046	1.648360	5683
ABCF3	0.291487	13017	1.766264	4482
ABCG1	0.537212	8110	1.575419	6472
ABCG2	1.004307	2896	1.119256	11106
ABCG4	0.959328	3195	0.974972	12107
ABCG5	0.133539	15533	0.133539	15911
ABCG8	0.133539	15532	0.133539	15910
ABHD1	0.404557	10649	0.463729	14275
ABHD10	0.492301	8905	1.762978	4512
ABHD11	0.323061	12332	1.263873	9845
ABHD12	0.511592	8533	2.030478	2303
ABHD12B	0.895423	3655	0.895423	12592
ABHD13	0.317111	12570	1.359291	8879
ABHD14A	0.837488	4142	1.801952	4113
ABHD14B	-0.340742	17238	1.416716	8256
ABHD15	0.224184	14240	0.564747	13942
ABHD16A	0.576341	7426	1.547529	6769
ABHD16B	-	19005	-	19005
ABHD17A	0.507704	8604	1.403807	8391
ABHD17B	0.632185	6560	1.583539	6375
ABHD17C	0.960036	3192	1.304491	9447
ABHD18	0.771045	4806	1.077004	11448
ABHD2	0.965202	3155	2.060358	2132
ABHD3	0.514872	8479	1.465234	7716
ABHD4	0.241194	13666	1.378205	8662
ABHD5	0.448740	9723	1.645619	5708
ABHD6	0.972124	3094	1.610341	6089
ABHD8	0.851525	4010	1.761251	4531
ABI1	0.611708	6831	1.908270	3180
ABI2	1.312743	1596	2.397818	858
ABI3	0.534761	8150	1.039909	11689
ABI3BP	0.784558	4647	1.476397	7591
ABL1	0.388373	11079	1.057523	11568
ABL2	0.674033	5945	1.369772	8761
ABLIM1	1.230256	1863	1.791831	4219
ABLIM2	1.484219	1130	1.752279	4623
ABLIM3	0.798701	4508	1.986682	2584
ABO	0.654606	6212	0.654606	13607
ABR	2.011232	364	2.291058	1176
ABRA	0.629410	6606	0.629410	13720
ABRACL	0.410713	10532	1.722221	4903
ABT1	0.012811	16295	1.209678	10351
ABTB1	0.831870	4190	1.698014	5118
ABTB2	0.561238	7695	1.199481	10461
ACAA1	0.282263	13130	1.630936	5863
ACAA2	0.638638	6478	1.474330	7614
ACACA	1.063604	2571	1.487704	7444
ACACB	0.854448	3980	1.174594	10673
ACAD10	0.251221	13543	1.240799	10094
ACAD11	0.462856	9453	0.774610	13131
ACAD8	0.477616	9223	1.686368	5242
ACAD9	0.225309	14227	1.530584	6972
ACADL	0.574031	7470	0.574031	13889
ACADM	0.818469	4304	1.773071	4402
ACADS	0.227887	14163	0.962640	12205
ACADSB	0.603258	6956	1.612503	6059
ACADVL	0.507761	8603	2.181014	1529
ACAN	0.706291	5531	0.782473	13106
ACAP1	0.095385	15868	0.207487	15353
ACAP2	0.733935	5196	1.700319	5105
ACAP3	0.786539	4624	1.442793	7980
ACAT1	0.288361	13040	1.857995	3607
ACAT2	0.909955	3540	2.311399	1100
ACBD3	0.112871	15783	1.966813	2706
ACBD4	0.648042	6299	1.060320	11549
ACBD5	0.838719	4131	1.377656	8663
ACBD6	0.413081	10476	1.494850	7368
ACBD7	1.939206	428	2.176524	1553
ACCS	0.437792	9977	0.846337	12827
ACCSL	-	19004	-	19004
ACD	0.981269	3054	1.313656	9366
ACE	0.795526	4547	1.242044	10069
ACE2	0.032229	16115	0.032229	16217
ACER1	0.000000	17185	0.000000	17235
ACER2	0.955769	3217	1.272306	9775
ACER3	0.375560	11340	1.494155	7370
ACHE	1.137037	2205	1.491642	7398
ACIN1	0.640747	6441	2.155336	1646
ACKR1	1.484015	1131	1.484015	7498
ACKR2	0.578254	7394	0.810904	12978
ACKR3	0.531947	8187	1.876045	3439
ACKR4	0.003802	16314	0.108437	16064
ACLY	0.489544	8978	1.784243	4295
ACMSD	0.000000	17184	0.000000	17234
ACO1	-0.033851	17202	1.490090	7424
ACO2	0.851971	4006	2.613366	452
ACOD1	0.000000	17183	0.000000	17233
ACOT1	0.369967	11498	0.421604	14432
ACOT11	0.874172	3810	0.965202	12186
ACOT12	0.318063	12558	0.318063	14840
ACOT13	0.263736	13401	1.683612	5267
ACOT2	0.727541	5306	1.246499	10035
ACOT4	0.603537	6953	0.742725	13284
ACOT6	-	19003	-	19003
ACOT7	1.114769	2319	1.945419	2875
ACOT8	0.406292	10611	1.807061	4062
ACOT9	0.130334	15601	1.579667	6435
ACOX1	0.586805	7263	1.590507	6299
ACOX2	1.125318	2264	1.156417	10825
ACOX3	0.475716	9249	1.104487	11212
ACOXL	0.230449	14014	0.230449	15192
ACP1	0.195309	14558	2.002641	2481
ACP2	0.271286	13282	1.752586	4622
ACP5	0.133539	15531	0.283301	14919
ACP6	0.892905	3667	1.275834	9742
ACP7	-	19002	-	19002
ACPP	0.520569	8369	0.749736	13261
ACPT	-	19001	-	19001
ACR	0.130334	15600	0.130334	15961
ACRBP	0.237718	13712	0.484300	14245
ACRC	0.320146	12491	0.320146	14802
ACRV1	0.000000	17182	0.000000	17232
ACSBG1	1.848760	547	1.848760	3670
ACSBG2	0.133539	15530	0.133539	15909
ACSF2	0.129709	15606	0.912322	12483
ACSF3	0.371592	11475	1.091315	11329
ACSL1	0.996142	2959	1.382557	8612
ACSL3	0.735167	5187	2.503423	630
ACSL4	0.873947	3811	2.110825	1861
ACSL5	0.505008	8642	1.382917	8608
ACSL6	1.630631	870	1.630631	5864
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17181	0.000000	17231
ACSM2B	0.000000	17180	0.000000	17230
ACSM3	0.054648	16031	0.127105	16022
ACSM4	-	18999	-	18999
ACSM5	0.423863	10273	0.423863	14414
ACSM6	0.000000	17179	0.000000	17229
ACSS1	0.684854	5805	1.772650	4409
ACSS2	0.413404	10462	1.253822	9962
ACSS3	0.637688	6494	1.211738	10336
ACTA1	1.598462	925	1.598462	6201
ACTA2	0.499140	8788	1.873437	3459
ACTB	0.558326	7731	3.802923	5
ACTBL2	0.311754	12684	0.311754	14856
ACTC1	0.643003	6389	0.750508	13259
ACTG1	0.633109	6549	3.850839	3
ACTG2	0.992081	2979	1.721646	4911
ACTL10	0.331648	12198	0.448706	14361
ACTL6A	0.464679	9417	1.857326	3610
ACTL6B	2.028856	346	2.028856	2312
ACTL7A	0.000000	17178	0.000000	17228
ACTL7B	0.130334	15599	0.130334	15960
ACTL8	0.190332	14667	0.190332	15458
ACTL9	0.082785	15944	0.082785	16145
ACTN1	0.380587	11224	2.491056	652
ACTN2	1.757347	675	1.986951	2581
ACTN3	0.235528	13935	0.235528	15168
ACTN4	0.149160	15114	1.862157	3561
ACTR10	0.786752	4618	2.089517	1983
ACTR1A	0.393849	10869	2.337858	1018
ACTR1B	0.572032	7528	1.862847	3554
ACTR2	0.939637	3315	2.021398	2343
ACTR3	0.915777	3487	2.363784	935
ACTR3B	1.102774	2379	2.030923	2301
ACTR3C	0.663701	6097	0.920123	12444
ACTR5	0.276084	13223	1.073352	11479
ACTR6	0.660452	6135	1.707809	5033
ACTR8	0.571975	7530	1.484015	7497
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17177	0.000000	17227
ACTRT3	-	18997	-	18997
ACVR1	0.674297	5942	1.682506	5281
ACVR1B	0.699691	5629	1.717421	4948
ACVR1C	0.862131	3906	0.862131	12739
ACVR2A	0.781456	4708	1.495544	7365
ACVR2B	0.857347	3945	1.258637	9903
ACVRL1	0.472172	9321	0.838219	12849
ACY1	0.225309	14226	0.933763	12366
ACY3	0.968016	3133	0.968016	12161
ACYP1	0.665126	6050	1.665362	5489
ACYP2	1.155561	2128	2.200796	1443
ADA	0.256297	13490	0.895975	12569
ADAD1	0.000000	17176	0.000000	17226
ADAD2	0.227887	14162	0.227887	15302
ADAL	0.522813	8340	1.250746	9994
ADAM10	0.382134	11194	1.434791	8068
ADAM11	1.739493	700	1.739493	4732
ADAM12	0.998401	2939	1.276896	9729
