gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.449083	2317	1.440083	3994
A1CF	0.000000	15394	0.000000	17239
A2M	0.000000	15393	0.000000	17238
A2ML1	1.158523	364	1.158523	5861
A3GALT2	-	19008	-	19008
A4GALT	0.889827	662	1.585276	3077
A4GNT	0.000000	15392	0.000000	17237
AAAS	0.525083	1785	1.919053	1588
AACS	0.439001	2406	1.479664	3734
AADAC	0.000000	15391	0.000000	17236
AADACL2	0.000000	15390	0.000000	17235
AADACL3	0.000000	15389	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.044649	9408	0.614262	9848
AAED1	0.293776	4128	1.512131	3519
AAGAB	-0.191832	16685	1.356869	4474
AAK1	0.184154	5964	0.918044	7642
AAMDC	-0.010455	15492	1.091799	6347
AAMP	0.284975	4236	2.089741	1072
AANAT	0.000000	15388	0.000000	17233
AAR2	0.313243	3878	1.434478	4025
AARD	0.202288	5577	0.216741	12121
AARS	0.556924	1626	2.169000	902
AARS2	0.254555	4693	1.465372	3832
AARSD1	0.162467	6315	1.575300	3139
AASDH	0.000000	15387	0.799672	8567
AASDHPPT	0.040376	9515	1.063285	6553
AASS	0.000187	10350	0.820779	8410
AATF	0.028452	9811	1.497313	3602
AATK	0.000000	15386	0.000000	17232
ABAT	0.014663	10074	0.715720	9175
ABCA1	0.000000	15385	0.745558	8946
ABCA10	0.000000	15384	0.000000	17231
ABCA12	0.280348	4313	0.280348	11775
ABCA13	0.066769	8792	0.066769	13252
ABCA2	0.042378	9464	0.544528	10304
ABCA3	0.061973	8880	0.452011	10881
ABCA4	0.000000	15383	0.000000	17230
ABCA5	0.035884	9621	0.449121	10911
ABCA6	0.000000	15382	0.364793	11307
ABCA7	0.137070	6929	0.972629	7245
ABCA8	0.000000	15381	0.353017	11397
ABCA9	0.000000	15380	0.061926	13452
ABCB1	0.000000	15379	0.216741	12120
ABCB10	0.053201	9209	0.862041	8060
ABCB11	0.000000	15378	0.000000	17229
ABCB4	0.000000	15377	0.000000	17228
ABCB5	0.000000	15376	0.000000	17227
ABCB6	0.470038	2147	0.848731	8177
ABCB7	0.000000	15375	0.758048	8863
ABCB8	0.216306	5343	1.388272	4276
ABCB9	0.393061	2869	0.862115	8057
ABCC1	0.179819	6052	1.436789	4013
ABCC10	0.200232	5614	0.836260	8279
ABCC11	0.000000	15374	0.000000	17226
ABCC12	0.000000	15373	0.000000	17225
ABCC2	0.000000	15372	0.000000	17224
