gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.356614	8313	1.141450	9354
A1CF	0.000000	17116	0.000000	17239
A2M	1.425057	688	2.473049	495
A2ML1	0.000000	17115	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.380114	7818	1.044540	10137
A4GNT	0.000000	17114	0.000000	17237
AAAS	0.527417	4997	1.697530	3765
AACS	0.343726	8678	1.199399	8707
AADAC	0.029384	15426	0.029384	15721
AADACL2	0.000000	17113	0.000000	17236
AADACL3	0.000000	17112	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.524509	5038	1.094122	9816
AAED1	0.032497	15101	1.228913	8396
AAGAB	0.181240	12274	1.729941	3517
AAK1	0.426676	6451	1.322012	7542
AAMDC	0.525135	5029	1.322012	7541
AAMP	0.256503	10641	2.016156	1751
AANAT	0.903090	1964	0.903090	11365
AAR2	0.213179	11617	1.192567	8750
AARD	0.645464	3598	0.659916	12683
AARS	0.488535	5510	1.876449	2469
AARS2	0.080552	14351	1.291369	7863
AARSD1	0.344268	8661	1.505388	5607
AASDH	0.249520	10809	1.329805	7396
AASDHPPT	0.258208	10597	1.774809	3179
AASS	0.936109	1824	1.833147	2762
AATF	0.238454	11043	1.707315	3712
AATK	2.534305	52	2.534305	424
ABAT	1.045645	1463	1.774809	3178
ABCA1	0.275824	10195	1.669224	4016
ABCA10	0.639486	3649	0.639486	12761
ABCA12	0.033457	15091	0.033457	15436
ABCA13	0.056905	14790	0.056905	15348
ABCA2	2.195739	118	2.624014	330
ABCA3	0.853199	2185	1.581153	4880
ABCA4	2.629410	46	2.629410	322
ABCA5	0.798089	2495	1.830525	2770
ABCA6	0.724949	2906	1.184123	8951
ABCA7	1.005577	1598	1.728678	3526
ABCA8	1.024735	1547	1.965531	1990
ABCA9	0.520947	5075	0.822822	11888
ABCB1	0.983480	1662	1.581153	4879
ABCB10	0.162890	12653	0.928738	11086
ABCB11	0.000000	17111	0.000000	17234
ABCB4	0.377347	7865	0.526339	13369
ABCB5	1.668386	418	1.668386	4024
ABCB6	0.275939	10191	0.609594	12883
ABCB7	0.279993	10101	1.529430	5389
ABCB8	0.230639	11231	1.402605	6690
ABCB9	0.331654	8936	0.800708	11980
ABCC1	0.386741	7154	1.643711	4207
ABCC10	0.345563	8625	0.980912	10830
