gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.449083	8566	1.440083	7644
A1CF	0.000000	17236	0.000000	17239
A2M	1.425057	1125	2.473049	838
A2ML1	1.158523	1873	1.158523	10470
A3GALT2	-	19008	-	19008
A4GALT	0.889827	3161	1.585276	6140
A4GNT	0.000000	17235	0.000000	17238
AAAS	0.659108	5175	2.053078	2346
AACS	0.439001	8798	1.479664	7218
AADAC	0.225309	14014	0.225309	15257
AADACL2	0.278754	12917	0.278754	15098
AADACL3	0.089905	15710	0.089905	15793
AADACL4	-	19007	-	19007
AADAT	0.524581	7165	1.094122	11054
AAED1	0.293776	12573	1.512131	6869
AAGAB	0.235073	13735	1.783774	4246
AAK1	0.481443	7937	1.322012	8908
AAMDC	0.525135	7155	1.324488	8818
AAMP	0.352340	11130	2.089741	2169
AANAT	1.397071	1189	1.397071	8114
AAR2	0.357930	10986	1.479166	7230
AARD	0.645464	5337	0.659916	13622
AARS	0.556924	6613	2.169000	1791
AARS2	0.349064	11215	1.559882	6402
AARSD1	0.344268	11353	1.575300	6254
AASDH	0.339837	11474	1.420121	7862
AASDHPPT	0.258208	13344	1.774809	4329
AASS	0.936109	2895	1.833147	3840
AATF	0.238454	13686	1.707315	4932
AATK	2.534305	112	2.534305	723
ABAT	1.045645	2338	1.774809	4328
ABCA1	0.275824	12974	1.669224	5277
ABCA10	0.639486	5421	0.639486	13701
ABCA12	0.280348	12841	0.280348	15048
ABCA13	0.328380	11783	0.328380	14962
ABCA2	2.195739	231	2.624014	593
ABCA3	0.853199	3394	1.581153	6205
ABCA4	2.629410	97	2.629410	585
ABCA5	0.798089	3842	1.830525	3855
ABCA6	0.748729	4250	1.207904	10029
ABCA7	1.108949	2072	1.733278	4677
ABCA8	1.024735	2450	1.965531	2863
ABCA9	0.854371	3383	1.156246	10490
ABCB1	0.983480	2632	1.581153	6204
ABCB10	0.182127	14663	1.042288	11362
ABCB11	0.000000	17234	0.000000	17237
ABCB4	0.614926	5699	0.763918	13131
ABCB5	1.668386	690	1.668386	5291
ABCB6	0.470038	8149	0.848731	12700
ABCB7	0.279993	12844	1.529430	6736
ABCB8	0.230639	13845	1.402605	8074
ABCB9	0.393061	9809	0.862115	12642
ABCC1	0.516155	7304	1.773125	4350
ABCC10	0.345563	11323	0.980912	11978
ABCC11	0.487138	7823	0.487138	14264
ABCC12	0.000000	17233	0.000000	17236
ABCC2	0.000000	17232	0.000000	17235
ABCC3	0.857669	3355	1.669997	5240
ABCC4	0.371656	10672	1.012415	11665
ABCC5	0.863619	3324	1.852419	3666
ABCC6	-	19006	-	19006
ABCC8	1.222716	1681	1.222716	9912
ABCC9	0.793307	3872	1.156246	10489
ABCD1	0.234782	13743	1.188005	10161
ABCD2	0.863103	3329	1.024486	11589
ABCD3	0.610815	5742	1.529430	6735
ABCD4	0.395602	9740	1.334253	8743
ABCE1	0.345624	11320	1.864689	3592
ABCF1	0.247704	13552	2.097639	2127
ABCF2	0.393527	9797	1.820769	3923
ABCF3	0.117399	15396	1.592177	6081
ABCG1	0.662194	5141	1.795115	4142
ABCG2	1.033474	2404	1.141450	10678
ABCG4	0.986089	2623	1.001734	11740
ABCG5	0.000000	17231	0.000000	17234
ABCG8	0.029384	16133	0.029384	16143
ABHD1	0.527416	7120	0.586587	13993
ABHD10	0.580336	6250	1.851014	3697
ABHD11	0.351979	11133	1.192125	10125
ABHD12	0.418933	9202	1.937819	3067
ABHD12B	0.837588	3516	0.837588	12755
ABHD13	0.134453	15225	1.161667	10453
ABHD14A	0.909879	3053	1.836134	3806
ABHD14B	0.411283	9398	2.168740	1792
ABHD15	0.358189	10978	0.698753	13486
ABHD16A	0.094546	15540	1.385249	8192
ABHD16B	-	19005	-	19005
ABHD17A	0.385606	10330	1.256115	9559
ABHD17B	0.579219	6263	1.547282	6546
ABHD17C	0.620978	5608	1.662371	5333
ABHD18	0.873146	3268	1.094122	11053
ABHD2	0.813804	3719	2.063408	2301
ABHD3	0.411554	9391	1.361917	8423
ABHD4	0.319127	11987	1.659617	5350
ABHD5	0.761876	4135	1.958755	2918
ABHD6	0.757269	4189	1.449170	7563
ABHD8	0.497196	7620	1.360215	8441
ABI1	0.311123	12183	1.690462	5078
ABI2	0.599058	5900	2.050612	2372
ABI3	0.462868	8281	0.968016	12044
ABI3BP	1.403693	1168	2.360253	1128
ABL1	0.522050	7204	1.523562	6777
ABL2	1.304428	1429	1.972495	2807
ABLIM1	1.352970	1285	1.883548	3443
ABLIM2	0.743511	4299	1.011570	11685
ABLIM3	0.587837	6050	1.908217	3279
ABO	0.652305	5250	0.778151	13071
ABR	1.810116	538	1.872855	3521
ABRA	0.971276	2710	0.971276	12035
ABRACL	0.454023	8462	1.950561	2967
ABT1	0.387185	9946	1.584051	6147
ABTB1	0.240279	13653	1.428135	7760
ABTB2	0.913491	3012	1.206286	10042
ACAA1	0.334019	11628	1.816034	3942
ACAA2	0.563933	6504	1.504311	6979
ACACA	0.532575	7039	1.675902	5204
ACACB	0.919654	2974	1.239800	9704
ACAD10	0.387729	9931	1.377306	8293
ACAD11	0.401354	9604	0.857948	12655
ACAD8	0.193854	14517	1.402605	8073
ACAD9	0.197009	14451	1.597146	6050
ACADL	0.586587	6175	0.586587	13992
ACADM	0.541139	6890	1.572639	6272
ACADS	0.385606	10329	1.120574	10805
ACADSB	0.417265	9238	1.426511	7821
ACADVL	0.581476	6243	2.001219	2635
ACAN	1.466369	1031	1.516668	6841
ACAP1	0.405094	9520	0.517196	14185
ACAP2	0.416349	9257	1.930592	3119
ACAP3	0.668439	5060	1.184123	10277
ACAT1	0.226665	13924	1.879669	3466
ACAT2	0.981195	2652	2.414345	991
ACBD3	0.047190	15967	1.901131	3312
ACBD4	0.465669	8235	1.030195	11559
ACBD5	0.831569	3559	1.258398	9549
ACBD6	0.391744	9841	1.436822	7683
ACBD7	0.676368	4999	0.913686	12313
ACCS	0.374158	10570	0.822822	12917
ACCSL	-	19004	-	19004
ACD	0.654732	5216	1.571549	6277
ACE	0.391071	9857	0.837588	12754
ACE2	0.569374	6432	0.569374	14062
ACER1	0.000000	17230	0.000000	17233
ACER2	1.060769	2279	1.377306	8292
ACER3	0.840161	3489	1.958755	2917
ACHE	1.053640	2304	1.445449	7595
ACIN1	0.430456	8969	2.229093	1538
ACKR1	1.449170	1072	1.449170	7562
ACKR2	0.594072	5972	0.826723	12890
ACKR3	1.098175	2113	2.442272	918
ACKR4	1.296421	1450	1.401056	8090
ACLY	0.800575	3820	2.095274	2135
ACMSD	0.000000	17229	0.000000	17232
ACO1	0.336636	11567	1.860578	3616
ACO2	0.225555	13946	1.986951	2718
ACOD1	0.029384	16132	0.029384	16142
ACOT1	0.501031	7557	0.552668	14093
ACOT11	1.290807	1478	1.381837	8213
ACOT12	0.069940	15807	0.069940	15842
ACOT13	0.343503	11375	1.625653	5730
ACOT2	0.275207	12988	1.314497	8961
ACOT4	0.161842	14878	0.301030	15027
ACOT6	-	19003	-	19003
ACOT7	1.326985	1370	1.922583	3180
ACOT8	0.214189	14199	1.614959	5829
ACOT9	0.081260	15760	1.630326	5659
ACOX1	0.358422	10973	1.618362	5799
ACOX2	0.839733	3494	1.180413	10309
ACOX3	0.311181	12178	1.200696	10077
ACOXL	0.000000	17228	0.000000	17231
ACP1	0.262975	13247	2.037785	2436
ACP2	0.425910	9064	1.978774	2780
ACP5	1.369958	1238	1.536623	6636
ACP6	1.327684	1366	1.710613	4885
ACP7	-	19002	-	19002
ACPP	0.661812	5148	0.890980	12514
ACPT	-	19001	-	19001
ACR	0.000000	17227	0.000000	17230
ACRBP	0.385606	10328	0.561101	14078
ACRC	0.000000	17226	0.000000	17229
ACRV1	0.000000	17225	0.000000	17228
ACSBG1	1.141450	1949	1.141450	10677
ACSBG2	0.000000	17224	0.000000	17227
ACSF2	0.584105	6212	1.255685	9561
ACSF3	0.393305	9801	1.258398	9548
ACSL1	1.510679	942	1.510679	6935
ACSL3	0.396386	9720	2.284002	1354
ACSL4	0.377070	10507	1.847017	3715
ACSL5	1.345570	1313	1.641771	5567
