gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.485194	1626	1.476194	3898
A1CF	0.026394	12171	0.026394	14434
A2M	0.283344	3657	0.920635	8341
A2ML1	0.000000	16233	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.800219	610	1.495668	3763
A4GNT	0.000000	16232	0.000000	17238
AAAS	0.067678	9743	1.381746	4570
AACS	0.026933	11932	1.077597	7067
AADAC	0.026394	12170	0.026394	14433
AADACL2	0.000000	16231	0.000000	17237
AADACL3	0.000000	16230	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.098773	8486	0.588977	10420
AAED1	0.456166	1805	1.674521	2643
AAGAB	0.071183	9538	1.619884	2947
AAK1	0.177596	5916	0.828467	8987
AAMDC	0.189037	5624	1.372833	4641
AAMP	0.140598	6988	1.791829	2082
AANAT	0.000000	16229	0.000000	17235
AAR2	0.185683	5701	1.221111	5892
AARD	0.321430	3105	0.335883	11678
AARS	0.064586	9866	1.676662	2629
AARS2	-0.232906	17173	0.977911	7900
AARSD1	0.128378	7412	1.449667	4088
AASDH	0.026394	12169	0.962283	8031
AASDHPPT	0.145308	6827	1.661909	2719
AASS	0.043471	10947	0.959182	8058
AATF	-0.031232	16569	1.437628	4179
AATK	0.000000	16228	0.000000	17234
ABAT	0.008229	12790	0.417067	11256
ABCA1	0.058697	10298	1.119622	6737
ABCA10	0.026394	12168	0.026394	14432
ABCA12	0.000000	16227	0.000000	17233
ABCA13	0.681049	857	0.681049	9904
ABCA2	0.228605	4679	1.007499	7647
ABCA3	0.085655	9004	0.736667	9557
ABCA4	0.068879	9675	0.068879	13378
ABCA5	0.084074	9064	0.767599	9369
ABCA6	0.181085	5827	0.640260	10144
ABCA7	0.286830	3608	1.122389	6719
ABCA8	0.335348	2916	1.276144	5430
ABCA9	0.512844	1469	0.814718	9082
ABCB1	0.000000	16226	0.047672	13841
ABCB10	0.255198	4152	1.115359	6764
ABCB11	0.000000	16225	0.000000	17232
ABCB4	0.016406	12605	0.144099	12690
ABCB5	0.000000	16224	0.000000	17231
ABCB6	0.292589	3504	0.704317	9769
ABCB7	0.125339	7495	1.374777	4621
ABCB8	0.064192	9877	1.236159	5769
ABCB9	0.212238	5030	0.681292	9902
ABCC1	0.738438	719	1.843259	1871
ABCC10	0.095708	8597	0.731057	9607
ABCC11	0.000000	16223	0.000000	17230
ABCC12	0.034601	11399	0.034601	14012
ABCC2	0.000000	16222	0.000000	17229
ABCC3	0.833387	543	1.645715	2815
ABCC4	0.065901	9830	0.913644	8404
ABCC5	0.051740	10539	0.987408	7838
ABCC6	-	19006	-	19006
ABCC8	0.000000	16221	0.000000	17228
ABCC9	0.032303	11486	0.272571	11967
ABCD1	0.232335	4586	1.185559	6195
ABCD2	0.053922	10480	0.215304	12254
ABCD3	0.205020	5220	1.369660	4667
ABCD4	-0.014171	16391	1.142692	6554
ABCE1	0.058755	10157	1.577820	3208
ABCF1	0.196848	5424	1.768021	2193
ABCF2	0.104474	8258	1.531716	3502
ABCF3	0.040881	11168	1.515659	3640
ABCG1	0.000000	16220	0.187890	12389
ABCG2	0.067132	9791	0.136644	12727
ABCG4	0.041284	11156	0.041284	13962
ABCG5	0.000000	16219	0.000000	17227
ABCG8	0.000000	16218	0.000000	17226
ABHD1	0.045099	10901	0.104271	12990
ABHD10	0.144626	6846	1.251215	5640
ABHD11	0.114121	7888	0.968186	7980
ABHD12	0.180569	5842	1.699455	2509
ABHD12B	0.000000	16217	0.000000	17225
ABHD13	0.121985	7602	1.149199	6499
ABHD14A	0.264593	3984	1.381761	4569
ABHD14B	0.281261	3687	2.038718	1177
ABHD15	0.143370	6889	0.483934	10945
ABHD16A	0.029105	11574	1.238954	5743
ABHD16B	-	19005	-	19005
ABHD17A	0.224168	4778	1.150767	6489
ABHD17B	0.084802	9039	1.025174	7484
ABHD17C	0.277976	3731	1.319369	5070
ABHD18	0.054270	10443	0.817939	9062
ABHD2	0.358270	2623	1.776673	2150
ABHD3	-0.485224	17228	0.465139	11028
ABHD4	0.410078	2132	1.750567	2271
ABHD5	0.252566	4208	1.449445	4089
ABHD6	0.000000	16216	0.467042	11016
ABHD8	0.190978	5587	1.100704	6889
ABI1	0.077930	9281	1.589248	3146
ABI2	0.258172	4093	1.569159	3267
ABI3	0.000000	16215	0.070729	13342
ABI3BP	1.848607	24	2.524947	360
ABL1	0.490341	1594	1.491853	3789
ABL2	0.676149	871	1.344216	4881
ABLIM1	0.167354	6176	0.952483	8113
ABLIM2	0.022874	12336	0.290933	11863
ABLIM3	0.024609	12306	1.227485	5847
ABO	0.053989	10478	0.053989	13690
ABR	0.367162	2521	1.241524	5721
ABRA	0.164239	6269	0.164239	12535
ABRACL	0.112395	7947	1.608934	3020
ABT1	-0.037600	16617	1.159267	6418
ABTB1	0.075103	9401	1.216690	5919
ABTB2	0.025081	12195	0.785901	9263
ACAA1	0.034942	11324	1.498077	3751
ACAA2	0.435837	1948	1.728616	2375
ACACA	0.207423	5156	1.156944	6438
ACACB	0.058697	10297	0.298059	11840
ACAD10	0.219604	4864	1.209182	5989
ACAD11	0.222798	4809	0.885939	8609
ACAD8	0.016255	12611	1.225006	5864
ACAD9	0.034601	11398	1.422755	4271
ACADL	0.027595	11916	0.027595	14266
ACADM	0.041087	11162	1.323074	5036
ACADS	0.195816	5453	1.083451	7024
ACADSB	0.105502	8212	1.064464	7167
ACADVL	0.447909	1856	2.099708	1005
ACAN	2.706117	1	2.756416	183
ACAP1	0.027595	11915	0.088273	13162
ACAP2	0.036162	11291	1.540856	3457
ACAP3	0.154032	6570	0.813820	9089
ACAT1	0.364324	2551	1.807500	2008
ACAT2	0.414974	2094	1.848124	1844
ACBD3	0.155458	6534	2.009400	1285
ACBD4	0.283750	3652	0.807018	9122
ACBD5	0.108242	8129	0.544242	10659
ACBD6	0.334391	2928	1.439296	4163
ACBD7	-0.039266	16628	0.198052	12343
ACCS	0.263670	3998	0.644491	10120
ACCSL	-	19004	-	19004
ACD	0.161750	6320	0.915604	8387
ACE	0.462803	1771	0.909321	8436
ACE2	0.000000	16214	0.000000	17224
ACER1	0.000000	16213	0.000000	17223
ACER2	-0.029643	16558	0.067132	13434
ACER3	-0.076420	16834	1.042174	7356
ACHE	0.026394	12167	0.134945	12736
ACIN1	0.535908	1353	1.709767	2461
ACKR1	0.000000	16212	0.000000	17222
ACKR2	0.121829	7608	0.311255	11789
ACKR3	1.311808	152	2.655905	247
ACKR4	1.465253	96	1.569888	3259
ACLY	0.458429	1794	1.753128	2257
ACMSD	0.000000	16211	0.000000	17221
ACO1	0.434324	1959	1.958265	1418
ACO2	0.027595	11914	1.782690	2120
ACOD1	0.000000	16210	0.000000	17220
ACOT1	0.241267	4429	0.252150	12073
ACOT11	0.087385	8917	0.178414	12434
ACOT12	0.058697	10296	0.058697	13663
ACOT13	0.496950	1567	1.557887	3347
ACOT2	0.291952	3516	1.212352	5959
ACOT4	-0.020787	16473	0.118401	12873
ACOT6	-	19003	-	19003
ACOT7	0.846792	529	1.214144	5944
ACOT8	0.053526	10493	1.454296	4047
ACOT9	0.103931	8279	1.652997	2765
ACOX1	0.029317	11567	1.438773	4171
ACOX2	0.461065	1780	0.907806	8447
ACOX3	0.096252	8573	1.001692	7699
ACOXL	0.000000	16209	0.000000	17219
ACP1	0.077088	9311	1.884419	1710
ACP2	0.132682	7253	1.685545	2585
ACP5	0.041284	11155	0.050763	13787
ACP6	0.188099	5642	0.785325	9268
ACP7	-	19002	-	19002
ACPP	0.000000	16208	0.061926	13543
ACPT	-	19001	-	19001
ACR	0.000000	16207	0.000000	17218
ACRBP	0.051007	10584	0.290109	11867
ACRC	0.000000	16206	0.000000	17217
ACRV1	0.000000	16205	0.000000	17216
ACSBG1	0.000000	16204	0.000000	17215
ACSBG2	0.027595	11913	0.027595	14265
ACSF2	0.432678	1968	1.138548	6594
