gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.225210	10175	0.935412	10670
A1CF	0.000000	16764	0.000000	17239
A2M	1.065708	1512	2.116010	1029
A2ML1	1.090611	1440	1.090611	9318
A3GALT2	-	19008	-	19008
A4GALT	0.071971	13660	0.736397	12037
A4GNT	0.000000	16763	0.000000	17238
AAAS	0.430398	5928	1.264346	7535
AACS	0.190896	10920	1.178113	8422
AADAC	0.000000	16762	0.000000	17237
AADACL2	0.000000	16761	0.000000	17236
AADACL3	0.000000	16760	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.271044	9009	0.840657	11386
AAED1	-0.039790	16914	1.003159	10111
AAGAB	0.235774	9919	1.784475	2538
AAK1	0.484566	5114	1.348186	6664
AAMDC	0.195479	10825	1.052418	9658
AAMP	0.537415	4439	1.875134	2007
AANAT	0.146128	12384	0.146128	14866
AAR2	0.035314	14324	1.156549	8658
AARD	0.170262	11351	0.170262	14390
AARS	0.368329	7000	1.870053	2036
AARS2	0.066151	13765	1.276968	7356
AARSD1	0.257679	9491	1.508799	4947
AASDH	0.404158	6400	1.484442	5221
AASDHPPT	0.736352	2892	1.892929	1917
AASS	0.491452	5025	1.553519	4492
AATF	0.094858	13277	1.563718	4379
AATK	1.992995	172	1.992995	1450
ABAT	1.533391	520	1.857134	2102
ABCA1	0.256537	9514	1.649937	3594
ABCA10	0.144807	12405	0.144807	14869
ABCA12	0.037981	14284	0.037981	15281
ABCA13	0.066402	13762	0.066402	15096
ABCA2	1.720671	330	2.187844	827
ABCA3	1.176491	1188	1.904445	1859
ABCA4	0.257679	9490	0.257679	14188
ABCA5	0.701163	3112	1.733598	2923
ABCA6	0.641751	3504	1.100926	9192
ABCA7	0.310952	8215	1.112766	9072
ABCA8	0.887421	2140	1.828217	2274
ABCA9	0.268668	9056	0.570543	12882
ABCB1	1.183580	1165	1.781253	2573
ABCB10	-0.031688	16896	0.561403	12906
ABCB11	0.000000	16759	0.000000	17234
ABCB4	0.197360	10786	0.346353	13689
ABCB5	0.029384	14630	0.029384	15512
ABCB6	0.279194	8846	0.608888	12666
ABCB7	0.229273	10047	1.478711	5276
ABCB8	0.355979	7235	1.338974	6756
ABCB9	0.505458	4847	0.974512	10374
ABCC1	0.275718	8911	0.929158	10704
ABCC10	0.228432	10077	0.895975	11014
ABCC11	0.017693	14882	0.017693	15641
ABCC12	0.079181	13554	0.079181	15065
ABCC2	0.000000	16758	0.000000	17233
ABCC3	0.017693	14881	0.480007	13287
ABCC4	0.367453	7016	0.895423	11028
ABCC5	0.684681	3201	1.673482	3392
ABCC6	-	19006	-	19006
ABCC8	1.261501	994	1.261501	7556
ABCC9	0.696162	3142	0.823474	11521
ABCD1	0.146128	12383	0.767156	11852
ABCD2	1.327732	852	1.489114	5167
ABCD3	0.208938	10510	1.350500	6642
ABCD4	0.287755	8691	1.437537	5683
ABCE1	0.256327	9519	1.775392	2613
ABCF1	0.252945	9561	2.102879	1075
ABCF2	0.304771	8355	1.517724	4852
ABCF3	0.185993	11018	1.660771	3504
ABCG1	0.222290	10237	1.355211	6572
ABCG2	1.227474	1063	1.342423	6738
ABCG4	0.962079	1851	0.977724	10297
ABCG5	0.000000	16757	0.000000	17232
ABCG8	0.000000	16756	0.000000	17231
ABHD1	0.368921	6987	0.428092	13393
ABHD10	0.321055	8010	1.591732	4142
ABHD11	0.263059	9168	1.079831	9374
ABHD12	0.374043	6905	1.892929	1916
ABHD12B	0.305580	8330	0.305580	13899
ABHD13	0.047018	14113	1.089198	9329
ABHD14A	0.436621	5836	1.521950	4813
ABHD14B	-0.441519	17228	1.315938	6973
ABHD15	0.028772	14641	0.369336	13635
ABHD16A	0.354108	7263	1.480763	5246
ABHD16B	-	19005	-	19005
ABHD17A	0.352209	7290	1.037541	9791
ABHD17B	0.656222	3415	1.656864	3545
ABHD17C	0.368496	6996	1.174793	8440
ABHD18	0.593314	3885	1.061075	9612
ABHD2	0.408082	6349	1.844959	2175
ABHD3	0.339652	7644	1.290014	7226
ABHD4	0.484312	5115	1.680336	3338
ABHD5	0.424609	6006	1.621488	3870
ABHD6	0.835601	2370	1.527501	4756
ABHD8	0.439024	5795	1.348750	6661
ABI1	0.301891	8402	1.817433	2352
ABI2	0.745577	2812	1.886039	1951
ABI3	0.612751	3723	1.117899	9029
ABI3BP	0.146128	12382	0.910624	10863
ABL1	0.382658	6775	1.043755	9763
ABL2	0.476196	5265	1.144263	8784
ABLIM1	1.367617	772	1.929193	1732
ABLIM2	1.289087	942	1.557146	4463
ABLIM3	0.359944	7157	1.668236	3439
ABO	0.336552	7710	0.462398	13338
ABR	1.234770	1044	1.743796	2842
ABRA	0.174148	11254	0.174148	14357
ABRACL	0.241798	9779	1.538574	4649
ABT1	-0.078601	17021	1.118265	9028
ABTB1	0.187521	10992	1.372360	6389
ABTB2	0.621377	3666	1.382197	6293
ACAA1	0.217941	10335	1.548881	4531
ACAA2	0.554216	4273	1.538574	4648
ACACA	0.502742	4872	1.255031	7601
ACACB	0.716153	2993	1.036299	9797
ACAD10	0.075154	13611	1.064732	9533
ACAD11	0.329252	7842	0.764431	11862
ACAD8	0.233414	9968	1.442166	5650
ACAD9	0.090102	13354	1.490239	5160
ACADL	0.269598	9036	0.269598	13957
ACADM	0.508435	4813	1.686458	3287
ACADS	0.146128	12381	0.988171	10240
ACADSB	0.404816	6389	1.409426	6001
ACADVL	0.229974	10036	1.974926	1537
ACAN	0.429708	5941	0.480007	13286
ACAP1	0.132233	12593	0.244335	14201
ACAP2	0.492760	5007	1.705265	3130
ACAP3	0.206826	10570	0.887364	11060
ACAT1	0.273631	8960	1.807603	2401
ACAT2	0.712674	3011	2.032538	1303
ACBD3	0.063932	13789	1.917873	1795
ACBD4	0.340378	7632	0.850832	11295
ACBD5	0.736333	2893	1.220892	7961
ACBD6	0.117592	12879	1.126131	8942
ACBD7	1.692560	359	1.929879	1727
ACCS	0.218841	10312	0.674355	12311
ACCSL	-	19004	-	19004
ACD	0.323928	7954	0.910624	10862
ACE	0.029384	14629	0.472756	13304
ACE2	0.000000	16755	0.000000	17230
ACER1	0.000000	16754	0.000000	17229
ACER2	0.443428	5727	0.759965	11878
ACER3	0.656579	3410	1.775173	2614
ACHE	1.517747	540	1.909556	1835
ACIN1	0.419094	6107	1.936011	1687
ACKR1	1.760422	303	1.760422	2741
ACKR2	0.469780	5347	0.702431	12239
ACKR3	0.392995	6583	1.691170	3250
ACKR4	0.165558	11433	0.270193	13956
ACLY	0.266281	9095	1.560980	4419
ACMSD	0.000000	16753	0.000000	17228
ACO1	-0.136202	17100	1.387740	6262
ACO2	0.404394	6398	2.165790	889
ACOD1	0.000000	16752	0.000000	17227
ACOT1	0.181052	11107	0.232689	14228
ACOT11	0.977993	1790	1.069023	9508
ACOT12	0.017693	14880	0.017693	15640
ACOT13	0.337946	7683	1.650741	3586
ACOT2	0.009529	14933	1.004562	10106
ACOT4	0.246418	9681	0.385606	13607
ACOT6	-	19003	-	19003
ACOT7	0.945439	1903	1.975845	1529
ACOT8	0.222996	10218	1.623766	3848
ACOT9	0.055674	14008	1.366236	6466
ACOX1	0.360527	7150	1.478010	5280
ACOX2	0.226580	10125	0.627984	12542
ACOX3	0.181805	11086	0.977219	10360
ACOXL	0.000000	16751	0.000000	17226
ACP1	0.101903	13171	1.909235	1836
ACP2	0.133185	12571	1.605251	4010
ACP5	0.030525	14393	0.146128	14865
ACP6	0.283589	8759	0.786894	11721
ACP7	-	19002	-	19002
ACPP	0.257137	9500	0.437547	13376
ACPT	-	19001	-	19001
ACR	0.000000	16750	0.000000	17225
ACRBP	0.323961	7952	0.570543	12881
ACRC	0.017693	14879	0.017693	15639
ACRV1	0.000000	16749	0.000000	17224
ACSBG1	2.062991	138	2.062991	1212
ACSBG2	0.146128	12380	0.146128	14864
ACSF2	0.056905	13956	0.704854	12148
ACSF3	0.061857	13810	0.876588	11107
ACSL1	1.189771	1156	1.373647	6380
ACSL3	0.513841	4746	2.297061	607
ACSL4	0.424032	6016	1.803867	2430
ACSL5	0.680875	3230	1.528274	4753
ACSL6	1.451172	645	1.451172	5552
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16748	0.000000	17223
ACSM2B	0.000000	16747	0.000000	17222
ACSM3	0.029384	14628	0.029384	15511
ACSM4	-	18999	-	18999
ACSM5	0.492760	5006	0.492760	13139
ACSM6	0.000000	16746	0.000000	17221
ACSS1	0.570201	4112	1.657998	3521
ACSS2	0.175528	11228	1.165034	8553
ACSS3	0.458644	5506	1.002768	10113
ACTA1	0.480007	5226	0.480007	13285
ACTA2	0.300472	8431	1.674769	3383
ACTB	0.566896	4137	3.472345	17
ACTBL2	0.000000	16745	0.000000	17220
ACTC1	0.080016	13510	0.187521	14341
ACTG1	0.314526	8129	3.408598	19
ACTG2	0.146128	12379	0.790285	11716
ACTL10	0.029069	14634	0.146128	14863
ACTL6A	0.304341	8366	1.442166	5649
ACTL6B	1.505014	559	1.505014	4999
ACTL7A	0.000000	16744	0.000000	17219
ACTL7B	0.000000	16743	0.000000	17218
ACTL8	0.000000	16742	0.000000	17217
ACTL9	0.000000	16741	0.000000	17216
ACTN1	0.000000	16740	1.722222	3015
ACTN2	1.524006	529	1.681603	3319
ACTN3	0.000000	16739	0.000000	17215
ACTN4	0.038484	14198	1.591732	4141
ACTR10	0.537761	4436	1.955110	1606
ACTR1A	0.278510	8858	2.302980	597
ACTR1B	0.126657	12729	1.417472	5911
ACTR2	0.663578	3365	1.699578	3176
ACTR3	0.680855	3231	2.131041	991
ACTR3B	0.473251	5304	1.401401	6107
ACTR3C	0.176368	11211	0.453318	13352
ACTR5	0.011618	14922	0.808886	11580
ACTR6	0.467721	5378	1.515079	4875
ACTR8	0.443153	5736	1.429268	5799
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16738	0.000000	17214
ACTRT3	-	18997	-	18997
ACVR1	0.085912	13422	1.094122	9242
ACVR1B	0.106009	13066	1.123739	8952
ACVR1C	0.501580	4887	0.537059	12965
ACVR2A	0.253453	9557	0.822707	11522
ACVR2B	0.308944	8256	0.710235	12129
ACVRL1	0.439772	5784	0.626340	12641
ACY1	0.000000	16737	1.026578	9924
ACY3	1.022016	1664	1.022016	9949
ACYP1	0.790880	2591	1.304706	7080
ACYP2	1.102359	1396	2.116329	1027
ADA	0.120121	12833	0.794638	11691
ADAD1	0.000000	16736	0.000000	17213
ADAD2	0.000000	16735	0.000000	17212
ADAL	0.390332	6631	1.118265	9027
ADAM10	0.275049	8922	1.316180	6971
ADAM11	0.928396	1985	0.928396	10715
ADAM12	0.457901	5514	0.736397	12036
ADAM15	-0.040445	16917	1.639391	3688
ADAM17	0.257679	9489	1.283075	7319
ADAM18	0.000000	16734	0.000000	17211
ADAM19	0.029384	14627	0.804139	11601
ADAM2	0.000000	16733	0.000000	17210
ADAM20	0.000000	16732	0.000000	17209
ADAM21	0.000000	16731	0.000000	17208
ADAM22	1.458817	631	1.907035	1850
ADAM23	1.227192	1064	1.710117	3097
ADAM28	1.089469	1442	1.130655	8908
ADAM29	0.000000	16730	0.000000	17207
ADAM30	0.000000	16729	0.000000	17206
ADAM32	0.146128	12378	0.146128	14862
ADAM33	0.586216	3936	1.079543	9387
ADAM7	0.000000	16728	0.000000	17205
ADAM8	0.029105	14633	0.203088	14292
ADAM9	0.331216	7808	1.657725	3539
ADAMDEC1	0.000000	16727	0.000000	17204
ADAMTS1	0.060615	13828	1.705265	3129
ADAMTS10	0.275994	8907	0.974512	10373
ADAMTS12	0.110114	12995	0.257679	14187
ADAMTS13	0.000000	16726	0.000000	17203
ADAMTS14	0.210594	10480	0.283213	13936
ADAMTS15	0.033457	14367	0.344392	13846
ADAMTS16	0.418301	6195	0.418301	13548
ADAMTS17	0.308546	8266	0.418301	13547
ADAMTS18	0.656098	3419	0.656098	12455
ADAMTS19	0.274214	8945	0.274214	13939
ADAMTS2	0.127105	12723	0.462398	13337
ADAMTS20	0.535294	4500	0.535294	13052
ADAMTS3	0.306415	8309	0.583199	12849
ADAMTS4	1.086212	1451	1.687618	3272
ADAMTS5	0.309320	8246	1.029384	9903
ADAMTS6	0.292583	8595	0.535294	13051
ADAMTS7	0.106487	13060	0.480007	13284
ADAMTS8	0.056905	13955	0.056905	15180
ADAMTS9	1.249025	1019	1.701741	3159
ADAMTSL1	0.076050	13602	0.344392	13845
ADAMTSL2	0.906874	2055	0.939161	10588
ADAMTSL3	0.426432	5984	0.465772	13317
ADAMTSL4	0.069781	13699	0.583199	12848
ADAMTSL5	0.017693	14878	0.187521	14340
ADAP1	1.107968	1379	1.756242	2762
ADAP2	0.545307	4373	0.702431	12238
ADAR	0.518437	4694	1.928754	1736
ADARB1	0.385321	6732	1.353147	6590
ADARB2	1.290721	937	1.290721	7223
ADAT1	0.283544	8761	1.246745	7687
ADAT2	-0.019297	16849	0.856729	11268
ADAT3	0.385606	6729	1.867880	2051
ADCK1	0.364632	7077	1.004751	10105
ADCK2	0.407509	6355	1.450512	5554
ADCK5	0.146128	12377	0.823474	11520
ADCY1	0.929856	1979	1.010300	10074
ADCY10	0.000000	16725	0.000000	17202
ADCY2	1.597298	456	1.651678	3581
ADCY3	0.255803	9526	1.241191	7747
ADCY4	0.421326	6067	0.823474	11519
ADCY5	1.028285	1641	1.056905	9637
ADCY6	0.077761	13574	0.888179	11057
ADCY7	0.465717	5409	0.823474	11518
ADCY8	1.012837	1695	1.012837	10057
ADCY9	0.056569	13964	0.600973	12703
ADCYAP1	1.467368	618	1.467368	5369
ADCYAP1R1	1.612475	433	1.612475	3952
ADD1	1.118942	1350	1.948168	1628
ADD2	1.508300	548	1.714078	3068
ADD3	1.015213	1680	1.894249	1912
ADGB	1.342817	816	1.342817	6727
ADGRA1	0.927279	1988	0.927279	10719
ADGRA2	0.108517	13025	0.785330	11728
ADGRA3	0.476779	5261	1.177877	8423
ADGRB1	0.945469	1902	0.945469	10562
