gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.328585	14338	1.294472	10664
A1CF	1.241546	2719	1.241546	11201
A2M	1.651913	1156	2.702215	601
A2ML1	1.970765	579	1.970765	3222
A3GALT2	-	19008	-	19008
A4GALT	1.046369	3994	1.710794	5726
A4GNT	0.000000	17239	0.000000	17239
AAAS	0.555727	9793	1.867492	4092
AACS	0.437459	12159	1.373871	9776
AADAC	0.519828	10474	0.519828	15380
AADACL2	0.698101	7545	0.698101	14769
AADACL3	0.674861	7894	0.674861	14864
AADACL4	-	19007	-	19007
AADAT	0.506664	10726	1.076276	12654
AAED1	0.252605	15510	1.411788	9345
AAGAB	0.274969	15218	1.823670	4539
AAK1	0.741553	7008	1.636889	6592
AAMDC	0.369238	13592	1.553033	7617
AAMP	0.446085	11983	2.011307	2931
AANAT	0.000000	17238	0.000000	17238
AAR2	0.438348	12135	1.559584	7542
AARD	1.533265	1467	1.547717	7676
AARS	0.307568	14701	1.875212	4017
AARS2	0.136903	16430	1.347720	10088
AARSD1	0.904700	5190	1.824434	4531
AASDH	0.283328	15108	1.363612	9893
AASDHPPT	0.525573	10357	1.797683	4795
AASS	0.634377	8513	1.696444	5910
AATF	0.281340	15133	1.750200	5312
AATK	0.810233	6182	0.810233	14276
ABAT	0.776170	6541	1.216799	11431
ABCA1	0.507295	10719	1.900695	3767
ABCA10	1.022428	4166	1.022428	13028
ABCA12	0.996949	4381	0.996949	13197
ABCA13	0.267172	15351	0.267172	16105
ABCA2	0.375834	13474	1.154728	12004
ABCA3	0.555032	9808	1.249886	11110
ABCA4	0.271842	15261	0.271842	16074
ABCA5	0.723668	7223	1.756103	5242
ABCA6	0.974915	4561	1.434090	9088
ABCA7	0.320146	14499	1.094471	12478
ABCA8	1.133398	3405	2.074195	2527
ABCA9	1.088884	3694	1.390759	9602
ABCB1	1.113290	3530	1.710963	5722
ABCB10	0.413303	12694	1.273464	10872
ABCB11	0.613913	8844	0.613913	15098
ABCB4	0.661240	8091	0.810233	14275
ABCB5	1.584218	1339	1.584218	7226
ABCB6	0.718672	7283	1.100371	12440
ABCB7	0.176091	16234	1.362105	9910
ABCB8	0.479861	11240	1.462397	8718
ABCB9	0.306051	14721	0.696356	14797
ABCC1	0.557456	9771	1.538339	7785
ABCC10	0.314338	14577	0.981881	13292
ABCC11	0.491362	11037	0.491362	15448
ABCC12	0.632177	8556	0.632177	15035
ABCC2	1.640084	1196	1.640084	6565
ABCC3	1.264818	2618	1.809627	4676
ABCC4	1.045754	4000	1.528304	7912
ABCC5	0.461911	11662	1.450711	8906
ABCC6	-	19006	-	19006
ABCC8	1.282169	2530	1.282169	10790
ABCC9	0.987324	4455	1.257918	11041
ABCD1	0.648935	8305	1.481521	8479
ABCD2	1.080911	3748	1.242293	11191
ABCD3	0.533074	10228	1.543199	7724
ABCD4	0.405993	12850	1.437751	9061
ABCE1	0.399071	12988	1.918135	3626
ABCF1	0.258323	15439	2.076094	2516
ABCF2	0.193374	16051	1.607140	6941
ABCF3	0.399066	12989	1.873844	4029
ABCG1	0.410526	12747	1.543447	7721
ABCG2	1.793755	850	1.901731	3754
ABCG4	0.622462	8713	0.638107	14994
ABCG5	0.068186	16703	0.068186	16713
ABCG8	0.068186	16702	0.068186	16712
ABHD1	1.707973	1015	1.767144	5122
ABHD10	0.388164	13224	1.551450	7637
ABHD11	0.705396	7439	1.675357	6160
ABHD12	1.511215	1551	1.818490	4575
ABHD12B	0.298853	14889	0.298853	16030
ABHD13	0.355239	13865	1.397419	9522
ABHD14A	0.467644	11537	1.334856	10239
ABHD14B	0.257315	15449	2.014772	2918
ABHD15	0.412253	12710	0.752816	14561
ABHD16A	0.179136	16157	1.469838	8642
ABHD16B	-	19005	-	19005
ABHD17A	0.450677	11882	1.377276	9744
ABHD17B	0.376779	13461	1.176993	11787
ABHD17C	0.538526	10124	1.579919	7284
ABHD18	0.432028	12267	1.232742	11270
ABHD2	1.293056	2475	2.142577	2167
ABHD3	0.647442	8331	1.597805	7054
ABHD4	0.464694	11598	1.805184	4715
ABHD5	0.588095	9249	1.784974	4935
ABHD6	0.688047	7706	1.243286	11184
ABHD8	1.198418	2988	1.361138	9933
ABI1	0.353530	13907	1.679610	6108
ABI2	0.581248	9363	1.847758	4308
ABI3	0.723843	7221	1.109241	12386
ABI3BP	2.026039	523	2.702379	600
ABL1	0.474450	11371	1.475962	8559
ABL2	0.902359	5206	1.570426	7409
ABLIM1	1.253791	2670	2.143514	2160
ABLIM2	1.239800	2731	1.239800	11220
ABLIM3	0.531289	10258	1.712650	5710
ABO	0.912774	5105	1.038620	12915
ABR	0.867190	5582	1.665299	6278
ABRA	1.865992	725	1.865992	4114
ABRACL	0.553553	9836	1.979503	3161
ABT1	0.530706	10267	1.727572	5552
ABTB1	0.363838	13717	1.551694	7634
ABTB2	1.255707	2659	1.582745	7247
ACAA1	0.540385	10087	1.750472	5307
ACAA2	0.663822	8053	1.803525	4732
ACACA	0.603852	8982	1.747179	5346
ACACB	1.741073	951	1.741073	5403
ACAD10	0.260110	15425	1.249687	11115
ACAD11	0.640069	8428	1.267641	10943
ACAD8	0.229632	15766	1.438384	9049
ACAD9	0.232996	15722	1.552911	7623
ACADL	0.723282	7227	0.744293	14589
ACADM	0.549511	9912	1.923607	3580
ACADS	0.556410	9786	1.444045	8980
ACADSB	0.394155	13100	1.385249	9663
ACADVL	0.660839	8099	2.149404	2130
ACAN	0.734051	7096	0.810233	14274
ACAP1	0.393048	13118	0.505150	15412
ACAP2	0.511796	10629	1.842859	4350
ACAP3	0.286068	15080	0.984527	13285
ACAT1	1.513704	1545	2.133443	2213
ACAT2	0.684784	7758	2.117934	2294
ACBD3	0.240809	15634	2.094751	2414
ACBD4	0.517141	10521	1.187521	11704
ACBD5	0.524969	10371	1.051924	12831
ACBD6	0.344903	14050	1.515266	8081
ACBD7	0.757878	6783	0.995196	13214
ACCS	0.916264	5070	1.320562	10400
ACCSL	-	19004	-	19004
ACD	0.591382	9194	1.508199	8154
ACE	1.868347	718	2.129561	2230
ACE2	1.364815	2102	1.364815	9881
ACER1	0.298853	14888	0.298853	16029
ACER2	1.438728	1812	1.755265	5254
ACER3	0.756872	6799	1.875466	4015
ACHE	1.173212	3151	1.565021	7467
ACIN1	0.416641	12632	2.218562	1826
ACKR1	1.995460	553	1.995460	3034
ACKR2	2.021768	529	2.021768	2869
ACKR3	0.830166	5957	2.174263	2013
ACKR4	1.135165	3394	1.239800	11219
ACLY	0.614197	8842	1.908896	3697
ACMSD	0.068186	16701	0.068186	16711
ACO1	0.596528	9130	2.120470	2282
ACO2	0.422842	12458	2.184237	1962
ACOD1	0.071882	16638	0.071882	16649
ACOT1	0.328574	14340	0.380211	15822
ACOT11	0.975296	4548	1.066326	12721
ACOT12	0.115399	16518	0.115399	16555
ACOT13	0.786307	6457	1.875806	4010
ACOT2	0.633468	8529	1.367915	9856
ACOT4	0.343686	14076	0.482874	15468
ACOT6	-	19003	-	19003
ACOT7	1.717004	999	1.813926	4622
ACOT8	0.230165	15761	1.630935	6680
ACOT9	0.416641	12631	1.716754	5671
ACOX1	0.504172	10774	1.674861	6163
ACOX2	0.663967	8051	1.177825	11784
ACOX3	0.828107	5975	1.415140	9306
ACOXL	1.313234	2349	1.313234	10465
ACP1	0.312311	14610	2.006166	2956
ACP2	0.319468	14507	1.872331	4039
ACP5	1.160048	3229	1.256958	11042
ACP6	0.513784	10598	1.031004	12972
ACP7	-	19002	-	19002
ACPP	2.799513	119	3.028681	301
ACPT	-	19001	-	19001
ACR	2.245813	330	2.245813	1712
ACRBP	2.447696	228	2.694278	615
ACRC	0.731723	7129	0.731723	14645
ACRV1	1.563558	1385	1.563558	7480
ACSBG1	0.790897	6408	0.790897	14357
ACSBG2	2.029415	518	2.029415	2817
ACSF2	1.032857	4085	1.658965	6369
ACSF3	0.282137	15123	1.047664	12852
ACSL1	1.212411	2906	1.737113	5445
ACSL3	0.459089	11715	2.463086	1044
ACSL4	0.948902	4778	1.852236	4272
ACSL5	1.544936	1428	1.577377	7319
ACSL6	1.503927	1568	1.503927	8200
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17237	0.000000	17237
ACSM2B	0.000000	17236	0.000000	17236
ACSM3	0.918326	5054	0.990783	13239
ACSM4	-	18999	-	18999
ACSM5	0.541579	10070	0.541579	15330
ACSM6	0.222716	15862	0.222716	16232
ACSS1	1.047177	3989	2.134974	2204
ACSS2	0.488776	11088	1.329194	10296
ACSS3	0.904372	5192	1.478422	8524
ACTA1	4.382624	3	4.382624	3
ACTA2	2.066681	471	3.440978	106
ACTB	1.081335	3744	3.925189	16
ACTBL2	0.444921	12003	0.444921	15603
ACTC1	2.489301	213	2.596806	762
ACTG1	0.640762	8421	3.888847	20
ACTG2	2.823791	114	3.553356	65
ACTL10	1.522268	1510	1.522268	7988
ACTL6A	0.408138	12812	1.924154	3574
ACTL6B	0.293417	14982	0.293417	16048
ACTL7A	2.104495	432	2.104495	2361
ACTL7B	1.802863	830	1.802863	4747
ACTL8	0.947434	4793	0.947434	13548
ACTL9	1.739952	952	1.739952	5410
ACTN1	0.596886	9124	2.566991	816
ACTN2	2.587955	176	2.817559	473
ACTN3	2.350829	273	2.350829	1340
ACTN4	0.564719	9635	2.112437	2316
ACTR10	0.390874	13163	1.769746	5099
ACTR1A	0.206657	15978	2.203014	1883
ACTR1B	0.191465	16067	1.482280	8470
ACTR2	0.756509	6811	1.910304	3689
ACTR3	0.538386	10129	2.474610	1012
ACTR3B	0.490980	11048	1.419129	9277
ACTR3C	0.871635	5537	1.218010	11426
ACTR5	0.473411	11408	1.270679	10924
ACTR6	0.403483	12911	1.218536	11420
ACTR8	0.518416	10496	1.382529	9684
ACTRT1	-	18998	-	18998
ACTRT2	1.803044	828	1.803044	4741
ACTRT3	-	18997	-	18997
ACVR1	0.477200	11284	1.551694	7633
ACVR1B	0.671046	7943	1.688776	5996
ACVR1C	0.765926	6664	0.801404	14321
ACVR2A	0.425181	12406	1.227807	11326
ACVR2B	0.785383	6462	1.186674	11720
ACVRL1	1.140350	3354	1.525693	7956
ACY1	0.709852	7389	1.505357	8188
ACY3	0.708421	7409	0.708421	14726
ACYP1	0.573145	9494	1.387568	9624
ACYP2	0.743923	6970	1.789157	4896
ADA	0.436410	12182	1.110926	12370
ADAD1	1.793587	851	1.793587	4841
ADAD2	1.657695	1141	1.657695	6382
ADAL	0.240725	15636	0.968658	13380
ADAM10	0.656518	8173	2.143608	2159
ADAM11	0.204120	15993	0.204120	16270
ADAM12	3.112722	60	3.391217	122
ADAM15	0.515889	10549	2.195726	1915
ADAM17	0.392563	13123	1.636588	6594
ADAM18	1.453249	1750	1.453249	8838
ADAM19	0.676507	7871	1.686904	6017
ADAM2	1.707507	1017	1.707507	5764
ADAM20	0.913708	5091	0.913708	13732
ADAM21	0.867160	5583	0.867160	13994
ADAM22	0.977805	4525	1.426023	9186
ADAM23	0.535359	10183	1.018284	13066
ADAM28	1.376612	2049	1.601625	7006
ADAM29	1.245081	2705	1.245081	11161
ADAM30	1.224140	2832	1.224140	11370
ADAM32	1.597435	1304	1.597435	7057
ADAM33	1.414663	1898	1.762978	5171
ADAM7	2.880122	100	2.880122	413
ADAM8	1.165733	3191	1.339716	10180
ADAM9	0.882405	5421	2.565092	821
ADAMDEC1	0.296665	14939	0.296665	16042
ADAMTS1	1.065838	3860	2.870609	419
ADAMTS10	0.565355	9619	1.263873	10997
ADAMTS12	1.034590	4076	1.271377	10912
ADAMTS13	0.037426	16830	0.037426	16831
ADAMTS14	0.556897	9779	0.791763	14354
ADAMTS15	0.815766	6094	1.340246	10178
ADAMTS16	0.830589	5954	0.830589	14187
ADAMTS17	0.856831	5687	0.856831	14043
ADAMTS18	0.868644	5569	0.868644	13990
ADAMTS19	0.911195	5128	0.911195	13746
ADAMTS2	0.666470	8017	1.406888	9401
ADAMTS20	0.184691	16115	0.184691	16291
ADAMTS3	0.511385	10638	0.788168	14363
ADAMTS4	1.311613	2352	1.913019	3671
ADAMTS5	1.228447	2805	1.948511	3365
ADAMTS6	1.043418	4014	1.213518	11468
ADAMTS7	0.497677	10888	1.088136	12560
ADAMTS8	0.367633	13621	0.367633	15834
ADAMTS9	1.505752	1564	1.958468	3301
ADAMTSL1	1.338700	2227	1.835627	4417
ADAMTSL2	0.801238	6296	0.836957	14158
ADAMTSL3	1.001657	4335	1.040998	12905
ADAMTSL4	1.629275	1223	2.509659	940
ADAMTSL5	1.090326	3685	1.228657	11321
ADAP1	1.096215	3646	1.537567	7793
ADAP2	0.722177	7242	0.966142	13391
ADAR	0.381021	13383	1.806655	4702
ADARB1	0.841786	5844	1.535167	7831
ADARB2	1.182129	3084	1.182129	11742
ADAT1	0.517811	10508	1.481011	8499
ADAT2	0.267925	15318	1.143951	12098
ADAT3	0.508519	10695	2.181914	1975
ADCK1	0.160598	16299	0.800717	14330
ADCK2	0.450435	11890	1.493437	8353
ADCK5	0.382000	13357	1.178926	11773
ADCY1	0.488352	11100	0.568796	15234
ADCY10	1.465073	1701	1.465073	8696
ADCY2	1.132858	3410	1.187239	11715
ADCY3	0.587348	9261	1.543447	7720
ADCY4	1.064423	3876	1.466571	8685
ADCY5	0.955908	4713	0.984527	13284
ADCY6	0.324077	14420	1.134496	12192
ADCY7	0.403425	12913	0.735191	14636
ADCY8	1.175512	3139	1.175512	11815
ADCY9	0.329277	14326	0.825106	14190
ADCYAP1	0.718502	7292	0.718502	14701
ADCYAP1R1	0.972666	4588	0.972666	13364
ADD1	0.516596	10533	1.854731	4243
ADD2	0.277061	15192	0.477121	15498
ADD3	1.070407	3823	1.883775	3936
ADGB	1.088080	3698	1.088080	12561
ADGRA1	0.161368	16298	0.161368	16403
ADGRA2	0.812226	6144	1.796852	4807
