gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.065509	14166	0.603144	12860
A1CF	0.030349	15234	0.030349	16170
A2M	1.304728	879	2.355030	407
A2ML1	0.227925	9993	0.227925	14599
A3GALT2	-	19008	-	19008
A4GALT	0.422153	6239	1.117603	8937
A4GNT	0.000000	16716	0.000000	17239
AAAS	0.326123	7858	1.641965	3393
AACS	0.437459	6021	0.958370	10390
AADAC	0.132586	12416	0.132586	15206
AADACL2	0.044953	14792	0.044953	15958
AADACL3	0.000000	16715	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.330139	7752	0.758912	11938
AAED1	0.127731	12524	1.346086	6388
AAGAB	0.128703	12503	1.677404	3056
AAK1	0.099688	13250	0.816082	11532
AAMDC	0.105557	13120	1.231275	7703
AAMP	0.265546	9065	1.883847	1656
AANAT	0.000000	16714	0.000000	17237
AAR2	0.273614	8902	1.394850	5829
AARD	1.533265	485	1.547717	4217
AARS	0.070724	13964	1.478711	4898
AARS2	-0.059754	16982	1.151063	8595
AARSD1	0.411601	6391	1.824434	2002
AASDH	0.088547	13606	1.168831	8390
AASDHPPT	0.055857	14450	1.502973	4663
AASS	0.469667	5652	1.531734	4384
AATF	0.141694	12106	1.610554	3650
AATK	0.133039	12393	0.150732	15054
ABAT	0.776170	2908	1.216799	7868
ABCA1	0.130352	12472	1.523752	4457
ABCA10	0.919078	2152	0.919078	10761
ABCA12	0.016712	15568	0.016712	16324
ABCA13	0.265292	9082	0.265292	14414
ABCA2	0.351878	7363	0.758912	11937
ABCA3	0.555032	4671	1.249886	7497
ABCA4	0.060698	14356	0.060698	15789
ABCA5	0.431056	6121	1.439359	5348
ABCA6	0.974915	1902	1.434090	5405
ABCA7	0.018316	15353	0.529611	13219
ABCA8	1.133398	1361	2.074195	919
ABCA9	1.046040	1635	1.347915	6367
ABCB1	0.464156	5713	1.061829	9499
ABCB10	0.094294	13366	0.729165	12140
ABCB11	0.613913	4116	0.613913	12791
ABCB4	0.076317	13871	0.225309	14654
ABCB5	0.323936	7911	0.323936	14161
ABCB6	0.669444	3626	1.100371	9099
ABCB7	0.050506	14683	1.299943	6930
ABCB8	0.048754	14710	1.197378	8088
ABCB9	0.271832	8937	0.691620	12363
ABCC1	0.281369	8706	1.538339	4302
ABCC10	0.102276	13193	0.664495	12501
ABCC11	0.033424	15143	0.033424	16120
ABCC12	0.632177	3949	0.632177	12701
ABCC2	0.051902	14667	0.051902	15923
ABCC3	0.551450	4720	0.669401	12492
ABCC4	0.336518	7635	1.029384	9799
ABCC5	0.150071	11924	1.138872	8726
ABCC6	-	19006	-	19006
ABCC8	0.250331	9449	0.250331	14501
ABCC9	0.748735	3080	1.094471	9168
ABCD1	0.648935	3802	1.481521	4868
ABCD2	0.298010	8366	0.459392	13573
ABCD3	0.322520	7937	1.150564	8600
ABCD4	0.155817	11779	1.239737	7617
ABCE1	0.110243	13018	1.629308	3498
ABCF1	0.258323	9256	2.026583	1079
ABCF2	0.180360	11185	1.496941	4712
ABCF3	0.028196	15255	1.502973	4662
ABCG1	0.055726	14453	1.188647	8173
ABCG2	0.357935	7267	0.423246	13749
ABCG4	0.622462	4040	0.638107	12670
ABCG5	0.000000	16713	0.000000	17236
ABCG8	0.000000	16712	0.000000	17235
ABHD1	1.707973	297	1.767144	2369
ABHD10	0.343187	7503	1.417887	5603
ABHD11	0.052476	14513	0.994414	10101
ABHD12	0.165207	11524	1.391852	5856
ABHD12B	0.033424	15142	0.033424	16119
ABHD13	0.075423	13894	1.117603	8936
ABHD14A	0.336122	7642	1.309630	6817
ABHD14B	0.192664	10862	1.950121	1366
ABHD15	0.000000	16711	0.243038	14556
ABHD16A	0.075686	13887	1.293411	6999
ABHD16B	-	19005	-	19005
ABHD17A	0.248924	9484	1.044917	9655
ABHD17B	0.316747	8025	1.176993	8303
ABHD17C	0.101840	13206	0.826881	11465
ABHD18	0.320381	7970	0.655044	12577
ABHD2	0.784087	2868	1.985248	1220
ABHD3	-0.070666	17008	0.879697	11046
ABHD4	0.464694	5706	1.805184	2131
ABHD5	0.411512	6392	1.044766	9656
ABHD6	0.079654	13820	0.752816	11980
ABHD8	1.198418	1140	1.361138	6226
ABI1	0.069115	14022	1.381837	5989
ABI2	0.581248	4412	1.790778	2220
ABI3	0.326722	7841	0.831870	11427
ABI3BP	0.947181	2014	1.903741	1563
ABL1	0.264485	9108	1.265996	7335
ABL2	0.285328	8640	0.981067	10218
ABLIM1	1.253791	1002	2.143514	751
