gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.247547	8983	1.238548	7763
A1CF	0.000000	17070	0.000000	17239
A2M	1.588496	212	2.586790	350
A2ML1	1.970765	94	1.970765	1561
A3GALT2	-	19008	-	19008
A4GALT	0.618839	2500	1.314289	6951
A4GNT	0.000000	17069	0.000000	17238
AAAS	0.415590	4837	1.809560	2432
AACS	0.053482	14423	1.104146	9044
AADAC	0.000000	17068	0.000000	17237
AADACL2	0.089905	13828	0.089905	14969
AADACL3	0.000000	17067	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.492593	3668	1.062206	9417
AAED1	0.095934	13536	1.314289	6950
AAGAB	0.053576	14421	1.602277	4033
AAK1	0.197855	10634	0.968950	10150
AAMDC	0.304755	7299	1.488551	5126
AAMP	0.366441	5752	1.785472	2582
AANAT	0.000000	17066	0.000000	17235
AAR2	0.178708	11212	1.299943	7117
AARD	0.299415	7443	0.313867	13653
AARS	0.202705	10495	1.769599	2701
AARS2	0.136903	12407	1.347720	6591
AARSD1	0.371961	5636	1.483587	5181
AASDH	0.276888	8075	1.357172	6473
AASDHPPT	0.116160	13159	1.632761	3742
AASS	0.634377	2389	1.696444	3240
AATF	0.160141	11782	1.629002	3775
AATK	0.432969	4533	0.432969	13120
ABAT	0.049218	14803	0.698970	11917
ABCA1	0.180284	11162	1.573684	4282
ABCA10	1.022428	840	1.022428	9744
ABCA12	0.691965	2037	0.691965	11930
ABCA13	0.267172	8411	0.267172	13867
ABCA2	0.355665	6003	0.820858	11216
ABCA3	0.351227	6093	1.079181	9282
ABCA4	0.000000	17065	0.000000	17234
ABCA5	0.437092	4458	1.469527	5310
ABCA6	0.889520	1230	1.348694	6555
ABCA7	0.000000	17064	0.772322	11499
ABCA8	0.601531	2630	1.542327	4603
ABCA9	1.088884	702	1.390759	6155
ABCB1	0.982567	944	1.580241	4228
ABCB10	0.142005	12225	1.002166	9900
ABCB11	0.000000	17063	0.000000	17233
ABCB4	0.098981	13484	0.247973	13924
ABCB5	0.296665	7532	0.296665	13735
ABCB6	0.195413	10697	0.626340	12274
ABCB7	0.058273	14375	1.307710	7042
ABCB8	0.283149	7917	1.452093	5533
ABCB9	0.152122	11981	0.621176	12311
ABCC1	0.107206	13337	1.364176	6395
ABCC10	0.311456	7137	0.926857	10465
ABCC11	0.000000	17062	0.000000	17232
ABCC12	0.000000	17061	0.000000	17231
ABCC2	0.000000	17060	0.000000	17230
ABCC3	0.130334	12794	0.820858	11215
ABCC4	0.321627	6860	1.181558	8292
ABCC5	0.344445	6297	1.333246	6756
ABCC6	-	19006	-	19006
ABCC8	0.580925	2787	0.580925	12513
ABCC9	0.987324	928	1.257918	7566
ABCD1	0.112729	13224	1.065953	9400
ABCD2	1.080911	722	1.242293	7730
ABCD3	0.050290	14465	1.187239	8233
ABCD4	0.328750	6680	1.437751	5654
ABCE1	0.247868	8972	1.766933	2722
ABCF1	0.030593	15204	1.880528	2006
ABCF2	0.193374	10756	1.544812	4577
ABCF3	0.050527	14460	1.525304	4775
ABCG1	0.057762	14381	1.117271	8908
ABCG2	1.128089	646	1.243038	7722
ABCG4	0.060698	14348	0.060698	15097
ABCG5	0.000000	17059	0.000000	17229
ABCG8	0.000000	17058	0.000000	17228
ABHD1	0.049218	14802	0.093422	14911
ABHD10	0.388164	5328	1.412124	5930
ABHD11	0.417607	4802	1.387568	6187
ABHD12	0.117271	13144	1.582631	4216
ABHD12B	0.049218	14801	0.049218	15392
ABHD13	0.265530	8465	1.307710	7041
ABHD14A	0.126663	12864	1.202216	8070
ABHD14B	0.084465	13908	1.841922	2230
ABHD15	0.043252	14857	0.383815	13345
ABHD16A	0.173853	11338	1.191730	8190
ABHD16B	-	19005	-	19005
ABHD17A	0.044699	14847	0.943000	10322
ABHD17B	0.155300	11895	1.155943	8543
ABHD17C	0.112117	13236	1.153510	8556
ABHD18	0.270382	8256	0.991226	9996
ABHD2	0.293292	7615	1.951240	1641
ABHD3	0.056531	14393	1.006894	9874
ABHD4	0.249349	8901	1.589838	4145
ABHD5	0.588095	2722	1.784974	2587
ABHD6	0.244780	9068	0.859138	10946
ABHD8	0.070276	14109	0.926857	10464
ABI1	0.195049	10711	1.679610	3376
ABI2	0.396204	5178	1.847758	2194
ABI3	0.662858	2209	1.109241	8984
ABI3BP	1.211378	523	2.167937	958
ABL1	0.377431	5538	1.378943	6264
ABL2	0.902359	1189	1.570426	4325
ABLIM1	0.854399	1354	1.615319	3894
ABLIM2	0.298967	7451	0.567026	12572
ABLIM3	0.316225	7002	1.357172	6472
ABO	0.782102	1627	0.907949	10599
ABR	0.608434	2580	1.354876	6507
ABRA	0.471292	3959	0.471292	12954
ABRACL	0.248770	8914	1.745309	2869
ABT1	0.067479	14142	1.264346	7504
ABTB1	0.276336	8089	1.464191	5371
ABTB2	0.323760	6786	0.975891	10086
ACAA1	0.116248	13157	1.336460	6694
ACAA2	0.208454	10257	1.167022	8442
ACACA	0.237969	9294	1.381296	6245
ACACB	0.907483	1171	1.227630	7864
ACAD10	0.131654	12617	1.121231	8890
ACAD11	0.640069	2359	0.951823	10246
ACAD8	-0.010370	17100	1.198382	8124
ACAD9	0.232996	9482	1.490661	5092
ACADL	0.404834	5045	0.404834	13241
ACADM	0.251217	8844	1.525693	4765
ACADS	0.033424	15176	0.840733	11075
ACADSB	0.213471	10063	1.222716	7900
ACADVL	0.043065	14858	1.962843	1601
ACAN	0.588460	2716	0.664642	12097
ACAP1	0.342743	6337	0.454845	13009
ACAP2	0.283326	7886	1.842859	2226
ACAP3	0.173186	11436	0.820858	11214
ACAT1	0.089491	13834	1.761627	2752
ACAT2	0.684784	2086	2.117934	1089
ACBD3	0.130901	12641	1.984842	1520
ACBD4	0.432820	4538	1.027757	9688
ACBD5	0.102662	13417	0.691081	11957
ACBD6	0.169199	11538	1.255031	7616
ACBD7	-0.097439	17212	0.139879	14502
ACCS	0.526319	3295	0.991226	9995
ACCSL	-	19004	-	19004
ACD	0.339179	6421	1.255996	7594
ACE	0.791779	1593	1.238297	7770
ACE2	0.187521	10979	0.187521	14276
ACER1	0.283301	7911	0.283301	13770
ACER2	0.125942	12872	0.442480	13095
ACER3	0.224420	9743	1.343014	6629
ACHE	0.438780	4433	0.830589	11123
ACIN1	0.374986	5589	2.218562	858
ACKR1	1.995460	87	1.995460	1475
ACKR2	0.392697	5245	0.392697	13285
ACKR3	0.442880	4360	1.673666	3413
ACKR4	0.732322	1829	0.836957	11099
ACLY	0.514861	3419	1.809560	2431
ACMSD	0.049218	14800	0.049218	15391
ACO1	0.145933	12124	1.669875	3459
ACO2	0.049218	14799	1.574494	4279
ACOD1	0.000000	17057	0.000000	17227
ACOT1	0.262230	8559	0.313867	13652
ACOT11	0.580925	2786	0.621176	12310
ACOT12	0.000000	17056	0.000000	17226
ACOT13	0.122757	12942	1.544812	4576
ACOT2	0.288256	7749	1.158061	8525
ACOT4	-0.002467	17079	0.136721	14612
ACOT6	-	19003	-	19003
ACOT7	0.599943	2640	1.739731	2905
ACOT8	0.023131	15265	1.423901	5820
ACOT9	0.167689	11580	1.716754	3082
ACOX1	0.182963	11088	1.430075	5727
ACOX2	0.663967	2203	1.177825	8337
ACOX3	0.274578	8145	1.252125	7636
ACOXL	0.033424	15175	0.033424	15618
ACP1	0.096355	13529	1.903687	1878
ACP2	0.076147	14034	1.413970	5907
ACP5	1.027268	835	1.124178	8862
ACP6	0.259535	8630	0.820858	11213
ACP7	-	19002	-	19002
ACPP	1.075323	733	1.304491	7082
ACPT	-	19001	-	19001
ACR	0.000000	17055	0.000000	17225
ACRBP	0.101723	13440	0.348305	13450
ACRC	0.000000	17054	0.000000	17224
ACRV1	0.000000	17053	0.000000	17223
ACSBG1	0.130334	12793	0.130334	14711
ACSBG2	0.000000	17052	0.000000	17222
ACSF2	0.186337	11005	0.968950	10149
ACSF3	0.049218	14798	0.844477	11058
ACSL1	0.431104	4562	1.315970	6935
ACSL3	0.074877	14052	2.090046	1155
ACSL4	0.327285	6715	1.774809	2657
ACSL5	0.699468	1986	1.577377	4253
ACSL6	0.060698	14347	0.060698	15096
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17051	0.000000	17221
ACSM2B	0.000000	17050	0.000000	17220
ACSM3	0.318478	6946	0.390935	13310
ACSM4	-	18999	-	18999
ACSM5	0.247973	8968	0.247973	13923
ACSM6	0.000000	17049	0.000000	17219
ACSS1	0.282174	7951	1.257918	7565
ACSS2	0.232996	9481	1.146128	8650
ACSS3	0.904372	1182	1.478422	5227
ACTA1	0.580925	2785	0.580925	12512
ACTA2	2.066681	74	3.440978	22
ACTB	0.472190	3934	3.786116	6
ACTBL2	0.000000	17048	0.000000	17218
ACTC1	1.989301	88	2.096806	1135
ACTG1	0.439289	4423	3.888847	4
ACTG2	2.811891	14	3.541456	17
ACTL10	0.115937	13164	0.232996	14046
ACTL6A	0.347426	6208	1.863442	2092
ACTL6B	0.000000	17047	0.000000	17217
ACTL7A	0.000000	17046	0.000000	17216
ACTL7B	0.000000	17045	0.000000	17215
ACTL8	0.000000	17044	0.000000	17214
ACTL9	0.000000	17043	0.000000	17213
ACTN1	0.596886	2668	2.415641	510
ACTN2	0.033424	15174	0.247973	13922
ACTN3	0.136721	12508	0.136721	14611
ACTN4	0.564719	2934	2.095483	1140
ACTR10	0.103455	13404	1.692406	3273
ACTR1A	0.206657	10367	2.139690	1019
ACTR1B	0.090481	13759	1.381296	6244
ACTR2	0.161196	11762	1.873844	2036
ACTR3	0.271246	8239	2.440815	478
ACTR3B	0.259935	8614	1.188084	8215
ACTR3C	0.322941	6804	0.669317	12080
ACTR5	0.084687	13904	0.881955	10763
ACTR6	0.113411	13204	1.160769	8501
ACTR8	0.178048	11230	1.352375	6526
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17042	0.000000	17212
ACTRT3	-	18997	-	18997
ACVR1	0.370853	5654	1.294466	7184
ACVR1B	0.072529	14079	1.090258	9183
ACVR1C	0.212495	10094	0.247973	13921
ACVR2A	0.225312	9726	1.098298	9092
ACVR2B	0.357508	5962	0.685742	12006
ACVRL1	0.755841	1735	1.121888	8872
ACY1	0.165487	11624	1.296665	7156
ACY3	0.209515	10229	0.209515	14150
ACYP1	0.319193	6926	1.387568	6186
ACYP2	0.171037	11482	0.820858	11212
ADA	0.000000	17041	0.488551	12896
ADAD1	0.000000	17040	0.000000	17211
ADAD2	0.000000	17039	0.000000	17210
ADAL	0.180016	11169	0.907949	10598
ADAM10	0.186944	10990	1.674034	3412
ADAM11	0.093422	13712	0.093422	14910
ADAM12	0.516619	3400	0.775974	11485
ADAM15	0.134478	12561	1.814314	2398
ADAM17	0.220785	9854	1.333246	6755
ADAM18	0.000000	17038	0.000000	17209
ADAM19	0.497729	3610	1.508126	4942
