gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	166	3.183790	371
A1CF	2.101919	776	2.101919	3151
A2M	2.206353	671	3.256655	325
A2ML1	2.561256	406	2.561256	1235
A3GALT2	-	19008	-	19008
A4GALT	0.563975	9900	1.252368	11640
A4GNT	1.290480	2906	1.290480	11291
AAAS	0.547094	10243	1.941064	4337
AACS	0.712914	7558	1.763578	6107
AADAC	2.029830	872	2.029830	3647
AADACL2	1.089552	4004	1.089552	12848
AADACL3	0.000000	17239	0.000000	17239
AADACL4	-	19007	-	19007
AADAT	1.013472	4565	1.226084	11846
AAED1	0.492698	11274	1.711054	6669
AAGAB	0.263878	15515	1.812579	5577
AAK1	0.539948	10378	1.263636	11552
AAMDC	0.357779	14029	1.541575	8618
AAMP	0.385846	13413	2.190612	2637
AANAT	0.184691	16130	0.184691	16204
AAR2	0.431217	12510	1.552452	8508
AARD	0.942196	5121	0.956649	13672
AARS	0.341782	14310	1.953859	4220
AARS2	0.449479	12143	1.660296	7253
AARSD1	1.500152	2085	1.647383	7382
AASDH	0.199611	15992	1.279895	11400
AASDHPPT	0.395771	13200	1.776629	5955
AASS	0.857829	5904	1.850956	5209
AATF	0.236405	15767	1.705265	6740
AATK	1.091886	3986	1.109579	12745
ABAT	1.966422	958	2.695586	969
ABCA1	1.417970	2348	2.290881	2162
ABCA10	0.999565	4680	0.999565	13462
ABCA12	1.340444	2679	1.340444	10808
ABCA13	0.951823	5037	0.951823	13719
ABCA2	0.590808	9406	1.324077	10975
ABCA3	0.620680	8920	1.348634	10710
ABCA4	0.269266	15468	0.269266	16021
ABCA5	1.222196	3255	1.787704	5844
ABCA6	1.258738	3062	1.717912	6609
ABCA7	0.763013	6941	1.598572	7975
ABCA8	0.835056	6135	1.732796	6448
ABCA9	1.184981	3472	1.486855	9223
ABCB1	1.689815	1527	2.287488	2185
ABCB10	1.141486	3697	2.001647	3856
ABCB11	1.753506	1352	1.753506	6213
ABCB4	2.095754	782	2.244747	2358
ABCB5	0.262451	15530	0.262451	16033
ABCB6	1.217134	3285	1.595827	8003
ABCB7	0.365249	13882	1.614686	7789
ABCB8	0.448495	12163	1.574841	8229
ABCB9	0.424708	12626	0.893762	14005
ABCC1	0.568001	9832	1.824971	5459
ABCC10	0.394065	13231	1.006894	13387
ABCC11	0.000000	17238	0.000000	17238
ABCC12	0.000000	17237	0.000000	17237
ABCC2	1.933487	1007	1.933487	4406
ABCC3	1.487986	2125	2.214571	2506
ABCC4	0.849526	5986	1.448626	9627
ABCC5	0.423324	12650	1.412124	10080
ABCC6	-	19006	-	19006
ABCC8	1.301898	2866	1.301898	11197
ABCC9	1.095875	3967	1.326131	10923
ABCD1	0.787297	6655	1.740521	6375
ABCD2	0.888611	5602	1.049993	13135
ABCD3	0.815718	6326	1.617525	7753
ABCD4	0.531209	10527	1.496653	9131
ABCE1	0.460256	11882	1.979321	4021
ABCF1	0.306384	14896	2.044226	3542
ABCF2	0.410220	12921	1.837462	5335
ABCF3	0.280488	15329	1.755265	6198
ABCG1	0.487735	11365	1.620656	7712
ABCG2	2.000115	913	2.108091	3120
ABCG4	0.265389	15501	0.281033	15998
ABCG5	1.518909	2023	1.518909	8869
ABCG8	2.061792	821	2.061792	3411
ABHD1	1.026832	4470	1.086004	12865
ABHD10	0.294107	15070	1.564784	8365
ABHD11	0.672287	8095	1.642247	7449
ABHD12	0.959995	4959	1.953034	4234
ABHD12B	0.282861	15224	0.282861	15916
ABHD13	0.382212	13471	1.424392	9931
ABHD14A	0.454022	11992	1.485863	9237
ABHD14B	0.519073	10742	2.276531	2228
ABHD15	0.675634	8053	1.016197	13328
ABHD16A	0.396827	13166	1.687529	6932
ABHD16B	-	19005	-	19005
ABHD17A	0.376577	13598	1.290702	11287
ABHD17B	0.404020	13028	1.404663	10150
ABHD17C	0.909608	5401	1.951001	4249
ABHD18	0.718527	7504	1.452093	9591
ABHD2	1.469279	2185	2.392802	1726
ABHD3	0.841258	6071	1.791620	5803
ABHD4	0.438018	12370	1.778507	5940
ABHD5	0.970453	4884	2.167332	2760
ABHD6	0.938931	5144	1.364176	10563
ABHD8	0.557440	10059	1.279439	11408
ABI1	0.372158	13692	1.798996	5725
ABI2	0.324942	14558	1.672601	7100
ABI3	1.093424	3978	1.598572	7974
ABI3BP	1.838871	1189	2.515211	1351
ABL1	0.597388	9284	1.598900	7966
ABL2	0.797049	6547	1.465115	9457
ABLIM1	1.370062	2559	2.259785	2303
ABLIM2	1.579326	1834	1.579326	8190
ABLIM3	1.103116	3928	1.914644	4558
ABO	1.713443	1461	1.839289	5323
ABR	1.360215	2602	1.425045	9907
ABRA	2.142765	731	2.142765	2891
ABRACL	0.528695	10579	1.981456	4012
ABT1	0.420868	12697	1.617734	7751
ABTB1	0.304905	14922	1.492760	9172
ABTB2	0.833351	6151	1.594171	8038
ACAA1	0.991442	4721	2.473458	1462
ACAA2	1.734856	1409	3.027635	500
ACACA	0.715150	7536	1.761711	6132
ACACB	2.291944	603	2.291944	2156
ACAD10	0.372121	13694	1.361698	10581
ACAD11	1.302451	2857	1.967887	4118
ACAD8	0.383381	13450	1.592133	8051
ACAD9	0.311754	14821	1.656769	7289
ACADL	1.079508	4068	1.100519	12798
ACADM	1.045678	4336	2.419774	1631
ACADS	1.308074	2832	2.195709	2607
ACADSB	1.601201	1752	2.610447	1127
ACADVL	0.746495	7130	2.623465	1101
ACAN	1.771756	1315	1.822055	5491
ACAP1	1.532337	1977	1.644439	7417
ACAP2	0.493463	11259	1.920019	4513
ACAP3	0.678665	8008	1.377124	10455
ACAT1	1.536497	1965	3.058912	472
ACAT2	1.070860	4142	2.504010	1384
ACBD3	0.311422	14825	2.165363	2768
ACBD4	0.959354	4967	1.668199	7152
ACBD5	1.014150	4560	1.580697	8166
ACBD6	0.361835	13949	1.517987	8892
ACBD7	0.990569	4727	1.227887	11834
ACCS	0.988438	4736	1.408070	10135
ACCSL	-	19004	-	19004
ACD	0.669207	8153	1.586024	8099
ACE	2.410929	499	2.857447	719
ACE2	2.246917	632	2.246917	2348
ACER1	0.728354	7379	0.728354	14727
ACER2	1.184111	3482	1.500648	9097
ACER3	0.586622	9464	1.705216	6741
ACHE	1.732369	1414	2.124178	3024
ACIN1	0.380027	13512	2.223210	2455
ACKR1	1.824516	1216	1.824516	5468
ACKR2	1.044932	4343	1.044932	13147
ACKR3	0.912756	5371	2.248415	2343
