gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.297458	11966	1.259491	9196
A1CF	1.102434	1677	1.102434	10552
A2M	1.513855	689	2.564157	587
A2ML1	0.932816	2447	0.932816	11879
A3GALT2	-	19008	-	19008
A4GALT	0.775854	3498	1.442793	7268
A4GNT	0.033424	16004	0.033424	16050
AAAS	0.539776	6323	1.931741	2761
AACS	0.500850	6992	1.551514	6077
AADAC	0.201397	13875	0.201397	15118
AADACL2	0.173186	14323	0.173186	15207
AADACL3	0.000000	17227	0.000000	17239
AADACL4	-	19007	-	19007
AADAT	0.553801	6071	1.028571	11248
AAED1	0.269834	12558	1.488189	6781
AAGAB	0.177619	14244	1.726320	4369
AAK1	0.477208	7426	1.372544	8072
AAMDC	0.403518	9363	1.534721	6274
AAMP	0.387885	9761	2.192651	1508
AANAT	0.000000	17226	0.000000	17238
AAR2	0.455966	7789	1.431177	7372
AARD	1.025358	1995	1.039811	11045
AARS	0.203605	13819	1.815682	3636
AARS2	0.229072	13360	1.439889	7304
AARSD1	0.533850	6431	1.528688	6316
AASDH	0.228280	13378	1.308564	8768
AASDHPPT	0.435619	8201	1.594393	5615
AASS	0.673943	4401	1.541704	6214
AATF	0.169829	14355	1.638689	5201
AATK	0.608648	5270	0.626340	13612
ABAT	0.830144	3087	1.559308	6000
ABCA1	0.423570	8487	1.816970	3598
ABCA10	0.685742	4296	0.685742	13168
ABCA12	0.332321	11158	0.332321	14810
ABCA13	0.416641	9102	0.416641	14591
ABCA2	0.562936	5932	1.341830	8416
ABCA3	0.967893	2269	1.695847	4629
ABCA4	0.273839	12467	0.273839	14924
ABCA5	0.313917	11565	1.346353	8297
ABCA6	0.842723	3001	1.301898	8813
ABCA7	0.437211	8151	1.272770	9107
ABCA8	0.783398	3432	1.724194	4384
ABCA9	1.065295	1812	1.367169	8116
ABCB1	1.260623	1199	1.858297	3272
ABCB10	0.184838	14133	1.044999	11011
ABCB11	0.021189	16162	0.021189	16189
ABCB4	0.477348	7423	0.626340	13611
ABCB5	0.411620	9193	0.411620	14610
ABCB6	0.387720	9766	0.766413	12929
ABCB7	0.125311	14954	1.374748	7953
ABCB8	0.366739	10304	1.538706	6239
ABCB9	0.338489	11003	0.801880	12612
ABCC1	0.805330	3278	1.679155	4822
ABCC10	0.399310	9466	1.066852	10872
ABCC11	0.000000	17225	0.000000	17237
ABCC12	0.000000	17224	0.000000	17236
ABCC2	1.477121	735	1.477121	6931
ABCC3	0.918155	2522	1.730483	4340
ABCC4	0.874620	2764	1.453624	7179
ABCC5	0.643961	4726	1.632761	5267
ABCC6	-	19006	-	19006
ABCC8	0.957128	2332	0.957128	11756
ABCC9	0.698668	4185	1.015779	11303
ABCD1	0.319546	11441	1.272770	9106
ABCD2	0.633106	4838	0.794488	12650
ABCD3	0.465814	7621	1.426349	7484
ABCD4	0.616141	5196	1.418798	7542
ABCE1	0.077202	15542	1.596267	5604
ABCF1	0.669677	4442	2.352511	1018
ABCF2	0.313733	11574	1.740975	4241
ABCF3	0.073120	15557	1.547898	6105
ABCG1	0.363732	10367	1.496653	6702
ABCG2	0.757207	3694	0.872156	12318
ABCG4	0.350769	10695	0.366414	14714
ABCG5	0.000000	17223	0.000000	17235
ABCG8	0.000000	17222	0.000000	17234
ABHD1	0.357469	10525	0.416641	14590
ABHD10	0.182947	14152	1.453624	7178
ABHD11	0.776366	3494	1.746327	4207
ABHD12	0.639486	4769	1.919288	2838
ABHD12B	0.150515	14634	0.150515	15282
ABHD13	0.266384	12627	1.308564	8767
ABHD14A	0.299672	11906	1.416840	7563
ABHD14B	0.327104	11263	2.084561	1914
ABHD15	0.483185	7307	0.823749	12522
ABHD16A	0.352447	10647	1.434758	7345
ABHD16B	-	19005	-	19005
ABHD17A	0.247322	13016	1.173922	9995
ABHD17B	0.234040	13261	1.074085	10817
ABHD17C	0.539418	6333	1.580811	5753
ABHD18	0.342401	10920	1.074816	10810
ABHD2	0.212390	13660	1.911903	2886
ABHD3	0.390524	9683	1.340886	8423
ABHD4	0.433210	8253	1.773699	3958
ABHD5	0.238902	13148	1.272770	9105
ABHD6	0.615863	5200	1.016197	11297
ABHD8	0.492937	7138	1.317182	8627
ABI1	0.303078	11826	1.746868	4203
ABI2	0.440228	8096	1.746868	4202
ABI3	1.068476	1800	1.314047	8652
ABI3BP	1.045736	1884	2.002296	2350
ABL1	0.456673	7776	1.458184	7070
ABL2	0.530302	6492	1.198369	9723
ABLIM1	1.251881	1239	1.756864	4111
ABLIM2	0.578896	5689	0.846955	12415
ABLIM3	0.446261	7978	1.727623	4362
ABO	1.598900	565	1.598900	5584
ABR	0.873087	2771	1.696553	4624
ABRA	0.428135	8380	0.428135	14175
ABRACL	0.704319	4145	2.200857	1477
ABT1	0.332998	11139	1.529864	6305
ABTB1	0.224773	13459	1.412629	7594
ABTB2	0.602675	5350	1.363495	8149
ACAA1	0.401802	9396	1.792392	3805
ACAA2	0.886112	2707	2.178891	1564
ACACA	0.367834	10273	1.465507	7024
ACACB	1.023252	2003	1.088136	10748
ACAD10	0.361639	10417	1.351216	8253
ACAD11	0.932368	2449	1.597805	5593
ACAD8	0.439999	8098	1.648750	5145
ACAD9	0.346730	10806	1.746868	4201
ACADL	1.272770	1165	1.272770	9104
ACADM	0.743805	3802	2.117901	1771
ACADS	0.494202	7101	1.381837	7900
ACADSB	0.601414	5374	1.610660	5452
ACADVL	0.416091	9108	2.122805	1750
ACAN	0.737399	3859	0.813581	12565
ACAP1	0.654311	4602	0.766413	12928
ACAP2	0.334838	11100	1.894371	3020
ACAP3	0.362446	10401	0.957128	11755
ACAT1	0.897603	2636	2.477787	739
ACAT2	0.754773	3714	2.187923	1528
ACBD3	0.176820	14259	2.030762	2181
ACBD4	0.616293	5195	1.158362	10097
ACBD5	0.615011	5209	1.181558	9941
ACBD6	0.313064	11588	1.349723	8264
ACBD7	0.493976	7111	0.731294	13043
ACCS	0.678505	4365	0.957128	11754
ACCSL	-	19004	-	19004
ACD	0.591943	5518	1.508760	6537
ACE	1.212897	1349	1.659414	4997
ACE2	1.097257	1698	1.097257	10586
ACER1	0.039591	15915	0.039591	15975
ACER2	0.879362	2736	1.195900	9739
ACER3	0.148343	14658	1.266937	9153
ACHE	0.648398	4685	1.040207	11042
ACIN1	0.593477	5492	2.437053	825
ACKR1	1.906389	278	1.906389	2918
ACKR2	1.222287	1325	1.222287	9566
ACKR3	1.050879	1867	2.394977	912
ACKR4	0.839354	3019	0.943989	11832
ACLY	1.036146	1923	2.330845	1087
ACMSD	1.474799	736	1.474799	6943
ACO1	0.515830	6737	2.039771	2134
ACO2	0.369613	10225	2.131009	1720
ACOD1	1.089552	1729	1.089552	10735
ACOT1	0.307232	11731	0.358869	14728
ACOT11	0.997815	2117	1.088845	10741
ACOT12	0.120574	15012	0.120574	15418
ACOT13	0.547305	6193	1.550555	6085
ACOT2	0.357935	10511	1.353916	8234
ACOT4	0.540240	6318	0.679428	13190
ACOT6	-	19003	-	19003
ACOT7	1.386142	895	1.908830	2909
ACOT8	0.256218	12838	1.656987	5025
ACOT9	0.127355	14944	1.676420	4848
ACOX1	0.519420	6677	1.847264	3367
ACOX2	1.066159	1808	1.097257	10585
ACOX3	0.227714	13403	1.198657	9718
ACOXL	0.957128	2331	0.957128	11753
ACP1	0.261973	12703	1.863025	3242
ACP2	0.245808	13041	1.798671	3749
ACP5	1.346163	986	1.518514	6460
ACP6	0.574199	5767	1.090775	10623
ACP7	-	19002	-	19002
ACPP	2.575680	57	2.804848	312
ACPT	-	19001	-	19001
ACR	0.000000	17221	0.000000	17233
ACRBP	0.328606	11225	0.575188	13746
ACRC	0.000000	17220	0.000000	17232
ACRV1	0.000000	17219	0.000000	17231
ACSBG1	0.143015	14760	0.143015	15335
ACSBG2	0.000000	17218	0.000000	17230
ACSF2	1.331021	1026	1.957128	2623
ACSF3	0.416641	9101	1.043656	11027
ACSL1	1.336456	1015	1.941760	2708
ACSL3	0.317402	11485	2.214552	1422
ACSL4	0.416641	9100	1.852114	3317
ACSL5	0.927592	2473	1.805501	3710
ACSL6	0.252853	12912	0.252853	14980
ACSM1	-	19000	-	19000
ACSM2A	0.536558	6376	0.536558	13870
ACSM2B	0.981819	2179	0.981819	11481
ACSM3	1.369081	927	1.441538	7279
ACSM4	-	18999	-	18999
ACSM5	0.797960	3330	0.797960	12631
ACSM6	0.113943	15114	0.113943	15475
ACSS1	0.511104	6815	1.598900	5583
ACSS2	0.600973	5386	1.432575	7360
ACSS3	0.799230	3321	1.373280	7961
ACTA1	1.521922	678	1.521922	6434
ACTA2	2.164460	153	3.538757	39
ACTB	0.731450	3910	4.150286	5
ACTBL2	0.580290	5673	0.580290	13725
ACTC1	2.711736	40	2.819241	295
ACTG1	0.694150	4223	4.173575	4
ACTG2	3.255539	11	3.985104	6
ACTL10	0.176539	14263	0.293597	14884
ACTL6A	0.086326	15394	1.602342	5505
ACTL6B	0.041393	15907	0.041393	15967
ACTL7A	0.000000	17217	0.000000	17229
ACTL7B	0.000000	17216	0.000000	17228
ACTL8	0.028787	16029	0.028787	16066
ACTL9	0.000000	17215	0.000000	17227
ACTN1	0.789887	3388	2.945557	214
ACTN2	0.895227	2650	1.124830	10419
ACTN3	0.113943	15113	0.113943	15474
ACTN4	0.618947	5155	2.349318	1029
ACTR10	0.146141	14677	1.847264	3366
ACTR1A	0.387599	9771	2.368620	975
ACTR1B	0.433668	8244	1.724483	4381
ACTR2	0.154627	14569	1.780893	3909
ACTR3	0.364898	10343	2.244030	1324
ACTR3B	0.459552	7720	1.151370	10142
ACTR3C	0.982330	2175	1.120903	10439
ACTR5	0.077568	15541	0.874835	12143
ACTR6	0.185131	14130	1.232488	9512
ACTR8	0.365807	10322	1.417139	7562
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17214	0.000000	17226
ACTRT3	-	18997	-	18997
ACVR1	0.300355	11892	1.308564	8766
ACVR1B	0.522975	6618	1.540705	6225
ACVR1C	0.101242	15207	0.136721	15374
ACVR2A	0.426885	8412	1.181844	9937
ACVR2B	0.390400	9687	0.791691	12662
ACVRL1	1.577278	595	1.943325	2704
ACY1	0.829340	3094	1.960518	2603
ACY3	1.276232	1151	1.276232	8995
ACYP1	0.476086	7446	1.296830	8850
ACYP2	0.789088	3393	1.028571	11247
ADA	0.484770	7268	1.159287	10090
ADAD1	0.000000	17213	0.000000	17225
ADAD2	0.000000	17212	0.000000	17224
ADAL	0.403365	9367	1.131298	10384
ADAM10	0.244134	13067	1.591732	5634
ADAM11	0.293597	12065	0.293597	14883
ADAM12	0.602889	5345	0.881385	12119
ADAM15	0.862935	2870	2.542771	614
ADAM17	0.190247	14039	1.329251	8526
ADAM18	0.416641	9099	0.416641	14589
ADAM19	0.882154	2723	1.837465	3433
ADAM2	0.000000	17211	0.000000	17223
ADAM20	0.000000	17210	0.000000	17222
ADAM21	0.000000	17209	0.000000	17221
ADAM22	0.824552	3138	1.272770	9103
ADAM23	0.395792	9558	0.626340	13610
ADAM28	0.852354	2939	1.077368	10800
ADAM29	0.000000	17208	0.000000	17220
ADAM30	0.000000	17207	0.000000	17219
ADAM32	0.000000	17206	0.000000	17218
ADAM33	1.170939	1464	1.664266	4952
ADAM7	0.143015	14759	0.143015	15334
ADAM8	0.910616	2560	1.084598	10759
ADAM9	0.366091	10314	1.880926	3118
ADAMDEC1	0.320146	11420	0.320146	14840
ADAMTS1	0.671423	4424	2.476194	743
ADAMTS10	0.439785	8105	1.138303	10338
ADAMTS12	0.536267	6383	0.773055	12739
ADAMTS13	0.041393	15906	0.041393	15966
ADAMTS14	0.189951	14046	0.424817	14182
ADAMTS15	1.250694	1242	1.775173	3948
ADAMTS16	1.288026	1129	1.288026	8911
ADAMTS17	0.516585	6718	0.626340	13609
ADAMTS18	1.073043	1777	1.073043	10827
ADAMTS19	0.198657	13914	0.198657	15132
ADAMTS2	0.402596	9383	1.143015	10309
ADAMTS20	0.100371	15247	0.100371	15528
ADAMTS3	0.346466	10814	0.623249	13616
ADAMTS4	0.920517	2512	1.521922	6433
ADAMTS5	1.001879	2096	1.552911	6061
ADAMTS6	0.517146	6712	0.687245	13154
ADAMTS7	0.850929	2949	1.441389	7281
ADAMTS8	0.298853	11933	0.298853	14879
ADAMTS9	1.333822	1021	1.786538	3845
ADAMTSL1	0.492522	7143	0.989450	11437
ADAMTSL2	1.006463	2070	1.042182	11031
ADAMTSL3	0.989231	2155	1.028571	11246
ADAMTSL4	0.729744	3922	1.610128	5456
ADAMTSL5	0.545436	6230	0.906944	11991
ADAP1	0.626340	5063	1.153672	10123
ADAP2	0.542786	6274	0.786751	12678
ADAR	0.517541	6701	1.733037	4320
ADARB1	0.869606	2826	1.736874	4267
ADARB2	0.626340	5062	0.626340	13608
ADAT1	0.210129	13717	1.110590	10507
ADAT2	0.314585	11548	1.190612	9878
ADAT3	0.416605	9104	2.090000	1889
ADCK1	0.285417	12241	0.925536	11908
ADCK2	0.362138	10408	1.405140	7655
ADCK5	0.183853	14143	0.980780	11489
ADCY1	0.209448	13728	0.289892	14890
ADCY10	0.000000	17205	0.000000	17217
ADCY2	0.817776	3182	0.872156	12317
ADCY3	0.776603	3492	1.477555	6923
ADCY4	0.946327	2384	1.348475	8274
ADCY5	0.978701	2201	1.007321	11353
ADCY6	0.356603	10543	1.167022	10041
ADCY7	0.425540	8446	0.766413	12927
ADCY8	0.136721	14850	0.136721	15373
ADCY9	0.242954	13082	0.808886	12580
ADCYAP1	0.908485	2573	0.908485	11981
ADCYAP1R1	0.416641	9098	0.416641	14588
ADD1	1.078262	1759	1.870123	3186
ADD2	0.850629	2950	1.056407	10949
ADD3	0.697436	4197	1.608526	5468
ADGB	0.064458	15646	0.064458	15766
ADGRA1	0.100371	15246	0.100371	15527
ADGRA2	0.968166	2266	1.952792	2649
ADGRA3	0.463417	7661	1.031812	11099
ADGRB1	0.064458	15645	0.064458	15765
ADGRB2	0.714720	4057	1.237317	9374
ADGRB3	1.259266	1204	1.500236	6664
ADGRD1	1.451387	779	1.944927	2699
ADGRD2	-	18996	-	18996
ADGRE1	0.232996	13294	0.232996	15025
ADGRE2	0.601079	5378	1.430398	7378
ADGRE3	0.201397	13874	0.201397	15117
ADGRE5	0.639734	4767	1.705949	4551
ADGRF1	1.270786	1173	1.270786	9122
ADGRF2	0.041393	15905	0.041393	15965
ADGRF3	0.135342	14864	0.344392	14772
ADGRF4	0.698852	4184	0.698852	13127
ADGRF5	1.758452	423	1.892484	3033
ADGRG1	2.008046	217	2.255755	1294
ADGRG2	0.546543	6214	0.546543	13848
ADGRG3	0.563481	5922	0.563481	13795
ADGRG4	0.000000	17204	0.000000	17216
ADGRG5	0.416641	9097	0.416641	14587
ADGRG6	0.847144	2963	1.503058	6577
ADGRG7	0.000000	17203	0.000000	17215
ADGRL1	0.435270	8205	0.673942	13207
ADGRL2	0.872156	2808	0.872156	12316
ADGRL3	0.572906	5791	0.626340	13607
ADGRL4	0.852039	2941	1.754578	4130
ADGRV1	0.460898	7699	0.460898	14049
ADH1A	0.041393	15904	0.041393	15964
ADH1B	2.354562	100	2.601321	537
ADH1C	1.444045	789	1.444045	7260
ADH4	0.167317	14423	0.167317	15241
ADH5	0.454203	7821	2.037108	2149
ADH6	1.419956	833	1.419956	7532
ADH7	0.022476	16050	0.022476	16077
ADHFE1	0.620905	5125	1.363236	8155
ADI1	0.420262	8563	2.198822	1486
ADIG	0.000000	17202	0.000000	17214
ADIPOQ	0.878522	2744	0.878522	12131
ADIPOR1	0.450000	7897	2.112290	1793
ADIPOR2	0.223555	13477	1.707570	4540
ADIRF	1.276468	1149	3.046183	169
ADK	0.608599	5272	1.453624	7177
ADM	0.765085	3642	2.484043	726
ADM2	0.748772	3769	0.996692	11398
ADM5	0.675661	4392	0.675661	13199
ADNP	0.450187	7893	1.894371	3019
ADNP2	0.189213	14061	0.994757	11411
ADO	0.353660	10618	1.143015	10308
ADORA1	0.901016	2614	1.011338	11324
ADORA2A	0.593759	5484	0.813199	12566
ADORA2B	0.632112	4849	1.072638	10829
ADORA3	0.720986	4005	0.720986	13070
ADPGK	0.285644	12234	1.445772	7246
ADPRH	0.446509	7969	0.703756	13109
ADPRHL1	0.041393	15903	0.041393	15963
ADPRHL2	0.365505	10332	1.517240	6471
ADPRM	0.047236	15704	0.948902	11803
ADRA1A	0.082785	15453	0.082785	15641
ADRA1B	0.701679	4166	1.071270	10847
ADRA1D	0.541832	6284	0.626340	13606
ADRA2A	1.109712	1643	1.568202	5859
ADRA2B	0.679428	4359	0.679428	13189
ADRA2C	0.656136	4578	0.700704	13125
ADRB1	0.904635	2594	1.028571	11245
ADRB2	0.772291	3529	1.744945	4217
ADRB3	0.968016	2268	0.968016	11565
ADRM1	0.466222	7617	2.133020	1715
ADSL	0.204649	13800	1.361207	8178
ADSS	0.203235	13826	1.720077	4432
ADSSL1	1.082100	1748	1.350442	8261
ADTRP	0.411620	9192	0.411620	14609
AEBP1	0.886618	2701	2.664877	450
AEBP2	0.678243	4368	1.816308	3631
AEN	0.489406	7195	1.350832	8257
AES	0.575389	5751	2.462293	767
AFAP1	0.466883	7604	1.663899	4953
AFAP1L1	1.080474	1754	1.900910	2963
AFAP1L2	0.782097	3445	1.448242	7230
