gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.833735	1565	1.643847	3844
A1CF	0.116717	13127	0.116717	14317
A2M	0.894048	1302	1.690150	3505
A2ML1	0.053711	14277	0.053711	14880
A3GALT2	-	19008	-	19008
A4GALT	0.492729	4669	1.157154	8248
A4GNT	0.000000	17055	0.000000	17239
AAAS	0.242129	10527	1.636099	3897
AACS	0.387675	6847	1.438339	5581
AADAC	0.469639	5004	0.469639	12601
AADACL2	0.000000	17054	0.000000	17238
AADACL3	0.000000	17053	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.181840	11909	0.741446	11243
AAED1	0.296486	9053	1.514841	4857
AAGAB	0.295378	9078	1.844080	2536
AAK1	0.231650	10796	0.938411	10011
AAMDC	0.490423	4702	1.674218	3607
AAMP	0.429606	5776	2.118638	1406
AANAT	0.050962	14323	0.050962	14903
AAR2	0.298720	8987	1.419956	5716
AARD	1.935474	114	1.949926	2025
AARS	0.246701	10401	1.858778	2459
AARS2	0.178829	11966	1.389647	6031
AARSD1	0.225204	10958	1.631296	3921
AASDH	0.234337	10727	1.314621	6730
AASDHPPT	0.245448	10439	1.658182	3740
AASS	0.639381	2851	1.701448	3434
AATF	0.090665	13553	1.559526	4478
AATK	0.532797	4098	0.550489	12349
ABAT	0.545093	3932	0.782465	11070
ABCA1	0.339093	8001	1.732492	3251
ABCA10	0.271842	9839	0.271842	13623
ABCA12	0.114259	13165	0.114259	14321
ABCA13	0.183221	11862	0.183221	13963
ABCA2	0.564990	3644	1.120080	8536
ABCA3	0.242474	10516	0.970428	9801
ABCA4	0.038072	14567	0.038072	15038
ABCA5	0.173607	12059	0.920996	10168
ABCA6	0.553037	3818	1.012211	9455
ABCA7	0.238401	10622	1.058597	9044
ABCA8	0.517831	4307	1.458627	5394
ABCA9	0.851996	1471	1.153871	8270
ABCB1	0.100343	13402	0.394452	13114
ABCB10	0.327378	8261	1.045925	9194
ABCB11	0.000000	17052	0.000000	17236
ABCB4	0.000000	17051	0.100343	14417
ABCB5	0.202588	11434	0.202588	13887
ABCB6	0.872563	1386	1.109579	8673
ABCB7	0.190860	11693	1.440297	5565
ABCB8	0.277824	9533	1.339409	6470
ABCB9	0.372306	7173	0.841359	10742
ABCC1	0.322467	8393	1.465854	5307
ABCC10	0.325218	8327	0.932942	10031
ABCC11	0.000000	17050	0.000000	17235
ABCC12	0.000000	17049	0.000000	17234
ABCC2	0.253780	10224	0.253780	13674
ABCC3	0.923510	1188	1.735838	3235
ABCC4	0.269070	9898	1.086392	8839
ABCC5	0.257681	10136	1.222560	7638
ABCC6	-	19006	-	19006
ABCC8	0.248455	10350	0.248455	13692
ABCC9	0.922756	1193	1.285695	7018
ABCD1	0.283165	9386	1.236389	7526
ABCD2	1.465619	294	1.627001	3973
ABCD3	0.137399	12751	1.302038	6886
ABCD4	0.724215	2208	1.512737	4874
ABCE1	0.051429	14299	1.570494	4391
ABCF1	0.373822	7146	1.937101	2082
ABCF2	0.398129	6423	1.526985	4778
ABCF3	0.138747	12717	1.613525	4087
ABCG1	0.068526	13938	0.950062	9912
ABCG2	0.094799	13487	0.165289	14050
ABCG4	0.095478	13467	0.111122	14339
ABCG5	0.000000	17048	0.000000	17233
ABCG8	0.000000	17047	0.000000	17232
ABHD1	0.139798	12699	0.198970	13900
ABHD10	0.096368	13450	1.306683	6834
ABHD11	0.280868	9449	1.250829	7354
ABHD12	0.228603	10869	1.747489	3163
ABHD12B	0.053711	14276	0.053711	14879
ABHD13	0.178377	11972	1.205591	7749
ABHD14A	0.649781	2766	1.653408	3772
ABHD14B	0.464472	5109	2.221930	1118
ABHD15	1.036839	853	1.377403	6105
ABHD16A	0.167814	12162	1.458516	5396
ABHD16B	-	19005	-	19005
ABHD17A	0.440010	5533	1.366610	6248
ABHD17B	0.391449	6756	1.215692	7692
ABHD17C	0.352183	7684	1.393575	5988
ABHD18	0.193072	11648	0.851870	10614
ABHD2	0.701363	2354	1.481712	5172
