gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.644125	9318	1.441894	10047
A1CF	0.344210	14765	0.344210	15637
A2M	1.330090	2643	2.380392	1482
A2ML1	1.509874	1897	1.509874	9303
A3GALT2	-	19008	-	19008
A4GALT	0.876539	6093	1.540964	8944
A4GNT	0.029384	16800	0.029384	16801
AAAS	0.681334	8703	1.855699	5194
AACS	0.589678	10314	1.579441	8517
AADAC	0.426511	13408	0.426511	15340
AADACL2	0.267172	15494	0.267172	15818
AADACL3	0.133539	16456	0.133539	16477
AADACL4	-	19007	-	19007
AADAT	0.848025	6398	1.417638	10315
AAED1	0.333527	14874	1.451786	9950
AAGAB	0.326997	14936	1.875698	4982
AAK1	1.185340	3408	2.003485	3763
AAMDC	0.557695	10959	1.483418	9610
AAMP	0.555515	11002	2.092721	3041
AANAT	2.596552	151	2.596552	834
AAR2	0.406212	13731	1.434707	10119
AARD	0.489338	12276	0.503791	15089
AARS	0.579493	10535	2.060414	3286
AARS2	0.523743	11608	1.734560	6552
AARSD1	0.730782	7928	1.671913	7352
AASDH	0.760261	7513	1.840545	5375
AASDHPPT	1.102112	3999	2.171609	2509
AASS	0.936109	5442	1.833147	5451
AATF	0.245134	15627	1.713994	6793
AATK	2.534305	182	2.534305	968
ABAT	1.964475	724	1.964475	4114
ABCA1	0.485721	12356	1.848613	5275
ABCA10	0.841359	6475	0.841359	14173
ABCA12	0.283755	15336	0.283755	15758
ABCA13	0.477121	12542	0.477121	15213
ABCA2	2.195739	433	2.624014	765
ABCA3	1.354795	2536	2.082749	3116
ABCA4	1.440250	2184	1.440250	10053
ABCA5	1.122049	3852	2.154485	2604
ABCA6	1.142021	3715	1.601196	8247
ABCA7	1.545931	1771	2.189133	2394
ABCA8	1.306211	2747	2.076778	3174
ABCA9	1.112759	3923	1.414634	10335
ABCB1	1.275706	2892	1.873379	5016
ABCB10	0.267242	15449	1.071034	13157
ABCB11	0.043445	16727	0.043445	16728
ABCB4	0.404188	13759	0.553180	14960
ABCB5	0.288473	15306	0.288473	15754
ABCB6	0.744295	7726	1.175222	12493
ABCB7	0.468316	12699	1.717754	6764
ABCB8	0.423101	13461	1.517724	9220
ABCB9	1.164017	3580	1.281033	11616
ABCC1	0.607156	9963	1.864126	5106
ABCC10	0.833099	6570	1.244277	11906
ABCC11	0.130334	16495	0.130334	16513
ABCC12	0.831870	6588	0.831870	14210
ABCC2	0.234174	15810	0.234174	15990
ABCC3	0.609749	9916	1.422077	10277
ABCC4	0.466309	12731	1.205204	12199
ABCC5	0.980009	5018	1.968810	4068
ABCC6	-	19006	-	19006
ABCC8	1.662763	1412	1.662763	7455
ABCC9	1.063897	4284	1.426836	10221
ABCD1	0.389166	14004	1.150434	12646
ABCD2	1.547698	1763	1.709080	6853
ABCD3	0.610815	9900	1.645386	7669
ABCD4	0.649994	9214	1.806858	5709
ABCE1	0.409996	13660	1.929061	4441
ABCF1	0.625084	9664	2.282340	1912
ABCF2	0.665386	8956	1.689474	7105
ABCF3	0.291487	15283	1.766264	6178
ABCG1	0.695163	8489	1.828084	5507
ABCG2	1.227474	3163	1.342423	11077
ABCG4	0.974694	5060	0.990339	13566
ABCG5	0.147233	16327	0.147233	16355
ABCG8	0.133539	16455	0.133539	16476
ABHD1	0.538584	11325	0.597756	14828
ABHD10	0.580336	10521	1.851014	5248
ABHD11	0.362508	14505	1.263873	11754
ABHD12	0.511592	11842	2.030478	3514
ABHD12B	1.176381	3492	1.176381	12452
ABHD13	0.345436	14745	1.372651	10783
ABHD14A	0.932784	5475	1.801952	5766
ABHD14B	0.094494	16601	1.851952	5230
ABHD15	0.377938	14293	0.718502	14524
ABHD16A	0.576341	10597	1.610038	8155
ABHD16B	-	19005	-	19005
ABHD17A	0.507704	11927	1.403807	10443
ABHD17B	0.924515	5551	1.925157	4486
ABHD17C	0.976936	5043	1.321391	11275
ABHD18	0.873146	6133	1.143951	12685
ABHD2	0.965202	5151	2.120720	2848
ABHD3	0.514872	11783	1.465234	9794
ABHD4	0.484312	12377	1.727748	6631
ABHD5	0.761876	7495	1.958755	4172
ABHD6	1.053577	4365	1.710540	6839
ABHD8	0.851525	6354	1.761251	6241
ABI1	0.611708	9886	1.908270	4665
ABI2	1.312743	2721	2.397818	1405
ABI3	0.884195	6011	1.389343	10593
ABI3BP	1.576197	1660	2.252538	2058
ABL1	0.596519	10180	1.449170	9978
ABL2	0.733367	7883	1.429106	10200
ABLIM1	1.545723	1775	2.435446	1280
ABLIM2	1.653446	1439	1.752279	6346
ABLIM3	0.919545	5614	2.239925	2123
ABO	0.655909	9116	0.781755	14346
ABR	2.011232	665	2.291058	1867
ABRA	0.654177	9143	0.654177	14719
ABRACL	0.433061	13276	1.822898	5558
ABT1	0.120167	16525	1.317033	11307
ABTB1	0.831870	6587	1.813172	5649
ABTB2	0.927431	5516	1.467248	9770
ACAA1	0.282263	15350	1.668852	7401
ACAA2	1.012673	4729	1.609772	8160
ACACA	1.063604	4286	1.537176	8982
ACACB	1.201622	3289	1.201622	12240
ACAD10	0.387729	14016	1.377306	10729
ACAD11	0.660489	9043	1.094602	13014
ACAD8	0.477616	12497	1.686368	7169
ACAD9	0.230449	15864	1.597146	8325
ACADL	0.858085	6285	0.879096	14028
ACADM	0.818469	6735	1.773071	6086
ACADS	0.385606	14141	1.139874	12716
ACADSB	0.641683	9369	1.612503	8104
ACADVL	0.581476	10497	2.214658	2244
ACAN	1.379120	2432	1.455302	9908
ACAP1	0.704802	8321	0.816904	14252
ACAP2	0.869818	6162	1.949780	4245
ACAP3	0.844739	6432	1.543199	8928
ACAT1	0.403160	13771	1.945059	4292
ACAT2	0.948440	5317	2.381590	1474
ACBD3	0.191165	16059	2.045106	3394
ACBD4	0.685543	8630	1.227081	12039
ACBD5	0.900599	5816	1.377656	10712
ACBD6	0.413081	13623	1.588384	8421
ACBD7	1.939206	767	2.176524	2481
ACCS	0.453008	12920	0.850618	14127
ACCSL	-	19004	-	19004
ACD	0.981269	4999	1.313656	11344
ACE	0.927261	5518	1.373779	10772
ACE2	0.188989	16074	0.188989	16141
ACER1	0.000000	17239	0.000000	17239
ACER2	1.060769	4310	1.377306	10728
ACER3	0.840161	6488	1.958755	4171
ACHE	1.517747	1862	1.909556	4653
ACIN1	0.641675	9370	2.243807	2103
ACKR1	1.945124	760	1.945124	4291
ACKR2	0.626462	9640	0.859113	14086
ACKR3	1.022064	4648	2.366161	1543
ACKR4	0.419112	13528	0.523746	15041
ACLY	0.891472	5925	2.186171	2417
ACMSD	0.234174	15809	0.234174	15989
ACO1	0.799102	6984	2.323044	1729
ACO2	0.851971	6348	2.613366	797
ACOD1	0.025306	16841	0.025306	16842
ACOT1	0.389764	13965	0.441401	15284
ACOT11	1.129700	3801	1.220730	12092
ACOT12	0.318063	15042	0.318063	15699
ACOT13	0.337946	14818	1.683612	7203
ACOT2	0.727541	7985	1.246499	11887
ACOT4	0.603537	10032	0.742725	14445
ACOT6	-	19003	-	19003
ACOT7	1.114769	3902	1.975845	4015
ACOT8	0.406292	13730	1.807061	5705
ACOT9	0.152288	16285	1.688136	7139
ACOX1	0.586805	10366	1.786161	5929
ACOX2	1.414054	2275	1.445153	10020
ACOX3	0.475716	12575	1.229682	12022
ACOXL	0.230449	15863	0.230449	16034
ACP1	0.244438	15632	2.051770	3349
ACP2	0.425910	13414	1.978774	3985
ACP5	0.583649	10449	0.680559	14627
ACP6	1.062632	4298	1.445561	10016
ACP7	-	19002	-	19002
ACPP	0.839951	6493	1.020361	13425
ACPT	-	19001	-	19001
ACR	0.130334	16494	0.130334	16512
ACRBP	0.664043	8996	0.910624	13923
ACRC	0.320146	15023	0.320146	15691
ACRV1	0.000000	17238	0.000000	17238
ACSBG1	2.143846	488	2.143846	2683
ACSBG2	0.201397	16033	0.201397	16114
ACSF2	1.107359	3961	1.107359	12937
ACSF3	0.393305	13910	1.258398	11796
ACSL1	1.566555	1704	1.636889	7780
ACSL3	1.093121	4072	2.511215	1035
ACSL4	0.873947	6121	2.113843	2895
ACSL5	0.763863	7459	1.641771	7723
ACSL6	1.630631	1507	1.630631	7870
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17237	0.000000	17237
ACSM2B	0.000000	17236	0.000000	17236
ACSM3	0.240549	15687	0.240549	15895
ACSM4	-	18999	-	18999
ACSM5	0.627366	9629	0.627366	14780
ACSM6	0.026394	16811	0.026394	16812
ACSS1	0.837007	6530	1.924803	4488
ACSS2	0.639013	9420	1.479431	9643
ACSS3	0.851327	6358	1.425377	10245
ACTA1	2.292854	346	2.292854	1863
ACTA2	1.362227	2503	2.736524	559
ACTB	0.566896	10784	4.051736	8
ACTBL2	0.416671	13582	0.416671	15363
ACTC1	1.477617	2027	1.585122	8456
ACTG1	0.756326	7569	4.235751	5
ACTG2	1.465032	2076	2.194597	2360
ACTL10	0.331648	14895	0.448706	15267
ACTL6A	0.559060	10932	1.857326	5171
ACTL6B	2.135896	494	2.135896	2736
ACTL7A	0.385606	14140	0.385606	15519
ACTL7B	0.130334	16493	0.130334	16511
ACTL8	0.190332	16071	0.190332	16139
ACTL9	0.082785	16640	0.082785	16644
ACTN1	0.477121	12541	2.622680	770
ACTN2	2.248703	384	2.478307	1131
ACTN3	0.235528	15788	0.235528	15973
ACTN4	0.544053	11221	2.162923	2557
ACTR10	0.786752	7133	2.116242	2884
ACTR1A	0.393849	13908	2.349467	1615
ACTR1B	0.572032	10683	1.862847	5114
ACTR2	0.939637	5410	2.021398	3595
ACTR3	0.915777	5651	2.483392	1113
ACTR3B	1.131717	3787	2.059866	3294
ACTR3C	0.996391	4862	1.342766	11076
ACTR5	0.377954	14292	1.175222	12492
ACTR6	0.660452	9044	1.707809	6874
ACTR8	0.692743	8516	1.777862	6035
ACTRT1	-	18998	-	18998
ACTRT2	0.229319	15869	0.229319	16035
ACTRT3	-	18997	-	18997
ACVR1	0.691651	8535	1.699861	6982
ACVR1B	1.034503	4528	2.052232	3342
ACVR1C	1.079904	4171	1.079904	13096
ACVR2A	0.781456	7219	1.495544	9461
ACVR2B	0.868306	6179	1.258637	11787
ACVRL1	0.605440	9995	0.990783	13562
ACY1	0.333390	14875	1.461565	9833
ACY3	1.321184	2682	1.321184	11279
ACYP1	0.989540	4926	1.665362	7435
