gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.365569	5897	1.245019	7366
A1CF	0.041393	14204	0.041393	15303
A2M	1.365906	488	2.416208	700
A2ML1	2.561256	65	2.561256	496
A3GALT2	-	19008	-	19008
A4GALT	0.556918	3300	1.252368	7303
A4GNT	0.000000	16831	0.000000	17239
AAAS	0.547094	3381	1.941064	2039
AACS	0.572172	3133	1.622835	3976
AADAC	0.041393	14203	0.041393	15302
AADACL2	0.075547	13191	0.075547	14884
AADACL3	0.000000	16830	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.000000	16829	0.536558	12503
AAED1	0.169213	10536	1.387568	6024
AAGAB	0.004210	14670	1.552911	4518
AAK1	0.122458	11841	0.863323	10579
AAMDC	0.158035	10899	1.341830	6468
AAMP	0.296665	7183	2.094716	1450
AANAT	0.000000	16828	0.000000	17237
AAR2	0.338157	6372	1.459392	5373
AARD	0.942196	1224	0.956649	9839
AARS	0.204430	9362	1.816506	2638
AARS2	0.333499	6469	1.544316	4614
AARSD1	0.269333	7875	1.647383	3785
AASDH	0.041393	14202	1.121231	8473
AASDHPPT	0.054836	13509	1.478566	5178
AASS	0.199511	9469	1.218010	7632
AATF	0.050968	13586	1.519828	4824
AATK	0.558709	3286	0.558709	12402
ABAT	0.172839	10353	0.902003	10280
ABCA1	0.117995	11951	1.474362	5193
ABCA10	0.788168	1776	0.788168	11083
ABCA12	0.745075	2006	0.745075	11335
ABCA13	0.875061	1436	0.875061	10479
ABCA2	0.173186	10346	0.745075	11334
ABCA3	0.233467	8700	0.961421	9814
ABCA4	0.075547	13190	0.075547	14883
ABCA5	0.368102	5852	1.400538	5882
ABCA6	0.793193	1752	1.252368	7302
ABCA7	0.363922	5919	1.199481	7804
ABCA8	0.792000	1755	1.732796	3173
ABCA9	1.184981	723	1.486855	5101
ABCB1	0.423246	4956	0.897077	10302
ABCB10	0.229591	8794	0.917506	10163
ABCB11	0.000000	16827	0.000000	17236
ABCB4	0.223919	8964	0.372912	13269
ABCB5	0.143015	11329	0.143015	14513
ABCB6	0.568251	3176	0.946943	9906
ABCB7	0.110590	12255	1.225568	7539
ABCB8	0.402875	5237	1.574841	4341
ABCB9	0.424708	4916	0.893762	10345
ABCC1	0.568001	3179	1.824971	2598
ABCC10	0.339351	6349	1.006894	9464
ABCC11	0.000000	16826	0.000000	17235
ABCC12	0.000000	16825	0.000000	17234
ABCC2	0.041393	14201	0.041393	15301
ABCC3	0.569869	3167	1.382197	6070
ABCC4	0.245817	8428	0.690196	11658
ABCC5	0.241649	8517	1.230449	7504
ABCC6	-	19006	-	19006
ABCC8	0.170262	10510	0.170262	14305
ABCC9	0.742230	2016	1.105169	8637
ABCD1	0.212614	9195	1.165838	8120
ABCD2	0.170262	10509	0.271842	13772
ABCD3	0.007671	14637	1.172311	8062
ABCD4	0.046896	13648	1.174932	8041
ABCE1	0.052295	13563	1.571359	4363
ABCF1	0.076450	12947	1.913549	2141
ABCF2	0.410220	5131	1.837462	2521
ABCF3	0.100757	12452	1.575534	4324
ABCG1	0.039887	14227	1.094820	8724
ABCG2	0.257963	8112	0.372912	13268
ABCG4	0.142718	11339	0.158362	14423
ABCG5	0.000000	16824	0.000000	17233
ABCG8	0.000000	16823	0.000000	17232
ABHD1	0.114015	12035	0.173186	14193
ABHD10	-0.016738	16938	1.130655	8430
ABHD11	0.174942	10131	1.136086	8371
ABHD12	0.434148	4805	1.953034	1978
ABHD12B	0.041393	14200	0.041393	15300
ABHD13	0.100835	12449	1.143015	8311
ABHD14A	0.236261	8648	1.232742	7489
ABHD14B	0.266453	7938	2.023911	1697
ABHD15	0.391025	5402	0.731589	11420
ABHD16A	0.078822	12903	1.360593	6282
ABHD16B	-	19005	-	19005
ABHD17A	0.364103	5913	1.290702	6949
ABHD17B	0.371128	5812	1.056142	9056
ABHD17C	0.537819	3480	1.579212	4302
ABHD18	0.143910	11218	0.992554	9534
ABHD2	0.083595	12795	1.600864	4144
ABHD3	0.230337	8773	1.180699	7969
ABHD4	0.297201	7126	1.637690	3853
ABHD5	0.248258	8373	1.445137	5498
ABHD6	0.224095	8961	0.691965	11616
ABHD8	0.228215	8837	1.106191	8618
ABI1	0.325186	6614	1.762228	2982
