gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.161851	11999	1.016616	10203
A1CF	0.542825	4518	0.542825	13345
A2M	1.304921	546	2.010130	1114
A2ML1	0.000000	16619	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.340755	7865	1.005181	10433
A4GNT	0.000000	16618	0.000000	17238
AAAS	0.446754	5973	1.448397	5374
AACS	0.290664	8788	1.271377	7504
AADAC	0.000000	16617	0.000000	17237
AADACL2	0.000000	16616	0.000000	17236
AADACL3	0.000000	16615	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.623790	3559	1.193403	8505
AAED1	0.175369	11773	1.042969	10067
AAGAB	-0.150067	17128	1.398634	5984
AAK1	0.539948	4557	1.263636	7689
AAMDC	0.228964	10650	1.360215	6495
AAMP	0.156180	12094	1.960946	1289
AANAT	0.000000	16614	0.000000	17234
AAR2	-0.025306	16765	0.954725	10818
AARD	0.452415	5663	0.466868	13503
AARS	0.175686	11769	1.563600	4125
AARS2	0.449479	5930	1.660296	3183
AARSD1	0.626115	3539	1.251638	7762
AASDH	0.137726	12388	1.218010	8185
AASDHPPT	0.145168	12272	1.563600	4124
AASS	0.331333	8031	1.393400	6112
AATF	0.236405	10502	1.705265	2810
AATK	1.091886	992	1.109579	9424
ABAT	0.811575	2119	1.109579	9423
ABCA1	0.228767	10658	1.563600	4123
ABCA10	0.745855	2556	0.745855	12372
ABCA12	0.000000	16613	0.000000	17233
ABCA13	0.281033	9518	0.281033	14644
ABCA2	0.590808	3869	1.324077	6958
ABCA3	0.451786	5896	0.919601	11117
ABCA4	0.000000	16612	0.000000	17232
ABCA5	0.531164	4653	1.563600	4122
ABCA6	0.252843	10134	0.667453	12770
ABCA7	0.763013	2360	1.598572	3739
ABCA8	0.424882	6359	1.245019	7784
ABCA9	0.741094	2577	1.042969	10066
ABCB1	0.653965	3283	1.251638	7761
ABCB10	0.307156	8521	1.167317	8789
ABCB11	0.000000	16611	0.000000	17231
ABCB4	0.844003	1923	0.992995	10480
ABCB5	0.262451	9924	0.262451	14718
ABCB6	0.194179	11318	0.572872	13290
ABCB7	0.365249	7432	1.614686	3598
ABCB8	0.080046	13542	1.028164	10155
ABCB9	0.282465	8914	0.745855	12371
ABCC1	0.193777	11325	1.319938	6985
ABCC10	0.297188	8672	0.964731	10768
ABCC11	0.000000	16610	0.000000	17230
ABCC12	0.000000	16609	0.000000	17229
ABCC2	0.000000	16608	0.000000	17228
ABCC3	1.098083	981	1.910411	1510
ABCC4	0.519068	4783	1.263636	7688
ABCC5	0.252746	10135	1.241546	7935
ABCC6	-	19006	-	19006
ABCC8	0.745855	2555	0.745855	12370
ABCC9	0.746639	2467	1.109579	9422
ABCD1	0.014792	14242	0.968016	10582
ABCD2	0.888611	1685	1.049993	9867
ABCD3	0.388967	6976	1.284656	7400
ABCD4	0.310152	8466	1.467016	5187
ABCE1	-0.049832	16873	1.469233	5091
ABCF1	0.184297	11648	1.903199	1546
ABCF2	0.067588	13699	1.448397	5373
ABCF3	-0.061981	16929	1.412796	5799
ABCG1	0.154672	12117	1.218010	8184
ABCG2	0.336838	7933	0.451786	13831
ABCG4	0.265389	9788	0.281033	14643
ABCG5	0.000000	16607	0.000000	17227
ABCG8	0.000000	16606	0.000000	17226
ABHD1	0.131160	12506	0.190332	14843
ABHD10	0.292922	8748	1.563600	4121
ABHD11	0.411633	6595	1.201943	8288
ABHD12	0.281033	9517	1.467016	5186
ABHD12B	0.000000	16605	0.000000	17225
ABHD13	0.382212	7099	1.424392	5716
ABHD14A	0.088354	13423	1.109579	9421
ABHD14B	0.063401	13743	1.820858	1991
ABHD15	0.234624	10538	0.575188	13000
ABHD16A	0.272898	9654	1.563600	4120
ABHD16B	-	19005	-	19005
ABHD17A	0.376577	7233	0.832509	11656
ABHD17B	0.318663	8329	1.060698	9816
ABHD17C	0.888077	1688	1.929470	1408
ABHD18	0.505616	4958	1.314289	7025
ABHD2	0.080216	13537	1.633569	3419
ABHD3	0.402784	6733	1.353147	6554
ABHD4	-0.050982	16877	1.284656	7399
ABHD5	0.235390	10518	1.224015	8038
ABHD6	0.199583	11233	0.811575	11946
ABHD8	0.095883	13334	1.005609	10386
ABI1	0.274109	9637	1.745855	2504
ABI2	0.223485	10775	1.517987	4620
ABI3	1.093424	989	1.598572	3738
ABI3BP	1.174514	799	2.131073	724
ABL1	0.358703	7536	1.360215	6494
ABL2	0.432337	6181	1.128076	9176
ABLIM1	1.043406	1136	1.604982	3696
ABLIM2	0.399393	6794	0.667453	12769
ABLIM3	0.281033	9516	1.193403	8504
ABO	1.439017	364	1.439017	5527
ABR	1.360215	461	1.360215	6493
ABRA	0.190332	11535	0.190332	14842
ABRACL	0.380083	7127	1.489114	4930
ABT1	0.034093	14081	1.230960	8000
ABTB1	0.247511	10255	1.435367	5549
ABTB2	0.196235	11287	0.795880	11988
ACAA1	0.050272	13919	1.439017	5526
ACAA2	0.501715	5005	1.342423	6717
ACACA	0.715150	2744	1.139249	9102
ACACB	1.607562	212	1.607562	3639
ACAD10	0.228432	10673	1.218010	8183
ACAD11	0.535198	4604	0.868644	11513
ACAD8	0.075228	13604	1.283979	7437
ACAD9	0.000000	16604	1.398634	5983
ACADL	0.451786	5895	0.451786	13830
ACADM	0.281139	8945	1.655235	3210
ACADS	0.426654	6284	1.314289	7024
ACADSB	0.314831	8396	1.324077	6957
ACADVL	0.374725	7258	1.998347	1157
ACAN	0.281033	9515	0.281033	14642
ACAP1	1.532337	276	1.644439	3293
ACAP2	0.493463	5097	1.920019	1458
ACAP3	0.678665	3007	1.377124	6286
ACAT1	0.022594	14187	1.625004	3468
ACAT2	0.123699	12605	1.194237	8329
ACBD3	0.051531	13895	1.905472	1539
ACBD4	0.341147	7851	1.049993	9866
ACBD5	0.339930	7879	1.005609	10385
ACBD6	0.283217	8902	1.517987	4619
ACBD7	0.214468	10959	0.451786	13829
ACCS	0.988438	1311	1.408070	5928
ACCSL	-	19004	-	19004
ACD	0.431322	6193	0.850033	11606
ACE	0.518213	4788	0.964731	10767
ACE2	0.281033	9514	0.281033	14641
ACER1	0.000000	16603	0.000000	17224
ACER2	0.251390	10168	0.451786	13828
ACER3	0.165385	11931	1.283979	7436
ACHE	1.182570	786	1.574379	4010
ACIN1	0.379635	7136	2.223210	556
ACKR1	1.567262	251	1.567262	4051
ACKR2	0.451786	5894	0.466868	13502
ACKR3	0.356794	7573	1.651569	3262
ACKR4	0.641220	3385	0.745855	12369
ACLY	0.241741	10391	1.584783	3889
ACMSD	0.000000	16602	0.000000	17223
ACO1	-0.070776	16958	1.453165	5334
ACO2	0.281033	9513	1.818424	2016
ACOD1	0.000000	16601	0.000000	17222
ACOT1	0.190332	11534	0.190332	14841
ACOT11	0.863600	1842	1.109579	9420
ACOT12	0.000000	16600	0.000000	17221
ACOT13	0.413498	6556	1.541454	4340
ACOT2	0.451786	5893	1.218010	8182
ACOT4	0.141845	12317	0.281033	14640
ACOT6	-	19003	-	19003
ACOT7	0.582050	3946	1.042969	10065
ACOT8	0.012027	14258	1.412796	5798
ACOT9	0.119879	12655	1.668945	3101
ACOX1	0.256467	10045	1.554004	4176
ACOX2	0.625391	3548	1.139249	9101
ACOX3	0.183034	11666	1.005609	10384
ACOXL	0.107210	13187	0.107210	15171
ACP1	0.275780	9606	1.584783	3888
ACP2	0.171822	11833	1.724685	2675
ACP5	1.280202	599	1.452553	5353
ACP6	0.195157	11300	0.868644	11512
ACP7	-	19002	-	19002
ACPP	0.346020	7750	0.575188	12999
ACPT	-	19001	-	19001
ACR	0.000000	16599	0.000000	17220
ACRBP	0.420871	6423	0.667453	12768
ACRC	0.000000	16598	0.000000	17219
ACRV1	0.000000	16597	0.000000	17218
ACSBG1	0.262451	9923	0.262451	14717
ACSBG2	0.000000	16596	0.000000	17217
ACSF2	0.341908	7839	0.968016	10581
ACSF3	0.795880	2189	1.224015	8037
ACSL1	0.729169	2656	1.511883	4658
ACSL3	0.142848	12305	1.924796	1437
ACSL4	0.136657	12411	1.633468	3430
ACSL5	1.304921	545	1.709948	2759
ACSL6	0.733999	2623	0.733999	12405
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16595	0.000000	17216
ACSM2B	0.000000	16594	0.000000	17215
ACSM3	0.533925	4619	0.606381	12938
ACSM4	-	18999	-	18999
ACSM5	0.324282	8234	0.324282	14098
ACSM6	0.000000	16593	0.000000	17214
ACSS1	0.781729	2255	1.869525	1726
ACSS2	0.523193	4729	1.409257	5906
ACSS3	0.294594	8721	0.868644	11511
ACTA1	1.005609	1270	1.005609	10383
ACTA2	1.711436	143	3.085733	40
ACTB	0.421290	6420	3.676622	2
ACTBL2	0.000000	16592	0.000000	17213
ACTC1	1.692456	156	1.799961	2135
ACTG1	0.452307	5665	3.575137	5
ACTG2	2.847256	6	3.576821	4
ACTL10	0.163975	11952	0.281033	14639
ACTL6A	0.210322	11035	1.651569	3261
ACTL6B	0.745855	2554	0.745855	12368
ACTL7A	0.000000	16591	0.000000	17212
ACTL7B	0.000000	16590	0.000000	17211
ACTL8	0.000000	16589	0.000000	17210
ACTL9	0.000000	16588	0.000000	17209
ACTN1	0.342212	7835	2.356905	379
ACTN2	0.516252	4809	0.745855	12367
ACTN3	0.000000	16587	0.000000	17208
ACTN4	0.175983	11766	1.792812	2178
ACTR10	0.441987	6037	1.965296	1272
ACTR1A	0.054560	13857	1.753583	2438
ACTR1B	-0.019438	16727	1.271377	7503
ACTR2	0.260988	9954	1.973636	1254
ACTR3	0.347192	7732	2.516760	247
ACTR3B	0.335487	7961	1.263636	7687
ACTR3C	0.719088	2719	1.042969	10064
ACTR5	0.195728	11293	0.992995	10479
ACTR6	0.000000	16586	0.927370	10912
ACTR8	0.442538	6028	1.178689	8587
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16585	0.000000	17207
ACTRT3	-	18997	-	18997
ACVR1	0.107210	13186	1.005181	10432
ACVR1B	0.391527	6939	1.409257	5905
ACVR1C	0.626335	3534	0.661813	12828
ACVR2A	0.720145	2714	1.167317	8788
ACVR2B	0.354584	7614	0.755875	12087
