gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.067046	13505	1.058046	9330
A1CF	0.000000	16791	0.000000	17239
A2M	1.351821	651	2.307089	919
A2ML1	0.000000	16790	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.513798	4635	1.209247	7915
A4GNT	0.000000	16789	0.000000	17237
AAAS	0.498852	4820	1.735200	3297
AACS	0.292573	9203	1.236537	7668
AADAC	0.334454	8305	0.334454	13837
AADACL2	0.000000	16788	0.000000	17236
AADACL3	0.000000	16787	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.334454	8304	0.832509	11004
AAED1	0.507684	4714	1.623973	4084
AAGAB	-0.116052	17118	1.432649	5753
AAK1	0.492563	4894	1.251638	7523
AAMDC	0.650498	3047	1.717254	3409
AAMP	0.622176	3339	2.068112	1605
AANAT	0.217484	11307	0.217484	14501
AAR2	0.348711	7645	1.362482	6426
AARD	0.518302	4580	0.532754	12565
AARS	0.054252	13603	1.459995	5541
AARS2	0.240816	10654	1.451633	5591
AARSD1	1.594142	440	1.640779	3957
AASDH	0.000000	16786	1.058426	9254
AASDHPPT	0.390247	6788	1.677151	3703
AASS	0.553477	4003	1.397071	6099
AATF	0.249060	10478	1.717920	3399
AATK	0.994300	1339	1.011993	9660
ABAT	0.334454	8303	0.959995	10041
ABCA1	0.536887	4181	1.930287	2193
ABCA10	0.955688	1451	0.955688	10153
ABCA12	0.000000	16785	0.000000	17234
ABCA13	0.255273	10356	0.255273	14306
ABCA2	0.412958	6388	1.087781	9051
ABCA3	0.894482	1678	1.264818	7442
ABCA4	0.255273	10355	0.255273	14305
ABCA5	1.277811	744	2.310247	906
ABCA6	0.600389	3531	1.059563	9120
ABCA7	0.301013	9026	0.959995	10040
ABCA8	0.899435	1657	1.840232	2673
ABCA9	1.124311	1012	1.426186	5817
ABCB1	0.416641	6336	0.624282	12264
ABCB10	0.305380	8914	1.165541	8361
ABCB11	0.000000	16784	0.000000	17233
ABCB4	0.671865	2861	0.820858	11156
ABCB5	0.235528	10766	0.235528	14323
ABCB6	0.469986	5257	0.900913	10553
ABCB7	0.422383	6086	1.671821	3746
ABCB8	0.001802	14226	1.173769	8277
ABCB9	0.287889	9305	0.751279	11541
ABCC1	0.349815	7624	1.459995	5540
ABCC10	0.288145	9299	0.955688	10152
ABCC11	0.000000	16783	0.000000	17232
ABCC12	0.334454	8302	0.334454	13836
ABCC2	0.041393	13951	0.041393	14918
ABCC3	0.189889	11839	0.416641	13258
ABCC4	0.349734	7627	0.943000	10201
ABCC5	0.820423	1974	1.809223	2840
ABCC6	-	19006	-	19006
ABCC8	0.751279	2354	0.751279	11540
ABCC9	1.413802	579	1.757244	3144
ABCD1	0.212614	11413	1.165838	8295
ABCD2	0.198453	11661	0.359835	13371
ABCD3	0.220645	11057	1.210853	7912
ABCD4	0.269524	9670	1.235276	7711
ABCE1	0.059804	13556	1.578868	4492
ABCF1	0.789622	2111	2.639556	434
ABCF2	0.345593	7700	1.772835	3048
ABCF3	0.293268	9188	1.768046	3085
ABCG1	0.678319	2807	1.811240	2829
ABCG2	0.416641	6335	0.416641	13257
ABCG4	0.025748	14040	0.041393	14917
ABCG5	0.000000	16782	0.000000	17231
ABCG8	0.000000	16781	0.000000	17230
ABHD1	0.505494	4738	0.564666	12310
ABHD10	0.207735	11492	1.355452	6505
ABHD11	0.371516	7155	1.026533	9505
ABHD12	0.000000	16780	1.362482	6425
ABHD12B	0.000000	16779	0.000000	17229
ABHD13	0.208062	11485	1.235276	7710
ABHD14A	0.266648	9741	1.383815	6270
ABHD14B	0.069330	13486	1.826787	2735
ABHD15	0.410715	6427	0.751279	11539
ABHD16A	0.295642	9143	1.509337	5059
ABHD16B	-	19005	-	19005
ABHD17A	0.444238	5721	1.058046	9329
ABHD17B	0.440209	5795	1.347330	6544
ABHD17C	0.406824	6481	1.011993	9659
ABHD18	0.528462	4343	1.058046	9328
ABHD2	0.353443	7547	1.738543	3257
ABHD3	0.064158	13524	1.014521	9516
ABHD4	0.283472	9390	1.322633	6819
ABHD5	0.326741	8461	1.399328	6071
ABHD6	0.169180	12205	0.751279	11538
ABHD8	0.231410	10850	1.141136	8515
ABI1	0.095641	13169	1.339849	6675
ABI2	0.206293	11528	1.540455	4761
ABI3	0.554999	3989	0.751279	11537
ABI3BP	1.391771	609	2.132067	1388
ABL1	0.419557	6142	1.236537	7667
ABL2	0.296814	9120	0.992554	9826
ABLIM1	1.044053	1201	1.605628	4276
ABLIM2	2.291990	148	2.291990	955
ABLIM3	1.018997	1259	1.830525	2715
ABO	0.789026	2115	0.914872	10339
ABR	0.588539	3653	0.955688	10151
ABRA	2.250640	161	2.250640	1044
ABRACL	0.000000	16778	1.058426	9253
ABT1	0.084849	13270	1.281715	7245
ABTB1	0.188539	11858	1.376394	6281
ABTB2	0.257880	9924	1.018700	9513
ACAA1	0.198334	11665	1.498311	5141
ACAA2	0.682484	2776	1.635383	3985
ACACA	0.535895	4189	1.647187	3909
ACACB	2.413836	126	2.413836	719
ACAD10	0.262060	9835	1.251638	7522
ACAD11	0.221001	11051	0.742725	11580
ACAD8	0.384534	6904	1.593286	4368
ACAD9	0.322414	8539	1.722552	3383
ACADL	0.667409	2895	0.688420	11812
ACADM	1.034297	1221	2.408393	725
ACADS	1.112626	1037	2.000260	1868
ACADSB	0.650385	3049	1.659631	3830
ACADVL	0.881868	1712	2.733165	357
ACAN	1.188636	880	1.264818	7441
ACAP1	0.255273	10354	0.255273	14304
ACAP2	0.155423	12408	1.669782	3761
ACAP3	0.507827	4711	1.206286	8006
ACAT1	0.970031	1397	2.559859	521
ACAT2	0.184594	11927	0.959995	10039
ACBD3	0.067433	13500	1.921374	2244
ACBD4	0.123663	12821	0.832509	11003
ACBD5	0.602961	3509	1.029789	9413
ACBD6	0.155423	12407	1.231724	7777
ACBD7	-0.237318	17207	0.000000	17228
ACCS	0.707262	2607	0.900913	10552
ACCSL	-	19004	-	19004
ACD	0.236880	10732	0.900913	10551
ACE	1.017226	1262	1.463744	5456
ACE2	0.359835	7433	0.359835	13370
ACER1	0.000000	16777	0.000000	17227
ACER2	0.426188	6019	0.742725	11579
ACER3	0.307592	8844	1.426186	5816
ACHE	1.876324	276	2.268133	1008
ACIN1	0.307496	8852	2.115577	1436
ACKR1	1.851381	292	1.851381	2604
ACKR2	0.610660	3434	0.610660	12275
ACKR3	0.843028	1848	2.187126	1211
ACKR4	0.595203	3586	0.699838	11771
ACLY	-0.003330	16810	1.316390	6918
ACMSD	0.000000	16776	0.000000	17226
ACO1	0.095047	13179	1.618989	4153
ACO2	0.899157	1659	2.660552	418
ACOD1	0.000000	16775	0.000000	17225
ACOT1	0.217484	11306	0.217484	14500
ACOT11	1.050107	1184	1.141136	8514
ACOT12	0.000000	16774	0.000000	17224
ACOT13	0.238065	10705	1.605628	4275
ACOT2	0.532885	4222	1.572174	4520
ACOT4	0.277453	9522	0.416641	13256
ACOT6	-	19003	-	19003
ACOT7	0.281211	9449	1.011993	9658
ACOT8	-0.026755	16904	1.374015	6306
ACOT9	0.371840	7143	1.920906	2252
ACOX1	0.814513	1991	1.711807	3452
ACOX2	0.478425	5115	0.900913	10550
ACOX3	0.233913	10802	1.102091	8830
ACOXL	0.000000	16773	0.000000	17223
ACP1	0.166889	12248	1.725830	3356
ACP2	0.424586	6050	1.977449	1958
ACP5	0.479431	5104	0.651278	12044
ACP6	0.162203	12312	0.835691	10781
ACP7	-	19002	-	19002
ACPP	0.340728	7787	0.532754	12564
ACPT	-	19001	-	19001
ACR	0.000000	16772	0.000000	17222
ACRBP	0.286173	9334	0.532754	12563
ACRC	0.000000	16771	0.000000	17221
ACRV1	0.000000	16770	0.000000	17220
