gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.644086	2105	1.581780	4227
A1CF	0.000000	17133	0.000000	17239
A2M	1.427194	263	2.475104	570
A2ML1	0.000000	17132	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.597471	2384	1.292920	6904
A4GNT	0.000000	17131	0.000000	17237
AAAS	0.458967	3756	1.686561	3399
AACS	0.331700	5981	1.382364	6022
AADAC	0.149193	11448	0.149193	13918
AADACL2	0.000000	17130	0.000000	17236
AADACL3	0.000000	17129	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.352074	5499	0.921686	10007
AAED1	0.175747	10447	1.383279	6017
AAGAB	0.134247	11934	1.682948	3438
AAK1	0.374777	5052	1.071514	8933
AAMDC	0.309006	6518	1.387523	5977
AAMP	0.305466	6595	1.934248	1988
AANAT	0.018432	14821	0.018432	15070
AAR2	0.101355	12728	1.222590	7539
AARD	1.232784	420	1.247237	7330
AARS	0.222022	9054	1.834098	2488
AARS2	0.052532	14198	1.263349	7179
AARSD1	0.835318	1187	1.525869	4740
AASDH	0.107957	12580	1.151433	8229
AASDHPPT	0.097112	12827	1.541003	4597
AASS	0.386129	4851	1.448196	5406
AATF	0.073093	13777	1.541953	4594
AATK	0.622214	2244	0.622214	11773
ABAT	0.120180	12290	0.849344	10496
ABCA1	0.586058	2480	1.979457	1788
ABCA10	0.733197	1621	0.733197	11201
ABCA12	0.051271	14268	0.051271	14780
ABCA13	0.224264	8984	0.224264	13484
ABCA2	0.173186	10774	0.895423	10174
ABCA3	0.230610	8785	0.958564	9773
ABCA4	0.173186	10773	0.173186	13867
ABCA5	0.173186	10772	1.080266	8870
ABCA6	0.726136	1649	1.185311	7897
ABCA7	0.162314	11060	0.573837	11939
ABCA8	0.568202	2623	1.499912	4944
ABCA9	0.828459	1218	1.130334	8443
ABCB1	0.383692	4891	0.981366	9614
ABCB10	0.192917	9917	1.053078	9076
ABCB11	0.000000	17128	0.000000	17234
ABCB4	0.446504	3917	0.595496	11895
ABCB5	0.305965	6583	0.305965	13041
ABCB6	0.293909	6962	0.537819	12176
ABCB7	0.127140	12099	1.376577	6089
ABCB8	0.194801	9863	1.324311	6548
ABCB9	0.228575	8851	0.691965	11424
ABCC1	0.529265	2945	1.685120	3411
ABCC10	0.178466	10369	0.846009	10507
ABCC11	0.000000	17127	0.000000	17233
ABCC12	0.000000	17126	0.000000	17232
ABCC2	0.000000	17125	0.000000	17231
ABCC3	0.372842	5085	1.185170	7899
ABCC4	0.616387	2270	1.448626	5402
ABCC5	0.213960	9290	1.202761	7751
ABCC6	-	19006	-	19006
ABCC8	0.173186	10771	0.173186	13866
ABCC9	0.812282	1277	1.175222	8022
ABCD1	0.332485	5966	1.285708	6959
ABCD2	0.660786	2004	0.822168	10693
ABCD3	0.076818	13699	1.241458	7354
ABCD4	0.102252	12701	1.259116	7216
ABCE1	0.124848	12161	1.643913	3739
ABCF1	0.134495	11925	1.969478	1834
ABCF2	0.367825	5185	1.795067	2696
ABCF3	0.158122	11181	1.632899	3802
ABCG1	0.076594	13700	1.209515	7685
ABCG2	0.184975	10180	0.299924	13050
ABCG4	0.071816	13803	0.087460	14561
ABCG5	0.057612	14078	0.057612	14674
ABCG8	0.000000	17124	0.000000	17230
ABHD1	0.000000	17123	0.043813	14828
ABHD10	0.182705	10240	1.278278	7017
ABHD11	0.227127	8895	1.197088	7773
ABHD12	0.148558	11474	1.667444	3560
ABHD12B	0.034601	14551	0.034601	14894
ABHD13	0.126296	12114	1.153510	8219
ABHD14A	0.132007	11999	1.196176	7812
ABHD14B	0.076136	13712	1.833593	2491
ABHD15	0.227638	8881	0.568202	12030
ABHD16A	0.407099	4483	1.326266	6542
ABHD16B	-	19005	-	19005
ABHD17A	0.142226	11672	1.068826	8945
ABHD17B	0.045742	14371	0.987729	9545
ABHD17C	0.359210	5357	1.400603	5850
ABHD18	0.407531	4477	0.946452	9848
ABHD2	0.073320	13772	1.766115	2879
ABHD3	0.008201	14925	0.958564	9772
ABHD4	0.447568	3903	1.788057	2744
ABHD5	0.495343	3307	1.692222	3364
ABHD6	0.096975	12829	0.788875	10895
ABHD8	0.098753	12794	0.998714	9468
ABI1	0.133436	11950	1.551084	4507
ABI2	0.378907	4978	1.830460	2504
ABI3	0.100385	12749	0.506505	12307
ABI3BP	1.122167	571	2.063446	1456
ABL1	0.774146	1436	1.726075	3131
ABL2	0.663471	1992	1.331538	6490
ABLIM1	0.761753	1500	1.479575	5122
ABLIM2	0.238446	8538	0.506505	12306
ABLIM3	0.653917	2045	1.616643	3941
ABO	0.595496	2405	0.670246	11534
ABR	0.371830	5107	1.337143	6454
ABRA	0.096910	13304	0.096910	14535
ABRACL	0.428597	4176	1.925136	2031
ABT1	0.080550	13620	1.277416	7021
ABTB1	0.223090	9016	1.410946	5768
ABTB2	0.259399	7827	0.966278	9702
ACAA1	0.127003	12101	1.609019	4002
ACAA2	0.584122	2497	1.545807	4550
ACACA	0.557266	2704	1.623629	3877
ACACB	1.086564	617	1.406710	5803
ACAD10	0.030038	14607	1.019616	9318
ACAD11	0.614886	2276	1.280322	7010
ACAD8	0.101805	12713	1.310557	6696
ACAD9	0.075159	13735	1.475297	5168
ACADL	0.240549	8486	0.240549	13458
ACADM	0.179909	10323	1.554004	4485
ACADS	0.350935	5525	1.238570	7392
ACADSB	0.267216	7610	1.276462	7049
ACADVL	0.495759	3299	2.215539	1024
ACAN	0.233643	8699	0.309824	13037
ACAP1	0.184564	10192	0.296665	13198
ACAP2	0.250814	8057	1.672347	3518
ACAP3	0.536564	2886	1.235023	7439
ACAT1	0.389416	4804	1.959186	1878
ACAT2	0.961037	868	2.394187	670
ACBD3	0.154710	11280	2.008651	1664
ACBD4	0.358574	5371	1.033826	9226
ACBD5	0.175424	10455	0.670940	11470
ACBD6	0.317893	6307	1.370808	6136
ACBD7	0.055221	14127	0.292539	13208
ACCS	0.477374	3503	0.942281	9861
ACCSL	-	19004	-	19004
ACD	0.184738	10188	1.090856	8768
ACE	0.375650	5036	0.822168	10692
ACE2	0.096910	13303	0.096910	14534
ACER1	0.000000	17122	0.000000	17229
ACER2	0.375428	5043	0.691965	11423
ACER3	0.019750	14801	1.138344	8324
ACHE	0.000000	17121	0.348305	12978
ACIN1	0.300472	6706	1.978363	1797
ACKR1	1.730055	126	1.730055	3104
ACKR2	0.670246	1959	0.670246	11533
ACKR3	0.775356	1430	2.119454	1284
ACKR4	1.905574	69	2.010209	1660
ACLY	0.935383	924	2.230082	993
ACMSD	0.000000	17120	0.000000	17228
ACO1	0.425289	4216	1.949230	1921
ACO2	0.096910	13302	1.806180	2641
ACOD1	0.000000	17119	0.000000	17227
ACOT1	0.296665	6887	0.328121	13015
ACOT11	1.077173	630	1.168203	8092
ACOT12	0.087460	13491	0.087460	14560
ACOT13	0.667505	1974	1.662798	3594
ACOT2	0.713491	1725	1.410946	5767
ACOT4	0.209117	9440	0.348305	12977
ACOT6	-	19003	-	19003
ACOT7	0.858577	1111	1.701754	3296
ACOT8	0.095396	13332	1.496166	4974
ACOT9	0.229664	8825	1.778730	2803
ACOX1	0.296349	6898	1.470400	5208
ACOX2	0.666016	1981	1.130334	8442
ACOX3	0.433399	4108	1.410946	5766
ACOXL	0.240549	8485	0.240549	13457
ACP1	0.109543	12545	1.900321	2139
ACP2	0.173186	10770	1.659607	3611
ACP5	0.612772	2295	0.709682	11306
ACP6	0.239243	8520	0.752816	11105
ACP7	-	19002	-	19002
ACPP	0.417236	4348	0.646404	11659
ACPT	-	19001	-	19001
ACR	0.000000	17118	0.000000	17226
ACRBP	0.259923	7810	0.506505	12305
ACRC	0.000000	17117	0.000000	17225
ACRV1	0.000000	17116	0.000000	17224
ACSBG1	0.096910	13301	0.096910	14533
ACSBG2	0.000000	17115	0.000000	17223
ACSF2	0.560319	2677	1.186427	7894
ACSF3	0.116272	12373	0.981366	9613
ACSL1	0.385488	4860	1.284599	6968
ACSL3	0.395893	4674	2.317150	827
ACSL4	0.480843	3461	1.971883	1828
ACSL5	0.296665	6886	0.958564	9771
ACSL6	0.027392	14704	0.027392	15001
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17114	0.000000	17222
ACSM2B	0.000000	17113	0.000000	17221
ACSM3	0.362112	5293	0.434569	12616
ACSM4	-	18999	-	18999
ACSM5	0.173186	10769	0.173186	13865
ACSM6	0.096910	13300	0.096910	14532
ACSS1	0.172541	10788	1.122544	8513
ACSS2	0.624045	2223	1.464464	5269
ACSS3	0.482054	3442	1.008984	9400
ACTA1	0.770852	1451	0.770852	11006
ACTA2	2.199116	38	3.573412	27
ACTB	0.612343	2300	4.072738	5
ACTBL2	0.409084	4460	0.409084	12658
ACTC1	2.875331	9	2.982836	172
ACTG1	0.465790	3665	3.877168	9
ACTG2	3.261392	4	3.990957	7
ACTL10	0.116586	12365	0.233645	13466
ACTL6A	0.121478	12255	1.637494	3777
ACTL6B	0.096910	13299	0.096910	14531
ACTL7A	0.000000	17112	0.000000	17220
ACTL7B	0.000000	17111	0.000000	17219
ACTL8	0.000000	17110	0.000000	17218
ACTL9	0.000000	17109	0.000000	17217
ACTN1	0.861608	1099	2.792903	281
ACTN2	1.239334	414	1.468938	5229
ACTN3	0.096910	13298	0.096910	14530
ACTN4	0.418675	4323	2.122556	1274
ACTR10	0.242162	8319	1.801198	2661
ACTR1A	0.335198	5894	2.364628	720
ACTR1B	0.188760	10054	1.479575	5121
ACTR2	0.187687	10088	1.860011	2362
ACTR3	0.307104	6555	2.476672	562
ACTR3B	0.178041	10379	1.106191	8670
ACTR3C	0.102006	12710	0.392697	12777
ACTR5	-0.035531	17196	0.761736	11035
ACTR6	0.099907	12765	1.147265	8245
ACTR8	0.170059	10851	1.410800	5770
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17108	0.000000	17216
ACTRT3	-	18997	-	18997
ACVR1	0.327338	6084	1.198642	7767
ACVR1B	0.088461	13466	1.106191	8669
ACVR1C	0.141831	11685	0.141831	13952
ACVR2A	0.432633	4121	1.306613	6737
ACVR2B	0.298601	6763	0.646404	11658
ACVRL1	0.614847	2277	0.980895	9617
ACY1	0.238509	8536	1.369688	6147
ACY3	0.034601	14550	0.034601	14893
ACYP1	0.339767	5794	1.408142	5778
ACYP2	0.231809	8753	1.167571	8097
ADA	0.091041	13414	0.691965	11422
ADAD1	0.000000	17107	0.000000	17215
ADAD2	0.000000	17106	0.000000	17214
ADAL	0.261741	7767	0.989674	9540
ADAM10	0.310011	6490	1.797101	2685
ADAM11	0.090374	13428	0.090374	14550
ADAM12	1.146580	539	1.425075	5634
ADAM15	0.282768	7218	1.962604	1865
ADAM17	0.236741	8592	1.329316	6525
ADAM18	0.000000	17105	0.000000	17213
ADAM19	0.843058	1155	1.853455	2392
ADAM2	0.000000	17104	0.000000	17212
ADAM20	0.000000	17103	0.000000	17211
ADAM21	0.000000	17102	0.000000	17210
ADAM22	0.304599	6615	0.752816	11104
ADAM23	0.510075	3124	0.904551	10108
ADAM28	0.246278	8205	0.471292	12457
ADAM29	0.000000	17101	0.000000	17209
ADAM30	0.000000	17100	0.000000	17208
ADAM32	0.000000	17099	0.000000	17207
ADAM33	1.485572	228	1.809492	2622
ADAM7	0.000000	17098	0.000000	17206
ADAM8	0.150417	11423	0.296665	13197
ADAM9	0.683295	1891	2.365981	716
ADAMDEC1	0.274335	7437	0.274335	13242
ADAMTS1	0.844767	1149	2.649538	391
ADAMTS10	0.123650	12189	0.822168	10691
ADAMTS12	1.450570	244	1.687358	3397
ADAMTS13	0.000000	17097	0.000000	17205
ADAMTS14	0.671679	1942	0.906545	10103
ADAMTS15	1.025694	708	1.550173	4512
ADAMTS16	0.770852	1450	0.770852	11005
ADAMTS17	0.512459	3096	0.622214	11772
ADAMTS18	0.293535	6974	0.293535	13206
ADAMTS19	0.312934	6414	0.312934	13032
ADAMTS2	0.843891	1152	1.584310	4207
ADAMTS20	0.000000	17096	0.000000	17204
ADAMTS3	0.328065	6067	0.604848	11802
ADAMTS4	0.536897	2884	1.138303	8374
ADAMTS5	1.277364	373	1.997428	1707
ADAMTS6	0.743781	1574	0.986491	9551
ADAMTS7	0.496352	3291	1.086811	8812
ADAMTS8	0.537819	2876	0.537819	12175
ADAMTS9	1.080038	628	1.532754	4686
ADAMTSL1	1.147576	538	1.644504	3734
ADAMTSL2	0.137467	11831	0.173186	13864
ADAMTSL3	1.170174	507	1.209515	7684
ADAMTSL4	0.704133	1772	1.584517	4206
ADAMTSL5	0.300953	6693	0.662461	11553
ADAP1	0.173186	10768	0.789475	10840
ADAP2	0.296665	6885	0.471292	12456
ADAR	0.186727	10115	1.612360	3983
ADARB1	0.976806	821	1.944631	1946
ADARB2	0.173186	10767	0.173186	13863
ADAT1	0.095023	13339	1.058223	9015
ADAT2	0.143263	11631	1.019290	9319
ADAT3	0.226992	8901	1.900387	2138
ADCK1	0.130733	12028	0.770852	11004
ADCK2	-0.029322	17188	1.013680	9386
ADCK5	0.029318	14652	0.825547	10610
ADCY1	0.092743	13382	0.173186	13862
ADCY10	0.000000	17095	0.000000	17203
ADCY2	0.567834	2628	0.622214	11771
ADCY3	0.171408	10816	1.193359	7827
ADCY4	0.621516	2250	1.023664	9302
ADCY5	1.153795	527	1.182415	7951
ADCY6	0.111268	12495	0.921686	10006
ADCY7	0.367392	5191	0.933314	9915
ADCY8	0.161488	11093	0.161488	13895
ADCY9	0.167265	10929	0.733197	11200
ADCYAP1	0.296665	6884	0.296665	13196
ADCYAP1R1	0.348305	5626	0.348305	12976
ADD1	0.347011	5655	2.035910	1560
ADD2	0.125123	12149	0.296665	13195
ADD3	0.687283	1873	1.768779	2864
ADGB	0.016406	14882	0.016406	15120
ADGRA1	0.000000	17094	0.000000	17202
ADGRA2	1.005022	753	1.989648	1737
ADGRA3	0.230364	8792	0.881955	10279
ADGRB1	0.058562	14043	0.058562	14653
ADGRB2	0.397575	4645	0.807396	10738
ADGRB3	1.216911	443	1.457882	5322
ADGRD1	1.540407	192	2.033946	1569
ADGRD2	-	18996	-	18996
ADGRE1	0.096910	13297	0.096910	14529
ADGRE2	0.096910	13296	0.802167	10807
ADGRE3	0.096910	13295	0.096910	14528
ADGRE5	0.628460	2197	1.724030	3154
ADGRF1	0.434569	4093	0.434569	12615
ADGRF2	0.000000	17093	0.000000	17201
ADGRF3	0.035754	14517	0.212134	13502
ADGRF4	0.133103	11966	0.133103	13974
ADGRF5	0.836315	1179	0.970347	9693
ADGRG1	0.506505	3169	0.944106	9857
ADGRG2	0.173186	10766	0.173186	13861
ADGRG3	0.173186	10765	0.173186	13860
ADGRG4	0.000000	17092	0.000000	17200
ADGRG5	0.173186	10764	0.173186	13859
ADGRG6	0.458363	3764	1.114277	8577
ADGRG7	0.000000	17091	0.000000	17199
ADGRL1	0.154025	11301	0.392697	12776
ADGRL2	0.240549	8484	0.296665	13194
ADGRL3	0.244636	8251	0.298070	13055
ADGRL4	0.791067	1368	1.693605	3355
ADGRV1	0.000000	17090	0.000000	17198
ADH1A	0.000000	17089	0.000000	17197
ADH1B	2.242119	31	2.488878	543
ADH1C	0.530021	2936	0.530021	12192
ADH4	0.114311	12411	0.114311	14022
ADH5	0.589414	2460	2.172319	1128
ADH6	0.173186	10763	0.173186	13858
ADH7	0.096910	13294	0.096910	14527
ADHFE1	0.615985	2272	1.358316	6272
ADI1	0.256537	7901	1.940964	1959
ADIG	0.000000	17088	0.000000	17196
ADIPOQ	0.471292	3601	0.471292	12455
ADIPOR1	0.180869	10295	1.843159	2446
ADIPOR2	0.067086	13895	1.446692	5437
ADIRF	0.587327	2468	2.357042	737
ADK	0.285765	7150	1.674293	3501
ADM	1.451278	243	3.170236	86
ADM2	0.356473	5408	0.403666	12666
ADM5	0.240549	8483	0.240549	13456
ADNP	0.328286	6056	1.814447	2596
ADNP2	0.221314	9071	1.043362	9152
ADO	0.149037	11456	0.904125	10110
ADORA1	0.506015	3172	0.708757	11309
ADORA2A	0.233019	8722	0.435389	12523
ADORA2B	0.501860	3220	0.935700	9878
ADORA3	0.434569	4092	0.434569	12614
ADPGK	0.234255	8684	1.479725	5114
ADPRH	0.135450	11894	0.392697	12775
ADPRHL1	0.016406	14881	0.016406	15119
ADPRHL2	0.080600	13619	1.232334	7453
ADPRM	0.025660	14723	0.927326	9935
ADRA1A	0.000000	17087	0.000000	17195
ADRA1B	0.086495	13513	0.456085	12482
ADRA1D	0.419772	4301	0.504280	12311
ADRA2A	0.885509	1036	1.343999	6399
