gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.143166	10145	1.134167	8064
A1CF	1.314316	384	1.314316	6218
A2M	1.035333	756	2.085635	998
A2ML1	0.000000	16845	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.135938	10414	0.800363	10913
A4GNT	0.000000	16844	0.000000	17238
AAAS	0.165266	9351	1.497093	4375
AACS	0.331700	5093	1.382364	5534
AADAC	0.601726	2277	0.601726	12074
AADACL2	0.121729	10998	0.121729	14499
AADACL3	0.000000	16843	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.145246	10059	0.701928	11546
AAED1	0.087855	12322	1.244653	6918
AAGAB	0.127051	10766	1.675752	2887
AAK1	0.132686	10532	0.956499	9710
AAMDC	0.190568	8543	1.374364	5630
AAMP	0.164357	9381	1.940736	1484
AANAT	0.000000	16842	0.000000	17236
AAR2	0.124910	10834	1.132688	8084
AARD	0.324631	5209	0.339083	13367
AARS	-0.027949	17022	1.584128	3579
AARS2	0.215878	7755	1.426695	5080
AARSD1	0.451137	3527	1.525869	4090
AASDH	0.107957	11581	1.134165	8065
AASDHPPT	0.042548	13864	1.533985	4000
AASS	0.386129	4271	1.448196	4832
AATF	-0.005851	16891	1.463009	4689
AATK	0.471569	3309	0.471569	12742
ABAT	0.540644	2715	1.269808	6678
ABCA1	0.383445	4315	1.776845	2252
ABCA10	0.470648	3322	0.470648	12745
ABCA12	0.000000	16841	0.000000	17235
ABCA13	0.000000	16840	0.000000	17234
ABCA2	0.373684	4461	1.152578	7874
ABCA3	0.066771	13171	0.727554	11381
ABCA4	0.269266	6353	0.269266	13686
ABCA5	0.635486	2098	1.667922	2925
ABCA6	0.377987	4391	0.837161	10662
ABCA7	0.137592	10360	0.955450	9722
ABCA8	0.453486	3503	1.394282	5418
ABCA9	0.637219	2087	0.939094	9864
ABCB1	1.089277	655	1.686950	2805
ABCB10	0.297107	5739	1.157268	7829
ABCB11	0.034601	14150	0.034601	15247
ABCB4	0.291206	5874	0.440198	12895
ABCB5	0.210143	7939	0.210143	14002
ABCB6	0.082082	12496	0.460775	12800
ABCB7	0.111730	11443	1.361168	5760
ABCB8	0.071697	12869	1.243664	6933
ABCB9	0.221740	7584	0.685130	11637
ABCC1	0.077702	12699	1.270935	6663
ABCC10	0.133344	10513	0.800887	10904
ABCC11	0.000000	16839	0.000000	17233
ABCC12	0.000000	16838	0.000000	17232
ABCC2	0.605387	2250	0.605387	12058
ABCC3	1.242898	456	2.055226	1088
ABCC4	0.616387	2190	1.448626	4828
ABCC5	0.232414	7263	1.052487	8856
ABCC6	-	19006	-	19006
ABCC8	0.286496	5969	0.286496	13606
ABCC9	0.520514	2889	0.883454	10315
ABCD1	0.192140	8483	1.145363	7954
ABCD2	0.132207	10548	0.293589	13566
ABCD3	0.267964	6378	1.345023	5906
ABCD4	0.233651	7228	1.390515	5452
ABCE1	0.124848	10837	1.643913	3108
ABCF1	-0.065596	17154	1.769919	2288
ABCF2	0.133472	10511	1.519282	4165
ABCF3	-0.074336	17166	1.400441	5336
ABCG1	0.324817	5204	1.457738	4737
ABCG2	0.710477	1707	0.818453	10790
ABCG4	0.023961	14500	0.034601	15246
ABCG5	0.406441	4032	0.406441	13056
ABCG8	0.610781	2224	0.610781	12029
ABHD1	0.162901	9431	0.222073	13929
ABHD10	0.150132	9903	1.278278	6583
ABHD11	0.672287	1909	1.642247	3122
ABHD12	0.578710	2425	1.582075	3592
ABHD12B	0.282861	6041	0.282861	13624
ABHD13	0.122008	10977	1.164188	7753
ABHD14A	0.132007	10559	1.103393	8377
ABHD14B	0.218180	7690	1.975637	1340
ABHD15	0.482846	3200	0.823410	10760
ABHD16A	0.186200	8656	1.476903	4553
ABHD16B	-	19005	-	19005
ABHD17A	0.068942	13101	0.886181	10295
ABHD17B	0.136856	10386	1.110657	8309
ABHD17C	0.909608	1019	1.951001	1442
ABHD18	0.378714	4381	1.230583	7053
ABHD2	0.155537	9691	1.775799	2257
ABHD3	0.695918	1764	1.646280	3092
ABHD4	0.188977	8592	1.529466	4045
ABHD5	0.246305	6906	1.443184	4900
ABHD6	0.212378	7872	0.904279	10157
ABHD8	0.079647	12636	0.959098	9688
ABI1	0.130253	10627	1.492987	4400
ABI2	0.115714	11202	1.453683	4777
ABI3	0.437610	3662	0.942758	9835
ABI3BP	0.734418	1599	1.690977	2786
ABL1	0.212315	7873	1.213827	7234
ABL2	0.663471	1953	1.331538	6042
ABLIM1	0.950812	913	1.512387	4228
ABLIM2	0.338702	4979	0.606761	12049
ABLIM3	0.265137	6438	1.398539	5361
ABO	1.484223	256	1.610070	3359
ABR	0.519323	2895	1.093763	8461
ABRA	0.069838	12911	0.069838	14911
ABRACL	0.428597	3750	1.925136	1539
ABT1	0.080550	12600	1.277416	6590
ABTB1	0.229111	7351	1.416966	5178
ABTB2	0.030720	14228	0.779017	11062
ACAA1	0.190524	8546	1.672539	2903
ACAA2	0.666120	1931	1.958899	1406
ACACA	0.480302	3227	1.623629	3259
ACACB	1.308199	390	1.308199	6289
ACAD10	0.230614	7307	1.220191	7165
ACAD11	0.285638	5991	0.951075	9760
ACAD8	0.050958	13661	1.259710	6774
ACAD9	0.075159	12779	1.475297	4564
ACADL	0.158896	9580	0.161907	14254
ACADM	0.289468	5911	1.663564	2958
ACADS	0.943918	926	1.831553	1973
ACADSB	0.202480	8162	1.211726	7263
