gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.635509	1029	1.415025	4128
A1CF	0.000000	15910	0.000000	17239
A2M	0.894048	538	1.690150	2444
A2ML1	0.000000	15909	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.204553	4599	0.868978	8309
A4GNT	0.000000	15908	0.000000	17237
AAAS	0.148255	5966	1.373277	4453
AACS	0.226270	4184	1.276933	5201
AADAC	0.086818	7977	0.086818	12752
AADACL2	0.000000	15907	0.000000	17236
AADACL3	0.000000	15906	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.164412	5540	0.734024	9165
AAED1	0.204733	4593	1.387406	4341
AAGAB	0.132493	6367	1.681194	2488
AAK1	0.054943	9262	0.761543	8975
AAMDC	0.405560	2046	1.589355	2980
AAMP	0.027426	10334	1.696575	2412
AANAT	0.000000	15905	0.000000	17234
AAR2	0.204214	4610	1.325449	4805
AARD	1.439238	148	1.453691	3851
AARS	0.105187	7231	1.717264	2329
AARS2	-0.337620	17169	0.873198	8274
AARSD1	0.072674	8488	1.474160	3716
AASDH	0.035737	10069	1.091717	6693
AASDHPPT	0.138324	6223	1.590034	2978
AASS	0.332314	2681	1.354402	4598
AATF	-0.187322	17007	1.281538	5145
AATK	0.000000	15904	0.000000	17233
ABAT	0.065180	8719	0.782465	8858
ABCA1	0.187549	4959	1.580949	3015
ABCA10	0.123985	6623	0.123985	12383
ABCA12	0.100343	7533	0.100343	12654
ABCA13	0.021486	10685	0.021486	13492
ABCA2	0.339491	2606	1.066542	6899
ABCA3	0.000000	15903	0.239263	11697
ABCA4	0.000000	15902	0.000000	17232
ABCA5	0.151106	5892	0.706934	9334
ABCA6	0.553037	1297	1.012211	7285
ABCA7	0.139025	6209	0.511284	10387
ABCA8	0.445507	1792	1.386303	4353
ABCA9	1.004072	402	1.305946	4958
ABCB1	0.100343	7532	0.100343	12653
ABCB10	0.100648	7400	0.960809	7630
ABCB11	0.000000	15901	0.000000	17231
ABCB4	0.000000	15900	0.100343	12652
ABCB5	0.188702	4933	0.188702	11984
ABCB6	0.769217	719	1.006232	7326
ABCB7	0.059659	9095	0.950090	7712
ABCB8	0.167534	5445	1.207227	5746
ABCB9	0.044769	9739	0.410467	10881
ABCC1	0.306566	2951	1.465854	3767
ABCC10	0.153140	5830	0.790731	8808
ABCC11	0.000000	15899	0.000000	17230
ABCC12	0.000000	15898	0.000000	17229
ABCC2	0.072758	8484	0.072758	12865
ABCC3	0.636852	1024	1.449181	3882
ABCC4	0.283024	3259	1.174055	6017
ABCC5	0.018968	10999	0.995803	7390
ABCC6	-	19006	-	19006
ABCC8	0.000000	15897	0.000000	17228
ABCC9	0.922756	491	1.285695	5104
