gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.378813	3327	1.369813	5421
A1CF	0.000000	16457	0.000000	17239
A2M	0.838194	698	1.888496	1995
A2ML1	0.000000	16456	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.537258	1868	1.201684	6746
A4GNT	0.000000	16455	0.000000	17237
AAAS	0.463685	2408	1.857655	2144
AACS	0.409212	2966	1.459875	4695
AADAC	0.105127	9109	0.105127	12699
AADACL2	0.000000	16454	0.000000	17236
AADACL3	0.000000	16453	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.140517	8007	0.472056	11071
AAED1	0.280607	4764	1.498962	4394
AAGAB	0.222312	5967	1.771013	2583
AAK1	0.156362	7468	0.871816	9068
AAMDC	0.177031	7011	1.360826	5480
AAMP	0.276612	4831	2.081378	1287
AANAT	0.000000	16452	0.000000	17234
AAR2	0.401901	3052	1.523136	4227
AARD	0.126064	8367	0.140517	12405
AARS	0.356888	3608	1.968965	1660
AARS2	0.090333	9495	1.301151	5996
AARSD1	0.097691	9291	1.510525	4320
AASDH	0.119103	8570	1.199387	6771
AASDHPPT	0.133506	8164	1.537133	4123
AASS	0.047517	10571	1.088452	7638
AATF	-0.039255	16780	1.429605	4930
AATK	0.000000	16451	0.000000	17233
ABAT	0.140788	7864	0.648402	10296
ABCA1	0.117764	8755	0.869246	9083
ABCA10	0.000000	16450	0.000000	17232
ABCA12	0.000000	16449	0.000000	17231
ABCA13	0.000000	16448	0.000000	17230
ABCA2	0.111842	8896	0.773580	9654
ABCA3	0.873073	625	1.601027	3630
ABCA4	0.806178	778	0.806178	9480
ABCA5	0.193816	6638	1.185624	6883
ABCA6	0.211290	6230	0.590680	10511
ABCA7	0.102657	9157	0.861758	9145
ABCA8	0.000000	16447	0.342889	11504
ABCA9	0.044513	10740	0.117764	12673
ABCB1	0.631196	1313	0.752726	9782
ABCB10	0.094697	9375	0.954858	8547
ABCB11	0.000000	16446	0.000000	17229
ABCB4	0.148059	7691	0.297052	11659
ABCB5	0.000000	16445	0.000000	17228
ABCB6	0.148613	7672	0.390360	11365
ABCB7	0.000000	16444	1.228319	6550
ABCB8	0.274252	4879	1.446219	4792
ABCB9	0.156422	7465	0.555169	10706
ABCC1	0.305065	4350	1.562035	3905
ABCC10	0.384097	3253	0.800414	9505
ABCC11	0.000000	16443	0.000000	17227
ABCC12	0.140517	8006	0.140517	12404
ABCC2	0.140517	8005	0.140517	12403
ABCC3	1.153292	285	1.965621	1670
ABCC4	0.183963	6852	1.074995	7733
ABCC5	0.123496	8447	0.913659	8816
ABCC6	-	19006	-	19006
ABCC8	0.000000	16442	0.000000	17226
ABCC9	0.000000	16441	0.041284	13074
ABCD1	0.261584	5115	1.214808	6669
ABCD2	0.000000	16440	0.000000	17225
ABCD3	0.177588	6997	1.072924	7744
ABCD4	0.314531	4205	1.348142	5596
ABCE1	0.249084	5406	1.768149	2601
ABCF1	0.169407	7183	2.019342	1476
ABCF2	0.381679	3297	1.808921	2382
ABCF3	0.084576	9662	1.559354	3929
ABCG1	0.000000	16439	0.666288	10207
ABCG2	0.504710	2102	0.619659	10409
ABCG4	0.000000	16438	0.000000	17224
ABCG5	0.000000	16437	0.000000	17223
ABCG8	0.000000	16436	0.000000	17222
ABHD1	0.000000	16435	0.044513	12973
ABHD10	0.051355	10475	1.316152	5863
ABHD11	0.274274	4878	1.244235	6446
ABHD12	0.480614	2273	1.999500	1552
ABHD12B	0.000000	16434	0.000000	17221
ABHD13	0.105276	9097	1.147456	7196
ABHD14A	0.398530	3095	1.155452	7133
ABHD14B	0.603815	1466	2.361272	651
ABHD15	0.000000	16433	0.258281	11830
ABHD16A	0.088992	9526	1.379694	5344
ABHD16B	-	19005	-	19005
ABHD17A	0.359640	3570	1.126245	7370
ABHD17B	0.163832	7306	1.049920	7897
ABHD17C	0.170232	7164	1.211625	6689
ABHD18	0.193051	6667	0.907251	8865
ABHD2	0.000000	16432	1.557942	3939
ABHD3	-0.247310	17178	0.703053	10033
ABHD4	0.571497	1645	1.911986	1889
ABHD5	0.276263	4838	1.473142	4589
ABHD6	0.061415	10240	0.727306	9911
ABHD8	0.026811	11299	0.936537	8653
ABI1	0.145953	7752	1.652424	3278
ABI2	0.303164	4382	1.716177	2897
ABI3	0.735220	954	0.931500	8695
ABI3BP	0.866573	640	1.542913	4062
ABL1	0.207426	6316	1.112289	7469
ABL2	0.923943	553	1.592010	3689
ABLIM1	0.625624	1349	1.038887	7968
ABLIM2	0.150760	7621	0.418819	11265
ABLIM3	1.342619	171	2.157992	1075
ABO	0.030683	11222	0.156529	12151
ABR	0.338781	3841	1.388448	5270
ABRA	0.000000	16431	0.000000	17220
ABRACL	0.753235	905	1.890461	1987
ABT1	0.219303	6039	1.416169	5047
ABTB1	0.003029	11750	1.190884	6844
ABTB2	0.132986	8173	0.846470	9241
ACAA1	0.028221	11275	1.510236	4321
ACAA2	0.392847	3158	1.042470	7941
ACACA	0.255420	5271	1.246694	6434
ACACB	0.140517	8004	0.140517	12402
ACAD10	-0.054032	16858	0.935546	8661
ACAD11	0.127145	8333	0.792581	9558
ACAD8	-0.064183	16896	1.144568	7212
ACAD9	0.241678	5538	1.641815	3344
ACADL	0.000000	16430	0.000000	17219
ACADM	0.064172	10181	1.348126	5597
ACADS	0.000000	16429	0.782983	9614
ACADSB	0.005686	11692	0.751597	9792
ACADVL	0.012523	11575	1.898486	1945
ACAN	0.000000	16428	0.041284	13073
ACAP1	0.000000	16427	0.000000	17218
ACAP2	0.184095	6847	1.743628	2730
ACAP3	0.074517	9930	0.747911	9812
ACAT1	0.163705	7310	1.835841	2242
ACAT2	0.357185	3605	1.790335	2486
ACBD3	0.032588	11182	1.886529	2002
ACBD4	0.022094	11380	0.700922	10036
ACBD5	0.110138	8951	0.790657	9567
ACBD6	0.364475	3512	1.433104	4907
ACBD7	0.143261	7807	0.380580	11392
ACCS	0.179673	6957	0.538060	10753
ACCSL	-	19004	-	19004
ACD	0.471143	2352	1.262267	6317
ACE	1.012013	420	1.458531	4704
ACE2	0.000000	16426	0.000000	17217
ACER1	0.000000	16425	0.000000	17216
ACER2	0.600105	1485	0.916643	8799
ACER3	0.256458	5244	1.375052	5381
ACHE	0.000000	16424	0.205471	11997
ACIN1	0.244478	5488	1.906144	1916
ACKR1	0.000000	16423	0.000000	17215
ACKR2	0.140517	8003	0.146607	12176
ACKR3	0.000000	16422	1.133673	7302
ACKR4	0.000000	16421	0.074741	12802
ACLY	0.700251	1053	1.994950	1573
ACMSD	0.000000	16420	0.000000	17214
ACO1	0.284068	4706	1.808009	2387
ACO2	0.000000	16419	1.738732	2759
ACOD1	0.000000	16418	0.000000	17213
ACOT1	0.000000	16417	0.000000	17212
ACOT11	0.089697	9509	0.140517	12401
ACOT12	0.000000	16416	0.000000	17211
ACOT13	0.332719	3933	1.614242	3544
ACOT2	0.191747	6693	0.887472	8980
ACOT4	-0.139188	17084	0.000000	17210
ACOT6	-	19003	-	19003
ACOT7	0.610646	1420	1.536675	4128
ACOT8	0.201567	6454	1.602337	3619
ACOT9	0.216792	6096	1.765858	2611
ACOX1	0.175246	7050	1.617020	3523
ACOX2	0.194026	6635	0.583103	10551
ACOX3	0.325970	4039	1.303516	5976
ACOXL	0.000000	16415	0.000000	17209
ACP1	0.009098	11636	1.816430	2341
ACP2	0.220727	6005	1.773590	2567
ACP5	0.007077	11671	0.044513	12972
ACP6	0.087418	9573	0.666002	10219
ACP7	-	19002	-	19002
ACPP	0.252490	5335	0.481658	10994
ACPT	-	19001	-	19001
ACR	0.000000	16414	0.000000	17208
ACRBP	0.004429	11720	0.251010	11843
ACRC	0.000000	16413	0.000000	17207
ACRV1	0.000000	16412	0.000000	17206
ACSBG1	0.000000	16411	0.000000	17205
ACSBG2	0.000000	16410	0.000000	17204
ACSF2	0.339376	3832	0.977248	8397
ACSF3	0.097310	9310	0.920601	8770
ACSL1	0.051204	10482	1.045007	7924
ACSL3	0.131344	8218	2.004916	1525
ACSL4	0.000001	11814	1.565928	3874
ACSL5	0.592896	1525	1.470805	4614
ACSL6	0.000000	16409	0.000000	17203
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16408	0.000000	17202
ACSM2B	0.000000	16407	0.000000	17201
ACSM3	0.000000	16406	0.000000	17200
ACSM4	-	18999	-	18999
ACSM5	0.000000	16405	0.000000	17199
ACSM6	0.000000	16404	0.000000	17198
ACSS1	0.081112	9744	0.926911	8730
ACSS2	0.555582	1764	1.396001	5214
ACSS3	0.000000	16403	0.418819	11264
ACTA1	0.000000	16402	0.000000	17197
ACTA2	1.186444	249	2.234303	900
ACTB	0.566966	1674	4.227717	3
ACTBL2	0.000000	16401	0.000000	17196
ACTC1	0.000000	16400	0.044513	12971
ACTG1	0.665417	1179	4.144842	5
ACTG2	0.170335	7161	0.899900	8903
ACTL10	0.007699	11661	0.124757	12443
ACTL6A	0.200750	6475	1.716767	2894
ACTL6B	0.000000	16399	0.000000	17195
ACTL7A	0.000000	16398	0.000000	17194
ACTL7B	0.000000	16397	0.000000	17193
ACTL8	0.000000	16396	0.000000	17192
ACTL9	0.000000	16395	0.000000	17191
ACTN1	0.572421	1636	2.685719	273
ACTN2	0.000000	16394	0.000000	17190
ACTN3	0.000000	16393	0.000000	17189
ACTN4	0.545227	1827	2.310472	736
ACTR10	0.199902	6493	1.701197	2971
ACTR1A	0.395328	3130	2.384509	608
ACTR1B	0.336355	3879	1.627170	3459
ACTR2	0.221258	5987	1.933906	1785
ACTR3	0.322051	4109	2.491620	469
ACTR3B	0.000000	16392	0.848386	9223
ACTR3C	0.117764	8754	0.117764	12672
ACTR5	0.040960	10938	0.838227	9292
ACTR6	0.000000	16391	0.992139	8303
ACTR8	0.207137	6327	1.378256	5357
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16390	0.000000	17188
ACTRT3	-	18997	-	18997
ACVR1	0.343334	3777	1.417828	5034
ACVR1B	-0.000499	16468	1.017230	8121
ACVR1C	0.000000	16389	0.000000	17187
ACVR2A	0.195912	6586	0.910386	8835
ACVR2B	-0.046055	16820	0.355236	11438
ACVRL1	1.094557	327	1.479900	4541
ACY1	0.246629	5449	1.366655	5438
ACY3	0.117764	8753	0.117764	12671
ACYP1	0.176541	7028	0.989198	8325
ACYP2	0.138359	8057	0.788180	9590
ADA	0.152019	7585	0.826536	9352
ADAD1	0.000000	16388	0.000000	17186
ADAD2	0.000000	16387	0.000000	17185
ADAL	-0.079933	16950	0.648000	10297
ADAM10	0.468224	2369	1.955314	1703
ADAM11	0.000000	16386	0.000000	17184
ADAM12	0.993030	450	1.271526	6233
ADAM15	0.656376	1210	2.336212	699
ADAM17	0.296132	4497	1.540157	4087
ADAM18	0.000000	16385	0.000000	17183
ADAM19	0.262912	5084	1.259706	6333
ADAM2	0.000000	16384	0.000000	17182
ADAM20	0.000000	16383	0.000000	17181
ADAM21	0.000000	16382	0.000000	17180
ADAM22	0.069686	10057	0.517903	10879
ADAM23	0.413847	2921	0.878032	9029
ADAM28	0.000000	16381	0.044513	12970
ADAM29	0.000000	16380	0.000000	17179
ADAM30	0.000000	16379	0.000000	17178
ADAM32	0.000000	16378	0.000000	17177
ADAM33	0.230090	5779	0.723418	9938
ADAM7	0.000000	16377	0.000000	17176
ADAM8	0.000000	16376	0.117764	12670
ADAM9	0.412097	2939	1.957527	1695
ADAMDEC1	0.000000	16375	0.000000	17175
ADAMTS1	0.000000	16374	1.606825	3596
ADAMTS10	0.013671	11549	0.712189	9985
ADAMTS12	1.285992	199	1.522779	4231
ADAMTS13	0.000000	16373	0.000000	17174
ADAMTS14	0.000000	16372	0.000000	17173
ADAMTS15	0.000000	16371	0.522880	10846
ADAMTS16	0.000000	16370	0.000000	17172
ADAMTS17	0.000000	16369	0.000000	17171
ADAMTS18	2.007417	24	2.007417	1517
ADAMTS19	0.000000	16368	0.000000	17170
ADAMTS2	1.173811	257	1.914229	1875
ADAMTS20	0.000000	16367	0.000000	17169
ADAMTS3	0.005032	11705	0.281815	11707
ADAMTS4	0.401372	3058	1.002778	8221
ADAMTS5	0.097962	9280	0.803957	9491
ADAMTS6	0.484421	2253	0.654520	10279
ADAMTS7	0.754558	900	1.345017	5616
ADAMTS8	0.000000	16366	0.000000	17168
ADAMTS9	0.977669	462	1.430385	4923
ADAMTSL1	1.376979	148	1.873906	2055
ADAMTSL2	0.000000	16365	0.000000	17167
ADAMTSL3	0.087207	9579	0.100343	12712
ADAMTSL4	0.353200	3649	1.233584	6522
ADAMTSL5	0.302658	4387	0.664165	10233
ADAP1	0.068063	10095	0.390159	11367
ADAP2	0.000000	16364	0.000000	17166
ADAR	0.309395	4280	1.562578	3902
ADARB1	0.272477	4911	1.240302	6473
ADARB2	0.100343	9222	0.100343	12711
ADAT1	0.152234	7574	0.983645	8354
ADAT2	0.111984	8888	0.988011	8338
ADAT3	0.606323	1442	2.279718	804
ADCK1	0.209055	6279	0.849174	9210
ADCK2	-0.114698	17039	0.928304	8713
ADCK5	0.000000	16363	0.769939	9668
ADCY1	0.000000	16362	0.033457	13164
ADCY10	0.000000	16361	0.000000	17165
ADCY2	0.000000	16360	0.000000	17164
ADCY3	0.304587	4359	1.413802	5061
ADCY4	0.750058	911	1.152206	7161
ADCY5	0.000000	16359	0.000000	17163
ADCY6	0.067316	10110	0.877735	9030
ADCY7	0.156593	7462	0.722515	9956
ADCY8	0.000000	16358	0.000000	17162
ADCY9	0.298776	4453	0.864708	9120
ADCYAP1	0.000000	16357	0.000000	17161
ADCYAP1R1	0.000000	16356	0.000000	17160
ADD1	0.272879	4904	1.961778	1683
ADD2	0.000000	16355	0.000000	17159
ADD3	0.154332	7523	1.399837	5176
ADGB	0.000000	16354	0.000000	17158
ADGRA1	0.000000	16353	0.000000	17157
ADGRA2	0.606299	1443	1.590925	3697
ADGRA3	0.072191	9996	0.752031	9788
ADGRB1	0.000000	16352	0.000000	17156
ADGRB2	0.117764	8752	0.249844	11870
ADGRB3	0.000000	16351	0.000000	17155
ADGRD1	0.248957	5410	0.742496	9838
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	16350	0.000000	17154
ADGRE2	0.927140	547	1.756458	2672
ADGRE3	0.000000	16349	0.000000	17153
ADGRE5	0.812335	761	1.907905	1907
ADGRF1	0.000000	16348	0.000000	17152
ADGRF2	0.000000	16347	0.000000	17151
ADGRF3	0.076600	9874	0.285651	11700
ADGRF4	0.000000	16346	0.000000	17150
ADGRF5	2.321328	9	2.455360	510
ADGRG1	1.249381	215	2.170629	1037
ADGRG2	0.000000	16345	0.000000	17149
ADGRG3	0.000000	16344	0.000000	17148
ADGRG4	0.000000	16343	0.000000	17147
ADGRG5	0.000000	16342	0.000000	17146
ADGRG6	1.376065	150	2.031979	1426
ADGRG7	0.000000	16341	0.000000	17145
ADGRL1	0.000000	16340	0.074741	12801
ADGRL2	0.443851	2597	0.580734	10564
ADGRL3	0.000000	16339	0.000000	17144
ADGRL4	1.553643	84	2.456181	508
ADGRV1	0.000000	16338	0.000000	17143
ADH1A	0.000000	16337	0.000000	17142
ADH1B	0.194330	6625	0.390360	11364
ADH1C	0.000000	16336	0.000000	17141
ADH4	0.000000	16335	0.000000	17140
ADH5	0.094815	9372	1.677720	3128
ADH6	0.000000	16334	0.000000	17139
ADH7	0.000000	16333	0.000000	17138
ADHFE1	0.000000	16332	0.684296	10124
ADI1	0.400751	3068	2.179311	1020
ADIG	0.000000	16331	0.000000	17137
ADIPOQ	0.000000	16330	0.000000	17136
ADIPOR1	0.251415	5356	1.826522	2290
ADIPOR2	0.086917	9583	1.570932	3841
ADIRF	-0.181296	17136	1.588419	3710
ADK	0.034803	11049	1.419835	5013
ADM	0.855782	660	2.574740	356
ADM2	0.946831	505	1.197979	6783
ADM5	0.185361	6821	0.185361	12081
ADNP	0.198130	6526	1.514735	4285
ADNP2	-0.000061	16458	0.723716	9919
ADO	0.020320	11417	0.881181	9007
ADORA1	0.000000	16329	0.044513	12969
ADORA2A	0.545928	1823	0.765368	9710
ADORA2B	0.390052	3199	0.823892	9374
ADORA3	0.000000	16328	0.000000	17135
ADPGK	0.199971	6492	1.398644	5192
ADPRH	0.294770	4514	0.598811	10485
ADPRHL1	0.202423	6433	0.202423	12006
ADPRHL2	0.062480	10224	1.214214	6672
ADPRM	-0.202897	17156	0.698769	10057
ADRA1A	0.000000	16327	0.000000	17134
ADRA1B	0.527113	1927	0.896704	8925
ADRA1D	0.165335	7280	0.249844	11869
ADRA2A	0.000000	16326	0.000000	17133
ADRA2B	0.000000	16325	0.000000	17132
ADRA2C	0.073196	9974	0.117764	12669
ADRB1	0.394049	3148	0.517985	10877
ADRB2	0.064798	10167	1.037452	7982
ADRB3	0.000000	16324	0.000000	17131
ADRM1	0.380046	3317	2.046844	1380
ADSL	0.176788	7020	1.333346	5725
ADSS	0.735774	952	1.895732	1964
ADSSL1	0.001814	11776	0.270157	11723
ADTRP	0.000000	16323	0.000000	17130
AEBP1	0.270303	4945	2.048562	1375
AEBP2	0.275767	4851	0.975191	8411
AEN	0.604462	1460	1.447994	4781
AES	0.529309	1917	2.318907	729
AFAP1	0.683930	1113	1.832577	2256
AFAP1L1	1.160728	272	1.981164	1619
AFAP1L2	0.218874	6051	0.885020	8989
AFDN	0.330519	3971	1.299074	6021
AFF1	0.600965	1478	1.401232	5165
AFF2	0.000000	16322	0.000000	17129
AFF3	0.048651	10538	0.140517	12400
AFF4	0.487334	2232	1.321354	5830
AFG3L2	0.062695	10217	1.517678	4264
AFM	0.000000	16321	0.000000	17128
AFMID	0.210757	6239	1.662237	3228
AFP	0.000000	16320	0.000000	17127
AFTPH	0.007647	11662	0.529750	10810
AGA	0.073075	9979	0.960015	8505
AGAP1	0.081881	9722	0.654960	10277
AGAP2	0.000000	16319	0.000000	17126
AGAP3	0.138836	8047	1.350138	5577
AGAP4	-	18995	-	18995
AGAP5	-0.026743	16687	0.832489	9315
AGAP6	-	18994	-	18994
AGAP9	-	18993	-	18993
AGBL1	-	18992	-	18992
AGBL2	0.049172	10529	0.403619	11318
AGBL3	0.128963	8278	0.723828	9917
AGBL4	0.000000	16318	0.000000	17125
AGBL5	0.199453	6508	1.216006	6661
AGER	0.000000	16317	0.000000	17124
AGFG1	0.017302	11477	1.704340	2955
AGFG2	0.309028	4288	1.297188	6032
AGGF1	0.106573	9061	1.344720	5621
AGK	-0.082539	16961	0.638658	10322
AGL	0.073984	9959	1.050199	7893
AGMAT	0.352166	3665	0.615283	10443
AGMO	0.964735	475	1.014214	8131
AGO1	0.064006	10188	1.025635	8066
AGO2	0.000063	11811	1.275587	6186
AGO3	0.275089	4868	0.756828	9762
AGO4	0.126840	8344	0.738157	9855
AGPAT1	0.554185	1772	1.894015	1972
AGPAT2	0.383641	3262	1.269562	6254
AGPAT3	0.464731	2396	1.213362	6680
AGPAT4	0.281464	4746	1.179687	6930
AGPAT5	0.739776	942	1.706882	2939
AGPS	0.227066	5840	1.930988	1797
