gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.651859	3670	1.642860	4433
A1CF	0.000000	17202	0.000000	17239
A2M	1.288887	1034	2.214579	1299
A2ML1	2.254669	196	2.254669	1191
A3GALT2	-	19008	-	19008
A4GALT	0.641141	3800	1.305566	7931
A4GNT	0.000000	17201	0.000000	17238
AAAS	0.281167	10223	1.675137	4116
AACS	0.301910	9625	1.265290	8318
AADAC	1.077368	1568	1.077368	10124
AADACL2	1.089552	1526	1.089552	10043
AADACL3	0.000000	17200	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.160300	13334	0.514548	13379
AAED1	0.369624	7806	1.420451	6687
AAGAB	0.163864	13259	1.712566	3808
AAK1	0.288188	10012	0.967080	10972
AAMDC	0.480847	5688	1.664642	4210
AAMP	0.355197	8132	2.030316	1928
AANAT	0.000000	17199	0.000000	17236
AAR2	0.133057	13895	1.168203	9223
AARD	0.071907	15151	0.086360	15467
AARS	0.154911	13517	1.714749	3794
AARS2	0.072258	15148	1.283075	8096
AARSD1	1.500152	709	1.546789	5381
AASDH	0.134560	13871	1.214844	8807
AASDHPPT	0.570556	4481	1.736715	3622
AASS	0.307520	9416	1.369587	7236
AATF	0.152524	13549	1.621384	4625
AATK	0.432969	6500	0.432969	13754
ABAT	0.370638	7767	1.058426	10271
ABCA1	0.366268	7883	1.759668	3458
ABCA10	0.762679	2916	0.762679	12250
ABCA12	1.340444	939	1.340444	7545
ABCA13	0.986324	1860	0.986324	10862
ABCA2	0.436573	6416	0.811575	12009
ABCA3	0.345398	8340	1.073352	10153
ABCA4	0.225309	11752	0.225309	14618
ABCA5	0.587805	4291	1.620240	4639
ABCA6	0.623611	3932	1.082785	10088
ABCA7	0.564288	4539	1.399847	6917
ABCA8	0.794488	2746	1.700704	3898
ABCA9	0.893748	2270	1.195623	9013
ABCB1	0.337834	8503	0.935507	11209
ABCB10	0.227265	11590	1.087426	10060
ABCB11	0.000000	17198	0.000000	17235
ABCB4	0.857045	2436	1.006038	10682
ABCB5	0.086360	15004	0.086360	15466
ABCB6	0.405449	7007	0.741939	12418
ABCB7	0.217430	11998	1.466868	6194
ABCB8	0.241174	11252	1.329194	7683
ABCB9	0.278549	10292	0.741939	12417
ABCC1	0.246957	11101	1.503927	5796
ABCC10	0.409095	6939	0.823474	11897
ABCC11	0.000000	17197	0.000000	17234
ABCC12	0.000000	17196	0.000000	17233
ABCC2	0.086360	15003	0.086360	15465
ABCC3	0.505944	5294	1.318272	7774
ABCC4	0.158821	13354	1.012415	10617
ABCC5	0.243688	11180	1.232488	8622
ABCC6	-	19006	-	19006
ABCC8	0.484300	5632	0.484300	13599
ABCC9	1.095875	1499	1.326131	7725
ABCD1	0.398380	7150	1.351603	7466
ABCD2	0.557949	4628	0.719331	12536
ABCD3	0.232044	11473	1.323871	7729
ABCD4	0.249701	11036	1.302331	7967
ABCE1	0.435949	6425	1.955014	2269
ABCF1	0.210760	12137	1.954484	2270
ABCF2	0.268152	10596	1.695394	3948
ABCF3	0.084531	15015	1.559308	5249
ABCG1	0.271836	10520	1.366423	7258
ABCG2	0.248663	11059	0.363612	14014
ABCG4	0.127105	14272	0.127105	15194
ABCG5	0.000000	17195	0.000000	17232
ABCG8	0.000000	17194	0.000000	17231
ABHD1	0.498336	5395	0.557507	13253
ABHD10	0.186284	12753	1.385070	7092
ABHD11	0.323061	9028	1.280578	8181
ABHD12	0.156250	13495	1.675137	4115
ABHD12B	0.000000	17193	0.000000	17230
ABHD13	0.134154	13881	1.161368	9359
ABHD14A	0.356579	8098	1.412629	6801
ABHD14B	0.316371	9204	2.073828	1744
ABHD15	0.301901	9626	0.642465	12931
ABHD16A	0.225569	11639	1.516271	5674
ABHD16B	-	19005	-	19005
ABHD17A	0.303196	9595	1.089905	10013
ABHD17B	0.316121	9210	1.257918	8379
ABHD17C	0.597795	4186	1.639188	4466
