gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.494773	5827	1.485774	5961
A1CF	0.056905	15498	0.056905	15759
A2M	1.452043	639	2.502345	668
A2ML1	1.475671	605	1.475671	6065
A3GALT2	-	19008	-	19008
A4GALT	0.809429	2666	1.504878	5742
A4GNT	0.000000	17193	0.000000	17239
AAAS	0.591843	4573	1.985813	2141
AACS	0.429316	6916	1.479980	6018
AADAC	0.419425	7149	0.419425	14079
AADACL2	0.029384	15883	0.029384	16004
AADACL3	0.000000	17192	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.314049	9378	0.883661	11652
AAED1	0.244523	11267	1.462879	6167
AAGAB	0.101412	14883	1.650113	4431
AAK1	0.316852	9307	1.212188	8835
AAMDC	0.258742	10864	1.442537	6410
AAMP	0.351681	8575	2.156446	1475
AANAT	0.000000	17191	0.000000	17237
AAR2	0.361808	8361	1.413212	6710
AARD	0.352903	8545	0.367356	14293
AARS	0.408196	7356	2.020273	1997
AARS2	0.305916	9551	1.516733	5628
AARSD1	0.475807	6139	1.610259	4743
AASDH	0.131904	14071	1.212188	8834
AASDHPPT	0.135778	13942	1.530584	5480
AASS	0.311213	9440	1.373280	7155
AATF	0.115923	14615	1.584783	5001
AATK	0.725912	3267	0.725912	12659
ABAT	0.222716	11964	0.694343	12820
ABCA1	0.353935	8515	1.747334	3620
ABCA10	1.145196	1236	1.145196	9461
ABCA12	0.809560	2662	0.809560	12120
ABCA13	2.091913	180	2.091913	1727
ABCA2	0.355920	8478	1.134814	9561
ABCA3	0.271176	10559	0.999131	10779
ABCA4	0.217484	12112	0.217484	14939
ABCA5	0.402931	7470	1.435367	6493
ABCA6	0.821176	2585	1.280351	8104
ABCA7	0.356869	8454	1.192428	9011
ABCA8	1.155640	1199	1.945272	2353
ABCA9	0.961998	1880	1.263873	8275
ABCB1	0.307043	9533	0.904716	11473
ABCB10	0.274653	10464	1.134814	9560
ABCB11	0.029384	15882	0.029384	16003
ABCB4	0.218363	12073	0.367356	14292
ABCB5	0.110590	14744	0.110590	15519
ABCB6	0.573815	4767	0.952507	11135
ABCB7	0.170188	13251	1.419625	6637
ABCB8	0.461026	6362	1.463044	6163
ABCB9	0.368653	8154	0.808166	12126
ABCC1	0.500994	5744	1.757964	3539
ABCC10	0.497186	5790	1.051536	10333
ABCC11	0.000000	17190	0.000000	17236
ABCC12	0.000000	17189	0.000000	17235
ABCC2	0.507856	5656	0.507856	13710
ABCC3	0.707893	3419	1.520221	5594
ABCC4	0.238774	11419	1.028571	10494
ABCC5	0.413977	7239	1.402777	6844
ABCC6	-	19006	-	19006
ABCC8	0.522444	5471	0.522444	13675
ABCC9	1.016366	1652	1.379306	7090
ABCD1	0.235705	11495	1.188928	9036
ABCD2	0.306965	9535	0.468347	13878
ABCD3	0.222182	11980	1.285557	8064
ABCD4	0.277316	10401	1.348110	7429
ABCE1	0.089354	15046	1.608419	4780
ABCF1	0.088206	15063	1.931406	2412
ABCF2	0.413557	7249	1.840799	2951
ABCF3	0.111576	14698	1.586354	4991
ABCG1	0.264324	10727	1.397245	6885
ABCG2	0.367356	8251	0.367356	14291
ABCG4	0.123852	14495	0.123852	15452
ABCG5	0.000000	17188	0.000000	17234
ABCG8	0.000000	17187	0.000000	17233
ABHD1	0.163545	13417	0.222716	14914
ABHD10	0.163718	13399	1.419625	6636
ABHD11	0.671499	3720	1.641460	4494
ABHD12	0.381328	7902	1.900214	2581
ABHD12B	0.562293	4930	0.562293	13513
ABHD13	0.092888	15000	1.120102	9675
ABHD14A	0.229446	11668	1.254548	8407
ABHD14B	0.300876	9776	2.058333	1851
ABHD15	0.473319	6170	0.813883	12098
ABHD16A	0.190310	12746	1.481012	6009
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	10977	1.181983	9104
ABHD17B	0.353469	8531	1.203305	8916
ABHD17C	0.618998	4256	1.660391	4340
ABHD18	0.295014	9915	1.022841	10564
ABHD2	0.690287	3559	2.024445	1984
ABHD3	0.243597	11299	1.193959	9003
ABHD4	0.384878	7845	1.725367	3803
ABHD5	0.211223	12251	1.348110	7428
ABHD6	0.250850	11122	0.736397	12574
ABHD8	0.311736	9426	1.189746	9033
ABI1	0.214213	12183	1.693199	4053
ABI2	0.224423	11784	1.522114	5561
ABI3	0.615097	4291	1.120245	9672
ABI3BP	1.250293	958	2.206853	1305
ABL1	0.491496	5861	1.387498	6980
ABL2	0.292008	9989	0.960074	11056
ABLIM1	0.991205	1762	1.880928	2695
ABLIM2	0.864511	2333	0.883661	11651
ABLIM3	0.764691	2970	1.767013	3472
ABO	1.142966	1247	1.268812	8243
ABR	0.553883	5045	1.560947	5213
ABRA	1.314499	832	1.314499	7777
ABRACL	0.516936	5546	2.013475	2017
ABT1	0.444542	6651	1.641408	4496
ABTB1	0.140320	13868	1.328176	7638
ABTB2	0.455279	6470	1.214345	8799
ACAA1	0.362193	8357	1.798933	3238
ACAA2	0.757336	3020	1.403939	6808
ACACA	0.378721	7956	1.522048	5582
ACACB	1.150142	1222	1.150142	9394
ACAD10	0.262633	10770	1.252211	8419
ACAD11	0.511720	5606	0.823474	12062
ACAD8	0.076581	15246	1.285332	8073
ACAD9	0.156462	13560	1.556600	5237
ACADL	0.515548	5560	0.536558	13582
ACADM	0.227095	11719	1.601191	4851
ACADS	0.350411	8601	1.238046	8589
ACADSB	0.260967	10801	1.270213	8237
ACADVL	0.328347	9071	2.134783	1563
ACAN	2.244762	131	2.295061	1084
ACAP1	0.725487	3274	0.837588	11953
ACAP2	0.267506	10663	1.739889	3672
ACAP3	0.193282	12675	0.885780	11576
ACAT1	0.307776	9518	1.979912	2174
ACAT2	0.665317	3790	2.098467	1697
ACBD3	0.175767	13119	2.029708	1963
ACBD4	0.313634	9388	0.876795	11676
ACBD5	0.170696	13239	0.844477	11921
ACBD6	0.418669	7166	1.426400	6555
ACBD7	0.481184	6010	0.718502	12692
ACCS	0.407321	7365	0.600973	13331
ACCSL	-	19004	-	19004
ACD	0.827108	2539	1.743925	3641
ACE	0.437144	6764	0.883661	11650
ACE2	0.269513	10605	0.269513	14677
ACER1	0.029384	15881	0.029384	16002
ACER2	0.278959	10370	0.595496	13355
ACER3	0.145762	13792	1.264356	8268
ACHE	0.783413	2830	1.175222	9178
ACIN1	0.442375	6679	1.997692	2091
ACKR1	2.070998	185	2.070998	1808
ACKR2	0.905831	2142	0.905831	11458
ACKR3	0.823928	2558	2.168026	1438
ACKR4	0.908624	2124	1.013259	10662
ACLY	0.907986	2130	2.202685	1316
ACMSD	0.056905	15497	0.056905	15758
ACO1	0.247371	11195	1.771312	3443
ACO2	0.222716	11963	1.933639	2403
ACOD1	0.086360	15132	0.086360	15627
ACOT1	0.351968	8570	0.403605	14120
ACOT11	0.577356	4726	0.777427	12351
ACOT12	0.050185	15553	0.050185	15772
ACOT13	0.275429	10446	1.589790	4950
ACOT2	0.334761	8933	1.374050	7121
ACOT4	0.307210	9530	0.446398	13922
ACOT6	-	19003	-	19003
ACOT7	1.390955	727	1.824501	3038
ACOT8	0.367532	8184	1.768301	3461
ACOT9	0.318809	9254	1.867875	2783
ACOX1	0.357011	8451	1.538699	5405
ACOX2	0.423672	7060	0.937531	11217
ACOX3	0.277548	10394	1.255094	8372
ACOXL	0.625154	4194	0.625154	13179
ACP1	0.194195	12657	1.858477	2831
ACP2	0.322011	9189	1.874874	2730
ACP5	1.173649	1141	1.215463	8797
ACP6	0.424568	7044	1.098055	9878
ACP7	-	19002	-	19002
ACPP	0.916029	2082	1.145196	9460
ACPT	-	19001	-	19001
ACR	0.000000	17186	0.000000	17232
ACRBP	0.284771	10226	0.531353	13588
ACRC	0.000000	17185	0.000000	17231
ACRV1	0.000000	17184	0.000000	17230
ACSBG1	0.123852	14494	0.123852	15451
ACSBG2	0.000000	17183	0.000000	17229
ACSF2	0.746797	3118	1.372904	7162
ACSF3	0.290975	10021	1.156068	9326
ACSL1	0.909450	2118	1.655619	4383
ACSL3	0.254543	10990	2.255200	1173
ACSL4	0.387679	7774	1.927165	2440
ACSL5	0.703586	3446	1.581495	5037
ACSL6	0.222716	11962	0.222716	14913
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17182	0.000000	17228
ACSM2B	0.000000	17181	0.000000	17227
ACSM3	0.352425	8562	0.424882	14056
ACSM4	-	18999	-	18999
ACSM5	0.176091	13108	0.176091	15050
ACSM6	0.000000	17180	0.000000	17226
ACSS1	0.479583	6038	1.567379	5177
ACSS2	0.742372	3144	1.582791	5012
ACSS3	0.328497	9068	0.902547	11514
ACTA1	3.396077	14	3.396077	81
ACTA2	1.356534	771	2.730831	399
ACTB	0.744639	3133	4.332664	6
ACTBL2	0.311573	9431	0.311573	14437
ACTC1	2.427751	97	2.535256	626
ACTG1	0.884180	2221	4.363605	5
ACTG2	1.909563	251	2.639128	496
ACTL10	0.238561	11426	0.256635	14688
ACTL6A	0.233341	11563	1.745031	3629
ACTL6B	0.029384	15880	0.029384	16001
ACTL7A	0.000000	17179	0.000000	17225
ACTL7B	0.000000	17178	0.000000	17224
ACTL8	0.089488	15041	0.089488	15580
ACTL9	0.000000	17177	0.000000	17223
ACTN1	0.647476	3947	2.746809	388
ACTN2	2.168614	152	2.398218	841
ACTN3	1.451479	643	1.451479	6310
ACTN4	0.633440	4107	2.335186	992
ACTR10	0.257058	10911	1.958181	2284
ACTR1A	0.395485	7620	2.424916	791
ACTR1B	0.175255	13133	1.466070	6137
ACTR2	0.127934	14131	1.768934	3455
ACTR3	0.152651	13653	2.322219	1018
ACTR3B	0.227490	11704	1.155640	9359
ACTR3C	0.341154	8784	0.687529	12857
ACTR5	0.109248	14797	0.906515	11456
ACTR6	0.100319	14894	1.147676	9407
ACTR8	0.273271	10498	1.254548	8406
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17176	0.000000	17222
ACTRT3	-	18997	-	18997
ACVR1	0.308198	9502	1.300161	7934
ACVR1B	0.310446	9457	1.328176	7637
ACVR1C	0.200050	12499	0.235528	14762
ACVR2A	0.452790	6506	1.203305	8915
ACVR2B	0.162190	13457	0.563481	13500
ACVRL1	0.579421	4703	0.945469	11179
ACY1	0.855726	2373	1.718773	3857
ACY3	0.346353	8703	0.346353	14353
ACYP1	0.123852	14493	1.090963	9929
ACYP2	0.231617	11615	1.155640	9358
ADA	0.523478	5429	1.197994	8943
ADAD1	0.000000	17175	0.000000	17221
ADAD2	0.099329	14917	0.099329	15566
ADAL	0.051664	15531	0.779596	12296
ADAM10	0.123852	14492	1.483016	5981
ADAM11	0.287432	10131	0.287432	14603
ADAM12	0.624306	4199	0.883661	11649
ADAM15	0.865729	2321	2.545566	606
ADAM17	0.410881	7311	1.385428	7021
ADAM18	0.000000	17174	0.000000	17220
ADAM19	0.142790	13837	1.068780	10143
ADAM2	0.000000	17173	0.000000	17219
ADAM20	0.000000	17172	0.000000	17218
ADAM21	0.000000	17171	0.000000	17217
ADAM22	0.521198	5488	0.969416	11024
ADAM23	0.564936	4865	1.047862	10350
ADAM28	1.301713	855	1.526727	5510
