gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.159025	12740	1.109241	9272
A1CF	0.336460	10485	0.336460	14603
A2M	0.887266	1968	1.937568	1900
A2ML1	0.535294	5956	0.535294	13317
A3GALT2	-	19008	-	19008
A4GALT	0.573129	5048	1.268578	7668
A4GNT	0.000000	16627	0.000000	17239
AAAS	0.927345	1720	1.530584	4917
AACS	0.527142	6070	1.118595	9134
AADAC	0.000000	16626	0.000000	17238
AADACL2	0.000000	16625	0.000000	17237
AADACL3	0.000000	16624	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.322682	10699	0.783904	11717
AAED1	0.228544	12019	1.320977	7020
AAGAB	-0.111903	16995	1.436799	5973
AAK1	0.553525	5285	1.448861	5713
AAMDC	0.360397	9780	1.544192	4702
AAMP	0.376477	9517	2.181243	997
AANAT	0.755112	2916	0.755112	12107
AAR2	0.362867	9732	0.880242	11412
AARD	0.000000	16623	0.000000	17235
AARS	0.194944	12372	1.637089	3914
AARS2	0.259593	11628	1.470410	5598
AARSD1	1.263419	760	1.512684	5117
AASDH	0.505150	6975	1.151370	8882
AASDHPPT	0.153088	12782	1.669689	3675
AASS	1.079106	1165	1.839164	2446
AATF	0.052147	13531	1.521007	5016
AATK	1.446848	513	1.446848	5766
ABAT	0.396231	9208	1.016197	10107
ABCA1	0.596006	4745	1.989405	1662
ABCA10	1.557748	401	1.557748	4677
ABCA12	0.000000	16622	0.000000	17234
ABCA13	1.630530	337	1.630530	3999
ABCA2	0.759679	2866	1.498311	5273
ABCA3	0.576952	5003	1.151370	8881
ABCA4	0.000000	16621	0.000000	17233
ABCA5	0.847765	2214	1.838660	2469
ABCA6	1.626259	342	2.085433	1281
ABCA7	0.315811	10816	1.151370	8880
ABCA8	1.366122	615	2.306918	696
ABCA9	1.657214	323	1.959089	1782
ABCB1	1.061006	1237	1.658679	3693
ABCB10	-0.067074	16891	0.731589	12391
ABCB11	0.000000	16620	0.000000	17232
ABCB4	1.299868	713	1.448861	5712
ABCB5	0.000000	16619	0.000000	17231
ABCB6	0.425627	8659	0.783904	11716
ABCB7	0.505150	6974	1.692847	3477
ABCB8	-0.063073	16880	0.918030	10875
ABCB9	0.411728	8913	0.783904	11715
ABCC1	0.701072	3516	1.512684	5116
ABCC10	0.354990	9865	0.990339	10369
ABCC11	0.000000	16618	0.000000	17230
ABCC12	0.000000	16617	0.000000	17229
ABCC2	0.000000	16616	0.000000	17228
ABCC3	0.000000	16615	0.731589	12390
ABCC4	0.440207	8128	0.880242	11411
ABCC5	0.618762	4506	1.607562	4208
ABCC6	-	19006	-	19006
ABCC8	1.078457	1191	1.078457	9571
ABCC9	1.483277	472	1.637089	3913
ABCD1	0.439825	8135	1.393048	6392
ABCD2	0.767898	2799	0.918030	10874
ABCD3	0.711746	3393	1.293141	7451
ABCD4	0.320719	10733	1.317227	7165
ABCE1	-0.174476	17095	1.344589	6848
ABCF1	0.710654	3404	2.560588	327
ABCF2	0.115459	13110	1.542701	4830
ABCF3	0.151255	12806	1.626032	4062
ABCG1	0.394093	9246	1.268578	7667
ABCG2	0.765293	2826	0.880242	11410
ABCG4	0.489505	7230	0.505150	13972
ABCG5	0.000000	16614	0.000000	17227
ABCG8	0.000000	16613	0.000000	17226
ABHD1	0.858859	2149	0.918030	10873
ABHD10	0.454494	7889	1.714581	3293
ABHD11	0.268513	11493	0.918030	10872
ABHD12	0.535294	5955	1.521007	5015
ABHD12B	0.505150	6973	0.505150	13971
ABHD13	0.627602	4405	1.669782	3663
ABHD14A	0.368406	9638	1.118595	9133
ABHD14B	-0.174032	17094	1.583426	4392
ABHD15	0.391025	9292	0.731589	12389
ABHD16A	0.068184	13442	1.358886	6800
ABHD16B	-	19005	-	19005
ABHD17A	0.395633	9216	0.990339	10368
ABHD17B	0.344799	10032	1.016197	10106
ABHD17C	0.387134	9350	0.905256	10985
ABHD18	1.142902	1030	1.448861	5711
ABHD2	0.767898	2798	1.795672	2724
ABHD3	0.168233	12649	1.118595	9132
ABHD4	-0.050982	16842	0.783904	11714
ABHD5	0.347313	9980	1.544192	4701
ABHD6	0.429752	8583	1.048053	9824
ABHD8	0.236089	11915	0.976350	10529
ABI1	0.429693	8585	1.711723	3334
ABI2	0.338341	10114	1.669782	3662
ABI3	0.587623	4863	0.905256	10984
ABI3BP	0.896956	1913	1.853516	2374
ABL1	0.433713	8242	1.293141	7450
ABL2	0.336460	10484	0.990339	10367
ABLIM1	1.484256	470	2.052925	1394
ABLIM2	1.214049	855	1.393048	6391
ABLIM3	1.102087	1121	1.810636	2644
ABO	1.151370	1011	1.151370	8879
ABR	0.721164	3304	1.360783	6704
ABRA	2.492830	62	2.492830	397
ABRACL	0.069082	13435	1.178113	8562
ABT1	0.277350	11390	1.474216	5485
ABTB1	0.567333	5109	1.755189	2986
ABTB2	0.402042	9097	1.162863	8679
ACAA1	0.280612	11341	1.474216	5484
ACAA2	0.615183	4543	1.735679	3137
ACACA	0.401045	9115	1.317227	7164
ACACB	1.583426	380	1.839164	2445
ACAD10	0.265453	11545	1.255031	7801
ACAD11	0.686310	3656	1.178113	8561
ACAD8	0.628647	4391	1.837399	2501
ACAD9	0.415307	8846	1.815445	2613
ACADL	1.247567	797	1.268578	7666
ACADM	1.105940	1108	2.480036	418
ACADS	1.034260	1318	1.921894	1997
ACADSB	1.308191	706	2.317436	680
ACADVL	0.944103	1659	2.660277	240
ACAN	0.505150	6972	0.505150	13970
ACAP1	0.805929	2468	0.918030	10871
ACAP2	0.637680	4287	1.949878	1830
ACAP3	0.481099	7374	1.048053	9823
ACAT1	0.688437	3637	2.360196	608
ACAT2	0.592837	4791	1.178113	8560
ACBD3	0.071732	13416	1.925673	1961
ACBD4	0.650680	4093	1.118595	9131
ACBD5	0.512131	6374	1.062958	9674
ACBD6	0.329903	10585	1.360783	6703
ACBD7	-0.237318	17155	0.000000	17225
ACCS	0.869306	2097	1.078457	9570
ACCSL	-	19004	-	19004
ACD	0.269504	11483	0.918030	10870
ACE	0.846624	2223	1.293141	7449
ACE2	1.214049	854	1.214049	8163
ACER1	0.000000	16612	0.000000	17224
ACER2	1.044245	1292	1.360783	6702
ACER3	0.411990	8906	1.530584	4916
ACHE	1.423636	546	1.815445	2612
ACIN1	0.604450	4662	2.448026	449
ACKR1	1.764027	256	1.764027	2937
ACKR2	0.535247	5958	0.767898	11970
ACKR3	0.981706	1510	2.325803	663
ACKR4	0.000000	16611	0.000000	17223
ACLY	0.078726	13370	1.421768	6082
ACMSD	0.000000	16610	0.000000	17222
ACO1	0.171102	12612	1.695044	3425
ACO2	0.696985	3544	2.458381	436
ACOD1	1.739968	271	1.739968	3104
ACOT1	0.336460	10483	0.336460	14602
ACOT11	1.481377	474	1.572407	4527
ACOT12	0.000000	16609	0.000000	17221
ACOT13	0.443704	8057	1.619719	4121
ACOT2	0.439710	8137	1.478999	5413
ACOT4	-0.139188	17046	0.000000	17220
ACOT6	-	19003	-	19003
ACOT7	0.438576	8162	0.990339	10366
ACOT8	0.048091	13554	1.448861	5710
ACOT9	0.086619	13329	1.635685	3935
ACOX1	0.408879	8964	1.626032	4061
ACOX2	0.546485	5370	0.976350	10528
ACOX3	0.349198	9951	1.192289	8486
ACOXL	0.000000	16608	0.000000	17219
ACP1	0.300752	11055	1.652246	3801
ACP2	0.479796	7409	2.032659	1462
ACP5	0.767898	2797	0.918030	10869
ACP6	0.259535	11629	0.836324	11533
ACP7	-	19002	-	19002
ACPP	0.767898	2796	0.767898	11969
ACPT	-	19001	-	19001
ACR	0.000000	16607	0.000000	17218
ACRBP	0.535294	5954	0.655138	12585
ACRC	0.000000	16606	0.000000	17217
ACRV1	0.000000	16605	0.000000	17216
ACSBG1	0.755112	2915	0.755112	12106
ACSBG2	0.000000	16604	0.000000	17215
ACSF2	0.627715	4404	1.293141	7448
ACSF3	0.388729	9330	1.253822	7895
ACSL1	0.918030	1797	1.695044	3424
ACSL3	0.514438	6338	2.301160	708
ACSL4	0.257156	11655	1.823083	2584
ACSL5	0.767898	2795	1.428135	6019
ACSL6	0.429752	8582	0.429752	14259
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16603	0.000000	17214
ACSM2B	0.000000	16602	0.000000	17213
ACSM3	0.505150	6971	0.505150	13969
ACSM4	-	18999	-	18999
ACSM5	0.505150	6970	0.505150	13968
ACSM6	0.000000	16601	0.000000	17212
ACSS1	1.027881	1359	2.115677	1181
ACSS2	0.703525	3478	1.543944	4779
ACSS3	0.695229	3562	1.269279	7513
ACTA1	4.048913	4	4.048913	7
ACTA2	0.615019	4545	1.989316	1681
ACTB	0.425969	8650	3.133651	61
ACTBL2	0.000000	16600	0.000000	17211
ACTC1	2.941084	32	3.048589	81
ACTG1	0.669998	3832	3.009693	86
ACTG2	0.336460	10482	1.062958	9673
ACTL10	0.000000	16599	0.000000	17210
ACTL6A	0.222499	12091	1.685204	3523
ACTL6B	0.000000	16598	0.000000	17209
ACTL7A	0.000000	16597	0.000000	17208
ACTL7B	0.000000	16596	0.000000	17207
ACTL8	0.525045	6193	0.525045	13512
ACTL9	0.000000	16595	0.000000	17206
ACTN1	0.181297	12497	1.999087	1617
ACTN2	3.304299	16	3.533903	20
ACTN3	1.563244	398	1.563244	4578
ACTN4	-0.080041	16931	1.685204	3522
ACTR10	0.412017	8904	2.113141	1183
ACTR1A	-0.107210	16985	1.921894	1996
ACTR1B	0.019241	13703	1.310056	7293
ACTR2	0.526398	6082	1.583426	4391
ACTR3	0.399485	9151	2.046300	1406
ACTR3B	0.358256	9820	1.241048	7960
ACTR3C	0.535294	5953	0.535294	13316
ACTR5	0.039057	13595	0.836324	11532
ACTR6	0.000000	16594	0.990339	10365
ACTR8	0.630446	4368	1.650308	3844
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16593	0.000000	17205
ACTRT3	-	18997	-	18997
ACVR1	0.309018	10923	1.317227	7163
ACVR1B	0.160384	12724	1.178113	8559
ACVR1C	0.336460	10481	0.336460	14601
ACVR2A	0.505150	6969	0.990339	10364
ACVR2B	0.469773	7600	0.755112	12105
ACVRL1	1.082814	1157	1.448861	5709
ACY1	0.469141	7618	1.600319	4295
ACY3	0.000000	16592	0.000000	17204
ACYP1	0.921271	1744	1.255031	7800
ACYP2	0.912947	1818	1.958181	1800
ADA	0.684370	3666	1.358886	6799
ADAD1	0.000000	16591	0.000000	17203
ADAD2	0.000000	16590	0.000000	17202
ADAL	0.527098	6072	1.255031	7799
ADAM10	0.505150	6968	1.600319	4294
ADAM11	0.000000	16589	0.000000	17201
ADAM12	0.245794	11788	0.505150	13967
ADAM15	0.309569	10913	1.989405	1661
ADAM17	0.433860	8241	1.320977	7019
ADAM18	0.000000	16588	0.000000	17200
ADAM19	0.552847	5291	1.563244	4577
ADAM2	0.000000	16587	0.000000	17199
ADAM20	0.000000	16586	0.000000	17198
ADAM21	0.000000	16585	0.000000	17197
ADAM22	0.821062	2397	1.269279	7512
ADAM23	0.502788	7015	0.836324	11531
ADAM28	0.989035	1492	1.214049	8162
ADAM29	0.000000	16584	0.000000	17196
ADAM30	0.505150	6967	0.505150	13966
ADAM32	0.000000	16583	0.000000	17195
ADAM33	1.065261	1222	1.558589	4600
ADAM7	0.000000	16582	0.000000	17194
ADAM8	0.855807	2166	1.029789	9994
ADAM9	0.382215	9424	1.626032	4060
ADAMDEC1	0.535294	5952	0.535294	13315
ADAMTS1	0.521032	6236	2.325803	662
ADAMTS10	0.364440	9708	1.062958	9672
ADAMTS12	0.418351	8787	0.655138	12584
ADAMTS13	0.000000	16581	0.000000	17193
ADAMTS14	0.463757	7726	0.505150	13965
ADAMTS15	0.626890	4414	1.151370	8878
ADAMTS16	0.336460	10480	0.336460	14600
ADAMTS17	0.621833	4471	0.731589	12388
ADAMTS18	0.000000	16580	0.000000	17192
ADAMTS19	0.429752	8581	0.429752	14258
ADAMTS2	0.043485	13576	0.783904	11713
ADAMTS20	0.000000	16579	0.000000	17191
ADAMTS3	0.228367	12023	0.505150	13964
ADAMTS4	1.728886	281	2.330292	656
ADAMTS5	0.781406	2631	1.501470	5210
ADAMTS6	0.292583	11181	0.535294	13314
ADAMTS7	0.000000	16578	0.535294	13313
ADAMTS8	0.000000	16577	0.000000	17190
ADAMTS9	1.648102	329	2.100818	1240
ADAMTSL1	0.636914	4299	1.062958	9671
ADAMTSL2	1.357329	636	1.393048	6390
ADAMTSL3	1.675241	310	1.714581	3292
ADAMTSL4	1.015480	1390	1.895864	2132
ADAMTSL5	0.701450	3509	1.062958	9670
ADAP1	0.535294	5951	1.048053	9822
ADAP2	0.746374	2976	0.990339	10363
ADAR	0.389811	9311	1.815445	2611
ADARB1	0.533645	5987	1.501470	5209
ADARB2	0.731589	3223	0.731589	12387
ADAT1	0.353044	9894	0.880242	11409
ADAT2	0.484756	7319	1.360783	6701
ADAT3	0.535294	5950	1.269279	7511
ADCK1	0.543691	5402	0.918030	10868
ADCK2	0.061826	13472	1.104828	9343
ADCK5	0.251127	11715	1.048053	9821
ADCY1	0.703460	3479	0.783904	11712
ADCY10	0.000000	16576	0.000000	17189
ADCY2	1.674136	312	1.728516	3222
ADCY3	0.701421	3510	1.810636	2643
ADCY4	1.309575	701	1.711723	3333
ADCY5	0.535294	5949	0.535294	13312
ADCY6	0.638442	4277	1.448861	5708
ADCY7	0.583103	4920	1.016197	10105
ADCY8	0.429752	8580	0.429752	14257
ADCY9	0.342389	10065	0.535294	13311
ADCYAP1	0.731589	3222	0.731589	12386
ADCYAP1R1	0.905256	1871	0.905256	10983
ADD1	1.088182	1151	1.837399	2500
ADD2	0.525810	6088	0.731589	12385
ADD3	1.007816	1412	1.959089	1781
ADGB	0.505150	6966	0.505150	13963
ADGRA1	0.535294	5948	0.535294	13310
ADGRA2	0.700578	3520	1.685204	3521
ADGRA3	0.296288	11127	1.078457	9569
ADGRB1	0.505150	6965	0.505150	13962
ADGRB2	0.441663	8090	0.964260	10636
ADGRB3	1.432051	534	1.673021	3632
ADGRD1	1.748057	266	2.241596	837
ADGRD2	-	18996	-	18996
ADGRE1	0.918030	1796	0.918030	10867
ADGRE2	0.529568	6038	1.358886	6798
ADGRE3	0.429752	8579	0.429752	14256
ADGRE5	0.896099	1916	1.991669	1653
ADGRF1	0.000000	16575	0.000000	17188
ADGRF2	1.029789	1353	1.029789	9993
ADGRF3	0.433414	8244	0.642465	12765
ADGRF4	0.336460	10479	0.336460	14599
ADGRF5	1.630989	335	1.690993	3492
ADGRG1	0.833871	2323	1.446848	5765
ADGRG2	0.731589	3221	0.731589	12384
ADGRG3	0.918030	1795	0.918030	10866
ADGRG4	0.000000	16574	0.000000	17187
ADGRG5	0.429752	8578	0.429752	14255
ADGRG6	0.558135	5229	1.214049	8161
ADGRG7	0.000000	16573	0.000000	17186
ADGRL1	0.000000	16572	0.000000	17185
ADGRL2	0.518256	6281	0.655138	12583
ADGRL3	0.826808	2365	0.880242	11408
ADGRL4	0.827355	2360	1.729893	3192
ADGRV1	0.505150	6964	0.505150	13961
ADH1A	0.000000	16571	0.000000	17184
ADH1B	2.728655	44	2.975413	94
ADH1C	0.976350	1544	0.976350	10527
ADH4	0.731589	3220	0.731589	12383
ADH5	-0.154770	17068	1.428135	6018
ADH6	0.000000	16570	0.000000	17183
ADH7	0.000000	16569	0.000000	17182
ADHFE1	0.907977	1846	1.650308	3843
ADI1	0.377306	9499	1.980821	1709
ADIG	0.000000	16568	0.000000	17181
ADIPOQ	0.535294	5947	0.535294	13309
ADIPOR1	0.523923	6209	1.673021	3631
ADIPOR2	0.705391	3458	2.189406	980
ADIRF	1.096348	1137	2.866063	136
ADK	0.633974	4325	1.478999	5412
ADM	0.505150	6963	1.747256	3069
ADM2	-0.033440	16768	0.000000	17180
ADM5	0.731589	3219	0.731589	12382
ADNP	0.326239	10633	1.715836	3265
ADNP2	0.366810	9666	0.880242	11407
ADO	0.799688	2500	1.393048	6389
ADORA1	0.322303	10707	0.525045	13511
ADORA2A	0.535294	5946	0.655138	12582
ADORA2B	0.266858	11524	0.767898	11968
ADORA3	0.336460	10478	0.336460	14598
ADPGK	-0.067357	16893	1.178113	8558
ADPRH	0.672309	3805	0.976350	10526
ADPRHL1	1.790215	239	1.790215	2780
ADPRHL2	0.103297	13210	1.255031	7798
ADPRM	0.415562	8842	1.317227	7162
ADRA1A	0.000000	16567	0.000000	17179
ADRA1B	0.385522	9373	0.755112	12104
ADRA1D	0.000000	16566	0.000000	17178
ADRA2A	0.459540	7793	0.918030	10865
ADRA2B	0.783904	2606	0.783904	11711
ADRA2C	0.460582	7776	0.505150	13960
ADRB1	0.880242	2056	0.890980	11140
ADRB2	0.170361	12619	1.143015	8962
ADRB3	0.000000	16565	0.000000	17177
ADRM1	0.351873	9908	1.626032	4059
ADSL	0.012611	13738	1.162863	8678
ADSS	0.000000	16564	1.400538	6328
ADSSL1	2.011211	160	2.279553	756
