gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	1018	1.851746	2765
A1CF	0.000000	17166	0.000000	17239
A2M	1.596265	272	2.579521	542
A2ML1	0.146128	13620	0.146128	14932
A3GALT2	-	19008	-	19008
A4GALT	0.641141	3270	1.305566	7422
A4GNT	0.000000	17165	0.000000	17238
AAAS	0.403102	6792	1.797072	3107
AACS	0.301910	9284	1.348252	7040
AADAC	0.741939	2455	0.741939	11847
AADACL2	0.000000	17164	0.000000	17237
AADACL3	0.000000	17163	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.235208	11174	0.804821	11476
AAED1	0.369624	7556	1.475526	5774
AAGAB	0.163864	12939	1.712566	3714
AAK1	0.461072	5617	1.356408	6938
AAMDC	0.480847	5291	1.664642	4087
AAMP	0.324415	8743	2.030316	1878
AANAT	0.000000	17162	0.000000	17235
AAR2	0.367915	7604	1.328000	7209
AARD	0.189667	12434	0.204120	14514
AARS	0.154911	13125	1.714749	3697
AARS2	0.091944	14464	1.302761	7455
AARSD1	0.448101	5834	1.577450	4839
AASDH	0.027595	15618	0.932981	10633
AASDHPPT	0.570556	3959	1.736715	3521
AASS	0.389719	7055	1.451786	5983
AATF	0.092841	14454	1.561701	4986
AATK	0.624772	3405	0.642465	12422
ABAT	0.092431	14460	0.818226	11397
ABCA1	0.540045	4335	1.933444	2329
ABCA10	0.790988	2158	0.790988	11551
ABCA12	0.045323	15470	0.045323	15689
ABCA13	1.460748	406	1.460748	5916
ABCA2	0.465135	5548	1.244030	8021
ABCA3	0.864557	1794	1.592511	4704
ABCA4	0.532338	4442	0.532338	12835
ABCA5	0.346144	8016	1.378580	6723
ABCA6	0.572638	3932	1.031812	9917
ABCA7	0.234848	11184	1.070407	9594
ABCA8	0.670396	2996	1.611192	4552
ABCA9	0.893748	1658	1.195623	8489
ABCB1	0.233557	11219	0.831230	11273
ABCB10	0.390227	7044	1.119126	9166
ABCB11	0.079181	15021	0.079181	15495
ABCB4	0.612935	3530	0.761928	11696
ABCB5	0.079181	15020	0.079181	15494
ABCB6	0.412317	6589	0.741939	11846
ABCB7	0.052787	15369	1.228913	8159
ABCB8	0.295504	9537	1.450963	5987
ABCB9	0.429417	6214	0.892807	10850
ABCC1	0.397392	6881	1.654362	4147
ABCC10	0.409095	6662	0.879669	10997
ABCC11	0.000000	17161	0.000000	17234
ABCC12	0.000000	17160	0.000000	17233
ABCC2	0.060287	15305	0.060287	15609
ABCC3	0.504271	4885	1.316599	7335
ABCC4	0.273528	10082	1.164559	8732
ABCC5	0.179992	12615	1.168792	8715
ABCC6	-	19006	-	19006
ABCC8	0.204120	12103	0.204120	14513
ABCC9	0.811702	2056	1.174641	8669
ABCD1	0.562447	4043	1.515671	5408
ABCD2	0.181040	12600	0.342423	13796
ABCD3	0.159231	13028	1.323871	7252
ABCD4	0.411419	6606	1.277151	7713
ABCE1	0.435949	6101	1.955014	2227
ABCF1	0.149686	13239	1.911525	2429
ABCF2	0.479526	5300	1.897675	2510
ABCF3	0.158122	13050	1.632899	4353
ABCG1	0.298370	9466	1.431291	6183
ABCG2	0.302252	9272	0.417201	13357
ABCG4	0.141332	13699	0.156977	14586
ABCG5	0.057612	15322	0.057612	15615
ABCG8	0.000000	17159	0.000000	17232
ABHD1	0.196101	12283	0.255273	14228
ABHD10	0.201746	12158	1.244030	8020
ABHD11	0.310618	9087	1.280578	7673
ABHD12	0.179582	12623	1.698469	3818
ABHD12B	0.146128	13619	0.146128	14931
ABHD13	0.063671	15255	1.105851	9306
ABHD14A	0.356579	7803	1.412629	6427
ABHD14B	0.316371	8939	2.073828	1718
ABHD15	0.356666	7802	0.697229	12105
ABHD16A	0.143226	13670	1.433928	6159
ABHD16B	-	19005	-	19005
ABHD17A	0.311545	9054	1.238145	8071
ABHD17B	0.152873	13167	1.138303	9021
ABHD17C	0.441195	6017	1.482588	5715
ABHD18	0.260400	10417	1.112270	9270
ABHD2	0.532265	4444	2.114311	1584
ABHD3	0.273393	10086	1.223755	8237
ABHD4	0.291441	9651	1.614224	4521
ABHD5	0.178504	12646	1.312114	7365
ABHD6	0.257977	10486	0.949878	10516
