gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.193284	10441	1.051107	9421
A1CF	0.000000	17110	0.000000	17239
A2M	1.034993	1001	2.058881	1424
A2ML1	0.079181	14209	0.079181	15131
A3GALT2	-	19008	-	19008
A4GALT	0.519982	3595	1.184407	8249
A4GNT	0.000000	17109	0.000000	17238
AAAS	0.370323	5752	1.764293	2884
AACS	0.303873	7112	1.354537	6573
AADAC	0.146128	12027	0.146128	14467
AADACL2	0.000000	17108	0.000000	17237
AADACL3	0.000000	17107	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.205639	9900	0.577565	12330
AAED1	0.064099	14423	1.217484	7944
AAGAB	0.205522	9901	1.754223	2958
AAK1	0.401248	5171	1.123198	8854
AAMDC	0.419576	4836	1.603371	4170
AAMP	0.276625	7854	1.829071	2472
AANAT	0.000000	17106	0.000000	17235
AAR2	0.246978	8766	1.147173	8596
AARD	0.189667	10563	0.204120	14101
AARS	0.045873	14692	1.657950	3677
AARS2	0.155862	11494	1.366679	6459
AARSD1	0.104790	13150	1.516884	4973
AASDH	0.028452	14938	1.104030	8986
AASDHPPT	0.228619	9248	1.742424	3029
AASS	0.334983	6479	1.397050	6145
AATF	0.138058	12232	1.606919	4142
AATK	0.558709	3252	0.558709	12445
ABAT	0.295878	7376	0.966142	10073
ABCA1	0.260584	8279	1.653984	3719
ABCA10	0.794488	1825	0.794488	11224
ABCA12	0.012475	15174	0.012475	15411
ABCA13	0.000000	17105	0.000000	17234
ABCA2	0.240638	8920	1.019532	9650
ABCA3	0.869919	1503	1.597873	4226
ABCA4	0.204085	10111	0.204085	14102
ABCA5	0.185048	10696	1.217484	7943
ABCA6	0.548558	3329	1.007732	9724
ABCA7	0.591927	2963	1.427486	5850
ABCA8	0.588249	2989	1.529045	4856
ABCA9	0.899249	1402	1.201124	8088
ABCB1	0.525525	3540	1.123198	8853
ABCB10	0.289332	7563	1.149493	8556
ABCB11	0.079181	14208	0.079181	15130
ABCB4	0.734101	2091	0.883093	10665
ABCB5	0.079181	14207	0.079181	15129
ABCB6	0.094453	13371	0.450472	12847
ABCB7	0.181283	10801	1.430720	5817
ABCB8	0.134043	12380	1.225907	7865
ABCB9	0.330134	6580	0.799187	11168
ABCC1	0.299419	7299	1.556389	4599
ABCC10	0.188373	10593	0.855916	10830
ABCC11	0.000000	17104	0.000000	17233
ABCC12	0.000000	17103	0.000000	17232
ABCC2	0.039068	14784	0.039068	15217
ABCC3	0.254743	8558	1.067071	9303
ABCC4	0.355300	6025	1.246331	7641
ABCC5	0.239765	8941	1.051538	9416
ABCC6	-	19006	-	19006
ABCC8	0.079181	14206	0.079181	15128
ABCC9	0.809955	1743	1.172895	8340
ABCD1	0.379926	5589	1.333150	6768
ABCD2	0.882373	1455	1.043755	9485
ABCD3	0.114788	12898	1.236275	7754
ABCD4	0.256288	8508	1.352954	6606
ABCE1	0.293643	7440	1.812707	2574
ABCF1	0.093022	13400	1.942956	1901
ABCF2	0.435687	4603	1.862929	2285
ABCF3	0.029659	14866	1.504437	5110
ABCG1	0.423623	4777	1.556544	4597
ABCG2	0.292249	7472	0.407198	13100
ABCG4	0.134374	12372	0.134374	14504
ABCG5	0.000000	17102	0.000000	17231
ABCG8	0.000000	17101	0.000000	17230
ABHD1	0.389535	5364	0.448706	12958
ABHD10	0.143120	12098	1.413797	5970
ABHD11	0.155410	11507	1.125371	8809
ABHD12	0.079181	14205	1.431633	5798
ABHD12B	0.000000	17100	0.000000	17229
ABHD13	0.093906	13380	1.136086	8723
ABHD14A	0.228246	9262	1.232996	7805
ABHD14B	0.239142	8961	1.996599	1656
