gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.165459	9369	0.947924	9521
A1CF	0.000000	16513	0.000000	17239
A2M	1.288887	695	2.214579	821
A2ML1	2.180871	197	2.180871	894
A3GALT2	-	19008	-	19008
A4GALT	0.455820	3584	1.120245	7913
A4GNT	0.000000	16512	0.000000	17238
AAAS	0.226478	7488	1.620448	3241
AACS	0.278266	6276	1.265290	6445
AADAC	1.077368	989	1.077368	8337
AADACL2	1.089552	962	1.089552	8230
AADACL3	0.000000	16511	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.012697	13980	0.484300	12742
AAED1	0.202096	8378	1.420451	4876
AAGAB	-0.005130	16567	1.543571	3809
AAK1	0.174581	9157	0.967080	9342
AAMDC	0.235470	7278	1.391112	5161
AAMP	0.355197	4862	1.905256	1677
AANAT	0.000000	16510	0.000000	17236
AAR2	0.133057	10494	1.041787	8652
AARD	0.071907	12942	0.086360	15215
AARS	-0.138471	17146	1.397245	5096
AARS2	0.038870	13564	1.249687	6569
AARSD1	1.500152	510	1.546789	3790
AASDH	0.134560	10452	1.214844	6949
AASDHPPT	0.169767	9279	1.686368	2786
AASS	0.307520	5650	1.369587	5379
AATF	0.001256	14128	1.470116	4419
AATK	0.432969	3847	0.432969	13027
ABAT	0.225309	7710	0.778874	10890
ABCA1	0.106096	11643	1.205746	7018
ABCA10	0.762679	1777	0.762679	11044
ABCA12	1.340444	649	1.340444	5670
ABCA13	0.607455	2457	0.607455	12100
ABCA2	0.323780	5300	0.811575	10630
ABCA3	0.241984	7137	0.947924	9520
ABCA4	0.225309	7709	0.225309	14054
ABCA5	0.587805	2565	1.620240	3249
ABCA6	0.623611	2351	1.082785	8276
ABCA7	0.143255	10199	0.889302	10044
ABCA8	0.794488	1667	1.700704	2712
ABCA9	0.818370	1604	1.120245	7912
ABCB1	0.337834	5089	0.935507	9635
ABCB10	0.191763	8688	1.051924	8585
ABCB11	0.000000	16509	0.000000	17235
ABCB4	0.857045	1486	1.006038	9017
ABCB5	0.086360	12632	0.086360	15214
ABCB6	0.277494	6300	0.708421	11423
ABCB7	0.217430	8011	1.466868	4463
ABCB8	0.064681	13082	1.105851	8043
ABCB9	0.147270	10090	0.610660	12032
ABCC1	0.206774	8267	1.463744	4483
ABCC10	0.022982	13829	0.677607	11604
ABCC11	0.000000	16508	0.000000	17234
ABCC12	0.000000	16507	0.000000	17233
ABCC2	0.086360	12631	0.086360	15213
ABCC3	0.505944	3133	1.318272	5903
ABCC4	0.103096	11717	0.794488	10744
ABCC5	0.243688	7097	1.232488	6777
ABCC6	-	19006	-	19006
ABCC8	0.484300	3328	0.484300	12741
ABCC9	1.095875	947	1.326131	5833
ABCD1	0.098700	11850	1.051924	8584
ABCD2	0.421816	3947	0.583199	12181
ABCD3	0.232044	7354	1.222196	6877
ABCD4	0.249701	6952	1.205746	7017
ABCE1	0.121118	11294	1.640183	3098
ABCF1	0.210760	8167	1.954484	1502
ABCF2	0.118741	11355	1.429914	4791
ABCF3	0.084531	12671	1.559308	3680
ABCG1	0.271836	6505	1.366423	5407
ABCG2	0.248663	6978	0.363612	13383
ABCG4	0.127105	11150	0.127105	14835
ABCG5	0.000000	16506	0.000000	17232
ABCG8	0.000000	16505	0.000000	17231
ABHD1	0.498336	3198	0.557507	12358
ABHD10	0.170896	9254	1.385070	5225
ABHD11	0.323061	5313	1.067071	8423
ABHD12	0.086360	12630	1.397245	5095
ABHD12B	0.000000	16504	0.000000	17230
ABHD13	0.134154	10465	1.161368	7482
ABHD14A	0.273944	6381	1.391112	5160
ABHD14B	-0.094039	17033	1.663418	2926
ABHD15	0.086360	12629	0.307496	13682
ABHD16A	0.225569	7511	1.516271	4028
ABHD16B	-	19005	-	19005
ABHD17A	0.143208	10202	0.912753	9871
ABHD17B	0.316121	5497	1.257918	6506
ABHD17C	0.377902	4457	1.419295	4904
ABHD18	0.718527	1924	1.050380	8620
ABHD2	0.297209	5892	1.692406	2754
ABHD3	0.087860	12125	1.038223	8700
ABHD4	0.174327	9166	1.241297	6673
ABHD5	0.163117	9445	1.326131	5832
ABHD6	0.127288	10669	0.677607	11603
ABHD8	0.026734	13776	0.901458	9929
ABI1	0.199460	8450	1.702603	2696
ABI2	0.171084	9252	1.453012	4601
ABI3	0.288020	6076	0.778874	10889
ABI3BP	0.844638	1519	1.801198	2154
ABL1	0.123728	11231	0.935507	9634
ABL2	0.086360	12628	0.745855	11119
ABLIM1	1.083723	968	1.950267	1519
ABLIM2	1.579326	460	1.579326	3542
ABLIM3	0.561377	2726	1.257918	6505
ABO	0.964764	1212	1.090611	8160
ABR	0.691965	2022	0.935507	9633
ABRA	2.142765	208	2.142765	968
ABRACL	0.127105	11149	1.419295	4903
ABT1	0.063205	13109	1.260071	6469
ABTB1	0.087456	12132	1.275311	6299
ABTB2	0.374630	4546	1.135451	7739
ACAA1	0.070167	12979	1.535421	3879
ACAA2	0.386513	4355	1.516271	4027
ACACA	0.111463	11514	1.254790	6525
ACACB	1.331832	656	1.331832	5782
ACAD10	-0.009120	16598	0.980458	9258
ACAD11	0.101291	11775	0.471292	12819
ACAD8	0.157671	9828	1.366423	5406
ACAD9	0.076404	12849	1.476542	4366
ACADL	0.586444	2572	0.607455	12099
ACADM	0.785712	1702	2.159808	934
ACADS	0.671673	2127	1.559308	3679
