gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.430956	2728	1.421956	4887
A1CF	0.000000	16720	0.000000	17239
A2M	0.000000	16719	0.166681	12738
A2ML1	0.012475	13680	0.012475	14751
A3GALT2	-	19008	-	19008
A4GALT	-0.078824	17048	0.616625	10775
A4GNT	0.000000	16718	0.000000	17238
AAAS	0.659108	1197	2.053078	1273
AACS	0.408754	2991	1.459418	4585
AADAC	0.000000	16717	0.000000	17237
AADACL2	0.000000	16716	0.000000	17236
AADACL3	0.000000	16715	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.524581	1900	0.989020	8461
AAED1	0.258319	5596	1.476675	4462
AAGAB	0.235073	6109	1.783774	2375
AAK1	0.131519	9030	0.800042	9744
AAMDC	0.057609	11884	1.199901	6748
AAMP	0.280431	5088	2.026146	1353
AANAT	0.049143	12151	0.049143	13991
AAR2	0.357930	3658	1.479166	4440
AARD	0.021984	13027	0.036436	14101
AARS	0.292254	4839	1.904331	1816
AARS2	0.349064	3793	1.559882	3823
AARSD1	0.140887	8731	1.489791	4349
AASDH	0.041262	12369	1.106445	7520
AASDHPPT	0.112654	9700	1.629254	3323
AASS	0.120928	9444	1.150951	7146
AATF	0.089335	10395	1.558195	3834
AATK	0.012475	13679	0.012475	14750
ABAT	0.047728	12175	0.453616	11491
ABCA1	0.015919	13112	1.313023	5778
ABCA10	0.068186	11480	0.068186	13775
ABCA12	0.178977	7648	0.178977	12701
ABCA13	0.036436	12515	0.036436	14100
ABCA2	0.069373	11099	0.606194	10832
ABCA3	0.098375	10157	0.737193	10131
ABCA4	0.494629	2135	0.494629	11308
ABCA5	0.068186	11479	0.737193	10130
ABCA6	0.114857	9639	0.574031	10981
ABCA7	0.031083	12654	0.694858	10382
ABCA8	0.000000	16714	0.763428	9992
ABCA9	0.000000	16713	0.053738	13957
ABCB1	0.544890	1766	1.142563	7216
ABCB10	0.182127	7534	1.042288	8031
ABCB11	0.000000	16712	0.000000	17234
ABCB4	0.574181	1589	0.723174	10227
ABCB5	0.127105	9232	0.127105	13025
ABCB6	0.372807	3465	0.751500	10045
ABCB7	0.067162	11505	1.316599	5745
ABCB8	0.203165	6965	1.375132	5261
ABCB9	0.275015	5208	0.708137	10321
ABCC1	0.516155	1959	1.773125	2431
ABCC10	0.200545	7030	0.835070	9522
ABCC11	0.000000	16711	0.000000	17233
ABCC12	0.000000	16710	0.000000	17232
ABCC2	0.000000	16709	0.000000	17231
ABCC3	0.857669	596	1.669997	3054
ABCC4	0.136426	8854	0.982859	8504
ABCC5	0.043727	12263	0.990192	8457
ABCC6	-	19006	-	19006
ABCC8	0.068186	11478	0.068186	13774
ABCC9	0.000000	16708	0.068186	13773
ABCD1	0.234782	6117	1.188005	6849
ABCD2	0.033495	12580	0.194878	12547
ABCD3	0.202716	6977	1.367356	5336
ABCD4	0.170811	7880	1.212393	6630
ABCE1	0.345624	3858	1.864689	2000
ABCF1	0.066682	11515	1.908644	1794
ABCF2	0.393527	3167	1.820769	2207
ABCF3	0.039767	12414	1.514545	4162
ABCG1	0.000000	16707	0.115224	13134
ABCG2	0.069940	11085	0.135106	12892
ABCG4	0.061354	11790	0.076999	13314
ABCG5	0.000000	16706	0.000000	17230
ABCG8	0.000000	16705	0.000000	17229
ABHD1	0.005995	13761	0.065167	13893
ABHD10	0.218075	6607	1.383097	5197
ABHD11	0.222164	6498	1.192125	6825
ABHD12	0.249382	5790	1.768268	2467
ABHD12B	0.065167	11679	0.065167	13892
ABHD13	-0.089008	17080	0.938206	8833
ABHD14A	0.185784	7437	1.132645	7304
ABHD14B	0.135243	8889	1.892700	1863
ABHD15	0.358189	3652	0.698753	10366
ABHD16A	0.058606	11865	1.349308	5465
ABHD16B	-	19005	-	19005
ABHD17A	0.329516	4136	1.256115	6277
ABHD17B	0.081732	10614	0.929911	8894
ABHD17C	0.302182	4644	1.286721	6027
ABHD18	0.195516	7166	0.786940	9825
ABHD2	0.000000	16704	1.579719	3679
ABHD3	-0.064809	17006	0.885553	9195
ABHD4	0.140674	8737	1.425973	4861
ABHD5	0.139715	8763	0.904716	9071
ABHD6	0.022053	13025	0.709270	10307
ABHD8	0.173768	7791	1.083495	7715
ABI1	0.105130	9932	1.383097	5196
ABI2	0.486375	2205	1.686325	2941
ABI3	0.107542	9878	0.303822	12089
ABI3BP	0.046422	12206	0.427341	11600
ABL1	0.522050	1920	1.523562	4093
ABL2	0.706982	996	1.375049	5262
ABLIM1	1.352970	136	1.822597	2196
ABLIM2	0.024951	12878	0.069940	13463
ABLIM3	0.415168	2904	1.506044	4221
ABO	0.068186	11477	0.068186	13772
ABR	0.301551	4657	1.362920	5370
ABRA	0.000000	16703	0.000000	17228
ABRACL	0.347317	3817	1.843855	2101
ABT1	0.249684	5786	1.446550	4684
ABTB1	0.135106	8924	1.018700	8220
ABTB2	0.084680	10536	0.763428	9991
ACAA1	0.088324	10426	1.547699	3919
ACAA2	0.546703	1757	1.504311	4232
ACACA	0.532575	1850	1.675902	3009
ACACB	0.063734	11710	0.289606	12137
ACAD10	0.057044	11896	1.046622	7991
ACAD11	0.181692	7541	0.834421	9544
ACAD8	-0.002290	16738	1.206462	6679
ACAD9	0.151508	8414	1.551646	3892
ACADL	0.100970	10067	0.121981	13062
ACADM	0.147696	8522	1.521792	4117
ACADS	0.103844	9977	0.991479	8447
ACADSB	0.091507	10329	0.800717	9739
ACADVL	0.076698	10778	1.988648	1481
ACAN	0.011265	13698	0.061564	13916
ACAP1	0.015003	13132	0.127105	13024
ACAP2	0.000000	16702	1.437595	4757
ACAP3	0.103933	9975	0.802393	9721
ACAT1	0.038554	12443	1.708421	2808
ACAT2	0.981195	416	2.414345	531
ACBD3	0.019786	13057	1.873727	1952
ACBD4	0.218596	6593	0.927441	8910
ACBD5	0.212089	6749	0.845098	9471
ACBD6	0.323016	4245	1.431939	4811
ACBD7	0.560756	1661	0.798074	9759
ACCS	0.007320	13743	0.346253	11900
ACCSL	-	19004	-	19004
ACD	0.589861	1504	1.506678	4217
ACE	0.065167	11678	0.390806	11740
ACE2	0.000000	16701	0.000000	17227
ACER1	0.000000	16700	0.000000	17226
ACER2	0.011619	13693	0.307496	12080
ACER3	-0.034018	16907	1.084576	7705
